Date,Price Open,Price Low,Price High,Price Close,Volume
2010-07-15,11555.3497469795,10983.302729802,12127.396764157,11143.475894612,476626.0
2010-07-16,11143.475894612,10640.074519496,11326.530940109,10640.074519496,298952.0
2010-07-19,10640.074519496,10594.310758122,11326.530940109,10594.310758122,287180.0
2010-07-20,10594.310758122,10182.436905754,10983.302729802,10342.610070564,899869.0
2010-07-21,10342.610070564,10068.027502319,10388.373831938,10319.728189877,207514.0
2010-07-22,10319.728189877,10296.84630919,10983.302729802,10319.728189877,402983.0
2010-07-23,10674.3973405265,10479.901354686,10868.893326367,10525.66511606,317021.0
2010-07-26,10525.66511606,10296.84630919,10708.720161557,10319.728189877,360549.0
2010-07-27,10571.4288774345,10388.373831938,10754.483922931,10548.546996748,309081.0
2010-07-28,10548.546996748,10296.84630919,10731.602042244,10296.84630919,176031.0
2010-07-29,10296.84630919,10251.082547815,11212.121536673,11212.121536673,1393743.0
2010-07-30,11212.121536673,10891.775207054,11578.231627666,11555.349746979,948052.0
2010-08-02,11555.349746979,11166.357775299,11898.577957286,11166.357775299,1869275.0
2010-08-03,11166.357775299,11166.357775299,11646.877269728,11257.885298047,1108752.0
2010-08-04,11257.885298047,10502.783235373,11440.940343544,11440.940343544,670727.0
2010-08-05,11440.940343544,10983.302729802,11440.940343544,10983.302729802,462938.0
2010-08-06,11246.4443577035,11212.121536673,11280.767178734,11212.121536673,410649.0
2010-08-09,11212.121536673,10685.83828087,11280.767178734,10754.483922931,474984.0
2010-08-10,10754.483922931,10205.318786441,11189.239655986,10319.728189877,334815.0
2010-08-11,9930.736218196,9701.917411325,10159.555025067,10159.555025067,460200.0
2010-08-12,9759.122113043,9518.862365829,9999.381860257,9610.389888577,223940.0
2010-08-13,10010.822800601,9839.208695448,10182.436905754,10182.436905754,146464.0
2010-08-16,10674.3973405265,10662.956400183,10685.83828087,10685.83828087,85415.0
2010-08-17,10685.83828087,10525.66511606,11143.475894612,10800.247684306,244199.0
2010-08-18,10399.8147722815,10045.145621632,10754.483922931,10182.436905754,220107.0
2010-08-19,10182.436905754,9747.681172699,10914.657087741,10914.657087741,616247.0
2010-08-20,10914.657087741,10868.893326367,11509.585985605,11509.585985605,1230031.0
2010-08-23,11509.585985605,11395.17658217,12196.042406218,12196.042406218,1158852.0
2010-08-24,12196.042406218,12150.278644844,12996.908230266,12996.908230266,662787.0
2010-08-25,12996.908230266,12745.207542708,13660.482770191,12768.089423395,742179.0
2010-08-26,12768.089423395,12470.624974463,14346.939190804,13385.900201946,1963176.0
2010-08-27,14747.3721028285,14255.411668056,15239.332537601,14278.293548743,1607007.0
2010-08-30,16108.84400371,16017.316480962,16200.371526458,16200.371526458,1620421.0
2010-08-31,17127.087694285503,16932.591708445,17321.583680126,17298.701799438,1699540.0
2010-09-01,17905.071637646,17504.638725622,18305.50454967,18305.50454967,2198615.0
2010-09-06,18957.6381492525,18877.551566848,19037.724731657,19037.724731657,2298266.0
2010-09-07,20250.4644080725,20136.055004637,20364.873811508,20364.873811508,2350008.0
2010-09-08,20364.873811508,18991.960970283,21508.967845863,19449.598584025,2380670.0
2010-09-09,20250.464408073,19678.417390896,20822.51142525,20822.51142525,2219969.0
2010-09-10,20822.51142525,20387.755692195,20936.920828685,20662.33826044,1005543.0
2010-09-13,20662.33826044,20410.637572882,20982.68459006,20982.68459006,1649988.0
2010-09-14,20982.68459006,20136.055004637,21051.330232121,20822.51142525,1927861.0
2010-09-15,20822.51142525,20662.33826044,21051.330232121,21005.566470747,1412085.0
2010-09-16,21005.566470747,20868.275186624,21119.975874182,20914.038947998,1293271.0
2010-09-17,20914.038947998,20662.33826044,20936.920828685,20685.220141127,1380328.0
2010-09-20,19952.9999591405,19312.307299902,20593.692618379,19312.307299902,202039.0
2010-09-21,18008.040100738,18008.040100738,18008.040100738,18008.040100738,469508.0
2010-09-22,16749.536662948,16749.536662948,16749.536662948,16749.536662948,208609.0
2010-09-23,15582.560747907,15582.560747907,15582.560747907,15582.560747907,55026.0
2010-09-24,14507.112355614,14507.112355614,14507.112355614,14507.112355614,78023.0
2010-09-27,13500.309605382,13500.309605382,13500.309605382,13500.309605382,20806.0
2010-09-28,13500.309605382,12562.152497211,13591.83712813,12562.152497211,12432541.0
2010-09-29,12562.152497211,11692.641031102,12585.034377898,12035.869241408,4767637.0
2010-09-30,12539.270616524,12539.270616524,12539.270616524,12539.270616524,312914.0
2010-10-01,12539.270616524,11692.641031102,13408.782082634,12127.396764157,1665045.0
2010-10-04,11418.058462857,11418.058462857,11418.058462857,11418.058462857,214632.0
2010-10-05,10788.806743962,10640.074519496,10937.538968428,10662.956400183,3798505.0
2010-10-06,10662.956400183,10640.074519496,11074.830252551,10960.420849115,1461911.0
2010-10-07,10594.310758122,10296.84630919,10891.775207054,10342.610070564,1083292.0
2010-10-08,10056.5865619755,9816.326814761,10296.84630919,9839.208695448,1547873.0
2010-10-11,9839.208695448,9335.807320332,9953.618098883,9724.799292012,1179932.0
2010-10-12,9724.799292012,9701.917411325,10296.84630919,9930.736218196,1255491.0
2010-10-13,9930.736218196,9633.271769264,10068.027502319,9793.444934074,365477.0
2010-10-14,9793.444934074,9518.862365829,9884.972456822,9610.389888577,606665.0
2010-10-15,9610.389888577,9198.516036209,9656.153649951,9221.397916896,1073163.0
2010-10-18,8901.051587277001,8649.350899719,9152.752274835,8672.232780406,1632467.0
2010-10-19,8672.232780406,8191.713285977,8695.114661093,8191.713285977,1338990.0
2010-10-20,7837.0441353275,7665.430030174,8008.658240481,7665.430030174,272671.0
2010-10-21,7665.430030174,7139.146774371,7894.248837045,7207.792416433,2119497.0
2010-10-22,7207.792416433,6795.918564065,7413.729342616,6933.209848188,1507903.0
2010-10-25,6933.209848188,6544.217876507,6956.091728875,6887.446086813,1140235.0
2010-10-26,6887.446086813,6750.154802691,7184.910535746,7184.910535746,1096433.0
2010-10-27,7665.430030174,7665.430030174,7665.430030174,7665.430030174,515501.0
2010-10-28,7665.430030174,7207.792416433,8168.83140529,7299.319939181,1318457.0
2010-10-29,7299.319939181,7093.383012997,7505.256865365,7367.965581242,864005.0
2010-11-01,7367.965581242,7093.383012997,7390.847461929,7184.910535746,668536.0
2010-11-02,7184.910535746,6887.446086813,7253.556177807,6887.446086813,532201.0
2010-11-03,6887.446086813,6612.863518568,7070.50113231,6681.50916063,904523.0
2010-11-04,6681.50916063,6612.863518568,6933.209848188,6864.564206126,439120.0
2010-11-05,7116.2648936845,6978.973609562,7253.556177807,7093.383012997,728217.0
2010-11-08,7093.383012997,6750.154802691,7184.910535746,6795.918564065,538497.0
2010-11-09,6795.918564065,6475.572234446,6864.564206126,6475.572234446,1224008.0
2010-11-10,6475.572234446,6475.572234446,6635.745399256,6544.217876507,298405.0
2010-11-11,6544.217876507,6269.635308262,6544.217876507,6269.635308262,968858.0
2010-11-12,6269.635308262,5903.525217269,6635.745399256,5972.17085933,1009101.0
2010-11-15,5972.17085933,5583.178887649,6063.698382078,5651.824529711,546163.0
2010-11-16,5651.824529711,5400.123842153,5720.470171772,5468.769484214,799123.0
2010-11-17,5468.769484214,5377.241961466,5720.470171772,5628.942649024,892751.0
2010-11-18,5628.942649024,5606.060768337,5949.288978643,5949.288978643,478269.0
2010-11-19,6200.989666200499,6086.580262765,6315.399069636,6178.107785514,3007868.0
2010-11-22,6178.107785514,5834.879575207,6452.690353759,6361.16283101,1794810.0
2010-11-23,6361.16283101,6178.107785514,6658.627279943,6658.627279943,849496.0
2010-11-24,6658.627279943,6521.33599582,7024.737370936,7024.737370936,2224076.0
2010-11-25,7024.737370936,6978.973609562,7459.493103991,7459.493103991,794469.0
2010-11-26,7734.0756722355,7551.020626739,7917.130717732,7894.248837045,2926833.0
2010-11-29,7894.248837045,7459.493103991,8283.240808726,8214.595166665,2061732.0
2010-11-30,8214.595166665,7871.366956358,8351.886450787,7940.01259842,2111831.0
2010-12-01,7940.01259842,7551.020626739,7985.776359794,7573.902507426,2256380.0
2010-12-02,7573.902507426,7551.020626739,8168.83140529,8168.83140529,2160562.0
2010-12-03,8409.091152505,8260.358928039,8557.823376971,8557.823376971,1517485.0
2010-12-06,8557.823376971,8283.240808726,8923.933467964,8351.886450787,1489013.0
2010-12-07,8351.886450787,7962.894479107,8557.823376971,7962.894479107,1590307.0
2010-12-08,7962.894479107,7528.138746052,7985.776359794,7528.138746052,1413728.0
2010-12-09,7528.138746052,7276.438058494,7985.776359794,7688.311910862,1757031.0
2010-12-10,7905.689777389,7734.075672236,8077.303882542,8077.303882542,917664.0
2010-12-13,8443.4139735355,8351.886450787,8534.941496284,8534.941496284,2018203.0
2010-12-14,8534.941496284,7917.130717732,8901.051587277,7962.894479107,1591402.0
2010-12-15,7962.894479107,7779.83943361,8237.477047352,7848.485075671,782697.0
2010-12-16,7596.7843881134995,7459.493103991,7734.075672236,7505.256865365,776126.0
2010-12-17,7802.721314297,7551.020626739,8054.422001855,8008.658240481,776674.0
2010-12-20,8008.658240481,7665.430030174,8123.067643916,7779.83943361,564231.0
2010-12-21,7779.83943361,7551.020626739,7962.894479107,7779.83943361,378344.0
2010-12-22,7779.83943361,7505.256865365,7985.776359794,7573.902507426,542878.0
2010-12-23,7402.288402272999,7253.556177807,7551.020626739,7322.201819868,455273.0
2010-12-24,7322.201819868,7322.201819868,7779.83943361,7642.548149487,1076995.0
2010-12-27,7642.548149487,7619.6662688,7779.83943361,7665.430030174,235986.0
2010-12-28,7848.4850756715,7688.311910862,8008.658240481,7917.130717732,422694.0
2010-12-29,7917.130717732,7688.311910862,7940.01259842,7756.957552923,343850.0
2010-12-30,7756.957552923,7551.020626739,7756.957552923,7619.6662688,386831.0
2010-12-31,7619.6662688,7551.020626739,7688.311910862,7619.6662688,282252.0
2011-01-04,7619.6662688,7619.6662688,7825.603194984,7665.430030174,173020.0
2011-01-05,7665.430030174,7459.493103991,7734.075672236,7528.138746052,208609.0
2011-01-06,7528.138746052,7482.374984678,7596.784388113,7551.020626739,158510.0
2011-01-07,7551.020626739,7436.611223304,7642.548149487,7619.6662688,407637.0
2011-01-10,7619.6662688,7573.902507426,8008.658240481,7756.957552923,1674079.0
2011-01-11,7756.957552923,7528.138746052,7848.485075671,7734.075672236,721099.0
2011-01-12,7734.075672236,7665.430030174,8168.83140529,8008.658240481,1230031.0
2011-01-13,8008.658240481,7894.248837045,8351.886450787,7962.894479107,278146.0
2011-01-14,7962.894479107,7779.83943361,8008.658240481,7917.130717732,485387.0
2011-01-17,7917.130717732,7871.366956358,8031.540121168,7962.894479107,594620.0
