Date,Price Open,Price Low,Price High,Price Close,Volume
2010-04-08,919.968900995,919.968900995,919.968900995,919.968900995,4607.0
2010-05-14,919.968900995,919.968900995,919.968900995,919.968900995,4607.0
2010-05-18,873.970455946,873.970455946,873.970455946,873.970455946,4607.0
2010-07-01,957.328044183,957.328044183,957.328044183,957.328044183,4607.0
2010-07-02,957.328044183,933.978579691,957.328044183,933.978579691,55295.0
2010-07-05,1036.716223457,1027.37643766,1046.056009254,1046.056009254,65691.0
2010-07-06,1074.075366644,1074.075366644,1074.075366644,1074.075366644,20735.0
2010-07-07,973.6726693275,966.66782998,980.677508675,980.677508675,9215.0
2010-07-09,980.677508675,980.677508675,980.677508675,980.677508675,921.0
2010-07-12,980.677508675,933.978579691,1078.745259543,1078.745259543,47554.0
2010-07-13,1078.745259543,980.677508675,1097.424831137,1097.424831137,59609.0
2010-07-16,1032.0463305585,976.007615777,1088.08504534,1088.08504534,36034.0
2010-07-19,976.0076157765,971.337722878,980.677508675,980.677508675,19814.0
2010-07-21,989.2926103525,986.920206011,991.665014694,986.920206011,33638.0
2010-07-22,991.665014694,991.665014694,991.665014694,991.665014694,37785.0
2010-07-27,901.513649722,901.513649722,901.513649722,901.513649722,4147.0
2010-07-29,991.665014694,991.665014694,991.665014694,991.665014694,13823.0
2010-07-30,1039.113101521,1039.113101521,1039.113101521,1039.113101521,921.0
2010-08-02,1134.009275176,1134.009275176,1134.009275176,1134.009275176,18431.0
2010-08-05,1134.009275176,1024.878675473,1233.650257514,1024.878675473,37324.0
2010-09-08,1110.285231762,1110.285231762,1110.285231762,1110.285231762,5529.0
2010-09-09,1110.285231762,1001.154632059,1110.285231762,1110.285231762,88934.0
2010-09-10,1110.285231762,1058.092336252,1162.478127273,1162.478127273,6451.0
2010-09-13,1162.478127273,1091.305997032,1243.139874879,1091.305997032,2764.0
2010-09-14,1186.202170686,1186.202170686,1186.202170686,1186.202170686,2303.0
2010-09-15,1186.202170686,1162.478127273,1300.077579072,1162.478127273,7372.0
2010-09-20,1162.478127273,1129.264466493,1371.249709314,1129.264466493,3225.0
2010-09-21,1171.967744638,1171.967744638,1171.967744638,1171.967744638,5529.0
2010-09-22,1275.404943605,1275.404943605,1275.404943605,1275.404943605,719.0
2010-09-23,1293.889073222,1293.889073222,1293.889073222,1293.889073222,1799.0
2010-09-24,1324.695955918,1324.695955918,1324.695955918,1324.695955918,719.0
2010-09-27,1355.502838614,1355.502838614,1355.502838614,1355.502838614,719.0
2010-09-29,1355.502838614,1355.502838614,1355.502838614,1355.502838614,1799.0
2010-10-04,1491.053122475,1491.053122475,1491.053122475,1491.053122475,359.0
2010-10-05,1632.764782875,1632.764782875,1632.764782875,1632.764782875,359.0
2010-10-06,1786.799196354,1786.799196354,1786.799196354,1786.799196354,359.0
2010-10-07,1848.412961746,1848.412961746,1848.412961746,1848.412961746,359.0
2010-10-08,1848.412961746,1848.412961746,1848.412961746,1848.412961746,359.0
2010-10-11,1663.571665571,1663.571665571,1663.571665571,1663.571665571,359.0
2010-10-14,1571.151017484,1571.151017484,1571.151017484,1571.151017484,359.0
2010-10-19,1601.95790018,1601.95790018,1601.95790018,1601.95790018,359.0
2010-10-20,1648.168224223,1632.764782875,1663.571665571,1663.571665571,719.0
2010-10-29,1491.053122475,1491.053122475,1491.053122475,1491.053122475,4319.0
