Date,Price Open,Price Low,Price High,Price Close,Volume
2009-10-26,3607.291661192,3060.732318587,4153.851003797,3935.227266755,256212.0
2009-10-27,3935.227266755,3804.05302453,4197.575751206,4110.126256389,58740.0
2009-10-28,4350.612367135,4328.749993431,4372.474740839,4372.474740839,18260.0
2009-10-29,4700.410346402,4591.098477881,4809.722214923,4591.098477881,13420.0
2009-10-30,4591.098477881,4241.300498614,5115.795446782,4241.300498614,64702.0
2009-11-02,4088.2638826845,4022.676761572,4153.851003797,4153.851003797,22660.0
2009-11-03,3891.502519347,3760.328277122,4022.676761572,3760.328277122,116380.0
2009-11-04,3935.227266755,3935.227266755,3935.227266755,3935.227266755,44.0
2009-11-05,3935.227266755,3935.227266755,3935.227266755,3935.227266755,34100.0
2009-11-06,3935.227266755,3891.502519347,4328.749993431,3891.502519347,87560.0
2009-11-09,3891.502519347,3804.05302453,3935.227266755,3847.777771938,37400.0
2009-11-10,3847.777771938,3847.777771938,3935.227266755,3935.227266755,81400.0
2009-11-11,3935.227266755,3585.429287488,4328.749993431,3585.429287488,21120.0
2009-11-12,3585.429287488,3585.429287488,3804.05302453,3804.05302453,121000.0
2009-11-13,3804.05302453,3541.70454008,4022.676761572,3891.502519347,154484.0
2009-11-16,3891.502519347,3891.502519347,4066.40150898,4066.40150898,220242.0
2009-11-17,3935.227266755,3935.227266755,3935.227266755,3935.227266755,4400.0
2009-11-18,3935.227266755,3716.603529713,3935.227266755,3935.227266755,48620.0
2009-11-19,3935.227266755,3891.502519347,4110.126256389,4110.126256389,49500.0
2009-11-20,3957.0896404595,3891.502519347,4022.676761572,3891.502519347,6710.0
2009-11-23,3891.502519347,3585.429287488,4372.474740839,3585.429287488,81180.0
2009-11-24,3585.429287488,3541.70454008,4241.300498614,3585.429287488,16060.0
2009-11-25,3585.429287488,3323.080803038,4022.676761572,3323.080803038,40337.0
2009-11-26,3323.080803038,3148.181813404,3760.328277122,3454.255045263,69113.0
2009-11-27,3454.255045263,3104.457065996,3541.70454008,3148.181813404,56958.0
2009-11-30,3148.181813404,3104.457065996,3235.631308221,3191.906560813,8140.0
2009-12-01,3191.906560813,3060.732318587,3497.979792671,3191.906560813,27214.0
2009-12-02,3060.7323185875,2973.282823771,3148.181813404,3104.457065996,74800.0
2009-12-03,3104.457065996,3060.732318587,3410.530297854,3410.530297854,88374.0
2009-12-04,3410.530297854,3366.805550446,3454.255045263,3454.255045263,3300.0
2009-12-07,3235.631308221,3104.457065996,3366.805550446,3366.805550446,18260.0
2009-12-08,3191.906560813,3191.906560813,3191.906560813,3191.906560813,66880.0
2009-12-09,3497.979792671,3497.979792671,3497.979792671,3497.979792671,3300.0
2009-12-10,3497.979792671,3148.181813404,3847.777771938,3148.181813404,7700.0
2009-12-11,3148.181813404,3060.732318587,3323.080803038,3323.080803038,11000.0
2009-12-15,3323.080803038,3191.906560813,3410.530297854,3191.906560813,25850.0
2009-12-16,3323.080803038,3323.080803038,3323.080803038,3323.080803038,15840.0
2009-12-17,3629.154034896,3629.154034896,3629.154034896,3629.154034896,1100.0
2009-12-18,3629.154034896,3279.356055629,3978.952014164,3978.952014164,9020.0
2009-12-21,3978.952014164,3279.356055629,3978.952014164,3279.356055629,42284.0
2009-12-22,3279.356055629,3279.356055629,3585.429287488,3279.356055629,21736.0
2009-12-23,3279.356055629,3279.356055629,3279.356055629,3279.356055629,26400.0
2009-12-24,3279.356055629,3235.631308221,3585.429287488,3279.356055629,7700.0
2009-12-25,3279.356055629,3279.356055629,3323.080803038,3323.080803038,128260.0
2009-12-28,3323.080803038,3279.356055629,3454.255045263,3410.530297854,46420.0
2009-12-29,3235.631308221,3191.906560813,3279.356055629,3235.631308221,28600.0
2009-12-30,3497.9797926715,3454.255045263,3541.70454008,3454.255045263,15400.0
2009-12-31,3454.255045263,3279.356055629,3847.777771938,3366.805550446,169180.0
2010-01-04,3760.3282771215,3497.979792671,4022.676761572,4022.676761572,172700.0
2010-01-05,4022.676761572,3497.979792671,4022.676761572,3497.979792671,28710.0
2010-01-06,3497.979792671,3323.080803038,3672.878782305,3410.530297854,38720.0
2010-01-07,3410.530297854,3323.080803038,3410.530297854,3323.080803038,7040.0
2010-01-08,3323.080803038,3279.356055629,3497.979792671,3366.805550446,90948.0
2010-01-11,3585.429287488,3497.979792671,3672.878782305,3497.979792671,52932.0
2010-01-12,3497.979792671,3148.181813404,3847.777771938,3279.356055629,43604.0
2010-01-13,3279.356055629,3279.356055629,3454.255045263,3410.530297854,57200.0
2010-01-14,3410.530297854,3060.732318587,3672.878782305,3497.979792671,115577.0
2010-01-15,3497.979792671,3323.080803038,4022.676761572,4022.676761572,762113.0
2010-01-18,3825.915398234,3716.603529713,3935.227266755,3760.328277122,39160.0
2010-01-19,3760.328277122,3672.878782305,4022.676761572,3978.952014164,37180.0
2010-01-20,3782.1906508255,3629.154034896,3935.227266755,3804.05302453,29260.0
2010-01-21,3804.05302453,3497.979792671,3847.777771938,3541.70454008,69300.0
