Date,Price Open,Price Low,Price High,Price Close,Volume
2008-02-15,10926.8602119415,10550.071928771,11303.648495112,10926.860211941,154150.0
2008-02-18,10926.860211941,10399.356615503,11052.456306331,10550.071928771,60033.0
2008-02-19,10173.2836456005,10047.68755121,10298.879739991,10047.68755121,27366.0
2008-02-20,9557.862783089,9545.30317365,9570.422392528,9545.30317365,45550.0
2008-02-21,9068.038014967,9068.038014967,9068.038014967,9068.038014967,5516.0
2008-02-22,8615.892075163,8615.892075163,8615.892075163,8615.892075163,5316.0
2008-02-25,8615.892075163,8188.865354236,8867.084263943,8641.011294041,81516.0
2008-02-26,8251.663401431,8213.984573114,8289.342229748,8213.984573114,40883.0
2008-02-27,7925.113556017,7812.077071066,8038.150040968,7812.077071066,52716.0
2008-02-28,7598.563710603,7435.288787896,7761.83863331,7435.288787896,49850.0
2008-02-29,7083.619723603,7083.619723603,7083.619723603,7083.619723603,41566.0
2008-03-03,6731.950659311,6731.950659311,6731.950659311,6731.950659311,11850.0
2008-03-04,6405.400813897,6405.400813897,6405.400813897,6405.400813897,1516.0
2008-03-05,6103.97018736,6103.97018736,6103.97018736,6103.97018736,2666.0
2008-03-06,6405.400813897,6405.400813897,6405.400813897,6405.400813897,67466.0
2008-03-07,6644.033393238,6581.235346043,6706.831440433,6706.831440433,88100.0
2008-03-10,6920.344800896,6807.308315945,7033.381285847,6807.308315945,95416.0
2008-03-11,6618.914174359999,6480.758470531,6757.069878189,6731.950659311,18333.0
2008-03-12,6731.950659311,6405.400813897,6731.950659311,6405.400813897,57366.0
2008-03-13,6405.400813897,6279.804719506,6405.400813897,6405.400813897,19866.0
2008-03-14,6405.400813897,6179.327843994,6405.400813897,6405.400813897,10633.0
2008-03-17,6103.97018736,6103.97018736,6103.97018736,6103.97018736,13800.0
2008-03-18,5802.539560824,5802.539560824,5802.539560824,5802.539560824,8133.0
2008-03-19,5802.539560824,5526.228153166,5827.658779702,5526.228153166,40083.0
2008-03-20,5262.476354946,5249.916745507,5275.035964385,5249.916745507,15333.0
2008-03-21,5023.843775605001,4998.724556727,5048.962994483,4998.724556727,32483.0
2008-03-24,4772.651586825,4772.651586825,4772.651586825,4772.651586825,19416.0
2008-03-25,4546.578616923,4546.578616923,4546.578616923,4546.578616923,33200.0
2008-03-26,4420.9825225325,4320.50564702,4521.459398045,4521.459398045,50150.0
2008-03-27,4546.578616923,4546.578616923,4546.578616923,4546.578616923,14850.0
2008-03-28,4571.697835801,4571.697835801,4571.697835801,4571.697835801,9166.0
2008-03-31,4596.817054679,4596.817054679,4596.817054679,4596.817054679,400.0
2008-04-01,4621.936273557,4621.936273557,4621.936273557,4621.936273557,16.0
2008-04-02,4647.055492435,4647.055492435,4647.055492435,4647.055492435,3366.0
2008-04-03,4672.174711313,4672.174711313,4672.174711313,4672.174711313,16.0
2008-04-04,4697.293930191,4697.293930191,4697.293930191,4697.293930191,1700.0
2008-04-07,4772.651586825,4772.651586825,4772.651586825,4772.651586825,1666.0
2008-04-08,4772.651586825,4722.413149069,4848.009243459,4848.009243459,65750.0
2008-04-09,4848.009243459,4848.009243459,4923.366900093,4898.247681215,50466.0
2008-04-10,4822.890024581,4822.890024581,4822.890024581,4822.890024581,20783.0
2008-04-11,4747.532367947,4747.532367947,4747.532367947,4747.532367947,27400.0
2008-04-16,4672.174711313,4672.174711313,4672.174711313,4672.174711313,1583.0
2008-04-17,4747.532367947,4747.532367947,4747.532367947,4747.532367947,88300.0
2008-04-18,4822.890024581,4822.890024581,4822.890024581,4822.890024581,16416.0
2008-04-21,4898.247681215,4898.247681215,4898.247681215,4898.247681215,3966.0
2008-04-22,4973.605337849,4973.605337849,4973.605337849,4973.605337849,21950.0
2008-04-23,4973.605337849,4898.247681215,5023.843775605,4898.247681215,163250.0
2008-04-24,4898.247681215,4848.009243459,4923.366900093,4848.009243459,27016.0
2008-04-25,4848.009243459,4766.300151423,4929.716156615,4766.300151423,48533.0
2008-04-28,4820.772153153501,4793.536152288,4848.008154019,4848.008154019,29766.0
2008-04-29,4848.008154019,4848.008154019,4929.716156615,4848.008154019,51316.0
2008-05-05,4848.008154019,4766.300151423,4848.008154019,4766.300151423,25283.0
2008-05-06,4684.592148827,4684.592148827,4684.592148827,4684.592148827,8016.0
2008-05-07,4684.592148827,4602.884146231,4684.592148827,4602.884146231,2950.0
2008-05-08,4521.176143636,4521.176143636,4521.176143636,4521.176143636,833.0
2008-05-09,4439.46814104,4439.46814104,4439.46814104,4439.46814104,2000.0
2008-05-12,4357.760138444,4357.760138444,4357.760138444,4357.760138444,166.0
2008-05-13,4276.052135848,4276.052135848,4276.052135848,4276.052135848,183.0
2008-05-14,4207.962133685,4194.344133252,4221.580134118,4194.344133252,3683.0
2008-05-15,4112.636130656,4112.636130656,4112.636130656,4112.636130656,5216.0
2008-05-16,4112.636130656,4030.928128061,4112.636130656,4030.928128061,21866.0
2008-05-19,3976.45612633,3976.45612633,3976.45612633,3976.45612633,22016.0
2008-05-20,3921.9841246,3921.9841246,3921.9841246,3921.9841246,2833.0
2008-05-21,3867.512122869,3867.512122869,3867.512122869,3867.512122869,15166.0
2008-05-22,3813.040121138,3813.040121138,3813.040121138,3813.040121138,533.0
2008-05-23,3758.568119408,3758.568119408,3758.568119408,3758.568119408,4000.0
2008-05-26,3704.096117677,3704.096117677,3704.096117677,3704.096117677,10450.0
2008-05-30,3649.624115947,3649.624115947,3649.624115947,3649.624115947,5350.0
2008-06-02,3595.152114216,3595.152114216,3595.152114216,3595.152114216,350.0
2008-06-03,3540.680112486,3540.680112486,3540.680112486,3540.680112486,16.0
2008-06-04,3486.208110755,3486.208110755,3486.208110755,3486.208110755,8800.0
2008-06-05,3431.736109025,3431.736109025,3431.736109025,3431.736109025,1933.0
2008-06-06,3377.264107294,3377.264107294,3377.264107294,3377.264107294,1916.0
2008-06-09,3322.792105564,3322.792105564,3322.792105564,3322.792105564,1316.0
2008-06-10,3268.320103833,3268.320103833,3268.320103833,3268.320103833,200.0
2008-06-11,3268.320103833,3213.848102102,3322.792105564,3322.792105564,54750.0
2008-06-12,3377.264107294,3377.264107294,3377.264107294,3377.264107294,44766.0
2008-06-13,3377.264107294,3377.264107294,3431.736109025,3431.736109025,57000.0
2008-06-16,3486.208110755,3486.208110755,3486.208110755,3486.208110755,14583.0
2008-06-17,3540.680112486,3540.680112486,3540.680112486,3540.680112486,10000.0
2008-06-18,3540.680112486,3486.208110755,3595.152114216,3486.208110755,70283.0
2008-06-19,3404.500108159,3404.500108159,3404.500108159,3404.500108159,8033.0
2008-06-20,3322.792105564,3322.792105564,3322.792105564,3322.792105564,7283.0
2008-06-23,3322.792105564,3241.084102968,3404.500108159,3268.320103833,59433.0
2008-06-24,3268.320103833,3268.320103833,3350.028106429,3350.028106429,22166.0
2008-06-25,3350.028106429,3295.556104698,3431.736109025,3431.736109025,20200.0
2008-06-26,3431.736109025,3350.028106429,3431.736109025,3431.736109025,16666.0
2008-06-27,3431.736109025,3350.028106429,3431.736109025,3431.736109025,14900.0
2008-06-30,3431.736109025,3350.028106429,3431.736109025,3350.028106429,35366.0
2008-07-01,3350.028106429,3350.028106429,3431.736109025,3431.736109025,25866.0
2008-07-02,3431.736109025,3431.736109025,3513.44411162,3513.44411162,67883.0
2008-07-03,3581.5341137835003,3567.916113351,3595.152114216,3595.152114216,49300.0
2008-07-04,3676.860116812,3676.860116812,3676.860116812,3676.860116812,31366.0
2008-07-07,3676.860116812,3567.916113351,3785.804120273,3567.916113351,88933.0
2008-07-08,3486.208110755,3486.208110755,3486.208110755,3486.208110755,25950.0
2008-07-09,3486.208110755,3486.208110755,3567.916113351,3567.916113351,39950.0
2008-07-10,3636.0061155145,3622.388115082,3649.624115947,3649.624115947,59900.0
2008-07-11,3758.568119408,3758.568119408,3758.568119408,3758.568119408,30500.0
2008-07-14,3867.512122869,3867.512122869,3867.512122869,3867.512122869,7533.0
2008-07-15,3976.45612633,3976.45612633,3976.45612633,3976.45612633,7666.0
2008-07-16,3976.45612633,3867.512122869,3976.45612633,3976.45612633,92533.0
2008-07-17,3976.45612633,3867.512122869,4085.400129791,4085.400129791,102550.0
2008-07-18,4085.400129791,3976.45612633,4085.400129791,3976.45612633,13783.0
2008-07-21,3867.512122869,3867.512122869,3867.512122869,3867.512122869,933.0
2008-07-22,3758.568119408,3758.568119408,3758.568119408,3758.568119408,2350.0
2008-07-23,3649.624115947,3649.624115947,3649.624115947,3649.624115947,66.0
2008-07-24,3540.680112486,3540.680112486,3540.680112486,3540.680112486,2016.0
2008-07-25,3458.97210989,3458.97210989,3458.97210989,3458.97210989,13333.0
