Date,Price Open,Price Low,Price High,Price Close,Volume
2001-12-19,9743.197295613,9743.197295613,9743.197295613,9743.197295613,47098.0
2001-12-21,9923.626875161,9923.626875161,9923.626875161,9923.626875161,104889.0
2001-12-24,10104.056454709,10104.056454709,10104.056454709,10104.056454709,18135.0
2001-12-26,9923.626875161,9923.626875161,9923.626875161,9923.626875161,103806.0
2001-12-28,9743.197295613,9743.197295613,9743.197295613,9743.197295613,27744.0
2001-12-31,9562.767716064,9562.767716064,9562.767716064,9562.767716064,9338.0
2002-01-02,9382.338136516,9382.338136516,9382.338136516,9382.338136516,5278.0
2002-01-04,9201.908556967,9201.908556967,9201.908556967,9201.908556967,25985.0
2002-01-07,9382.338136516,9382.338136516,9382.338136516,9382.338136516,95685.0
2002-01-09,9562.767716064,9562.767716064,9562.767716064,9562.767716064,111250.0
2002-01-11,9377.44185166,9377.44185166,9377.44185166,9377.44185166,28692.0
2002-01-14,9192.11691388,9192.11691388,9192.11691388,9192.11691388,15970.0
2002-01-16,9043.856963656,9043.856963656,9043.856963656,9043.856963656,20842.0
2002-01-18,8895.597013432,8895.597013432,8895.597013432,8895.597013432,8391.0
2002-01-21,8747.337063208,8747.337063208,8747.337063208,8747.337063208,25308.0
2002-01-23,8895.597013432,8895.597013432,8895.597013432,8895.597013432,84046.0
2002-01-25,9043.856963656,9043.856963656,9043.856963656,9043.856963656,4736.0
2002-01-28,9192.11691388,9192.11691388,9192.11691388,9192.11691388,1488.0
2002-01-30,9192.11691388,9192.11691388,9192.11691388,9192.11691388,102588.0
2002-02-01,9043.856963656,9043.856963656,9043.856963656,9043.856963656,74708.0
2002-02-04,9155.051926324,9155.051926324,9155.051926324,9155.051926324,103129.0
2002-02-06,9303.311876548,9303.311876548,9303.311876548,9303.311876548,87430.0
2002-02-08,9303.311876548,9303.311876548,9303.311876548,9303.311876548,111520.0
2002-02-15,9303.311876548,9303.311876548,9303.311876548,9303.311876548,111520.0
2002-02-18,9303.311876548,9303.311876548,9303.311876548,9303.311876548,11503.0
2002-02-20,9117.986938768,9117.986938768,9117.986938768,9117.986938768,5007.0
2002-02-22,8969.726988544,8969.726988544,8969.726988544,8969.726988544,10150.0
2002-02-25,8821.46703832,8821.46703832,8821.46703832,8821.46703832,16917.0
2002-02-27,8673.207088096,8673.207088096,8673.207088096,8673.207088096,5684.0
2002-03-01,8821.46703832,8821.46703832,8821.46703832,8821.46703832,129385.0
2002-03-04,8673.207088096,8673.207088096,8673.207088096,8673.207088096,25850.0
2002-03-05,8524.947137872,8524.947137872,8524.947137872,8524.947137872,50888.0
2002-03-06,8524.947137872,8524.947137872,8524.947137872,8524.947137872,67264.0
2002-03-07,8376.687187649,8376.687187649,8376.687187649,8376.687187649,46692.0
2002-03-08,8376.687187649,8376.687187649,8376.687187649,8376.687187649,54813.0
2002-03-11,8450.81716276,8450.81716276,8450.81716276,8450.81716276,36948.0
2002-03-12,8599.077112984,8599.077112984,8599.077112984,8599.077112984,38166.0
2002-03-13,8747.337063208,8747.337063208,8747.337063208,8747.337063208,2300.0
2002-03-14,8895.597013432,8895.597013432,8895.597013432,8895.597013432,10962.0
2002-03-15,9043.856963656,9043.856963656,9043.856963656,9043.856963656,11774.0
2002-03-18,9043.856963656,9043.856963656,9043.856963656,9043.856963656,90678.0
2002-03-19,8895.597013432,8895.597013432,8895.597013432,8895.597013432,50482.0
2002-03-20,9006.7919761,9006.7919761,9006.7919761,9006.7919761,70918.0
2002-03-21,8858.532025876,8858.532025876,8858.532025876,8858.532025876,15834.0
2002-03-22,8895.597013432,8895.597013432,8895.597013432,8895.597013432,15022.0
2002-03-25,8895.597013432,8895.597013432,8895.597013432,8895.597013432,19353.0
2002-03-26,9043.856963656,9043.856963656,9043.856963656,9043.856963656,36812.0
2002-03-27,9192.11691388,9192.11691388,9192.11691388,9192.11691388,27203.0
2002-03-28,9340.376864104,9340.376864104,9340.376864104,9340.376864104,82557.0
2002-03-29,9155.051926324,9155.051926324,9155.051926324,9155.051926324,45609.0
2002-04-01,9303.311876548,9303.311876548,9303.311876548,9303.311876548,51564.0
2002-04-02,9266.246888992,9266.246888992,9266.246888992,9266.246888992,43579.0
2002-04-03,9080.921951212,9080.921951212,9080.921951212,9080.921951212,13534.0
2002-04-04,8932.662000988,8932.662000988,8932.662000988,8932.662000988,12316.0
2002-04-05,8858.532025876,8858.532025876,8858.532025876,8858.532025876,27338.0
2002-04-08,8858.532025876,8858.532025876,8858.532025876,8858.532025876,18812.0
2002-04-09,9006.7919761,9006.7919761,9006.7919761,9006.7919761,35188.0
2002-04-10,8895.597013432,8895.597013432,8895.597013432,8895.597013432,15158.0
2002-04-11,8895.597013432,8895.597013432,8895.597013432,8895.597013432,15834.0
2002-04-12,8858.532025876,8858.532025876,8858.532025876,8858.532025876,11639.0
2002-04-15,8858.532025876,8858.532025876,8858.532025876,8858.532025876,24090.0
2002-04-16,8710.272075652,8710.272075652,8710.272075652,8710.272075652,18406.0
2002-04-17,8710.272075652,8710.272075652,8710.272075652,8710.272075652,53188.0
2002-04-18,8784.402050764,8784.402050764,8784.402050764,8784.402050764,18812.0
2002-04-19,8895.597013432,8895.597013432,8895.597013432,8895.597013432,27744.0
2002-04-22,8821.46703832,8821.46703832,8821.46703832,8821.46703832,8526.0
2002-04-23,8821.46703832,8821.46703832,8821.46703832,8821.46703832,19083.0
2002-04-24,8858.532025876,8858.532025876,8858.532025876,8858.532025876,29774.0
2002-04-25,8858.532025876,8858.532025876,8858.532025876,8858.532025876,33429.0
2002-04-26,8821.46703832,8821.46703832,8821.46703832,8821.46703832,37218.0
2002-04-29,8821.46703832,8821.46703832,8821.46703832,8821.46703832,37218.0
2002-05-02,8821.46703832,8821.46703832,8821.46703832,8821.46703832,27338.0
2002-05-03,8969.726988544,8969.726988544,8969.726988544,8969.726988544,84046.0
2002-05-06,8895.597013432,8895.597013432,8895.597013432,8895.597013432,60091.0
2002-05-07,8747.337063208,8747.337063208,8747.337063208,8747.337063208,22466.0
2002-05-08,8636.14210054,8636.14210054,8636.14210054,8636.14210054,29098.0
2002-05-09,8673.207088096,8673.207088096,8673.207088096,8673.207088096,24496.0
2002-05-10,8821.46703832,8821.46703832,8821.46703832,8821.46703832,43173.0
2002-05-13,8747.337063208,8747.337063208,8747.337063208,8747.337063208,27744.0
2002-05-14,8821.46703832,8821.46703832,8821.46703832,8821.46703832,25308.0
2002-05-15,8821.46703832,8821.46703832,8821.46703832,8821.46703832,41684.0
2002-05-16,8710.272075652,8710.272075652,8710.272075652,8710.272075652,41278.0
2002-05-17,8636.14210054,8636.14210054,8636.14210054,8636.14210054,18541.0
2002-05-20,8636.14210054,8636.14210054,8636.14210054,8636.14210054,39384.0
2002-05-21,8710.272075652,8710.272075652,8710.272075652,8710.272075652,24090.0
2002-05-22,8710.272075652,8710.272075652,8710.272075652,8710.272075652,15022.0
2002-05-23,8673.207088096,8673.207088096,8673.207088096,8673.207088096,8797.0
2002-05-24,8599.077112984,8599.077112984,8599.077112984,8599.077112984,15293.0
2002-05-27,8524.947137872,8524.947137872,8524.947137872,8524.947137872,29504.0
2002-05-28,8524.947137872,8524.947137872,8524.947137872,8524.947137872,23549.0
2002-05-29,8524.947137872,8524.947137872,8524.947137872,8524.947137872,19489.0
2002-05-30,8524.947137872,8524.947137872,8524.947137872,8524.947137872,19759.0
2002-05-31,8599.077112984,8599.077112984,8599.077112984,8599.077112984,7985.0
2002-06-03,8524.947137872,8524.947137872,8524.947137872,8524.947137872,22466.0
2002-06-04,8413.752175205,8413.752175205,8413.752175205,8413.752175205,15834.0
2002-06-05,8339.622200093,8339.622200093,8339.622200093,8339.622200093,7714.0
2002-06-06,8339.622200093,8339.622200093,8339.622200093,8339.622200093,19624.0
2002-06-07,8302.557212537,8302.557212537,8302.557212537,8302.557212537,14616.0
2002-06-10,8265.492224981,8265.492224981,8265.492224981,8265.492224981,5954.0
2002-06-11,8154.297262313,8154.297262313,8154.297262313,8154.297262313,12451.0
2002-06-12,8006.037312089,8006.037312089,8006.037312089,8006.037312089,36542.0
2002-06-13,7857.777361865,7857.777361865,7857.777361865,7857.777361865,26932.0
2002-06-14,7709.517411641,7709.517411641,7709.517411641,7709.517411641,21654.0
2002-06-17,7561.257461417,7561.257461417,7561.257461417,7561.257461417,24361.0
2002-06-18,7412.997511193,7412.997511193,7412.997511193,7412.997511193,29910.0
2002-06-19,7264.73756097,7264.73756097,7264.73756097,7264.73756097,20977.0
2002-06-20,7375.932523637,7375.932523637,7375.932523637,7375.932523637,47098.0
2002-06-21,7487.127486305,7487.127486305,7487.127486305,7487.127486305,135.0
2002-06-24,7635.387436529,7635.387436529,7635.387436529,7635.387436529,135.0
2002-06-25,7783.647386753,7783.647386753,7783.647386753,7783.647386753,2030.0
2002-06-26,7783.647386753,7783.647386753,7783.647386753,7783.647386753,45068.0
2002-06-27,7820.712374309,7820.712374309,7820.712374309,7820.712374309,19624.0
2002-06-28,7820.712374309,7820.712374309,7820.712374309,7820.712374309,20977.0
2002-07-01,7820.712374309,7820.712374309,7820.712374309,7820.712374309,14075.0
2002-07-02,7820.712374309,7820.712374309,7820.712374309,7820.712374309,22331.0
2002-07-03,7783.647386753,7783.647386753,7783.647386753,7783.647386753,14481.0
2002-07-04,7635.387436529,7635.387436529,7635.387436529,7635.387436529,24496.0
2002-07-05,7561.257461417,7561.257461417,7561.257461417,7561.257461417,49128.0
2002-07-08,7561.257461417,7561.257461417,7561.257461417,7561.257461417,8797.0
2002-07-09,7412.997511193,7412.997511193,7412.997511193,7412.997511193,33564.0
2002-07-10,7412.997511193,7412.997511193,7412.997511193,7412.997511193,37489.0
2002-07-11,7450.062498749,7450.062498749,7450.062498749,7450.062498749,37218.0
2002-07-12,7524.192473861,7524.192473861,7524.192473861,7524.192473861,19218.0
2002-07-15,7450.062498749,7450.062498749,7450.062498749,7450.062498749,31128.0
2002-07-16,7487.127486305,7487.127486305,7487.127486305,7487.127486305,15699.0
2002-07-17,7449.118132997,7449.118132997,7449.118132997,7449.118132997,18406.0
2002-07-18,7335.101018717,7335.101018717,7335.101018717,7335.101018717,24226.0
2002-07-19,7221.083904436,7221.083904436,7221.083904436,7221.083904436,33699.0
2002-07-22,7335.101018717,7335.101018717,7335.101018717,7335.101018717,17729.0
2002-07-23,7449.118132997,7449.118132997,7449.118132997,7449.118132997,1488.0
2002-07-24,7563.135247278,7563.135247278,7563.135247278,7563.135247278,19218.0
2002-07-25,7449.118132997,7449.118132997,7449.118132997,7449.118132997,27068.0
2002-07-26,7487.123837758,7487.123837758,7487.123837758,7487.123837758,14752.0
2002-07-29,7411.112428237,7411.112428237,7411.112428237,7411.112428237,7037.0
2002-07-30,7449.118132997,7449.118132997,7449.118132997,7449.118132997,12180.0
2002-07-31,7449.118132997,7449.118132997,7449.118132997,7449.118132997,19489.0
2002-08-01,7449.118132997,7449.118132997,7449.118132997,7449.118132997,11097.0
2002-08-02,7335.101018717,7335.101018717,7335.101018717,7335.101018717,15564.0
2002-08-05,7221.083904436,7221.083904436,7221.083904436,7221.083904436,38436.0
2002-08-06,7221.083904436,7221.083904436,7221.083904436,7221.083904436,29639.0
2002-08-07,7183.078199676,7183.078199676,7183.078199676,7183.078199676,19759.0
2002-08-08,7107.066790156,7107.066790156,7107.066790156,7107.066790156,15834.0
