Date,Price Open,Price Low,Price High,Price Close,Volume
2006-11-28,16754.150755725,15637.20737201,17871.09413944,16530.762078982,123687.0
2006-11-29,17424.316785954,16754.150755725,18094.482816183,17982.788477812,79939.0
2006-11-30,18485.413000483502,18094.482816183,18876.343184784,18429.565831298,10190.0
2006-12-01,18775.8182802495,18563.599037344,18988.037523155,18719.971111064,11595.0
2006-12-04,18719.971111064,17647.705462697,18988.037523155,17647.705462697,24069.0
2006-12-05,17647.705462697,16530.762078982,18094.482816183,16530.762078982,16866.0
2006-12-06,15938.782085613,15570.190768987,16307.373402239,15570.190768987,11595.0
2006-12-07,14732.483231201,14051.147767135,15413.818695267,15413.818695267,23718.0
2006-12-08,15413.818695267,14743.652665038,15860.596048753,15748.901710382,24948.0
2006-12-11,16474.9149097965,16195.679063868,16754.150755725,16754.150755725,20907.0
2006-12-12,17703.552631883,17312.622447583,18094.482816183,17312.622447583,15285.0
2006-12-13,17312.622447583,17312.622447583,17871.09413944,17424.316785954,14055.0
2006-12-14,17424.316785954,17424.316785954,17982.788477812,17871.09413944,75547.0
2006-12-15,17871.09413944,17424.316785954,17871.09413944,17759.399801069,132296.0
2006-12-18,17759.399801069,17424.316785954,17871.09413944,17424.316785954,32327.0
2006-12-19,18094.482816183,17871.09413944,18317.871492926,18317.871492926,53058.0
2006-12-20,18317.871492926,18317.871492926,19211.426199898,19211.426199898,127903.0
2006-12-21,19211.426199898,18742.309978738,19323.12053827,18764.648846412,275485.0
2006-12-22,18764.648846412,17156.250373863,18764.648846412,18317.871492926,15460.0
2006-12-25,18317.871492926,17536.011124326,18988.037523155,18988.037523155,23367.0
2006-12-26,18988.037523155,18764.648846412,19211.426199898,19211.426199898,47261.0
2006-12-27,20272.522414427494,19658.203553384,20886.841275471,20663.452598728,21961.0
2006-12-28,20663.452598728,20551.758260356,21780.395982443,21780.395982443,42868.0
2006-12-29,22752.1367262745,22338.8676743,23165.405778249,23165.405778249,54464.0
2007-01-02,25332.275942657,25332.275942657,25332.275942657,25332.275942657,4919.0
2007-01-03,27856.567989853,27856.567989853,27856.567989853,27856.567989853,13703.0
2007-01-04,30626.587581466,30626.587581466,30626.587581466,30626.587581466,32151.0
2007-01-05,30626.587581466,30604.248713792,33687.012452845,30671.265316814,37773.0
2007-01-08,30671.265316814,29129.883447288,33508.301511451,31274.414744021,170245.0
2007-01-09,31274.414744021,31274.414744021,34401.856218423,33195.55736401,93292.0
2007-01-10,34066.7732033085,33508.301511451,34625.244895166,33508.301511451,40233.0
2007-01-11,33508.301511451,33508.301511451,34625.244895166,33508.301511451,22839.0
2007-01-12,33508.301511451,30671.265316814,34178.46754168,31274.414744021,118592.0
2007-01-15,36490.54034597,36412.35430911,36568.72638283,36412.35430911,183422.0
2007-01-16,36412.35430911,36390.015441435,40187.622946066,36412.35430911,62370.0
2007-01-17,36412.35430911,33441.284908428,36412.35430911,33441.284908428,58856.0
2007-01-18,33441.284908428,31274.414744021,33843.384526565,33843.384526565,175164.0
2007-01-19,33843.384526565,29755.371742168,33955.078864937,32391.358127736,29164.0
2007-01-22,32391.358127736,30827.637390535,33508.301511451,31497.803420764,170421.0
2007-01-23,31497.803420764,31497.803420764,33061.524157965,32279.663789364,115078.0
2007-01-24,30760.620787512,29353.272124031,32167.969450993,29353.272124031,48666.0
2007-01-25,29353.272124031,26672.608003115,29487.305330076,27253.418562646,137566.0
2007-01-26,29543.152499262,27923.584592875,31162.720405649,31162.720405649,96103.0
2007-01-29,31162.720405649,30604.248713792,31743.530965181,31743.530965181,98387.0
2007-01-30,33508.301511451005,32614.746804479,34401.856218423,34401.856218423,171475.0
