Date,Price Open,Price Low,Price High,Price Close,Volume
2006-07-11,3431.336303403,3431.336303403,3431.336303403,3431.336303403,555491.0
2006-07-12,3538.1174406055,3516.863641114,3559.371240097,3482.55027808,953196.0
2006-07-13,3482.55027808,3473.843902385,3482.55027808,3456.943290741,174502.0
2006-07-14,3422.885997581,3414.435691759,3431.336303403,3380.122328725,113737.0
2006-07-17,3286.144685191,3268.988003674,3303.301366708,3226.480404692,194610.0
2006-07-18,3175.266430014,3175.266430014,3175.266430014,3175.266430014,326257.0
2006-07-19,3132.502761159,3115.346079642,3149.659442676,3072.838480659,124168.0
2006-07-20,3175.2664300145,3124.052455337,3226.480404692,3226.480404692,374517.0
2006-07-21,3226.480404692,3175.266430014,3226.480404692,3124.052455337,91429.0
2006-07-24,3064.3881748370004,3055.937869015,3072.838480659,3021.624505981,95200.0
2006-07-25,2940.4503561175,2936.09716827,2944.803543965,2919.196556626,712964.0
2006-07-26,2919.196556626,2884.883193592,2919.196556626,2919.196556626,669606.0
2006-07-27,3042.8783054725,3038.525117625,3047.23149332,3047.23149332,413602.0
2006-07-28,3162.462936345,3149.659442676,3175.266430014,3124.052455337,472419.0
2006-07-31,3124.052455337,3038.525117625,3124.052455337,2996.017518643,303698.0
2006-08-01,2949.1567318125,2927.902932321,2970.410531304,2893.589569287,224710.0
2006-08-02,2978.8608371255,2936.09716827,3021.624505981,3021.624505981,836065.0
2006-08-03,3132.502761159,3115.346079642,3149.659442676,3149.659442676,887027.0
2006-08-04,3260.5376978530003,3243.381016336,3277.69437937,3226.480404692,1036519.0
2006-08-07,3226.480404692,3175.266430014,3226.480404692,3124.052455337,439429.0
2006-08-08,3213.6769110225,3200.873417353,3226.480404692,3200.873417353,208937.0
2006-08-09,3218.03009887,3209.579793048,3226.480404692,3200.873417353,475247.0
2006-08-10,3200.873417353,3200.873417353,3226.480404692,3226.480404692,458092.0
2006-08-11,3294.8510608865,3286.400755065,3303.301366708,3303.301366708,675638.0
2006-08-14,3452.5901028935,3448.236915046,3456.943290741,3456.943290741,688834.0
2006-08-15,3456.943290741,3405.729316064,3456.943290741,3431.336303403,545688.0
2006-08-16,3499.706959597,3491.256653775,3508.157265419,3508.157265419,1002210.0
2006-08-17,3529.4110649105,3525.057877063,3533.764252758,3533.764252758,976383.0
2006-08-18,3533.764252758,3525.057877063,3533.764252758,3508.157265419,630646.0
2006-08-21,3525.3139469360003,3516.863641114,3533.764252758,3533.764252758,699894.0
2006-08-22,3508.157265419,3508.157265419,3508.157265419,3508.157265419,1560592.0
2006-08-23,3546.5677464275,3533.764252758,3559.371240097,3559.371240097,1021815.0
2006-08-24,3704.562858308,3696.112552486,3713.01316413,3713.01316413,1390111.0
2006-08-25,3713.01316413,3696.112552486,3713.01316413,3713.01316413,639946.0
2006-08-28,3772.677444629,3755.520763112,3789.834126146,3789.834126146,634291.0
2006-08-29,3845.4012886715,3824.14748918,3866.655088163,3866.655088163,688520.0
2006-08-30,3935.025744357,3926.575438535,3943.476050179,3892.262075501,583266.0
2006-08-31,3853.8515944935,3841.048100824,3866.655088163,3866.655088163,583957.0
2006-09-01,3960.632731696,3952.182425874,3969.083037518,3969.083037518,430568.0
2006-09-05,4058.7074932035,4045.903999534,4071.510986873,4071.510986873,713907.0
2006-09-06,4088.667668390001,4080.217362568,4097.117974212,4071.510986873,1041798.0
2006-09-07,4037.4536937125,4029.003387891,4045.903999534,4020.297012196,1407266.0
2006-09-08,4045.903999534,4045.903999534,4045.903999534,4045.903999534,633411.0
2006-09-11,4161.1354425595,4148.33194889,4173.938936229,4122.724961551,976760.0
2006-09-12,4088.667668390001,4080.217362568,4097.117974212,4071.510986873,464690.0
2006-09-13,4148.33194889,4122.724961551,4173.938936229,4148.33194889,380675.0
2006-09-14,4148.33194889,4148.33194889,4148.33194889,4148.33194889,670800.0
2006-09-15,4345.6695270105,4336.214322,4355.124732021,4326.472595626,1266070.0
2006-09-18,4355.124732021,4355.124732021,4355.124732021,4355.124732021,389300.0
2006-09-19,4355.124732021,4345.383005646,4355.124732021,4355.124732021,791350.0
2006-09-20,4407.558141623,4402.687278436,4412.42900481,4412.42900481,439451.0
2006-09-21,4412.42900481,4402.687278436,4412.42900481,4383.776868415,255303.0
2006-09-22,4402.9737998,4393.51859479,4412.42900481,4383.776868415,144892.0
2006-09-25,4402.9737998,4393.51859479,4412.42900481,4355.124732021,225594.0
2006-09-26,4402.9737998,4393.51859479,4412.42900481,4412.42900481,333084.0
2006-09-27,4493.514550808,4488.643687621,4498.385413995,4498.385413995,489097.0
2006-09-28,4517.5823453795,4508.127140369,4527.03755039,4527.03755039,396657.0
2006-09-29,4550.818823597499,4545.94796041,4555.689686785,4527.03755039,285798.0
2006-10-02,4570.0157549825,4555.689686785,4584.34182318,4584.34182318,281080.0
2006-10-03,4636.775232782,4631.904369595,4641.646095969,4641.646095969,262098.0
2006-10-04,4660.843027354,4651.387822344,4670.298232364,4670.298232364,364141.0
2006-10-05,4670.298232364,4622.735685949,4670.298232364,4527.03755039,377619.0
2006-10-06,4579.4709599925,4574.600096805,4584.34182318,4555.689686785,187742.0
2006-10-09,4603.538754564,4594.083549554,4612.993959574,4584.34182318,229188.0
2006-10-10,4584.34182318,4545.94796041,4584.34182318,4527.03755039,379135.0
2006-10-11,4579.4709599925,4574.600096805,4584.34182318,4584.34182318,111309.0
2006-10-12,4584.34182318,4584.34182318,4584.34182318,4584.34182318,182519.0
2006-10-13,4608.123096387,4603.2522332,4612.993959574,4612.993959574,294727.0
2006-10-16,4612.993959574,4603.2522332,4612.993959574,4612.993959574,217900.0
2006-10-17,4574.886618169499,4565.431413159,4584.34182318,4555.689686785,453098.0
2006-10-18,4555.689686785,4555.689686785,4584.34182318,4584.34182318,427714.0
2006-10-19,4622.4491645845,4603.2522332,4641.646095969,4641.646095969,353863.0
2006-10-20,4689.4951637485,4680.039958738,4698.950368759,4670.298232364,279845.0
2006-10-23,4670.298232364,4670.298232364,4670.298232364,4670.298232364,116307.0
2006-10-24,4670.298232364,4651.387822344,4670.298232364,4641.646095969,199311.0
2006-10-25,4641.646095969,4622.735685949,4641.646095969,4641.646095969,150003.0
2006-10-26,4641.646095969,4641.646095969,4641.646095969,4641.646095969,200771.0
2006-10-27,4660.843027354,4651.387822344,4670.298232364,4641.646095969,281866.0
2006-10-30,4679.7534373745,4660.55650599,4698.950368759,4641.646095969,523635.0
2006-10-31,4641.646095969,4622.735685949,4641.646095969,4641.646095969,226156.0
2006-11-01,4660.843027354,4651.387822344,4670.298232364,4641.646095969,228739.0
2006-11-02,4641.646095969,4612.993959574,4641.646095969,4584.34182318,247665.0
2006-11-03,4603.538754564,4594.083549554,4612.993959574,4612.993959574,148149.0
2006-11-06,4684.6243005615,4670.298232364,4698.950368759,4698.950368759,598103.0
2006-11-07,4775.4515729335,4765.996367923,4784.906777944,4784.906777944,538405.0
2006-11-08,4947.3643913025,4909.257049897,4985.471732708,4985.471732708,721599.0
2006-11-09,5190.907550659,5167.126277451,5214.688823867,5214.688823867,557556.0
