Date,Price Open,Price Low,Price High,Price Close,Volume
2020-10-12,8211.583684615,8211.583684615,8211.583684615,8211.583684615,509347.0
2020-10-13,9032.742053076,9032.742053076,9032.742053076,9032.742053076,386234.0
2020-10-14,9917.066449881,8843.243968047,9917.066449881,8843.243968047,611337.0
2020-10-15,8369.498755473,8053.668613757,8369.498755473,8211.583684615,394463.0
2020-10-16,8180.000670443,7674.672443698,8211.583684615,7832.587514556,301444.0
2020-10-19,7832.587514556,7516.75737284,7864.170528727,7516.75737284,273985.0
2020-10-20,7516.75737284,7295.676273639,7516.75737284,7453.591344497,440247.0
2020-10-21,7453.591344497,7422.008330325,7611.506415355,7548.340387011,400718.0
2020-10-22,7548.340387011,7485.174358668,7643.089429526,7548.340387011,294202.0
2020-10-23,7548.340387011,7516.75737284,7674.672443698,7643.089429526,392028.0
2020-10-26,7643.089429526,7643.089429526,7737.838472041,7737.838472041,301534.0
2020-10-27,7737.838472041,7643.089429526,7832.587514556,7801.004500384,372957.0
2020-10-28,7737.838472041,7579.923401183,7769.421486212,7579.923401183,361793.0
2020-10-29,7579.923401183,7390.425316153,7579.923401183,7453.591344497,301444.0
2020-10-30,7422.008330325,7358.842301982,7485.174358668,7453.591344497,271269.0
2020-11-02,7485.174358668,7390.425316153,7548.340387011,7422.008330325,298124.0
2020-11-03,7422.008330325,7264.093259467,7516.75737284,7485.174358668,437833.0
2020-11-04,7453.591344497,7295.676273639,7895.753542899,7895.753542899,617978.0
2020-11-05,7958.919571242,7864.170528727,8337.915741301,8306.33272713,754063.0
2020-11-06,8337.915741301,8337.915741301,8811.660953875,8748.494925532,816617.0
2020-11-09,8843.243968047,8622.162868846,8843.243968047,8716.91191136,634013.0
2020-11-10,8843.243968047,8716.91191136,9159.074109763,9159.074109763,573618.0
2020-11-11,9253.823152277,9032.742053076,9253.823152277,9064.325067248,486203.0
2020-11-12,9127.491095591,8969.576024733,9159.074109763,9064.325067248,617372.0
2020-11-13,9127.491095591,9032.742053076,9380.155208964,9348.572194792,690394.0
2020-11-16,9380.155208964,9316.989180621,9664.402336508,9601.236308165,761606.0
2020-11-17,9727.568364851,9601.236308165,9917.066449881,9885.483435709,603190.0
2020-11-18,9948.649464053,9853.900421538,10074.981520739,9980.232478224,626795.0
2020-11-19,9980.232478224,9885.483435709,10011.815492396,9885.483435709,509347.0
2020-11-20,9917.066449881,9822.317407366,9948.649464053,9917.066449881,709102.0
2020-11-23,9948.649464053,9790.734393195,9980.232478224,9822.317407366,670886.0
2020-11-24,9790.734393195,9695.98535068,9885.483435709,9727.568364851,502708.0
2020-11-25,9664.402336508,9664.402336508,9790.734393195,9759.151379023,433910.0
2020-11-26,9664.402336508,9569.653293993,9790.734393195,9601.236308165,361793.0
2020-11-27,9601.236308165,9506.48726565,9917.066449881,9885.483435709,803549.0
2020-11-30,9917.066449881,9885.483435709,10043.398506567,10011.815492396,726905.0
2020-12-01,10011.815492396,9917.066449881,10169.730563254,10169.730563254,637525.0
2020-12-02,10169.730563254,10169.730563254,10232.896591597,10232.896591597,557324.0
2020-12-03,10232.896591597,9948.649464053,10422.394676627,10422.394676627,689489.0
2020-12-04,10422.394676627,10359.228648283,10485.56070497,10359.228648283,699145.0
2020-12-07,10359.228648283,10296.06261994,10580.309747484,10548.726733313,781265.0
2020-12-08,10548.726733313,10453.977690798,10580.309747484,10453.977690798,272506.0
2020-12-09,10453.977690798,10390.811662455,10548.726733313,10517.143719141,304159.0
2020-12-10,10517.143558819,10453.01463468,10549.208020889,10517.143558819,324980.0
2020-12-11,10517.143558819,10517.143558819,11414.948496767,10741.594793306,1005764.0
2020-12-14,10741.594793306,10709.530331236,10773.659255376,10741.594793306,201065.0
2020-12-15,10741.594793306,10709.530331236,10805.723717445,10709.530331236,210920.0
2020-12-16,10677.465869167,10645.401407097,10741.594793306,10741.594793306,155399.0
2020-12-17,10741.594793306,10709.530331236,10805.723717445,10773.659255376,238379.0
2020-12-18,10773.659255376,10773.659255376,10966.046027793,10966.046027793,323486.0
2020-12-21,10966.046027793,10837.788179515,11030.174951932,11030.174951932,400416.0
2020-12-22,11030.174951932,10773.659255376,11062.239414002,10773.659255376,603491.0
2020-12-23,10773.659255376,10773.659255376,10869.852641584,10837.788179515,323531.0
2020-12-24,10805.723717445,10741.594793306,10837.788179515,10773.659255376,313815.0
2020-12-25,10773.659255376,10773.659255376,10869.852641584,10869.852641584,178633.0
2020-12-28,10869.852641584,10805.723717445,10869.852641584,10837.788179515,93858.0
2020-12-29,10837.788179515,10837.788179515,10901.917103654,10837.788179515,153890.0
2020-12-30,10837.788179515,10741.594793306,10869.852641584,10805.723717445,176521.0
2020-12-31,10805.723717445,10805.723717445,10933.981565723,10901.917103654,311824.0
2021-01-04,10966.046027793,10901.917103654,11062.239414002,11062.239414002,207601.0
2021-01-05,11062.239414002,11062.239414002,11318.755110558,11286.690648489,371147.0
2021-01-06,11190.49726228,11158.43280021,11479.077420906,11350.819572628,741766.0
2021-01-07,11350.819572628,11222.56172435,11382.884034697,11254.626186419,675307.0
2021-01-08,11286.690648489,11254.626186419,11479.077420906,11414.948496767,375975.0
2021-01-11,11414.948496767,11382.884034697,11511.141882976,11447.012958837,358474.0
2021-01-12,11447.012958837,11190.49726228,11447.012958837,11254.626186419,312608.0
2021-01-13,11222.56172435,10901.917103654,11286.690648489,10966.046027793,279114.0
2021-01-14,10966.046027793,10709.530331236,11030.174951932,10741.594793306,191005.0
2021-01-15,10741.594793306,10677.465869167,10805.723717445,10741.594793306,158114.0
2021-01-18,10741.594793306,10485.079096749,10773.659255376,10485.079096749,165356.0
2021-01-19,10420.95017261,9459.016310523,10420.95017261,9619.338620871,149665.0
2021-01-20,8881.855993271,8753.598144993,8881.855993271,8753.598144993,351865.0
2021-01-21,8336.760138088,8176.43782774,8497.082448436,8176.43782774,225796.0
2021-01-22,8497.082448436,8112.308903601,8529.146910506,8336.760138088,291637.0
2021-01-25,8336.760138088,7759.599820836,8336.760138088,7759.599820836,152713.0
2021-01-26,7695.470896697,7214.503965653,8112.308903601,8112.308903601,199755.0
2021-01-27,7759.599820836,7695.470896697,8016.115517393,7727.535358766,119189.0
2021-01-28,7727.535358766,6957.988269097,7727.535358766,6957.988269097,139708.0
2021-01-29,6733.53703461,6284.634565636,7567.213048419,7374.826276001,764624.0
2021-02-01,7374.826276001,7054.181655305,7406.890738071,7342.761813932,451411.0
2021-02-02,7214.503965653,6861.794882888,7438.95520014,7246.568427723,298728.0
2021-02-03,7182.439503584,7150.375041514,7951.986593253,7951.986593253,624614.0
2021-02-04,8144.373365671,8144.373365671,8721.533682923,8721.533682923,410676.0
2021-02-05,8817.727069132,8817.727069132,9587.274158801,9587.274158801,867519.0
2021-02-08,9779.660931219,8978.04937948,9939.983241567,9394.887386384,478568.0
2021-02-09,9394.887386384,9138.371689827,10324.756786402,10324.756786402,534995.0
2021-02-17,10324.756786402,10100.305551915,10901.917103654,10453.01463468,315324.0
2021-02-18,10549.208020889,10036.176627775,10645.401407097,10388.885710541,702766.0
2021-02-19,10388.885710541,10196.498938123,10420.95017261,10388.885710541,466499.0
2021-02-22,10196.498938123,10164.434476054,10388.885710541,10228.563400193,701559.0
2021-02-23,10228.563400193,9779.660931219,11222.56172435,11222.56172435,1479188.0
2021-02-24,11286.690648489,11286.690648489,12344.817896784,12344.817896784,833120.0
2021-02-25,12665.46251748,12120.366662297,12921.978214037,12344.817896784,1933889.0
2021-02-26,12184.495586437,11479.077420906,12280.688972645,12024.173276089,888973.0
2021-03-01,11543.206345045,11543.206345045,12152.431124367,12024.173276089,986407.0
2021-03-02,11639.399731254,11543.206345045,12793.720365758,12761.655903689,1080853.0
2021-03-03,12825.784827828,12569.269131271,13306.751758872,13274.687296802,519606.0
2021-03-04,13338.816220941,12505.140207132,13402.94514508,12825.784827828,540426.0
2021-03-05,12408.946820924,12344.817896784,13627.396379567,13467.074069219,1055205.0
2021-03-08,13467.074069219,13467.074069219,14685.523627863,14044.234386472,602284.0
2021-03-09,13723.589765776,13178.493910593,14685.523627863,13787.718689915,1246663.0
2021-03-10,13787.718689915,13178.493910593,14108.363310611,13627.396379567,963474.0
2021-03-11,13787.718689915,13242.622834732,13819.783151985,13467.074069219,750442.0
2021-03-12,13306.751758872,12889.913751967,14749.652552002,14589.330241654,1740231.0
2021-03-15,14557.265779585,14172.49223475,15038.232710628,14909.97486235,626122.0
2021-03-16,14942.03932442,14461.072393376,15166.490558907,14749.652552002,574309.0
2021-03-17,14749.652552002,13627.396379567,14845.845938211,13787.718689915,2849386.0
2021-03-18,13819.783151985,13242.622834732,14717.588089933,14268.685620959,898297.0
2021-03-19,14589.330241654,13915.976538193,14685.523627863,14429.007931307,625820.0
2021-03-22,14429.007931307,13723.589765776,14589.330241654,13755.654227846,699748.0
2021-03-23,13723.589765776,13146.429448524,14429.007931307,13723.589765776,585990.0
2021-03-24,13723.589765776,13274.687296802,13948.041000263,13627.396379567,526546.0
2021-03-25,13306.751758872,13274.687296802,13787.718689915,13467.074069219,315927.0
