Date,Price Open,Price Low,Price High,Price Close,Volume
2002-04-11,4541.035307767,4541.035307767,4541.035307767,4541.035307767,46200.0
2002-04-12,4450.214601612,4450.214601612,4450.214601612,4450.214601612,15800.0
2002-04-15,4377.558036688,4377.558036688,4377.558036688,4377.558036688,600.0
2002-04-16,4304.901471763,4304.901471763,4304.901471763,4304.901471763,100.0
2002-04-17,4232.244906839,4232.244906839,4232.244906839,4232.244906839,500.0
2002-04-18,4195.916624377,4195.916624377,4195.916624377,4195.916624377,25800.0
2002-04-19,4268.573189301,4268.573189301,4268.573189301,4268.573189301,20500.0
2002-04-22,4268.573189301,4268.573189301,4268.573189301,4268.573189301,15400.0
2002-04-23,4268.573189301,4268.573189301,4268.573189301,4268.573189301,26300.0
2002-04-24,4323.065612994,4323.065612994,4323.065612994,4323.065612994,29800.0
2002-04-25,4395.722177919,4395.722177919,4395.722177919,4395.722177919,12400.0
2002-04-26,4450.214601612,4450.214601612,4450.214601612,4450.214601612,15000.0
2002-05-02,4468.378742843,4468.378742843,4468.378742843,4468.378742843,17700.0
2002-05-03,4522.871166536,4522.871166536,4522.871166536,4522.871166536,8500.0
2002-05-06,4541.035307767,4541.035307767,4541.035307767,4541.035307767,15800.0
2002-05-07,4450.214601612,4450.214601612,4450.214601612,4450.214601612,6700.0
2002-05-08,4377.558036688,4377.558036688,4377.558036688,4377.558036688,4800.0
2002-05-09,4450.214601612,4450.214601612,4450.214601612,4450.214601612,2500.0
2002-05-10,4522.871166536,4522.871166536,4522.871166536,4522.871166536,14900.0
2002-05-13,4450.214601612,4450.214601612,4450.214601612,4450.214601612,10600.0
2002-05-14,4450.214601612,4450.214601612,4450.214601612,4450.214601612,3000.0
2002-05-15,4450.214601612,4450.214601612,4450.214601612,4450.214601612,2900.0
2002-05-16,4450.214601612,4450.214601612,4450.214601612,4450.214601612,6000.0
2002-05-17,4450.214601612,4450.214601612,4450.214601612,4450.214601612,2800.0
2002-05-20,4450.214601612,4450.214601612,4450.214601612,4450.214601612,1100.0
2002-05-21,4450.214601612,4450.214601612,4450.214601612,4450.214601612,7000.0
2002-05-22,4413.88631915,4413.88631915,4413.88631915,4413.88631915,4000.0
2002-05-23,4450.214601612,4450.214601612,4450.214601612,4450.214601612,1700.0
2002-05-24,4450.214601612,4450.214601612,4450.214601612,4450.214601612,3100.0
2002-05-27,4395.722177919,4395.722177919,4395.722177919,4395.722177919,2600.0
2002-05-28,4395.722177919,4395.722177919,4395.722177919,4395.722177919,3600.0
2002-05-29,4341.229754226,4341.229754226,4341.229754226,4341.229754226,6600.0
2002-05-30,4323.065612994,4323.065612994,4323.065612994,4323.065612994,2700.0
2002-05-31,4395.722177919,4395.722177919,4395.722177919,4395.722177919,1900.0
2002-06-03,4395.722177919,4395.722177919,4395.722177919,4395.722177919,2200.0
2002-06-04,4341.229754226,4341.229754226,4341.229754226,4341.229754226,300.0
2002-06-05,4304.901471763,4304.901471763,4304.901471763,4304.901471763,5100.0
2002-06-06,4341.229754226,4341.229754226,4341.229754226,4341.229754226,300.0
2002-06-07,4323.065612994,4323.065612994,4323.065612994,4323.065612994,1500.0
2002-06-10,4341.229754226,4341.229754226,4341.229754226,4341.229754226,200.0
2002-06-11,4286.737330532,4286.737330532,4286.737330532,4286.737330532,2000.0
2002-06-12,4268.573189301,4268.573189301,4268.573189301,4268.573189301,1100.0
2002-06-13,4195.916624377,4195.916624377,4195.916624377,4195.916624377,2000.0
2002-06-14,4177.752483146,4177.752483146,4177.752483146,4177.752483146,100.0
2002-06-17,4105.095918222,4105.095918222,4105.095918222,4105.095918222,2000.0
2002-06-18,4050.603494528,4050.603494528,4050.603494528,4050.603494528,1100.0
2002-06-19,3977.946929604,3977.946929604,3977.946929604,3977.946929604,200.0
2002-06-20,3923.454505911,3923.454505911,3923.454505911,3923.454505911,2700.0
2002-06-21,3996.111070835,3996.111070835,3996.111070835,3996.111070835,100.0
2002-06-24,4068.767635759,4068.767635759,4068.767635759,4068.767635759,100.0
2002-06-25,4141.424200684,4141.424200684,4141.424200684,4141.424200684,100.0
2002-06-26,4141.424200684,4141.424200684,4141.424200684,4141.424200684,3000.0
2002-06-27,4105.095918222,4105.095918222,4105.095918222,4105.095918222,4000.0
2002-06-28,4159.588341915,4159.588341915,4159.588341915,4159.588341915,3000.0
2002-07-01,4232.244906839,4232.244906839,4232.244906839,4232.244906839,5600.0
2002-07-02,4232.244906839,4232.244906839,4232.244906839,4232.244906839,2500.0
2002-07-03,4147.788371972,4147.788371972,4147.788371972,4147.788371972,1700.0
2002-07-04,4072.715279266,4072.715279266,4072.715279266,4072.715279266,2400.0
2002-07-05,4147.788371972,4147.788371972,4147.788371972,4147.788371972,2300.0
2002-07-08,4147.788371972,4147.788371972,4147.788371972,4147.788371972,100.0
2002-07-09,4072.715279266,4072.715279266,4072.715279266,4072.715279266,600.0
2002-07-10,3997.642186561,3997.642186561,3997.642186561,3997.642186561,100.0
2002-07-11,3997.642186561,3997.642186561,3997.642186561,3997.642186561,1000.0
2002-07-12,3997.642186561,3997.642186561,3997.642186561,3997.642186561,1500.0
2002-07-15,3960.105640208,3960.105640208,3960.105640208,3960.105640208,2600.0
2002-07-16,3922.569093856,3922.569093856,3922.569093856,3922.569093856,2000.0
