Date,Price Open,Price Low,Price High,Price Close,Volume
2008-12-18,3548.677007732,3548.677007732,3548.677007732,3548.677007732,100.0
2008-12-19,3776.806243943,3776.806243943,3776.806243943,3776.806243943,100.0
2008-12-23,3878.197015593,3878.197015593,3878.197015593,3878.197015593,100.0
2008-12-25,3928.892401417,3928.892401417,3928.892401417,3928.892401417,100.0
2008-12-29,3928.892401417,3928.892401417,3928.892401417,3928.892401417,200.0
2009-01-07,4182.369330541,4182.369330541,4182.369330541,4182.369330541,100.0
2009-01-13,3936.346447466,3936.346447466,3936.346447466,3936.346447466,100.0
2009-02-02,4209.703839651,4209.703839651,4209.703839651,4209.703839651,100.0
2009-03-24,4483.061231836,4483.061231836,4483.061231836,4483.061231836,100.0
2009-04-13,4182.368100433,4182.368100433,4182.368100433,4182.368100433,3000.0
2009-04-17,3909.010708248,3909.010708248,3909.010708248,3909.010708248,700.0
2009-04-23,4155.032361214,4155.032361214,4155.032361214,4155.032361214,100.0
2009-05-04,3991.017925903,3881.674969029,4100.360882777,3881.674969029,3200.0
2009-05-05,3785.999881764,3744.996272936,3827.003490592,3827.003490592,1200.0
2009-05-06,3580.981837625,3580.981837625,3580.981837625,3580.981837625,100.0
2009-05-07,3334.960184659,3334.960184659,3334.960184659,3334.960184659,1100.0
2009-05-08,3526.310359188,3526.310359188,3526.310359188,3526.310359188,600.0
2009-05-13,3293.956575831,3280.288706222,3307.62444544,3280.288706222,800.0
2009-05-14,3102.6064013015,3061.602792474,3143.610010129,3061.602792474,4100.0
2009-05-15,3088.938531692,3088.938531692,3088.938531692,3088.938531692,2000.0
2009-05-18,3280.288706222,3280.288706222,3280.288706222,3280.288706222,1800.0
2009-05-19,3375.9637934865,3334.960184659,3416.967402314,3389.631663096,4300.0
2009-05-20,3498.9746199695,3416.967402314,3580.981837625,3444.303141533,2000.0
2009-05-21,3471.638880751,3471.638880751,3471.638880751,3471.638880751,1000.0
2009-05-22,3471.638880751,3416.967402314,3608.317576844,3416.967402314,4400.0
2009-05-25,3416.967402314,3389.631663096,3471.638880751,3471.638880751,5200.0
2009-05-26,3635.653316062,3635.653316062,3635.653316062,3635.653316062,100.0
2009-05-27,3635.653316062,3416.967402314,3635.653316062,3635.653316062,1200.0
2009-05-28,3635.653316062,3307.62444544,3772.332012155,3307.62444544,300.0
2009-05-29,3649.3211856715,3471.638880751,3827.003490592,3827.003490592,2500.0
2009-06-01,3827.003490592,3772.332012155,3909.010708248,3909.010708248,7600.0
2009-06-02,3909.010708248,3909.010708248,4182.368100433,4182.368100433,15200.0
2009-06-03,4305.378926916001,4291.711057307,4319.046796525,4319.046796525,6100.0
2009-06-04,4319.046796525,4237.03957887,4319.046796525,4237.03957887,200.0
2009-06-05,4442.0576230085,4319.046796525,4565.068449492,4373.718274962,19600.0
2009-06-08,4674.411406366,4619.739927929,4729.082884803,4729.082884803,17300.0
2009-06-09,4947.7687985515,4865.761580896,5029.776016207,4865.761580896,700.0
2009-06-10,4865.761580896,4647.075667147,4920.433059333,4701.747145584,12900.0
2009-06-11,4701.747145584,4592.40418871,4701.747145584,4592.40418871,4700.0
2009-06-12,4592.40418871,4319.046796525,4647.075667147,4319.046796525,9000.0
2009-06-15,4319.046796525,4100.360882777,4319.046796525,4100.360882777,8000.0
2009-06-16,4032.021534731,4018.353665122,4045.68940434,4018.353665122,8300.0
2009-06-17,3758.6641425455,3744.996272936,3772.332012155,3744.996272936,6700.0
2009-06-18,3991.017925903,3991.017925903,3991.017925903,3991.017925903,100.0
2009-06-19,4100.360882777,4100.360882777,4100.360882777,4100.360882777,700.0
2009-06-22,3827.003490592,3827.003490592,3827.003490592,3827.003490592,10600.0
2009-06-23,3827.003490592,3580.981837625,3827.003490592,3580.981837625,2300.0
2009-06-24,3909.010708248,3909.010708248,3909.010708248,3909.010708248,100.0
2009-06-25,3731.328403327501,3662.989055281,3799.667751374,3662.989055281,1100.0
2009-06-26,3444.303141533,3444.303141533,3444.303141533,3444.303141533,200.0
2009-06-29,3498.97461997,3498.97461997,3498.97461997,3498.97461997,300.0
2009-06-30,3498.97461997,3498.97461997,3498.97461997,3498.97461997,200.0
2009-07-01,3416.967402314,3416.967402314,3416.967402314,3416.967402314,100.0
2009-07-02,3498.97461997,3498.97461997,3498.97461997,3498.97461997,100.0
2009-07-03,3498.97461997,3416.967402314,3635.653316062,3635.653316062,1000.0
2009-07-06,3635.653316062,3608.317576844,3799.667751374,3608.317576844,200.0
2009-07-07,3690.324794499,3690.324794499,3690.324794499,3690.324794499,1600.0
2009-07-08,3690.324794499,3498.97461997,3690.324794499,3690.324794499,2600.0
2009-07-09,3690.324794499,3690.324794499,3690.324794499,3690.324794499,400.0
2009-07-13,3553.646098407,3553.646098407,3553.646098407,3553.646098407,1500.0
2009-07-14,3580.981837625,3580.981837625,3580.981837625,3580.981837625,100.0
