Date,Price Open,Price Low,Price High,Price Close,Volume
2017-07-20,13205.927914805,13205.927914805,13205.927914805,13205.927914805,2279.0
2017-07-21,14129.957856365,14129.957856365,14129.957856365,14129.957856365,11411.0
2017-07-24,15092.489045491,15092.489045491,15092.489045491,15092.489045491,11.0
2017-07-25,16132.022729747,16132.022729747,16132.022729747,16132.022729747,11.0
2017-07-26,17248.558909133,17248.558909133,17248.558909133,17248.558909133,6862.0
2017-07-27,18442.097583649,17479.566394523,18442.097583649,18442.097583649,1230025.0
2017-07-28,19712.638753295,19481.631267904,19712.638753295,19712.638753295,410399.0
2017-07-31,21060.182418071,21060.182418071,21060.182418071,21060.182418071,250799.0
2017-08-01,22523.229825542,22523.229825542,22523.229825542,22523.229825542,628744.0
2017-08-02,24063.279728143,21560.698636416,24063.279728143,22330.723587717,801476.0
2017-08-03,22330.723587717,20790.673685115,22330.723587717,20790.673685115,403537.0
2017-08-04,21560.698636416,20790.673685115,22215.219845021,22176.718597456,221524.0
2017-08-07,23023.746043887,21714.703626676,23023.746043887,22176.718597456,142180.0
2017-08-08,21560.698636416,20867.676180245,21714.703626676,20867.676180245,279368.0
2017-08-09,20790.673685115,19443.130020339,21329.691151026,21329.691151026,769887.0
2017-08-10,21329.691151026,19943.646238685,21329.691151026,20097.651228945,98666.0
2017-08-11,19250.623782514,19250.623782514,20790.673685115,20790.673685115,174305.0
2017-08-14,20790.673685115,19712.638753295,20983.179922941,20367.1599619,184018.0
2017-08-15,20097.651228945,18942.613801994,20097.651228945,19404.628772774,445945.0
2017-08-16,19866.643743555,19327.626277644,19866.643743555,19635.636258165,121637.0
2017-08-17,19635.636258165,19481.631267904,19789.641248425,19481.631267904,91325.0
2017-08-18,19481.631267904,19096.618792254,19481.631267904,19250.623782514,76379.0
2017-08-21,19212.122534949,19173.621287384,19828.14249599,19789.641248425,155017.0
2017-08-22,19789.641248425,19366.127525209,19789.641248425,19558.633763034,19334.0
2017-08-23,19250.623782514,19250.623782514,19558.633763034,19404.628772774,44368.0
2017-08-24,19404.628772774,19173.621287384,19404.628772774,19250.623782514,26003.0
2017-08-25,19250.623782514,19250.623782514,19712.638753295,19558.633763034,180541.0
2017-08-28,19327.626277644,19173.621287384,19905.14499112,19866.643743555,183881.0
2017-08-29,20020.648733815,19481.631267904,20020.648733815,19866.643743555,70942.0
2017-08-30,19789.641248425,19250.623782514,19789.641248425,19481.631267904,130997.0
2017-08-31,19366.127525209,19019.616297124,19674.13750573,19250.623782514,257126.0
2017-09-01,19250.623782514,19173.621287384,19674.13750573,19635.636258165,183631.0
2017-09-05,19982.14748625,19404.628772774,19982.14748625,19635.636258165,144654.0
2017-09-06,19289.125030079,19250.623782514,19481.631267904,19327.626277644,594373.0
2017-09-07,19404.628772774,19250.623782514,19481.631267904,19481.631267904,196547.0
2017-09-08,19558.633763034,19520.132515469,20328.658714335,19943.646238685,289309.0
2017-09-11,20405.661209465,19635.636258165,20713.671189985,20020.648733815,365335.0
2017-09-12,19520.132515469,19520.132515469,20251.656219205,20020.648733815,550369.0
2017-09-13,20598.16744729,19789.641248425,20790.673685115,20405.661209465,667903.0
2017-09-14,20944.678675375,20636.668694855,21560.698636416,20867.676180245,692789.0
2017-09-15,21175.686160766,20675.16994242,21368.192398591,20675.16994242,793576.0
2017-09-18,20675.16994242,20251.656219205,20829.17493268,20405.661209465,542366.0
2017-09-19,20251.656219205,19943.646238685,20405.661209465,20020.648733815,1184231.0
2017-09-20,20020.648733815,19404.628772774,20020.648733815,19404.628772774,1374691.0
2017-09-21,19404.628772774,19404.628772774,19712.638753295,19635.636258165,1260554.0
2017-09-22,20174.653724075,20174.653724075,20983.179922941,20983.179922941,1105685.0
2017-09-25,21560.698636416,20944.678675375,21868.708616936,21098.683665636,305554.0
2017-09-26,21098.683665636,20521.16495216,21098.683665636,20790.673685115,396138.0
2017-09-27,20790.673685115,20636.668694855,20983.179922941,20867.676180245,242740.0
2017-09-28,21021.681170506,20752.17243755,21021.681170506,20790.673685115,455464.0
2017-09-29,20944.678675375,20328.658714335,20983.179922941,20713.671189985,166496.0
2017-10-02,20867.676180245,20251.656219205,20867.676180245,20405.661209465,200890.0
2017-10-03,20405.661209465,19905.14499112,20405.661209465,20020.648733815,258871.0
2017-10-04,20251.656219205,20020.648733815,20328.658714335,20136.15247651,64934.0
2017-10-05,20713.671189985,20097.651228945,20713.671189985,20097.651228945,155849.0
2017-10-06,19943.646238685,19866.643743555,20213.15497164,19982.14748625,153751.0
2017-10-09,20405.661209465,19789.641248425,20405.661209465,19982.14748625,117328.0
2017-10-10,20020.648733815,19789.641248425,20020.648733815,19982.14748625,161777.0
2017-10-11,19789.641248425,19789.641248425,19982.14748625,19982.14748625,122276.0
2017-10-12,19982.14748625,19866.643743555,20790.673685115,20790.673685115,280234.0
2017-10-13,20790.673685115,20482.663704595,21175.686160766,20983.179922941,396662.0
2017-10-16,20790.673685115,20790.673685115,21021.681170506,20906.17742781,363032.0
2017-10-17,20906.17742781,20521.16495216,20906.17742781,20521.16495216,248907.0
2017-10-18,20521.16495216,20405.661209465,20790.673685115,20405.661209465,92556.0
2017-10-19,20097.651228945,20059.14998138,20636.668694855,20482.663704595,143503.0
2017-10-20,20521.16495216,20251.656219205,20675.16994242,20251.656219205,210797.0
2017-10-23,20020.648733815,19558.633763034,20020.648733815,19558.633763034,930388.0
2017-10-24,19404.628772774,18865.611306864,19712.638753295,19327.626277644,723432.0
2017-10-25,19635.636258165,19635.636258165,20559.666199725,20097.651228945,1037251.0
2017-10-26,20251.656219205,20020.648733815,20290.15746677,20020.648733815,566568.0
2017-10-27,20020.648733815,19712.638753295,20097.651228945,19712.638753295,348805.0
2017-10-30,19712.638753295,19481.631267904,19712.638753295,19712.638753295,249648.0
2017-10-31,19558.633763034,19404.628772774,19712.638753295,19481.631267904,163544.0
2017-11-01,19635.636258165,19520.132515469,19789.641248425,19674.13750573,162392.0
2017-11-02,19712.638753295,18326.593840954,19712.638753295,19250.623782514,351598.0
2017-11-03,19250.623782514,19019.616297124,19404.628772774,19250.623782514,317546.0
2017-11-06,19250.623782514,19250.623782514,19404.628772774,19250.623782514,71078.0
2017-11-07,19250.623782514,19250.623782514,19712.638753295,19635.636258165,139079.0
2017-11-08,19558.633763034,19250.623782514,19558.633763034,19289.125030079,283529.0
2017-11-09,19327.626277644,19250.623782514,19520.132515469,19481.631267904,102873.0
2017-11-10,19520.132515469,19250.623782514,19520.132515469,19289.125030079,308301.0
2017-11-13,19212.122534949,18865.611306864,19289.125030079,18865.611306864,185933.0
2017-11-14,18865.611306864,18557.601326344,19481.631267904,18904.112554429,641500.0
2017-11-15,18981.115049559,18981.115049559,19250.623782514,19096.618792254,456193.0
2017-11-16,19019.616297124,19019.616297124,19712.638753295,19597.135010599,290050.0
2017-11-17,19597.135010599,19289.125030079,19674.13750573,19289.125030079,303456.0
2017-11-20,19289.124252292,19172.456162056,19600.239159587,19172.456162056,181180.0
2017-11-21,19405.792342528,19016.898708409,19444.681705939,19055.788071821,112506.0
2017-11-22,19055.788071821,19055.788071821,19444.681705939,19289.124252292,237929.0
2017-11-23,19678.017886411,19133.566798644,19678.017886411,19444.681705939,246456.0
2017-11-24,19444.681705939,19133.566798644,19444.681705939,19211.345525468,151950.0
2017-11-27,19211.345525468,18978.009344997,19289.124252292,19055.788071821,102428.0
2017-11-28,19133.566798644,18589.115710878,19366.902979116,19055.788071821,370180.0
2017-11-29,19055.788071821,17733.549715817,19055.788071821,17772.439079229,669202.0
2017-11-30,18161.332713347,17616.881625581,18161.332713347,17927.996532876,181419.0
2017-12-01,17927.996532876,17811.328442641,18550.226347466,18511.336984054,272779.0
2017-12-04,18511.336984054,18044.664623112,18783.562527938,18511.336984054,388318.0
2017-12-05,18511.336984054,18200.222076759,18511.336984054,18433.558257231,139068.0
2017-12-06,18511.336984054,18083.553986524,18511.336984054,18200.222076759,164239.0
2017-12-07,18278.000803583,17927.996532876,18394.668893819,18200.222076759,106703.0
2017-12-08,18200.222076759,17772.439079229,18200.222076759,17889.107169464,529324.0
2017-12-11,17889.107169464,17733.549715817,17889.107169464,17733.549715817,218070.0
2017-12-12,17733.549715817,16839.094357344,17733.549715817,17111.319901227,159964.0
2017-12-13,16800.204993932,16722.426267108,17111.319901227,17111.319901227,303262.0
2017-12-14,17111.319901227,16333.532632989,17189.098628051,16333.532632989,414207.0
2017-12-15,16333.532632989,16333.532632989,17461.324171934,17461.324171934,564049.0
2017-12-18,17889.107169464,17500.213535346,17889.107169464,17889.107169464,214456.0
2017-12-19,17811.328442641,17500.213535346,17811.328442641,17500.213535346,141371.0
2017-12-20,17694.660352405,17422.434808522,17772.439079229,17694.660352405,129994.0
2017-12-21,17694.660352405,17383.54544511,17811.328442641,17811.328442641,111332.0
2017-12-22,17500.213535346,17500.213535346,17733.549715817,17733.549715817,178831.0
2017-12-25,17733.549715817,17577.992262169,18005.7752597,17694.660352405,208152.0
2017-12-26,17500.213535346,17422.434808522,17694.660352405,17655.770988993,174898.0
2017-12-27,17500.213535346,17266.877354874,17655.770988993,17577.992262169,128854.0
2017-12-28,17772.439079229,17461.324171934,17772.439079229,17655.770988993,199716.0
2017-12-29,17266.877354874,17266.877354874,17655.770988993,17655.770988993,133562.0
2018-01-02,18511.336984054,17577.992262169,18511.336984054,18044.664623112,494554.0
2018-01-03,18200.222076759,17655.770988993,19250.23488888,19250.23488888,349273.0
2018-01-04,19366.902979116,19366.902979116,19911.354066882,19833.575340058,508519.0
2018-01-05,19833.575340058,19366.902979116,19911.354066882,19600.239159587,160717.0
2018-01-08,19600.239159587,19094.677435233,19600.239159587,19522.460432763,196342.0
2018-01-09,19366.902979116,19366.902979116,20766.920061943,20766.920061943,1018544.0
2018-01-10,20844.698788767,20300.247701001,20922.477515591,20611.362608296,524388.0
2018-01-11,20611.362608296,20066.91152053,20689.14133512,20611.362608296,379095.0
2018-01-12,20300.247701001,20144.690247353,20805.809425355,20689.14133512,439652.0
2018-01-15,21000.256242415,20378.026427825,21000.256242415,20689.14133512,139752.0
2018-01-16,20689.14133512,20300.247701001,20689.14133512,20611.362608296,173576.0
2018-01-17,20455.805154648,20300.247701001,21233.592422886,20689.14133512,1014599.0
2018-01-18,20689.14133512,20689.14133512,21116.92433265,21116.92433265,482140.0
2018-01-19,21116.92433265,20883.588152179,21233.592422886,21233.592422886,412896.0
2018-01-22,21233.592422886,20378.026427825,21233.592422886,20533.583881472,463512.0
2018-01-25,20494.69451806,19989.132793706,20494.69451806,20378.026427825,370351.0
2018-01-26,20844.698788767,19989.132793706,21778.043510652,21778.043510652,1916613.0
2018-01-29,22478.052052066,21233.592422886,22478.052052066,22050.269054535,548305.0
2018-01-30,21778.043510652,21700.264783828,22166.937144771,22089.158417947,235580.0
2018-01-31,21933.6009643,21389.149876533,22011.379691124,21778.043510652,487349.0
2018-02-01,21778.043510652,21233.592422886,21933.6009643,21739.15414724,267683.0
2018-02-02,21622.486057005,21311.37114971,21700.264783828,21544.707330181,121706.0
2018-02-05,21544.707330181,20611.362608296,21544.707330181,20611.362608296,408450.0
2018-02-06,19016.898708409,19016.898708409,20572.473244884,20455.805154648,580305.0
2018-02-07,20611.362608296,20300.247701001,21000.256242415,21000.256242415,109006.0
