Date,Price Open,Price Low,Price High,Price Close,Volume
2011-07-19,9642.8556,9642.8556,10535.7126,9642.8556,21168.0
2011-07-20,9196.4271,9196.4271,9196.4271,9196.4271,6384.0
2011-07-21,8749.9986,8749.9986,8749.9986,8749.9986,6776.0
2011-07-22,8392.8558,8392.8558,8392.8558,8392.8558,7526.0
2011-07-25,8035.713,8035.713,8035.713,8035.713,6944.0
2011-07-26,7678.5702,7678.5702,7678.5702,7678.5702,8736.0
2011-07-27,7321.4274,7321.4274,7321.4274,7321.4274,42728.0
2011-07-28,6964.2846,6964.2846,7499.9988,7410.7131,24416.0
2011-07-29,7410.7131,7053.5703,7410.7131,7142.856,4558.0
2011-08-01,6785.7132,6785.7132,7142.856,7142.856,4480.0
2011-08-02,6785.7132,6785.7132,6785.7132,6785.7132,4726.0
2011-08-03,6517.8561,6517.8561,6517.8561,6517.8561,2800.0
2011-08-04,6249.999,6249.999,6607.1418,6607.1418,14896.0
2011-08-05,6517.8561,6339.2847,6607.1418,6607.1418,10080.0
2011-08-08,6607.1418,6339.2847,6696.4275,6607.1418,18121.0
2011-08-09,6339.2847,6339.2847,6428.5704,6428.5704,3953.0
2011-08-10,6428.5704,6160.7133,6428.5704,6339.2847,9520.0
2011-08-11,6339.2847,6249.999,6339.2847,6249.999,8456.0
2011-08-12,5982.1419,5982.1419,6071.4276,6071.4276,1780.0
2011-08-15,6071.4276,5803.5705,6071.4276,5803.5705,4816.0
2011-08-16,5535.7134,5535.7134,5624.9991,5535.7134,8736.0
2011-08-17,5267.8563,5267.8563,5267.8563,5267.8563,12073.0
2011-08-18,5178.5706,5089.2849,5357.142,5178.5706,68678.0
2011-08-19,5267.8563,4999.9992,5357.142,5357.142,19275.0
2011-08-22,5446.4277,5089.2849,5446.4277,5357.142,6316.0
2011-08-23,5446.4277,5357.142,5624.9991,5624.9991,17763.0
2011-08-24,5446.4277,5357.142,5535.7134,5357.142,33510.0
2011-08-25,5267.8563,5178.5706,5357.142,5178.5706,10147.0
2011-08-26,5357.142,5267.8563,5357.142,5357.142,5969.0
2011-08-29,5357.142,5357.142,5535.7134,5446.4277,12174.0
2011-08-30,5535.7134,5267.8563,5535.7134,5267.8563,23844.0
2011-08-31,5446.4277,5267.8563,5446.4277,5446.4277,6787.0
2011-09-01,5446.4277,5446.4277,5535.7134,5535.7134,3752.0
2011-09-05,5800.0,5400.0,5800.0,5800.0,3900.0
2011-09-06,5700.0,5700.0,5700.0,5700.0,510.0
2011-09-07,5600.0,5600.0,5900.0,5900.0,300.0
2011-09-08,6000.0,5900.0,6000.0,6000.0,3870.0
2011-09-09,6100.0,5700.0,6100.0,5700.0,2630.0
2011-09-12,5900.0,5700.0,5900.0,5700.0,15030.0
2011-09-13,5800.0,5700.0,5800.0,5800.0,15640.0
2011-09-14,5900.0,5900.0,6000.0,6000.0,13600.0
2011-09-15,5900.0,5800.0,6300.0,6300.0,8750.0
2011-09-16,6100.0,6000.0,6300.0,6300.0,5420.0
2011-09-19,6400.0,6300.0,6600.0,6600.0,8180.0
2011-09-20,6900.0,6300.0,6900.0,6700.0,1340.0
2011-09-21,6700.0,6400.0,6900.0,6400.0,3170.0
