Date,Price Open,Price Low,Price High,Price Close,Volume
2010-03-11,6871.9710634625,5934.884100263,7809.058026662,7809.058026662,167500.0
2010-03-12,7848.103316795,7848.103316795,7848.103316795,7848.103316795,63900.0
2010-03-15,8394.737378662,8394.737378662,8394.737378662,8394.737378662,14500.0
2010-03-16,8980.416730661,8980.416730661,8980.416730661,8980.416730661,47200.0
2010-03-17,8980.416730661,8980.416730661,9605.141372794,9605.141372794,259300.0
2010-03-18,9605.141372794,8941.371440528,10073.684854394,9019.462020795,135800.0
2010-03-19,9019.462020795,8511.873249062,9097.552601061,8980.416730661,71300.0
2010-03-22,8980.416730661,8785.190279995,9214.688471461,9175.643181328,46300.0
2010-03-23,9175.643181328,8472.827958928,9370.869631994,8550.918539195,29100.0
2010-03-24,8550.918539195,8043.329767462,8550.918539195,8121.420347729,33000.0
2010-03-25,7926.193897061999,7770.012736529,8082.375057595,7809.058026662,27400.0
2010-03-26,7809.058026662,7379.559835196,7809.058026662,7691.922156262,73700.0
2010-03-29,7691.922156262,7652.876866129,8043.329767462,8004.284477329,17800.0
2010-03-30,7555.2636407955,7301.469254929,7809.058026662,7301.469254929,56300.0
2010-03-31,7067.197514129,6911.016353596,7223.378674662,6911.016353596,29600.0
2010-04-01,7164.8107394625,7028.152223996,7301.469254929,7301.469254929,4200.0
2010-04-02,7301.469254929,7106.242804262,7418.605125329,7223.378674662,8400.0
2010-04-05,7223.378674662,6989.106933863,7418.605125329,7067.197514129,14900.0
2010-04-06,7067.197514129,6911.016353596,7262.423964796,6989.106933863,41100.0
2010-04-07,6989.106933863,6911.016353596,7106.242804262,7106.242804262,30300.0
2010-04-08,7106.242804262,7106.242804262,7496.695705596,7496.695705596,49100.0
2010-04-09,7750.4900914625,7613.831575996,7887.148606929,7809.058026662,66600.0
2010-04-12,7809.058026662,7418.605125329,8199.510927995,7496.695705596,33300.0
2010-04-13,7496.695705596,7067.197514129,7965.239187195,7223.378674662,36700.0
2010-04-14,7223.378674662,6950.061643729,7418.605125329,7028.152223996,20800.0
2010-04-15,7145.288094395501,7067.197514129,7223.378674662,7184.333384529,20200.0
2010-04-16,7496.695705595999,7379.559835196,7613.831575996,7613.831575996,44700.0
2010-04-19,7613.831575996,7613.831575996,8004.284477329,7809.058026662,88600.0
2010-04-20,7809.058026662,7730.967446395,7887.148606929,7887.148606929,76600.0
2010-04-21,8179.9882829285,8004.284477329,8355.692088528,8355.692088528,65400.0
2010-04-22,8355.692088528,7809.058026662,8902.326150395,7926.193897062,61400.0
2010-04-26,7594.308930929,7574.786285862,7613.831575996,7574.786285862,12200.0
2010-04-27,7574.786285862,7067.197514129,7809.058026662,7652.876866129,31900.0
2010-04-28,7399.082480262,7223.378674662,7574.786285862,7418.605125329,28000.0
2010-04-29,7418.605125329,7262.423964796,7652.876866129,7496.695705596,68500.0
2010-05-04,7926.193897062,7887.148606929,7965.239187195,7965.239187195,104500.0
2010-05-05,8511.873249062,8511.873249062,8511.873249062,8511.873249062,104300.0
2010-05-06,9097.552601061,9097.552601061,9097.552601061,9097.552601061,49500.0
2010-05-07,9097.552601061,9019.462020795,9722.277243194,9722.277243194,468500.0
