Date,Price Open,Price Low,Price High,Price Close,Volume
2010-01-22,11743.457565755,10541.371358237,12945.543773273,12945.543773273,239596.0
2010-01-25,12316.760218571,12316.760218571,12316.760218571,12316.760218571,10778.0
2010-01-26,11724.963931793,11724.963931793,11724.963931793,11724.963931793,67079.0
2010-01-27,11170.154912939,11170.154912939,11170.154912939,11170.154912939,15800.0
2010-01-28,10615.345894084,10615.345894084,10615.345894084,10615.345894084,5083.0
2010-01-29,10097.524143153,10097.524143153,10097.524143153,10097.524143153,62323.0
2010-02-01,10097.524143153,9986.562339382,10356.435018619,10097.524143153,230491.0
2010-02-02,9875.600535611,9690.664195993,10060.536875229,9690.664195993,94658.0
2010-02-03,9690.664195993,9690.664195993,10171.498679,10171.498679,82206.0
2010-02-04,10374.9286525805,10208.485946924,10541.371358237,10208.485946924,50421.0
2010-02-05,9875.600535611,9764.63873184,9986.562339382,9764.63873184,54137.0
2010-02-08,9764.63873184,9616.689660146,9801.625999764,9616.689660146,62016.0
2010-02-09,9616.689660146,9283.804248833,9616.689660146,9283.804248833,49360.0
2010-02-10,9468.7405884515,9320.791516757,9616.689660146,9616.689660146,39418.0
2010-02-11,9616.689660146,9542.715124299,9764.63873184,9764.63873184,15738.0
2010-02-12,9764.63873184,9616.689660146,9949.575071459,9616.689660146,11370.0
2010-02-22,9838.6132676875,9690.664195993,9986.562339382,9949.575071459,1939.0
2010-02-23,9949.575071459,9565.424363707,10218.485464843,9987.993311501,15146.0
2010-02-24,9987.993311501,9642.255081487,10218.485464843,10218.485464843,43195.0
2010-02-25,10218.485464843,9795.916517049,10218.485464843,9795.916517049,11921.0
2010-02-26,9795.916517049,9334.932210364,9987.993311501,9411.762928145,50503.0
2010-03-01,9411.762928145,9411.762928145,9680.670440378,9450.178287035,22577.0
2010-03-02,9450.178287035,9296.516851474,9603.839722597,9603.839722597,52626.0
2010-03-03,9603.839722597,9411.762928145,9603.839722597,9603.839722597,37030.0
2010-03-04,9603.839722597,9219.686133693,9757.501158159,9603.839722597,27456.0
2010-03-05,9450.1782870355,9334.932210364,9565.424363707,9450.178287035,74244.0
2010-03-08,9450.178287035,9411.762928145,9527.009004816,9488.593645926,135036.0
2010-03-09,9488.593645926,9411.762928145,9757.501158159,9527.009004816,101476.0
2010-03-10,9527.009004816,9142.855415912,9527.009004816,9450.178287035,89595.0
2010-03-11,9450.178287035,9258.101492583,9450.178287035,9258.101492583,65528.0
2010-03-12,9258.101492583,9219.686133693,9488.593645926,9296.516851474,51136.0
2010-03-15,9296.516851474,9296.516851474,9565.424363707,9296.516851474,62221.0
2010-03-16,9296.516851474,9027.609339241,9296.516851474,9181.270774803,80491.0
2010-03-17,9181.270774803,8950.77862146,9181.270774803,8950.77862146,93107.0
2010-03-18,8950.77862146,8950.77862146,9373.347569255,9373.347569255,190092.0
2010-03-19,9373.347569255,9296.516851474,9411.762928145,9296.516851474,193461.0
2010-03-22,9296.516851474,9027.609339241,9296.516851474,9027.609339241,59118.0
2010-03-23,9027.609339241,8681.871109228,9027.609339241,8681.871109228,91963.0
2010-03-24,8681.871109228,8451.378955885,8835.532544789,8451.378955885,164269.0
2010-03-25,8451.378955885,8412.963596995,8528.209673666,8451.378955885,136914.0
2010-03-26,8451.378955885,8374.548238105,8489.794314776,8451.378955885,84165.0
2010-03-29,8451.378955885,8451.378955885,8566.625032557,8451.378955885,115337.0
2010-03-30,8451.378955885,8067.225366981,8451.378955885,8067.225366981,98863.0
2010-03-31,8067.225366981,8067.225366981,8451.378955885,8451.378955885,180620.0
2010-04-01,8739.4941475635,8605.040391447,8873.94790368,8873.94790368,320904.0
2010-04-02,9296.516851474,9296.516851474,9296.516851474,9296.516851474,152980.0
2010-04-05,9757.501158159,9757.501158159,9757.501158159,9757.501158159,391801.0
2010-04-06,10103.239388172,9987.993311501,10218.485464843,9987.993311501,701579.0
2010-04-07,9987.993311501,9834.331875939,10410.562259295,10180.070105953,310962.0
2010-04-08,10180.070105953,10064.824029282,10295.316182624,10295.316182624,295570.0
2010-04-09,10295.316182624,10256.900823734,10756.300489309,10756.300489309,519631.0
