Date,Price Open,Price Low,Price High,Price Close,Volume
2010-06-21,6365.053895168,6365.053895168,6365.053895168,6365.053895168,27851.0
2010-06-22,6674.4662372945,6665.625884662,6683.306589927,6683.306589927,82944.0
2010-06-23,7001.559284685,7001.559284685,7001.559284685,7001.559284685,33786.0
2010-06-24,7143.0049267995,7072.282105742,7213.727747857,7196.047042593,6962.0
2010-06-25,6842.432937306,6842.432937306,6842.432937306,6842.432937306,1758.0
2010-06-28,6842.432937306,6506.499537283,6842.432937306,6506.499537283,905.0
2010-06-29,6188.246842525,6188.246842525,6188.246842525,6188.246842525,11819.0
2010-06-30,6188.246842525,5887.67485303,6188.246842525,5887.67485303,34431.0
2010-07-01,6091.0029635705,6011.439789881,6170.56613726,6170.56613726,51768.0
2010-07-02,6170.56613726,6099.843316203,6258.969663582,6258.969663582,15265.0
2010-07-05,6258.969663582,6011.439789881,6506.499537283,6329.692484639,6092.0
2010-07-06,6108.683668835,6029.120495145,6188.246842525,6188.246842525,21863.0
2010-07-07,6188.246842525,6117.524021467,6241.288958318,6117.524021467,226.0
2010-07-08,6117.524021467,6117.524021467,6188.246842525,6117.524021467,18451.0
2010-07-09,6117.524021467,5834.632737237,6117.524021467,5834.632737237,2001.0
2010-07-12,5834.632737237,5551.741453008,5976.078379352,5551.741453008,3046.0
2010-07-13,5648.9853319615,5569.422158272,5728.548505651,5587.102863536,14726.0
2010-07-14,5640.1449793295,5622.464274065,5657.825684594,5657.825684594,33247.0
2010-07-15,5657.825684594,5657.825684594,5746.229210916,5728.548505651,15335.0
2010-07-16,5578.2625109045,5445.657221422,5710.867800387,5693.187095123,11088.0
2010-07-19,5693.187095123,5657.825684594,5834.632737237,5834.632737237,23064.0
2010-07-20,5755.069563548001,5746.229210916,5763.90991618,5746.229210916,1740.0
2010-07-21,5746.229210916,5746.229210916,5799.271326709,5799.271326709,7067.0
2010-07-22,5799.271326709,5640.14497933,5799.271326709,5728.548505651,16031.0
2010-07-23,5728.548505651,5657.825684594,5728.548505651,5693.187095123,13681.0
2010-07-26,5693.187095123,5587.102863536,5693.187095123,5693.187095123,12184.0
2010-07-27,5693.187095123,5657.825684594,5710.867800387,5710.867800387,11279.0
2010-07-28,5737.3888582835,5728.548505651,5746.229210916,5746.229210916,11540.0
2010-07-29,5746.229210916,5693.187095123,5746.229210916,5710.867800387,10827.0
2010-07-30,5737.3888582835,5728.548505651,5746.229210916,5746.229210916,5866.0
2010-08-02,5746.229210916,5746.229210916,5834.632737237,5834.632737237,33212.0
2010-08-03,5878.8345003985,5852.313442502,5905.355558295,5905.355558295,4229.0
2010-08-04,5984.9187319845005,5923.036263559,6046.80120041,6046.80120041,19165.0
2010-08-05,6046.80120041,5976.078379352,6046.80120041,6046.80120041,3829.0
2010-08-06,5993.7590846165,5976.078379352,6011.439789881,6011.439789881,17424.0
2010-08-09,6011.439789881,6011.439789881,6011.439789881,6011.439789881,783.0
2010-08-10,5923.036263559,5923.036263559,5923.036263559,5923.036263559,174.0
2010-08-11,5640.14497933,5640.14497933,5640.14497933,5640.14497933,435.0
2010-08-12,5560.58180564,5551.741453008,5569.422158272,5551.741453008,18277.0
2010-08-13,5551.741453008,5481.01863195,5551.741453008,5551.741453008,18886.0
2010-08-16,5551.741453008,5481.01863195,5657.825684594,5657.825684594,9208.0
2010-08-17,5657.825684594,5657.825684594,5675.506389858,5657.825684594,15648.0
2010-08-18,5657.825684594,5657.825684594,5675.506389858,5675.506389858,3568.0
2010-08-19,5719.7081530195,5693.187095123,5746.229210916,5746.229210916,2785.0
2010-08-20,5763.90991618,5763.90991618,5763.90991618,5763.90991618,3655.0
2010-08-23,6046.80120041,6046.80120041,6046.80120041,6046.80120041,39757.0
2010-08-24,6223.6082530535,6099.843316203,6347.373189904,6188.246842525,31054.0
2010-08-25,6303.171426743,6205.927547789,6400.415305697,6365.053895168,11157.0
2010-08-26,6197.087195157001,6046.80120041,6347.373189904,6347.373189904,24613.0
2010-08-27,6347.373189904,6170.56613726,6347.373189904,6276.650368846,16554.0
2010-08-30,6373.8942478,6365.053895168,6382.734600432,6365.053895168,36920.0
2010-08-31,6492.357495816,6492.357495816,6492.357495816,6492.357495816,292.0
2010-09-01,6492.357495816,6167.739621025,6492.357495816,6167.739621025,5807.0
2010-09-06,6308.407366768,6189.380812678,6427.433920858,6362.5103459,833.0
2010-09-07,6243.4837918095,6211.02200433,6275.945579289,6275.945579289,585.0
2010-09-08,6275.945579289,6275.945579289,6275.945579289,6275.945579289,2208.0
2010-09-09,6124.4572377195,6016.251279456,6232.663195983,6232.663195983,14934.0
2010-09-10,6232.663195983,5929.686512845,6275.945579289,5929.686512845,2545.0
2010-09-13,5929.686512845,5669.992213013,5929.686512845,5669.992213013,5894.0
2010-09-14,5951.327704498,5951.327704498,5951.327704498,5951.327704498,14.0
2010-09-15,5951.327704498,5713.274596318,6167.739621025,6167.739621025,731.0
2010-09-16,6167.739621025,6167.739621025,6167.739621025,6167.739621025,892.0
2010-09-17,6167.739621025,5951.327704498,6167.739621025,5951.327704498,936.0
2010-09-20,5951.327704498,5713.274596318,6167.739621025,5972.968896151,1609.0
2010-09-21,5972.968896151,5972.968896151,6059.533662761,6059.533662761,3393.0
2010-09-22,6156.9190251985,6146.098429372,6167.739621025,6167.739621025,73.0
2010-09-23,6167.739621025,5864.762937887,6275.945579289,6275.945579289,3013.0
2010-09-24,6070.354258588,5972.968896151,6167.739621025,5972.968896151,4198.0
2010-09-27,6037.892471109,6037.892471109,6037.892471109,6037.892471109,14.0
2010-09-28,6037.892471109,5951.327704498,6059.533662761,6059.533662761,4402.0
2010-09-29,5962.148300324499,5951.327704498,5972.968896151,5951.327704498,7562.0
2010-09-30,5951.327704498,5669.992213013,5951.327704498,5951.327704498,833.0
2010-10-01,6167.739621025,6167.739621025,6167.739621025,6167.739621025,14.0
2010-10-04,6167.739621025,5951.327704498,6167.739621025,6146.098429372,4885.0
2010-10-05,5853.9423420605,5843.121746234,5864.762937887,5843.121746234,11000.0
2010-10-06,5843.121746234,5605.068638054,5886.40412954,5886.40412954,2750.0
2010-10-07,5886.40412954,5886.40412954,6037.892471109,6037.892471109,1974.0
2010-10-08,5853.9423420605,5756.556979623,5951.327704498,5908.045321192,11292.0
2010-10-11,5821.480554582,5821.480554582,5821.480554582,5821.480554582,175.0
2010-10-12,5821.480554582,5626.709829707,5843.121746234,5821.480554582,1711.0
2010-10-13,5821.480554582,5540.145063096,5843.121746234,5843.121746234,58.0
2010-10-14,5789.0187671025,5778.198171276,5799.839362929,5799.839362929,380.0
2010-10-15,5821.480554582,5821.480554582,5821.480554582,5821.480554582,14.0
2010-10-18,5821.480554582,5561.786254749,5843.121746234,5843.121746234,1623.0
2010-10-19,5594.2480422280005,5583.427446402,5605.068638054,5583.427446402,1609.0
2010-10-20,5583.427446402,5496.862679791,5626.709829707,5626.709829707,5309.0
2010-10-21,5626.709829707,5626.709829707,5626.709829707,5626.709829707,14.0
2010-10-22,5626.709829707,5626.709829707,5908.045321192,5626.709829707,4037.0
2010-10-25,5832.3011504075,5756.556979623,5908.045321192,5908.045321192,2720.0
2010-10-26,5908.045321192,5908.045321192,6167.739621025,6016.251279456,643.0
2010-10-27,6016.251279456,5799.839362929,6016.251279456,6016.251279456,204.0
2010-10-28,5875.583533713,5756.556979623,5994.610087803,5756.556979623,5280.0
2010-10-29,5756.556979623,5756.556979623,5778.198171276,5778.198171276,2208.0
2010-11-01,5799.839362929,5799.839362929,5799.839362929,5799.839362929,2325.0
2010-11-02,5799.839362929,5756.556979623,5799.839362929,5756.556979623,3993.0
2010-11-03,5734.915787971,5734.915787971,5734.915787971,5734.915787971,8045.0
2010-11-04,5734.915787971,5734.915787971,5734.915787971,5734.915787971,5543.0
2010-11-05,5734.915787971,5669.992213013,5734.915787971,5734.915787971,8952.0
2010-11-08,5734.915787971,5669.992213013,5734.915787971,5734.915787971,482.0
