Date,Price Open,Price Low,Price High,Price Close,Volume
2010-03-19,12621.854507126,12621.854507126,12621.854507126,12621.854507126,78490.0
2010-03-22,13219.480194016502,13195.575166541,13243.385221492,13243.385221492,578726.0
2010-03-23,13243.385221492,12621.854507126,13482.435496248,12621.854507126,414609.0
2010-03-24,12334.9941774185,12095.943902662,12574.044452175,12191.564012565,93321.0
2010-03-25,11809.083572955,11665.653408101,11952.513737809,11665.653408101,47569.0
2010-03-26,11665.653408101,11570.033298199,12048.133847711,11570.033298199,17574.0
2010-03-29,11570.033298199,10996.312638784,11713.463463052,10996.312638784,114944.0
2010-03-30,10996.312638784,10948.502583833,11522.223243247,11522.223243247,115930.0
2010-03-31,12095.943902662,12095.943902662,12095.943902662,12095.943902662,36977.0
2010-04-01,12430.614287321,12191.564012565,12669.664562077,12669.664562077,427160.0
2010-04-02,12669.664562077,12191.564012565,12860.904781882,12191.564012565,115313.0
2010-04-05,12191.564012565,11713.463463052,12191.564012565,11904.703682857,98878.0
2010-04-06,11904.703682857,11713.463463052,12430.614287321,11713.463463052,75972.0
2010-04-07,11713.463463052,11713.463463052,12287.184122467,12287.184122467,178342.0
2010-04-08,12287.184122467,12239.374067516,12526.234397223,12239.374067516,61414.0
2010-04-09,12239.374067516,12191.564012565,12478.424342272,12430.614287321,125050.0
2010-04-12,12645.7595346015,12478.424342272,12813.094726931,12526.234397223,152005.0
2010-04-13,12526.234397223,12334.994177418,12526.234397223,12334.994177418,121855.0
2010-04-14,12334.994177418,11952.513737809,12382.80423237,12382.80423237,72303.0
2010-04-15,12382.80423237,12334.994177418,12574.044452175,12574.044452175,93464.0
2010-04-16,12574.044452175,12382.80423237,12621.854507126,12478.424342272,258424.0
2010-04-19,12478.424342272,12048.133847711,12526.234397223,12334.994177418,80271.0
2010-04-20,12621.854507126,12382.80423237,12860.904781882,12574.044452175,296018.0
2010-04-21,13028.2399742115,12860.904781882,13195.575166541,13195.575166541,605289.0
2010-04-22,13817.105880907,13817.105880907,13817.105880907,13817.105880907,131141.0
2010-04-26,14295.206430419,14103.966210614,14486.446650224,14486.446650224,611975.0
2010-04-27,14080.0611831385,13817.105880907,14343.01648537,14008.346100712,126285.0
2010-04-28,14008.346100712,13386.815386346,14103.966210614,14103.966210614,338197.0
2010-04-29,14103.966210614,13960.53604576,14773.306979931,14773.306979931,346438.0
2010-05-04,15203.5974744925,14916.737144785,15490.4578042,15490.4578042,217398.0
2010-05-05,15490.4578042,15060.167309639,16255.41868342,16255.41868342,313320.0
2010-05-06,16685.709177981,16303.228738371,17068.189617591,17068.189617591,502148.0
2010-05-07,16494.468958176003,16255.41868342,16733.519232932,16733.519232932,409788.0
2010-05-10,16733.519232932,15920.748298761,16733.519232932,15920.748298761,192212.0
2010-05-11,15920.748298761,15155.787419541,15920.748298761,15155.787419541,119267.0
2010-05-12,14438.636595273,14438.636595273,14438.636595273,14438.636595273,27810.0
2010-05-13,13793.200853431,13721.485771004,13864.915935858,13721.485771004,535895.0
2010-05-14,13721.485771004,13052.145001687,13912.725990809,13912.725990809,305328.0
2010-05-17,13912.725990809,13291.195276443,14343.01648537,13339.005331394,119908.0
2010-05-18,13339.005331394,12908.714836833,13530.245551199,13291.195276443,55489.0
2010-05-19,13291.195276443,12669.664562077,13386.815386346,12669.664562077,165518.0
2010-05-20,12669.664562077,12048.133847711,13004.334946736,13004.334946736,161718.0
2010-05-21,12406.709259845498,12382.80423237,12430.614287321,12382.80423237,174448.0
2010-05-24,12382.80423237,12048.133847711,12813.094726931,12239.374067516,41026.0
2010-05-25,12239.374067516,12191.564012565,12813.094726931,12526.234397223,55560.0
2010-05-26,12860.904781882,12574.044452175,13147.765111589,13147.765111589,164627.0
2010-05-27,13147.765111589,12956.524891784,13339.005331394,13147.765111589,102809.0
2010-05-28,13506.3405237235,13243.385221492,13769.295825955,13769.295825955,149226.0
2010-05-31,13769.295825955,13386.815386346,13864.915935858,13530.245551199,126748.0
2010-06-01,13530.245551199,13291.195276443,13721.485771004,13386.815386346,90851.0
2010-06-02,13386.815386346,12813.094726931,13386.815386346,13386.815386346,53922.0
2010-06-03,13386.815386346,13386.815386346,14056.156155663,13864.915935858,157918.0
2010-06-04,13864.915935858,13625.865661102,13912.725990809,13864.915935858,46809.0
2010-06-07,13434.625441297,13195.575166541,13673.675716053,13195.575166541,166432.0
2010-06-08,13195.575166541,12908.714836833,13578.055606151,13004.334946736,33961.0
2010-06-09,13219.4801940165,13052.145001687,13386.815386346,13052.145001687,64620.0
2010-06-10,13052.145001687,13052.145001687,13386.815386346,13291.195276443,41228.0
2010-06-11,13482.435496248,13339.005331394,13625.865661102,13386.815386346,49231.0
2010-06-14,13386.815386346,13339.005331394,13482.435496248,13339.005331394,27655.0
2010-06-15,13339.005331394,13291.195276443,13578.055606151,13339.005331394,78466.0
2010-06-16,13960.53604576,13960.53604576,13960.53604576,13960.53604576,155258.0
2010-06-17,14629.876815078,14629.876815078,14629.876815078,14629.876815078,89450.0
2010-06-18,15084.0723371145,14821.117034883,15347.027639346,15347.027639346,768053.0
2010-06-21,16111.988518566,16111.988518566,16111.988518566,16111.988518566,150532.0
2010-06-22,16876.949397786,16876.949397786,16876.949397786,16876.949397786,454424.0
2010-06-23,16876.949397786,16207.608628468,17689.720331957,17689.720331957,490807.0
2010-06-24,17689.720331957,17307.239892347,18167.820881469,18072.200771567,287706.0
2010-06-25,18072.200771567,17211.619782444,18072.200771567,17211.619782444,203766.0
2010-06-28,17211.619782444,16685.709177981,17928.770606713,17928.770606713,424797.0
2010-06-29,17928.770606713,17689.720331957,18645.921430981,17928.770606713,210213.0
2010-06-30,17928.770606713,17068.189617591,17976.580661664,17976.580661664,334468.0
2010-07-01,17976.580661664,17928.770606713,18837.161650786,18693.731485933,410750.0
2010-07-02,18693.731485933,18550.301321079,19602.122530006,19602.122530006,278432.0
2010-07-05,19602.122530006,19602.122530006,20558.323629031,20558.323629031,256144.0
2010-07-06,20558.323629031,19649.932584957,21036.424178543,19649.932584957,470918.0
2010-07-07,19649.932584957,18884.971705738,20606.133683982,20606.133683982,640402.0
2010-07-08,20606.133683982,20080.223079518,21418.904618153,20080.223079518,504380.0
2010-07-09,20080.223079518,19410.882310201,21084.234233494,21084.234233494,456621.0
2010-07-12,21681.8599203845,21227.664398348,22136.055442421,22136.055442421,160079.0
2010-07-13,22136.055442421,22136.055442421,23187.876651349,23187.876651349,344158.0
2010-07-14,23187.876651349,22040.435332519,23905.027475617,22231.675552324,882630.0
2010-07-15,22231.675552324,22231.675552324,23331.306816202,23331.306816202,420867.0
2010-07-16,24383.128025129,24383.128025129,24383.128025129,24383.128025129,269859.0
2010-07-19,24383.128025129,23426.926926105,25100.278849398,23426.926926105,209216.0
2010-07-20,23426.926926105,22327.295662226,23426.926926105,22757.586156787,370270.0
2010-07-21,22183.8654973725,21657.954892909,22709.776101836,21657.954892909,423539.0
2010-07-22,21657.954892909,20606.133683982,21657.954892909,21657.954892909,508643.0
2010-07-23,21657.954892909,20606.133683982,21753.575002812,21753.575002812,390919.0
2010-07-26,20773.468876311,20701.753793884,20845.183958738,20701.753793884,119766.0
2010-07-27,20701.753793884,19745.55269486,21466.714673104,20701.753793884,304663.0
2010-07-28,21132.044288445497,20749.563848836,21514.524728055,21514.524728055,364380.0
2010-07-29,21514.524728055,21227.664398348,22422.915772129,22327.295662226,492957.0
2010-07-30,22327.295662226,21514.524728055,22470.72582708,22470.72582708,477318.0
2010-08-02,22016.530305043503,21657.954892909,22375.105717178,22231.675552324,223964.0
2010-08-03,22231.675552324,21801.385057763,22853.20626669,22279.485607275,394802.0
2010-08-04,22279.485607275,21801.385057763,22327.295662226,22327.295662226,164140.0
