Date,Price Open,Price Low,Price High,Price Close,Volume
2006-12-28,1258.8334615775,1218.225930559,1299.440992596,1299.440992596,17453.0
2006-12-29,1400.959820143,1400.959820143,1400.959820143,1400.959820143,14960.0
2007-01-02,1262.894214679,1262.894214679,1262.894214679,1262.894214679,1496.0
2007-01-08,1137.010868522,1137.010868522,1137.010868522,1137.010868522,14960.0
2007-01-10,1055.795806484,1055.795806484,1055.795806484,1055.795806484,9973.0
2007-01-11,992.8541334055,950.216225836,1035.492040975,950.216225836,13962.0
2007-01-12,950.216225836,873.061916901,974.580744447,873.061916901,4986.0
2007-01-15,873.061916901,873.061916901,873.061916901,873.061916901,4986.0
2007-01-18,958.33773204,958.33773204,958.33773204,958.33773204,997.0
2007-01-19,1051.735053383,1051.735053383,1051.735053383,1051.735053383,9973.0
2007-01-22,1153.253880929,1153.253880929,1153.253880929,1153.253880929,28922.0
2007-01-23,1266.954967781,1266.954967781,1266.954967781,1266.954967781,36402.0
2007-01-24,1366.443418777,1340.048523615,1392.838313939,1392.838313939,121176.0
2007-01-25,1392.838313939,1380.656054634,1461.871116671,1380.656054634,18450.0
2007-01-26,1279.137227087,1279.137227087,1279.137227087,1279.137227087,2493.0
2007-01-29,1279.137227087,1218.225930559,1340.048523615,1340.048523615,9973.0
2007-01-30,1340.048523615,1299.440992596,1340.048523615,1340.048523615,19448.0
2007-01-31,1372.5345484295,1360.352289124,1384.716807735,1360.352289124,20445.0
2007-02-01,1360.352289124,1340.048523615,1506.539400791,1340.048523615,14461.0
2007-02-02,1465.931869773,1461.871116671,1469.992622875,1461.871116671,11968.0
2007-02-05,1461.871116671,1340.048523615,1461.871116671,1340.048523615,1994.0
2007-02-07,1382.6864311845,1380.656054634,1384.716807735,1380.656054634,8477.0
2007-02-08,1250.711955374,1242.59044917,1258.833461578,1258.833461578,2493.0
2007-02-12,1216.1955540079998,1177.61839954,1254.772708476,1254.772708476,3989.0
2007-02-13,1254.772708476,1234.468942966,1258.833461578,1258.833461578,6981.0
2007-02-27,1368.473795328,1364.413042226,1372.53454843,1364.413042226,4488.0
2007-02-28,1451.719233916,1421.263585652,1482.17488218,1461.871116671,26429.0
2007-03-01,1461.871116671,1461.871116671,1502.478647689,1502.478647689,16954.0
2007-03-02,1502.478647689,1502.478647689,1632.422746949,1624.301240745,35904.0
2007-03-05,1746.123833801,1746.123833801,1746.123833801,1746.123833801,4986.0
2007-03-06,1920.736217181,1920.736217181,1920.736217181,1920.736217181,13962.0
2007-03-07,2111.591612969,2111.591612969,2111.591612969,2111.591612969,8976.0
2007-03-08,2322.750774266,2322.750774266,2322.750774266,2322.750774266,16954.0
2007-03-09,2554.213701072,2554.213701072,2554.213701072,2554.213701072,4986.0
2007-03-12,2787.7070044295,2769.433615471,2805.980393388,2769.433615471,65325.0
2007-03-13,2769.433615471,2720.704578248,2927.802986443,2757.251356165,22440.0
2007-03-14,2537.970688665,2537.970688665,2537.970688665,2537.970688665,7978.0
2007-03-15,2286.203996349,2286.203996349,2286.203996349,2286.203996349,1496.0
2007-03-16,2286.203996349,2058.801822645,2497.363157646,2497.363157646,27925.0
2007-03-19,2403.965836303,2403.965836303,2403.965836303,2403.965836303,10472.0
2007-03-20,2643.550269313,2643.550269313,2643.550269313,2643.550269313,40392.0
2007-03-21,2598.8819851925,2558.274454174,2639.489516211,2639.489516211,7978.0
2007-03-22,2497.363157646,2436.451861118,2558.274454174,2436.451861118,16456.0
2007-03-23,2345.084916326,2314.629268062,2375.54056459,2314.629268062,3989.0
2007-03-26,2314.629268062,2123.773872275,2318.690021164,2123.773872275,7480.0
2007-03-27,1961.3437482,1961.3437482,1961.3437482,1961.3437482,3490.0
2007-03-28,1857.7945441025,1766.427599311,1949.161488894,1949.161488894,15458.0
2007-03-29,1949.161488894,1843.581908246,2026.31579783,1949.161488894,55851.0
2007-03-30,2184.6851688025,2180.624415701,2188.745921904,2188.745921904,17453.0
2007-04-02,2395.844330099,2395.844330099,2395.844330099,2395.844330099,2992.0
2007-04-03,2395.844330099,2156.259897089,2436.451861118,2156.259897089,5485.0
2007-04-04,2010.0727854225,1989.769019913,2030.376550932,2030.376550932,1994.0
2007-04-05,2135.95613158,2050.680316441,2221.231946719,2050.680316441,7480.0
2007-04-06,2172.5029094965003,2070.98408195,2274.021737043,2070.98408195,19946.0
2007-04-09,2070.98408195,2070.98408195,2233.414206025,2070.98408195,5485.0
2007-04-10,2070.98408195,1880.128686163,2070.98408195,2070.98408195,11469.0
2007-04-11,2070.98408195,2030.376550932,2111.591612969,2030.376550932,5984.0
2007-04-12,2030.376550932,2030.376550932,2030.376550932,2030.376550932,498.0
2007-04-13,1908.553957876,1908.553957876,1908.553957876,1908.553957876,498.0
2007-04-16,1717.698562088,1717.698562088,1717.698562088,1717.698562088,997.0
2007-04-17,1547.14693181,1547.14693181,1547.14693181,1547.14693181,8976.0
2007-04-18,1664.908771764,1664.908771764,1664.908771764,1664.908771764,498.0
2007-04-23,1543.086178708,1543.086178708,1543.086178708,1543.086178708,498.0
2007-04-25,1624.301240745,1624.301240745,1624.301240745,1624.301240745,4488.0
2007-05-02,1786.73136482,1786.73136482,1786.73136482,1786.73136482,498.0
2007-05-03,1786.73136482,1786.73136482,1827.338895839,1827.338895839,4986.0
2007-05-04,1746.123833801,1746.123833801,1746.123833801,1746.123833801,498.0
2007-05-07,1746.123833801,1705.516302783,1746.123833801,1746.123833801,7480.0
2007-05-08,1847.642661348,1827.338895839,1867.946426857,1827.338895839,4488.0
2007-05-09,1827.338895839,1827.338895839,1827.338895839,1827.338895839,1994.0
2007-05-10,1786.73136482,1786.73136482,1786.73136482,1786.73136482,11968.0
2007-05-14,1786.73136482,1786.73136482,1786.73136482,1786.73136482,4488.0
2007-05-15,1811.0958834315,1794.852871024,1827.338895839,1794.852871024,5485.0
2007-05-16,1786.73136482,1786.73136482,1786.73136482,1786.73136482,4986.0
2007-05-17,1766.427599311,1766.427599311,1766.427599311,1766.427599311,1994.0
2007-05-18,1807.035130329,1807.035130329,1807.035130329,1807.035130329,3490.0
2007-05-21,1939.00960614,1908.553957876,1969.465254404,1969.465254404,9474.0
