Date,Price Open,Price Low,Price High,Price Close,Volume
2008-11-03,3023.8978230585,2371.096059768,3676.699586349,2611.207053162,306857.0
2008-11-04,2611.207053162,2611.207053162,2716.255612772,2716.255612772,82474.0
2008-11-05,2866.324983644,2866.324983644,2866.324983644,2866.324983644,73310.0
2008-11-06,3031.401291602,3001.387417428,3061.415165776,3061.415165776,168352.0
2008-11-07,3061.415165776,2836.311109469,3256.505347909,3256.505347909,212338.0
2008-11-10,3391.567781693,3391.567781693,3391.567781693,3391.567781693,14400.0
2008-11-11,3571.6510267395,3526.630215478,3616.671838001,3616.671838001,420226.0
2008-11-12,3616.671838001,3526.630215478,3856.782831395,3856.782831395,264965.0
2008-11-13,3856.782831395,3856.782831395,4096.893824789,4096.893824789,274129.0
2008-11-14,4096.893824789,3811.762020133,4382.025629445,4096.893824789,296646.0
2008-11-17,3894.3001741125,3886.796705569,3901.803642656,3886.796705569,76714.0
2008-11-18,3616.671838001,3616.671838001,3616.671838001,3616.671838001,1047.0
2008-11-19,3481.6094042160003,3376.560844606,3586.657963826,3406.574718781,241401.0
2008-11-20,3203.981068104,3166.463725386,3241.498410822,3166.463725386,86139.0
2008-11-21,3166.463725386,2971.373543254,3226.491473735,3226.491473735,124628.0
2008-11-24,3061.4151657765,2941.359669079,3181.470662474,3001.387417428,46604.0
2008-11-25,3001.387417428,3001.387417428,3151.456788299,3076.422102864,14138.0
2008-11-26,2858.8215151,2851.318046556,2866.324983644,2851.318046556,21993.0
2008-11-27,2746.2694869465,2656.227864424,2836.311109469,2656.227864424,17018.0
2008-11-28,2791.2902982075,2731.262549859,2851.318046556,2851.318046556,136671.0
2008-12-01,2851.318046556,2626.213990249,2881.331920731,2821.304172382,24611.0
2008-12-02,2708.752144229,2641.220927337,2776.283361121,2656.227864424,58386.0
2008-12-03,2723.759081316,2686.241738598,2761.276424034,2701.248675685,25135.0
2008-12-04,2701.248675685,2686.241738598,2701.248675685,2701.248675685,35869.0
2008-12-05,2581.193178988,2521.165430639,2641.220927337,2551.179304814,64408.0
2008-12-08,2453.6342137475003,2371.096059768,2536.172367727,2371.096059768,82212.0
2008-12-09,2258.5440316145,2221.026688897,2296.061374332,2251.040563071,47128.0
2008-12-10,2160.998940548,2085.964255112,2236.033625984,2085.964255112,54982.0
2008-12-11,2198.516283266,2176.005877635,2221.026688897,2221.026688897,78547.0
2008-12-12,2348.5856541375,2326.075248507,2371.096059768,2371.096059768,107085.0
2008-12-15,2371.096059768,2356.089122681,2506.158493552,2371.096059768,42153.0
