Date,Price Open,Price Low,Price High,Price Close,Volume
2008-09-17,10937.437305115,10937.437305115,10937.437305115,10937.437305115,126186.0
2008-09-18,10408.206467771,10408.206467771,10408.206467771,10408.206467771,90.0
2008-09-19,10408.206467771,9967.180769984,10849.232165558,10408.206467771,689059.0
2008-09-22,10805.129595779,10761.027026,10849.232165558,10849.232165558,323544.0
2008-09-23,10320.001328214,10320.001328214,10320.001328214,10320.001328214,304227.0
2008-09-24,10320.001328214,10055.385909541,10320.001328214,10320.001328214,148932.0
2008-09-25,10320.001328214,10320.001328214,10761.027026,10761.027026,164412.0
2008-09-26,11157.950154009,11025.642444673,11290.257863345,11290.257863345,384109.0
2008-09-29,11290.257863345,10849.232165558,11554.873282017,10937.437305115,52712.0
2008-09-30,10408.206467771,10408.206467771,10408.206467771,10408.206467771,34480.0
2008-10-01,10408.206467771,9967.180769984,10849.232165558,10496.411607328,126005.0
2008-10-02,10496.411607328,10320.001328214,10761.027026,10761.027026,133813.0
2008-10-03,10761.027026,10584.616746886,10937.437305115,10761.027026,28838.0
2008-10-06,10320.0013282135,10231.796188656,10408.206467771,10231.796188656,171407.0
2008-10-07,9790.770490869,9790.770490869,9790.770490869,9790.770490869,148706.0
2008-10-08,9790.770490869,9437.94993264,10143.591049099,10143.591049099,54337.0
2008-10-09,10143.591049099,9790.770490869,10143.591049099,9790.770490869,61694.0
2008-10-10,9349.744793082,9349.744793082,9349.744793082,9349.744793082,88592.0
2008-10-13,9349.744793082,8908.719095295,9790.770490869,8908.719095295,116257.0
2008-10-14,9349.744793082,9349.744793082,9349.744793082,9349.744793082,29109.0
2008-10-15,9746.6679210905,9702.565351312,9790.770490869,9790.770490869,177274.0
2008-10-16,9570.257641976,9437.94993264,9702.565351312,9702.565351312,31320.0
2008-10-17,9702.565351312,9437.94993264,10055.385909541,9967.180769984,136521.0
2008-10-20,9967.180769984,9702.565351312,10055.385909541,9702.565351312,114181.0
2008-10-21,9702.565351312,9437.94993264,9790.770490869,9437.94993264,100371.0
2008-10-22,9217.437083746,9085.12937441,9349.744793082,9349.744793082,49283.0
2008-10-23,8952.821665074,8908.719095295,8996.924234853,8908.719095295,110751.0
2008-10-24,8436.397324361,8436.397324361,8436.397324361,8436.397324361,56789.0
2008-10-27,8027.49031119,8027.49031119,8027.49031119,8027.49031119,3046.0
2008-10-28,7693.9082741305,7640.104719766,7747.711828495,7640.104719766,61302.0
2008-10-29,7876.84035897,7747.711828495,8005.968889445,7984.447467699,123583.0
2008-10-30,7779.9939611135,7597.061876274,7962.926045953,7597.061876274,46823.0
2008-10-31,7597.061876274,7231.197706595,7812.276093732,7231.197706595,71194.0
2008-11-03,7231.197706595,6886.854958662,7317.283393578,6972.940645645,160177.0
2008-11-04,6972.940645645,6714.683584696,7317.283393578,7317.283393578,241149.0
