Date,Price Open,Price Low,Price High,Price Close,Volume
2006-12-21,12863.336068365,12863.336068365,12863.336068365,12863.336068365,254703.0
2006-12-22,12441.257853622,12220.169264947,12662.346442297,12220.169264947,62921.0
2006-12-25,12220.169264947,11617.200386742,12220.169264947,11617.200386742,137.0
2006-12-26,11617.200386742,11054.429433751,11617.200386742,11054.429433751,1322182.0
2006-12-27,11054.429433751,10853.439807683,11054.429433751,10853.439807683,836216.0
2006-12-28,10330.866779905,10330.866779905,10330.866779905,10330.866779905,298844.0
2006-12-29,9948.986490376,9848.491677342,10049.48130341,9848.491677342,612631.0
2007-01-02,9366.116574778,9366.116574778,9366.116574778,9366.116574778,457862.0
2007-01-03,9366.116574778,9366.116574778,9808.293752128,9808.293752128,227834.0
2007-01-04,10290.668854692,10290.668854692,10290.668854692,10290.668854692,74711.0
2007-01-05,10752.9449946485,10732.846032042,10773.043957255,10773.043957255,348880.0
2007-01-08,11295.616985033,11295.616985033,11295.616985033,11295.616985033,1174130.0
2007-01-09,11697.596237169,11577.002461528,11818.19001281,11818.19001281,744918.0
2007-01-10,11818.19001281,11818.19001281,11858.387938024,11818.19001281,322697.0
2007-01-11,11456.4086858875,11255.419059819,11657.398311956,11456.408685887,312278.0
2007-01-12,10974.0335833235,10893.637732896,11054.429433751,11054.429433751,241680.0
2007-01-15,11054.429433751,10572.054331187,11054.429433751,11054.429433751,67445.0
2007-01-16,11054.429433751,11054.429433751,11456.408685887,11456.408685887,390143.0
2007-01-17,11456.408685887,11456.408685887,11657.398311956,11456.408685887,442920.0
2007-01-18,10974.0335833235,10893.637732896,11054.429433751,11054.429433751,790293.0
2007-01-19,11054.429433751,11054.429433751,11456.408685887,11054.429433751,279515.0
2007-01-22,11054.429433751,10652.450181615,11175.023209392,11054.429433751,570409.0
2007-01-23,11054.429433751,11054.429433751,11215.221134606,11054.429433751,339970.0
2007-01-24,11054.429433751,10853.439807683,11054.429433751,10853.439807683,69364.0
2007-01-25,10853.439807683,10853.439807683,10853.439807683,10853.439807683,142293.0
2007-01-26,10330.866779905,10330.866779905,10330.866779905,10330.866779905,53600.0
2007-01-29,10330.866779905,10330.866779905,10813.241882469,10451.460555546,187120.0
2007-01-30,10913.7366955035,10853.439807683,10974.033583324,10853.439807683,258130.0
2007-01-31,11014.2315085375,10974.033583324,11054.429433751,10974.033583324,244147.0
2007-02-01,10893.6377328965,10853.439807683,10933.83565811,10853.439807683,150381.0
2007-02-02,10933.83565811,10933.83565811,10933.83565811,10933.83565811,58946.0
2007-02-05,10652.4501816145,10411.262630333,10893.637732896,10893.637732896,46060.0
2007-02-06,10893.637732896,10853.439807683,10893.637732896,10853.439807683,57986.0
2007-02-07,10853.439807683,10652.450181615,10853.439807683,10652.450181615,83758.0
2007-02-08,10652.450181615,10652.450181615,10652.450181615,10652.450181615,71832.0
2007-02-09,10652.450181615,10652.450181615,10692.648106828,10692.648106828,258541.0
2007-02-12,10692.648106828,10692.648106828,11215.221134606,11215.221134606,282257.0
2007-02-13,11215.221134606,11215.221134606,11657.398311956,11215.221134606,21933.0
2007-02-14,11215.221134606,11215.221134606,11737.794162383,11456.408685887,235237.0
2007-02-15,11456.408685887,10893.637732896,11456.408685887,11456.408685887,28102.0
2007-02-26,11496.75078439,11496.75078439,11496.75078439,11496.75078439,125295.0
2007-02-27,11496.75078439,11375.73235508,11496.75078439,11375.73235508,148462.0
2007-02-28,11375.73235508,11295.053402208,11375.73235508,11295.053402208,654442.0
2007-03-01,11295.053402208,11093.356020025,11295.053402208,11093.356020025,130915.0
2007-03-02,11093.356020025,10972.337590716,11496.75078439,11295.053402208,339970.0
2007-03-05,11295.053402208,11093.356020025,11295.053402208,11295.053402208,477466.0
2007-03-06,11295.053402208,10891.658637843,11698.448166572,11698.448166572,501730.0
2007-03-07,11698.448166572,11698.448166572,11698.448166572,11698.448166572,121319.0
2007-03-08,11698.448166572,11295.053402208,11698.448166572,11295.053402208,26731.0
2007-03-09,11295.053402208,11295.053402208,11658.108690136,11295.053402208,258815.0
2007-03-12,10972.337590716,10730.300732097,11214.374449335,11214.374449335,63333.0
2007-03-13,11214.374449335,10891.658637843,11295.053402208,10891.658637843,71284.0
2007-03-14,10508.4336116965,10488.263873478,10528.603349915,10528.603349915,22344.0
2007-03-15,10488.263873478,10488.263873478,10488.263873478,10488.263873478,71558.0
2007-03-16,10488.263873478,10084.869109114,11012.677067152,10084.869109114,300215.0
2007-03-19,10568.942826351,10568.942826351,10568.942826351,10568.942826351,154905.0
2007-03-20,11093.356020025,11093.356020025,11093.356020025,11093.356020025,120634.0
2007-03-21,11093.356020025,11093.356020025,11295.053402208,11295.053402208,76356.0
2007-03-22,11295.053402208,10891.658637843,11295.053402208,10891.658637843,22070.0
2007-03-23,10488.263873478,10488.263873478,10488.263873478,10488.263873478,175468.0
2007-03-26,10266.396753078,10246.22701486,10286.566491296,10246.22701486,212618.0
2007-03-27,10246.22701486,10246.22701486,10246.22701486,10246.22701486,97330.0
2007-03-28,10125.2085855505,10084.869109114,10165.548061987,10165.548061987,127351.0
2007-03-29,10548.773088133,10447.924397042,10649.621779224,10447.924397042,357928.0
2007-03-30,10447.924397042,10447.924397042,10609.282302788,10609.282302788,660474.0
2007-04-02,10609.282302788,10488.263873478,10609.282302788,10609.282302788,500359.0
2007-04-03,10447.9243970415,10407.584920605,10488.263873478,10488.263873478,302134.0
2007-04-04,10488.263873478,10488.263873478,10488.263873478,10488.263873478,279515.0
2007-04-05,10488.263873478,10407.584920605,10609.282302788,10407.584920605,52366.0
2007-04-06,10407.584920605,10084.869109114,10447.924397042,10447.924397042,42359.0
2007-04-09,10447.924397042,10407.584920605,10447.924397042,10407.584920605,66760.0
2007-04-10,10407.584920605,10367.245444169,10528.603349915,10528.603349915,327632.0
2007-04-11,10790.809946752,10689.961255661,10891.658637843,10891.658637843,228246.0
2007-04-12,10891.658637843,10891.658637843,11093.356020025,10891.658637843,203022.0
2007-04-13,10528.603349915,10528.603349915,10528.603349915,10528.603349915,186435.0
2007-04-16,10528.603349915,10447.924397042,10528.603349915,10447.924397042,67034.0
2007-04-17,10286.566491296,10286.566491296,10286.566491296,10286.566491296,457314.0
2007-04-18,10286.566491296,10286.566491296,10286.566491296,10286.566491296,462249.0
2007-04-19,10286.566491296,10286.566491296,10447.924397042,10286.566491296,140100.0
2007-04-20,10286.566491296,10044.529632677,10447.924397042,10044.529632677,75807.0
2007-04-23,10044.529632677,9560.45591544,10246.22701486,9681.474344749,245244.0
2007-04-24,9681.474344749,9278.079580385,10084.869109114,9318.419056821,84032.0
2007-04-25,9520.1164390035,9479.776962567,9560.45591544,9479.776962567,67308.0
2007-05-02,9479.776962567,9479.776962567,9641.134868313,9479.776962567,147228.0
2007-05-03,9883.171726932,9883.171726932,9883.171726932,9883.171726932,50035.0
2007-05-04,9883.171726932,9883.171726932,10084.869109114,9883.171726932,66211.0
2007-05-07,10367.245444169,10367.245444169,10367.245444169,10367.245444169,151752.0
2007-05-08,10851.319161407,10851.319161407,10851.319161407,10851.319161407,176016.0
2007-05-09,11234.5441875525,11093.356020025,11375.73235508,11093.356020025,670207.0
2007-05-10,11093.356020025,10891.658637843,11093.356020025,10891.658637843,95959.0
2007-05-11,10891.658637843,10750.210121242,11113.939035118,11113.939035118,327906.0
2007-05-14,11295.803492057,11275.596330175,11316.010653939,11275.596330175,213715.0
2007-05-15,11275.596330175,11154.353358882,11316.010653939,11154.353358882,102676.0
2007-05-16,10911.867416298,10750.210121242,11073.524711354,10911.867416298,70735.0
2007-05-17,10911.867416298,10911.867416298,10911.867416298,10911.867416298,118167.0
2007-05-18,10911.867416298,10911.867416298,11113.939035118,11113.939035118,109393.0
2007-05-21,11336.217815821,11275.596330175,11396.839301467,11396.839301467,670070.0
2007-05-22,11962.639834164,11962.639834164,11962.639834164,11962.639834164,785495.0
2007-05-23,12528.440366861,12528.440366861,12528.440366861,12528.440366861,794405.0
2007-05-24,12124.29712922,12124.29712922,12124.29712922,12124.29712922,390143.0
2007-05-25,11881.8111866355,11720.153891579,12043.468481692,12043.468481692,252098.0
2007-05-28,12346.575909922,12326.36874804,12366.783071804,12366.783071804,566159.0
2007-05-29,12366.783071804,12366.783071804,12407.197395568,12407.197395568,485554.0
2007-05-30,12407.197395568,12326.36874804,12407.197395568,12326.36874804,450049.0
2007-05-31,12326.36874804,12326.36874804,12528.440366861,12528.440366861,428800.0
2007-06-01,12528.440366861,12528.440366861,12932.583604501,12932.583604501,846086.0
2007-06-04,13336.726842142,13134.655223322,13538.798460962,13457.969813434,535727.0
2007-06-05,13457.969813434,13457.969813434,13740.870079783,13740.870079783,857190.0
2007-06-06,13740.870079783,13134.655223322,13740.870079783,13134.655223322,109667.0
2007-06-07,13763.917283163,13763.917283163,13763.917283163,13763.917283163,264319.0
2007-06-08,13763.917283163,13763.917283163,13763.917283163,13763.917283163,418687.0
2007-06-11,13763.917283163,13763.917283163,14413.158664444,13763.917283163,311295.0
2007-06-12,13763.917283163,13763.917283163,14283.310388188,13763.917283163,221695.0
2007-06-13,14066.8965944275,13850.482800667,14283.310388188,13850.482800667,292351.0
2007-06-14,14391.517285068,14283.310388188,14499.724181948,14499.724181948,462079.0
2007-06-15,15062.4000457255,14932.551769469,15192.248321982,15192.248321982,712959.0
2007-06-18,15863.131082639,15798.206944511,15928.055220767,15928.055220767,616063.0
2007-06-19,16707.144878305,16707.144878305,16707.144878305,16707.144878305,526719.0
2007-06-20,16707.144878305,16447.448325792,16707.144878305,16447.448325792,328319.0
2007-06-21,15776.565565135,15625.075909503,15928.055220767,15625.075909503,180095.0
2007-06-22,15625.075909503,15625.075909503,16360.882808288,16360.882808288,656895.0
2007-06-25,17139.972465826,17139.972465826,17139.972465826,17139.972465826,553983.0
2007-06-26,17702.648329603,17702.648329603,17702.648329603,17702.648329603,128639.0
2007-06-27,17702.648329603,17702.648329603,17745.931088355,17702.648329603,249215.0
2007-06-28,17702.648329603,17313.103500834,17962.344882115,17962.344882115,449407.0
2007-06-29,18503.3793665165,18178.758675876,18828.000057157,18828.000057157,874622.0
2007-07-02,18828.000057157,18828.000057157,18828.000057157,18828.000057157,354047.0
2007-07-03,17940.703502739,17919.062123363,17962.344882115,17919.062123363,31871.0
2007-07-04,18395.172469636,18178.758675876,18611.586263396,18178.758675876,242047.0
2007-07-05,18178.758675876,18178.758675876,18178.758675876,18178.758675876,239871.0
2007-07-06,17745.931088355,17745.931088355,17745.931088355,17745.931088355,149247.0
2007-07-09,17745.931088355,17486.234535842,17962.344882115,17962.344882115,67583.0
2007-07-10,18460.0966077645,18178.758675876,18741.434539653,18741.434539653,284287.0
2007-07-11,19650.372473446,19650.372473446,19650.372473446,19650.372473446,736511.0
2007-07-12,19650.372473446,19260.827644678,20342.89661348,19260.827644678,119551.0
2007-07-13,18784.717298404503,18525.020745892,19044.413850917,18525.020745892,130303.0
2007-07-16,18525.020745892,17832.496605859,18525.020745892,17832.496605859,124543.0
2007-07-17,17832.496605859,17789.213847107,17832.496605859,17789.213847107,235775.0
2007-07-18,17745.931088355,17745.931088355,17745.931088355,17745.931088355,172927.0
2007-07-19,17226.53798333,17139.972465826,17313.103500834,17139.972465826,155135.0
2007-07-20,16555.6552226725,16317.600049536,16793.710395809,16447.448325792,207615.0
2007-07-23,16447.448325792,16447.448325792,17269.820742082,17269.820742082,56063.0
2007-07-24,17269.820742082,17269.820742082,18092.193158371,17269.820742082,367103.0
2007-07-25,17269.820742082,16880.275913313,17659.365570851,17659.365570851,290431.0
2007-07-26,17659.365570851,16793.710395809,17659.365570851,16793.710395809,39807.0
2007-07-27,16880.275913313,16880.275913313,16880.275913313,16880.275913313,75135.0
2007-07-30,16880.275913313,16231.034532032,17096.689707073,16880.275913313,103551.0
2007-07-31,16880.275913313,16836.993154561,16880.275913313,16880.275913313,151167.0
2007-08-01,16880.275913313,16880.275913313,16880.275913313,16880.275913313,173823.0
2007-08-02,16880.275913313,16793.710395809,16880.275913313,16836.993154561,72447.0
2007-08-03,16707.144878305,16707.144878305,16707.144878305,16707.144878305,64639.0
2007-08-06,16707.144878305,16447.448325792,16793.710395809,16447.448325792,55807.0
2007-08-07,17075.0483276975,16880.275913313,17269.820742082,17269.820742082,633983.0
2007-08-08,17269.820742082,17269.820742082,17313.103500834,17313.103500834,86783.0
2007-08-09,17313.103500834,17313.103500834,17313.103500834,17313.103500834,97535.0
2007-08-10,17313.103500834,17269.820742082,17313.103500834,17313.103500834,124671.0
2007-08-13,16836.993154561,16793.710395809,16880.275913313,16793.710395809,72191.0
2007-08-14,16880.275913313,16880.275913313,16880.275913313,16880.275913313,211967.0
2007-08-15,16880.275913313,16836.993154561,16880.275913313,16880.275913313,29055.0
2007-08-16,16772.069016433,16707.144878305,16836.993154561,16750.427637057,119167.0
2007-08-17,16490.731084544,16447.448325792,16534.013843296,16534.013843296,179327.0
2007-08-20,16880.275913313,16880.275913313,16880.275913313,16880.275913313,155647.0
2007-08-21,16880.275913313,16880.275913313,17096.689707073,17096.689707073,82559.0
2007-08-22,16923.558672065,16880.275913313,16966.841430817,16880.275913313,61695.0
2007-08-23,16880.275913313,16663.862119553,16880.275913313,16880.275913313,60415.0
2007-08-24,16880.275913313,16880.275913313,16966.841430817,16966.841430817,105983.0
2007-08-27,16966.841430817,16880.275913313,16966.841430817,16880.275913313,176127.0
2007-08-28,16880.275913313,16793.710395809,16880.275913313,16793.710395809,31103.0
