Date,Price Open,Price Low,Price High,Price Close,Volume
2012-07-24,19824.397932599,15859.518346079,19824.397932599,15859.518346079,592725.0
2012-07-25,15859.518346079,15066.542428775,15859.518346079,15066.542428775,397037.0
2012-07-26,14511.459286662,14432.161694932,15780.220754349,15780.220754349,985985.0
2012-07-27,16176.708713001,15780.220754349,16493.899079922,16493.899079922,785636.0
2012-07-30,16335.303896461,16176.708713001,17286.874997226,17286.874997226,529308.0
2012-07-31,18079.85091453,18000.5533228,18079.85091453,18079.85091453,613005.0
2012-08-01,17207.577405496,17207.577405496,18000.5533228,17207.577405496,846416.0
2012-08-02,16652.494263383,16414.601488192,17445.470180687,16652.494263383,562453.0
2012-08-03,16256.006304731,15859.518346079,16652.494263383,16493.899079922,592843.0
2012-08-06,16493.899079922,16097.41112127,17286.874997226,17286.874997226,630130.0
2012-08-07,17445.470180687,17366.172588956,18079.85091453,18079.85091453,379276.0
2012-08-08,18238.446097991,17762.660547608,18397.041281452,18159.14850626,307279.0
2012-08-09,18159.14850626,18079.85091453,19031.422015295,18555.636464912,632708.0
2012-08-10,17921.255731069,17683.362955878,18397.041281452,17841.958139339,589818.0
2012-08-13,18266.773190313,18011.887983007,18691.581869158,18691.581869158,366918.0
2012-08-14,18691.581869158,18606.620133389,19201.352283771,18861.505340696,195770.0
2012-08-15,19031.428812234,18096.849718776,19116.390548003,18266.773190313,308044.0
2012-08-16,18181.811454545,17841.964511469,18266.773190313,17926.926247238,359173.0
2012-08-17,17672.041039931,17417.155832624,18351.734926082,18266.773190313,420389.0
2012-08-20,18266.773190313,17926.926247238,18776.543604927,18606.620133389,336327.0
2012-08-21,18011.887983007,17757.0027757,18011.887983007,17757.0027757,196158.0
2012-08-22,16907.385418011,16907.385418011,16907.385418011,16907.385418011,311269.0
2012-08-23,16142.729796091,16142.729796091,16142.729796091,16142.729796091,29283.0
2012-08-24,15378.074174171,15378.074174171,15802.882853015,15378.074174171,876959.0
2012-08-27,14613.418552251,14613.418552251,14613.418552251,14613.418552251,122525.0
2012-08-28,13933.7246661,13933.7246661,13933.7246661,13933.7246661,211518.0
2012-08-29,13338.992515717,13338.992515717,14018.686401869,13593.877723024,755010.0
2012-08-30,13084.107308411,13084.107308411,14273.571609175,14273.571609175,1037867.0
2012-08-31,14443.495080713,14103.648137637,14783.342023789,14783.342023789,716263.0
2012-09-04,15038.227231095,14273.571609175,15208.150702633,14273.571609175,552354.0
2012-09-05,13848.762930331,13593.877723024,14188.609873406,13678.839458793,762672.0
2012-09-06,13254.030779948,13084.107308411,13678.839458793,13338.992515717,629142.0
2012-09-07,13084.107308411,12914.183836873,13338.992515717,12999.145572642,257186.0
2012-09-10,12829.222101104,12404.413422259,13254.030779948,12404.413422259,257751.0
2012-09-11,11809.681271877,11809.681271877,11894.643007646,11809.681271877,235917.0
2012-09-12,11469.834328802,11299.910857264,11894.643007646,11299.910857264,302712.0
2012-09-13,10875.102178419,10790.14044265,11384.872593033,11214.949121495,456370.0
2012-09-14,11724.719536108,11724.719536108,11724.719536108,11724.719536108,274888.0
2012-09-17,11894.643007646,11384.872593033,11894.643007646,11384.872593033,243285.0
2012-09-18,10960.063914188,10875.102178419,11129.987385726,10875.102178419,391952.0
2012-09-19,10620.216971113,10535.255235344,11045.025649957,10875.102178419,96443.0
2012-09-20,10535.255235344,10535.255235344,10875.102178419,10705.178706881,135107.0
2012-09-21,10620.216971113,10620.216971113,11214.949121495,10960.063914188,232104.0
2012-09-24,10875.102178419,10620.216971113,10960.063914188,10620.216971113,34121.0
2012-09-25,10535.255235344,10535.255235344,10875.102178419,10620.216971113,74621.0
2012-09-26,10535.255235344,10535.255235344,10875.102178419,10790.14044265,28601.0
2012-09-27,10705.178706881,10365.331763806,10790.14044265,10535.255235344,144688.0
2012-09-28,10450.293499575,10450.293499575,11045.025649957,10620.216971113,144453.0
2012-10-01,10535.255235344,10195.408292268,10705.178706881,10195.408292268,137850.0
2012-10-02,10195.408292268,10195.408292268,10705.178706881,10705.178706881,249630.0
