Date,Price Open,Price Low,Price High,Price Close,Volume
2006-12-25,21365.581463023,21365.581463023,21365.581463023,21365.581463023,1005.0
2006-12-26,22351.685222855,22351.685222855,22351.685222855,22351.685222855,128292.0
2006-12-27,22351.685222855,21694.282716301,22844.737102771,21694.282716301,66932.0
2006-12-28,22680.386476133,22680.386476133,22680.386476133,22680.386476133,54120.0
2006-12-29,22680.386476133,22351.685222855,22680.386476133,22680.386476133,62910.0
2007-01-02,22680.386476133,21694.282716301,22680.386476133,21694.282716301,22722.0
2007-01-03,21119.055523065,20872.529583107,21365.581463023,21365.581463023,39929.0
2007-01-04,21365.581463023,21365.581463023,21858.633342939,21858.633342939,87874.0
2007-01-05,22680.386476132506,22516.035849494,22844.737102771,22844.737102771,201803.0
2007-01-08,23502.1396093255,23173.438356048,23830.840862603,23173.438356048,179683.0
2007-01-09,23173.438356048,23173.438356048,23173.438356048,23173.438356048,38723.0
2007-01-10,23584.314922645,23337.788982687,23830.840862603,23337.788982687,116083.0
2007-01-11,23337.788982687,23009.08772941,23337.788982687,23009.08772941,23412.0
2007-01-12,22516.035849494,22187.334596217,22844.737102771,22844.737102771,26658.0
2007-01-15,22844.737102771,22351.685222855,23830.840862603,23830.840862603,29731.0
2007-01-16,23830.840862603,23830.840862603,23830.840862603,23830.840862603,4768.0
2007-01-17,24570.4186824765,24159.54211588,24981.295249073,24159.54211588,118008.0
2007-01-18,23502.139609326,23009.08772941,23995.191489242,23502.139609326,18442.0
2007-01-19,23502.139609326,23502.139609326,23502.139609326,23502.139609326,70149.0
2007-01-22,23502.139609326,22844.737102771,23502.139609326,22844.737102771,118640.0
2007-01-23,22844.737102771,22680.386476133,22844.737102771,22844.737102771,37028.0
2007-01-24,23666.4902359645,23502.139609326,23830.840862603,23830.840862603,78940.0
2007-01-25,23830.840862603,22680.386476133,24159.54211588,22680.386476133,53201.0
2007-01-26,22680.386476133,22680.386476133,23666.490235964,23009.08772941,80606.0
2007-01-29,23009.08772941,23009.08772941,24159.54211588,23502.139609326,89626.0
2007-01-30,23502.139609326,22844.737102771,23502.139609326,22844.737102771,53029.0
2007-01-31,23666.4902359645,23502.139609326,23830.840862603,23502.139609326,152910.0
2007-02-01,23913.016175922,23666.490235964,24159.54211588,23830.840862603,165435.0
2007-02-02,23830.840862603,23830.840862603,23830.840862603,23830.840862603,40762.0
2007-02-05,23830.840862603,23830.840862603,23830.840862603,23830.840862603,100111.0
2007-02-06,23830.840862603,22844.737102771,23830.840862603,22844.737102771,77963.0
2007-02-07,23337.788982687,23173.438356048,23502.139609326,23173.438356048,31541.0
2007-02-08,22926.912416090498,22844.737102771,23009.08772941,23009.08772941,105742.0
2007-02-09,23009.08772941,23009.08772941,23337.788982687,23337.788982687,62135.0
2007-02-12,23337.788982687,23337.788982687,23830.840862603,23830.840862603,42400.0
