Date,Price Open,Price Low,Price High,Price Close,Volume
2008-02-21,49341.780572754,49341.780572754,49341.780572754,49341.780572754,3873.0
2008-02-22,47002.299597322,47002.299597322,47002.299597322,47002.299597322,22.0
2008-02-25,45194.51884357901,44662.81862189,45726.219065268,44662.81862189,363642.0
2008-02-26,42536.017735133,42536.017735133,42536.017735133,42536.017735133,12209.0
2008-02-27,40409.216848376,40409.216848376,40409.216848376,40409.216848376,13930.0
2008-02-28,38495.096050295,38495.096050295,38495.096050295,38495.096050295,3148.0
2008-02-29,36580.975252214,36580.975252214,36580.975252214,36580.975252214,2197.0
2008-03-03,34879.534542809,34879.534542809,34879.534542809,34879.534542809,520.0
2008-03-04,33178.093833404,33178.093833404,33178.093833404,33178.093833404,2310.0
2008-03-05,31795.673257012,31689.333212674,31902.01330135,31689.333212674,1359.0
2008-03-06,32540.053567377,31902.01330135,33178.093833404,33178.093833404,906070.0
2008-03-07,33178.093833404,33178.093833404,34666.854454133,34666.854454133,580301.0
2008-03-10,34666.854454133,32965.413744728,36155.615074863,32965.413744728,276276.0
2008-03-11,31476.653123998,31476.653123998,31476.653123998,31476.653123998,14949.0
2008-03-12,31476.653123998,29987.892503269,31689.333212674,29987.892503269,614617.0
2008-03-13,29987.892503269,28711.811971215,30200.572591944,28711.811971215,437553.0
2008-03-14,28711.811971215,27435.731439161,28711.811971215,28711.811971215,547343.0
2008-03-17,27542.0714834985,27435.731439161,27648.411527836,27435.731439161,300966.0
2008-03-18,26159.650907107,26159.650907107,26159.650907107,26159.650907107,13341.0
2008-03-19,25096.250463728506,24883.570375053,25308.930552404,24883.570375053,671698.0
2008-03-20,23820.169931675,23820.169931675,23820.169931675,23820.169931675,39073.0
2008-03-21,22756.769488296,22756.769488296,22756.769488296,22756.769488296,14610.0
2008-03-24,21693.369044918,21693.369044918,21693.369044918,21693.369044918,15402.0
2008-03-25,20629.96860154,20629.96860154,20629.96860154,20629.96860154,2718.0
2008-03-26,19672.908202499,19672.908202499,19672.908202499,19672.908202499,166078.0
2008-03-27,19672.908202499,19566.568158161,19779.248246837,19779.248246837,309913.0
2008-03-28,19885.588291175,19885.588291175,19885.588291175,19885.588291175,171741.0
2008-03-31,19991.928335513,19991.928335513,19991.928335513,19991.928335513,14474.0
2008-04-01,20098.26837985,20098.26837985,20098.26837985,20098.26837985,12911.0
2008-04-02,20204.608424188,20204.608424188,20204.608424188,20204.608424188,13364.0
2008-04-03,20310.948468526,20310.948468526,20310.948468526,20310.948468526,4530.0
2008-04-04,20417.288512864,20417.288512864,20417.288512864,20417.288512864,3397.0
2008-04-07,20417.288512864,20417.288512864,20736.308645877,20736.308645877,607958.0
2008-04-08,20736.308645877,20417.288512864,20736.308645877,20417.288512864,323323.0
2008-04-09,20098.26837985,20098.26837985,20098.26837985,20098.26837985,85281.0
2008-04-10,19779.248246837,19779.248246837,19779.248246837,19779.248246837,15516.0
2008-04-11,19460.228113823,19460.228113823,19460.228113823,19460.228113823,25369.0
2008-04-16,19141.20798081,19141.20798081,19141.20798081,19141.20798081,3442.0
2008-04-17,19141.20798081,18822.187847796,19460.228113823,18822.187847796,276571.0
2008-04-18,18503.167714783,18503.167714783,18503.167714783,18503.167714783,95610.0
2008-04-21,18184.147581769,18184.147581769,18184.147581769,18184.147581769,24644.0
2008-04-22,17865.127448756,17865.127448756,17865.127448756,17865.127448756,543.0
2008-04-23,17546.107315742,17546.107315742,17546.107315742,17546.107315742,520.0
2008-04-24,17227.087182729,17227.087182729,17227.087182729,17227.087182729,10396.0
2008-04-25,16908.067049715,16908.067049715,16908.067049715,16908.067049715,7452.0
2008-04-28,16589.046916702,16589.046916702,16589.046916702,16589.046916702,182772.0
2008-04-29,16589.046916702,16270.026783688,16589.046916702,16270.026783688,246173.0
2008-05-05,16270.026783688,16163.686739351,16589.046916702,16589.046916702,108839.0
2008-05-06,16908.067049715,16908.067049715,16908.067049715,16908.067049715,15787.0
2008-05-07,16908.067049715,16589.046916702,17227.087182729,16589.046916702,580006.0
2008-05-08,16270.026783688,16270.026783688,16270.026783688,16270.026783688,23647.0
2008-05-09,15951.006650675,15951.006650675,15951.006650675,15951.006650675,19457.0
2008-05-12,15631.986517661,15631.986517661,15631.986517661,15631.986517661,6818.0
2008-05-13,15419.306428986,15419.306428986,15419.306428986,15419.306428986,226.0
2008-05-14,15206.62634031,15206.62634031,15206.62634031,15206.62634031,656.0
2008-05-15,14993.946251634,14993.946251634,14993.946251634,14993.946251634,2718.0
2008-05-16,14781.266162959,14781.266162959,14781.266162959,14781.266162959,1562.0
2008-05-19,14568.586074283,14568.586074283,14568.586074283,14568.586074283,32187.0
2008-05-20,14355.905985607,14355.905985607,14355.905985607,14355.905985607,906.0
2008-05-21,14143.225896932,14143.225896932,14143.225896932,14143.225896932,71532.0
2008-05-22,13930.545808256,13930.545808256,13930.545808256,13930.545808256,34678.0
2008-05-23,13717.86571958,13717.86571958,13717.86571958,13717.86571958,6138.0
2008-05-26,13505.185630905,13505.185630905,13505.185630905,13505.185630905,22.0
2008-05-30,13292.505542229,13292.505542229,13292.505542229,13292.505542229,25006.0
2008-06-02,13079.825453553,13079.825453553,13079.825453553,13079.825453553,2763.0
2008-06-03,12867.145364878,12867.145364878,12867.145364878,12867.145364878,22.0
2008-06-04,12654.465276202,12654.465276202,12654.465276202,12654.465276202,45.0
2008-06-05,12441.785187526,12441.785187526,12441.785187526,12441.785187526,906.0
2008-06-06,12229.105098851,12229.105098851,12229.105098851,12229.105098851,45.0
2008-06-09,12016.425010175,12016.425010175,12016.425010175,12016.425010175,22.0
2008-06-10,11803.744921499,11803.744921499,11803.744921499,11803.744921499,22.0
2008-06-11,11591.064832824,11591.064832824,11591.064832824,11591.064832824,9286.0
2008-06-12,11591.064832824,11378.384744148,11591.064832824,11378.384744148,5005.0
2008-06-13,11165.704655472,11165.704655472,11165.704655472,11165.704655472,159668.0
2008-06-16,10953.024566797,10953.024566797,10953.024566797,10953.024566797,81000.0
2008-06-17,10953.024566797,10740.344478121,11165.704655472,11165.704655472,2043184.0
2008-06-18,10953.024566797,10953.024566797,10953.024566797,10953.024566797,528588.0
2008-06-19,10634.004433783,10634.004433783,10634.004433783,10634.004433783,28291.0
2008-06-20,10314.98430077,10314.98430077,10314.98430077,10314.98430077,6364.0
2008-06-23,10017.232176624,10017.232176624,10017.232176624,10017.232176624,60116.0
2008-06-24,9719.480052478,9719.480052478,9719.480052478,9719.480052478,34701.0
2008-06-25,9442.9959372,9442.9959372,9442.9959372,9442.9959372,138851.0
2008-06-26,9442.9959372,9166.511821921,9719.480052478,9187.779830789,898437.0
2008-06-27,9187.779830789,8953.831733246,9442.9959372,9442.9959372,194324.0
2008-06-30,9442.9959372,9442.9959372,9719.480052478,9719.480052478,198764.0
2008-07-01,9995.964167756,9995.964167756,9995.964167756,9995.964167756,243387.0
2008-07-02,9995.964167756,9995.964167756,10293.716291902,10293.716291902,813676.0
2008-07-03,10591.468416048,10591.468416048,10591.468416048,10591.468416048,203317.0
2008-07-04,10591.468416048,10463.860362843,10846.684522459,10846.684522459,655525.0
2008-07-07,10846.684522459,10527.664389445,11165.704655472,10527.664389445,668482.0
2008-07-08,10527.664389445,10229.9122653,10740.344478121,10740.344478121,395897.0
2008-07-09,10740.344478121,10740.344478121,11059.364611135,11059.364611135,611718.0
2008-07-10,11272.04469981,11165.704655472,11378.384744148,11378.384744148,552077.0
2008-07-11,11697.404877162,11697.404877162,11697.404877162,11697.404877162,201414.0
2008-07-14,12016.425010175,12016.425010175,12016.425010175,12016.425010175,181232.0
2008-07-15,12335.445143189,12335.445143189,12335.445143189,12335.445143189,113890.0
2008-07-16,12335.445143189,12016.425010175,12654.465276202,12654.465276202,1439710.0
2008-07-17,12973.485409216,12973.485409216,12973.485409216,12973.485409216,534840.0
2008-07-18,12973.485409216,12654.465276202,13292.505542229,12654.465276202,748395.0
2008-07-21,12335.445143189,12335.445143189,12335.445143189,12335.445143189,10170.0
2008-07-22,12016.425010175,12016.425010175,12016.425010175,12016.425010175,724.0
2008-07-23,11697.404877162,11697.404877162,11697.404877162,11697.404877162,453.0
2008-07-24,11697.404877162,11378.384744148,11910.084965837,11378.384744148,1285433.0
2008-07-25,11059.364611135,11059.364611135,11059.364611135,11059.364611135,235708.0
2008-07-28,11059.364611135,10740.344478121,11378.384744148,11272.04469981,403848.0
2008-07-29,11272.04469981,10953.024566797,11484.724788486,10953.024566797,489968.0
2008-07-30,10634.004433783,10634.004433783,10634.004433783,10634.004433783,151763.0
2008-07-31,10314.98430077,10314.98430077,10314.98430077,10314.98430077,11099.0
2008-08-01,10017.232176624,10017.232176624,10017.232176624,10017.232176624,26456.0
2008-08-04,9719.480052478,9719.480052478,9719.480052478,9719.480052478,5685.0
2008-08-05,9442.9959372,9442.9959372,9442.9959372,9442.9959372,679.0
2008-08-06,9166.511821921,9166.511821921,9166.511821921,9166.511821921,32074.0
2008-08-07,8911.29571551,8911.29571551,8911.29571551,8911.29571551,53819.0
2008-08-08,8656.0796091,8656.0796091,8656.0796091,8656.0796091,20363.0
2008-08-11,8656.0796091,8634.811600232,8911.29571551,8677.347617967,3132186.0
2008-08-12,8826.22368004,8719.883635702,8932.563724378,8932.563724378,881063.0
2008-08-13,8932.563724378,8677.347617967,9145.243813054,8826.22368004,616180.0
2008-08-14,8826.22368004,8571.007573629,9081.439786451,9081.439786451,934316.0
2008-08-15,9315.3878839945,9294.119875127,9336.655892862,9336.655892862,1359208.0
2008-08-18,9336.655892862,8932.563724378,9336.655892862,8932.563724378,853180.0
2008-08-19,8602.9095869305,8485.935538159,8719.883635702,8485.935538159,601253.0
2008-08-20,8081.843369675,8081.843369675,8081.843369675,8081.843369675,150426.0
2008-08-21,8081.843369675,7677.751201192,8485.935538159,8485.935538159,1326545.0
2008-08-22,8485.935538159,8145.647396278,8826.22368004,8188.183414013,966164.0
2008-08-25,8592.275582497,8592.275582497,8592.275582497,8592.275582497,306901.0
2008-08-26,9017.635759848,9017.635759848,9017.635759848,9017.635759848,347945.0
2008-08-27,9251.5838573915,9038.903768716,9464.263946067,9145.243813054,1866097.0
2008-08-28,8698.615626835,8698.615626835,8698.615626835,8698.615626835,378501.0
2008-08-29,8698.615626835,8273.255449483,8698.615626835,8698.615626835,584084.0
2008-09-03,9123.975804186,9123.975804186,9123.975804186,9123.975804186,234349.0
2008-09-04,9123.975804186,8932.563724378,9570.603990405,9421.727928332,816779.0
2008-09-05,9421.727928332,8975.099742113,9421.727928332,8996.367750981,416827.0
2008-09-08,8634.811600232,8549.739564762,8719.883635702,8634.811600232,401583.0
2008-09-09,8890.0277066425,8719.883635702,9060.171777583,8932.563724378,376598.0
2008-09-10,8932.563724378,8634.811600232,9357.923901729,8932.563724378,478801.0
2008-09-11,8932.563724378,8677.347617967,8932.563724378,8677.347617967,359202.0
2008-09-12,8379.5954938215,8251.987440616,8507.203547027,8251.987440616,607210.0
2008-09-15,8251.987440616,7847.895272132,8507.203547027,7847.895272132,616361.0
2008-09-16,7465.071112516,7465.071112516,7465.071112516,7465.071112516,90853.0
2008-09-17,7103.514961767,7103.514961767,7103.514961767,7103.514961767,80185.0
2008-09-18,6763.226819886,6763.226819886,6763.226819886,6763.226819886,23874.0
2008-09-19,6763.226819886,6444.206686873,7082.2469529,7082.2469529,1326952.0
2008-09-22,7422.535094781,7422.535094781,7422.535094781,7422.535094781,57398.0
2008-09-23,7422.535094781,7060.978944032,7422.535094781,7060.978944032,341331.0
2008-09-24,6763.226819886,6720.690802151,6805.762837621,6720.690802151,155681.0
2008-09-25,6720.690802151,6401.670669138,6805.762837621,6805.762837621,360176.0
2008-09-26,6805.762837621,6593.082748946,7082.2469529,6912.102881959,205718.0
2008-09-29,6678.154784416,6571.814740078,6784.494828754,6571.814740078,241008.0
2008-09-30,6252.794607065,6252.794607065,6252.794607065,6252.794607065,41655.0
2008-10-01,6465.47469574,6380.40266027,6550.54673121,6550.54673121,468970.0
2008-10-02,6869.566864224,6869.566864224,6869.566864224,6869.566864224,209704.0
2008-10-03,7060.978944032,6912.102881959,7209.855006105,7209.855006105,467928.0
2008-10-06,6997.1749174295,6869.566864224,7124.782970635,6869.566864224,342667.0
2008-10-07,6529.278722343,6529.278722343,6529.278722343,6529.278722343,129655.0
2008-10-08,6295.3306247995,6210.258589329,6380.40266027,6210.258589329,383167.0
2008-10-09,6210.258589329,5955.042482919,6508.010713475,6380.40266027,253308.0
2008-10-10,6380.40266027,6056.173472192,6599.676219696,6056.173472192,296277.0
2008-10-13,6056.173472192,5771.481556832,6211.459971479,5771.481556832,138455.0
2008-10-14,6056.173472192,6056.173472192,6056.173472192,6056.173472192,14119.0
2008-10-15,6056.173472192,5797.362640047,6237.341054693,6185.578888264,225341.0
2008-10-16,5900.886972905,5900.886972905,5900.886972905,5900.886972905,52871.0
2008-10-17,5719.719390403,5616.195057545,5823.243723261,5693.838307189,136624.0
2008-10-20,5538.5518079015,5409.146391829,5667.957223974,5409.146391829,154613.0
2008-10-21,5409.146391829,5409.146391829,5642.07614076,5435.027475044,106252.0
2008-10-22,5240.919350935001,5176.216642899,5305.622058971,5202.097726113,111896.0
2008-10-23,4943.286893968,4943.286893968,4943.286893968,4943.286893968,47152.0
2008-10-24,4710.357145038,4710.357145038,4710.357145038,4710.357145038,95663.0
2008-10-27,4477.427396108,4477.427396108,4477.427396108,4477.427396108,68312.0
2008-10-28,4283.319271999,4270.378730392,4296.259813606,4270.378730392,154783.0
2008-10-29,4270.378730392,4270.378730392,4477.427396108,4477.427396108,163145.0
2008-10-30,4477.427396108,4399.784146464,4684.476061823,4684.476061823,150083.0
2008-10-31,4813.881477896,4710.357145038,4917.405810754,4710.357145038,228890.0
2008-11-03,4710.357145038,4555.070645751,4788.000394681,4710.357145038,75371.0
2008-11-04,4710.357145038,4606.83281218,4943.286893968,4943.286893968,154311.0
2008-11-05,5176.216642899,5176.216642899,5176.216642899,5176.216642899,37997.0
2008-11-06,5176.216642899,4917.405810754,5176.216642899,4917.405810754,160729.0
2008-11-07,4684.476061823,4684.476061823,4684.476061823,4684.476061823,56118.0
2008-11-10,4555.070645751,4451.546312893,4658.594978609,4451.546312893,129281.0
2008-11-11,4335.081438428,4244.497647177,4425.665229679,4270.378730392,190496.0
2008-11-12,4270.378730392,4244.497647177,4477.427396108,4477.427396108,126846.0
2008-11-13,4477.427396108,4477.427396108,4684.476061823,4684.476061823,248351.0
2008-11-14,4917.405810754,4917.405810754,4917.405810754,4917.405810754,44811.0
2008-11-17,4917.405810754,4684.476061823,5020.930143612,4813.881477896,251031.0
2008-11-18,4684.476061823,4580.951728965,4788.000394681,4658.594978609,75239.0
2008-11-19,4658.594978609,4555.070645751,4710.357145038,4555.070645751,56307.0
2008-11-20,4386.843604857,4348.021980035,4425.665229679,4348.021980035,182927.0
2008-11-21,4348.021980035,4166.854397534,4425.665229679,4296.259813606,95116.0
2008-11-24,4296.259813606,4270.378730392,4348.021980035,4270.378730392,68935.0
2008-11-25,4270.378730392,4270.378730392,4451.546312893,4451.546312893,122750.0
2008-11-26,4451.546312893,4270.378730392,4451.546312893,4270.378730392,108423.0
2008-11-27,4270.378730392,4244.497647177,4373.90306325,4244.497647177,81638.0
2008-11-28,4425.6652296785,4399.784146464,4451.546312893,4451.546312893,152782.0
2008-12-01,4451.546312893,4296.259813606,4477.427396108,4296.259813606,66065.0
2008-12-02,4218.616563963,4166.854397534,4270.378730392,4270.378730392,30956.0
2008-12-03,4270.378730392,4270.378730392,4373.90306325,4296.259813606,17498.0
2008-12-04,4296.259813606,4218.616563963,4399.784146464,4399.784146464,85697.0
2008-12-05,4244.497647177,4192.735480748,4296.259813606,4192.735480748,122712.0
2008-12-08,4024.508439854,3985.686815032,4063.330064676,3985.686815032,84186.0
2008-12-09,4063.330064676,4011.567898247,4115.092231105,4011.567898247,48681.0
2008-12-10,4011.567898247,3908.043565389,4011.567898247,3959.805731818,53551.0
2008-12-11,3959.805731818,3856.28139896,4037.448981461,4037.448981461,48869.0
2008-12-12,4179.794939141,4140.973314319,4218.616563963,4218.616563963,58628.0
2008-12-15,4218.616563963,4218.616563963,4373.90306325,4270.378730392,96041.0
