Date,Price Open,Price Low,Price High,Price Close,Volume
2006-12-29,3025.666172648,3025.666172648,3025.666172648,3025.666172648,584833.0
2007-01-02,3025.666172648,2882.345143417,3121.213525468,2882.345143417,980804.0
2007-01-03,2802.7223494005,2739.024114187,2866.420584614,2866.420584614,1508079.0
2007-01-04,3009.741613845,3009.741613845,3009.741613845,3009.741613845,595754.0
2007-01-05,3153.062643075,3153.062643075,3153.062643075,3153.062643075,1838398.0
2007-01-08,3153.062643075,3121.213525468,3168.987201879,3121.213525468,1240973.0
2007-01-09,3121.213525468,3089.364407862,3121.213525468,3089.364407862,888171.0
2007-01-10,3089.364407862,3009.741613845,3089.364407862,3009.741613845,741449.0
2007-01-11,2866.420584614,2866.420584614,2866.420584614,2866.420584614,876993.0
2007-01-12,2866.420584614,2866.420584614,2866.420584614,2866.420584614,1528251.0
2007-01-15,3001.779334443,2993.817055041,3009.741613845,3009.741613845,1324484.0
2007-01-16,3073.439849058,3025.666172648,3121.213525468,3025.666172648,1524268.0
2007-01-17,3129.1758048705,3089.364407862,3168.987201879,3153.062643075,3221725.0
2007-01-18,3280.459113503,3280.459113503,3280.459113503,3280.459113503,1649149.0
2007-01-19,3439.704701537,3439.704701537,3439.704701537,3439.704701537,259141.0
2007-01-22,3535.2520543575,3471.553819144,3598.950289571,3471.553819144,2709995.0
2007-01-23,3630.799407178,3630.799407178,3630.799407178,3630.799407178,1198832.0
2007-01-24,3790.044995212,3790.044995212,3790.044995212,3790.044995212,895237.0
2007-01-25,3949.290583246,3949.290583246,3949.290583246,3949.290583246,2363746.0
2007-01-26,3949.290583246,3949.290583246,4140.385288887,3949.290583246,2866611.0
2007-01-29,4140.385288887,4140.385288887,4140.385288887,4140.385288887,1083073.0
2007-01-30,4331.479994528,4331.479994528,4331.479994528,4331.479994528,390189.0
2007-01-31,4522.574700169,4522.574700169,4522.574700169,4522.574700169,555026.0
2007-02-01,4745.518523416,4745.518523416,4745.518523416,4745.518523416,1938739.0
2007-02-02,4777.367641023,4777.367641023,4777.367641023,4777.367641023,1406710.0
2007-02-05,5000.311464271,5000.311464271,5000.311464271,5000.311464271,1540713.0
2007-02-06,5143.632493502,5064.009699485,5223.255287519,5223.255287519,1153607.0
2007-02-07,5478.048228373,5478.048228373,5478.048228373,5478.048228373,889841.0
2007-02-08,5732.841169228,5732.841169228,5732.841169228,5732.841169228,622349.0
2007-02-09,5732.841169228,5446.199110766,5732.841169228,5446.199110766,1125856.0
2007-02-12,5700.992051621,5700.992051621,5700.992051621,5700.992051621,520723.0
