Date,Price Open,Price Low,Price High,Price Close,Volume
2007-10-16,27668.296592206,16908.403473015,38428.189711397,29973.98797489,114044.0
2007-10-17,28821.142283548,28821.142283548,28821.142283548,28821.142283548,129421.0
2007-10-18,31030.763191953494,30358.269872004,31703.256511903,31126.833666232,85304.0
2007-10-19,31126.833666232,28475.288576146,33816.80694603,28821.142283548,22699.0
2007-10-22,28821.142283548,27091.873746535,30166.128923447,27091.873746535,32584.0
2007-10-23,25420.247494089497,24747.75417414,26092.740814039,24747.75417414,50890.0
2007-10-24,24747.75417414,22403.634601745,27284.014695092,27091.873746535,85854.0
2007-10-25,25823.743486059,24594.041415294,27053.445556824,27053.445556824,92077.0
2007-10-26,28782.714093836497,28052.57848932,29512.849698353,29013.283232105,52903.0
2007-10-29,29013.283232105,26400.16633173,29205.424180662,26400.16633173,19770.0
2007-10-30,26400.16633173,25593.174347791,27668.296592206,25593.174347791,14278.0
2007-10-31,25593.174347791,23249.054775395,25746.887106636,25746.887106636,17573.0
2007-11-01,25746.887106636,23441.195723952,26323.309952307,25939.028055193,51988.0
2007-11-02,25939.028055193,24978.323312408,26323.309952307,25170.464260965,11715.0
2007-11-05,23441.195723952,23056.913826838,23825.477621066,23441.195723952,19587.0
2007-11-06,22653.417834869,22288.350032611,23018.485637127,22864.772878281,8603.0
2007-11-07,22864.772878281,22288.350032611,23441.195723952,22864.772878281,43933.0
2007-11-08,22864.772878281,22672.631929725,23441.195723952,22672.631929725,8237.0
2007-11-09,22076.994989198,21865.639945785,22288.350032611,21904.068135497,18122.0
2007-11-12,21904.068135497,21904.068135497,21904.068135497,21904.068135497,37526.0
2007-11-13,20270.8700727625,19982.658649927,20559.081495598,19982.658649927,3661.0
2007-11-14,20943.363392712,20366.940547041,21519.786238383,21135.504341269,31119.0
2007-11-15,21135.504341269,21135.504341269,22288.350032611,21904.068135497,2379.0
2007-11-19,20943.363392712,20366.940547041,21519.786238383,21519.786238383,1281.0
2007-11-20,20174.799598484,19598.376752813,20751.222444155,20751.222444155,4027.0
2007-11-21,19214.094855699,19214.094855699,19214.094855699,19214.094855699,2745.0
2007-11-22,19214.094855699,19214.094855699,20174.799598484,19214.094855699,7139.0
2007-11-23,18829.812958585,18829.812958585,18829.812958585,18829.812958585,5491.0
2007-11-26,18829.812958585,17869.1082158,19406.235804256,19406.235804256,39174.0
2007-11-27,20194.0136933395,19598.376752813,20789.650633866,19982.658649927,4576.0
2007-11-28,19982.658649927,19598.376752813,19982.658649927,19598.376752813,915.0
2007-11-29,20194.013693339497,20021.086839638,20366.940547041,20021.086839638,915.0
2007-11-30,19982.658649927,19982.658649927,19982.658649927,19982.658649927,732.0
2007-12-03,19982.658649927,19329.379424833,20213.227788195,19329.379424833,4576.0
2007-12-04,20655.1519698765,19982.658649927,21327.645289826,21327.645289826,28007.0
2007-12-05,20924.149297856,20559.081495598,21289.217100114,20559.081495598,26543.0
2007-12-06,20559.081495598,19214.094855699,21135.504341269,19598.376752813,18671.0
2007-12-07,20463.0110213195,19982.658649927,20943.363392712,19982.658649927,11715.0
2007-12-10,19694.4472270915,19598.376752813,19790.51770137,19598.376752813,2562.0
2007-12-11,19598.376752813,18061.249164357,19598.376752813,18061.249164357,2745.0
2007-12-12,19137.238476276,18868.241148296,19406.235804256,19406.235804256,14644.0
2007-12-13,19406.235804256,19214.094855699,20751.222444155,19329.379424833,4759.0
2007-12-14,18829.812958585,18445.531061471,19214.094855699,19214.094855699,1098.0
2007-12-17,18637.672010028,18445.531061471,18829.812958585,18445.531061471,11349.0
2007-12-18,18445.531061471,17676.967267243,18445.531061471,18445.531061471,3661.0
2007-12-19,18445.531061471,18445.531061471,19214.094855699,18445.531061471,8420.0
2007-12-21,18445.531061471,16869.975283303,19137.238476276,16869.975283303,549.0
2007-12-25,16869.975283303,16677.834334747,19214.094855699,19021.953907142,2928.0
2007-12-26,16716.262524457998,16139.839678787,17292.685370129,17292.685370129,14461.0
2007-12-27,17292.685370129,17292.685370129,17292.685370129,17292.685370129,3844.0
2007-12-28,17446.3981289745,17407.969939263,17484.826318686,17484.826318686,2928.0
2008-01-02,17619.324982676,17561.682698109,17676.967267243,17676.967267243,6407.0
2008-01-03,18349.4605871925,17869.1082158,18829.812958585,18829.812958585,9152.0
