Date,Price Open,Price Low,Price High,Price Close,Volume
2005-12-26,646.044933925,646.044933925,646.044933925,646.044933925,11026.0
2006-01-11,646.044933925,646.044933925,646.044933925,646.044933925,4410.0
2006-02-06,593.662912255,593.662912255,593.662912255,593.662912255,11026.0
2006-02-10,611.123586145,611.123586145,611.123586145,611.123586145,22052.0
2006-02-13,593.662912255,593.662912255,593.662912255,593.662912255,11026.0
2006-02-24,593.662912255,593.662912255,593.662912255,593.662912255,11026.0
2006-02-27,611.123586145,611.123586145,611.123586145,611.123586145,2205.0
2006-03-01,,611.123586145,611.123586145,611.123586145,0.0
2006-03-03,618.107855701,618.107855701,618.107855701,618.107855701,40796.0
2006-03-08,663.505607815,663.505607815,663.505607815,663.505607815,1102.0
2006-03-10,628.584260035,628.584260035,628.584260035,628.584260035,1102.0
2006-03-15,690.876393912,690.876393912,690.876393912,690.876393912,27565.0
2006-03-20,755.05616821,755.05616821,755.05616821,755.05616821,19846.0
2006-03-22,792.80897662,792.80897662,792.80897662,792.80897662,19846.0
2006-03-24,785.258414938,785.258414938,785.258414938,785.258414938,125697.0
2006-03-27,800.359538303,800.359538303,800.359538303,800.359538303,27565.0
2006-03-29,849.438189236,849.438189236,849.438189236,849.438189236,172007.0
2006-03-31,906.067401852,906.067401852,906.067401852,906.067401852,62848.0
2006-04-03,970.24717615,970.24717615,970.24717615,970.24717615,12128.0
2006-04-05,1064.629197176,1064.629197176,1064.629197176,1064.629197176,66156.0
2006-04-07,1132.584252315,1132.584252315,1132.584252315,1132.584252315,30873.0
2006-04-10,1094.831443904,1094.831443904,1094.831443904,1094.831443904,29770.0
2006-04-12,1079.73032054,1079.73032054,1079.73032054,1079.73032054,34180.0
2006-04-14,1057.078635494,1057.078635494,1057.078635494,1057.078635494,37488.0
2006-04-17,1113.70784811,1113.70784811,1113.70784811,1113.70784811,170904.0
2006-04-19,1132.584252315,1132.584252315,1132.584252315,1132.584252315,99234.0
2006-04-21,1151.46065652,1151.46065652,1151.46065652,1151.46065652,67259.0
2006-04-24,1189.213464931,1189.213464931,1189.213464931,1189.213464931,86003.0
2006-04-26,1298.696609321,1298.696609321,1298.696609321,1298.696609321,180828.0
2006-04-28,1226.966273341,1226.966273341,1226.966273341,1226.966273341,71669.0
2006-05-03,1242.067396705,1242.067396705,1242.067396705,1242.067396705,44104.0
2006-05-05,1245.842677546,1245.842677546,1245.842677546,1245.842677546,97029.0
2006-05-08,1253.393239229,1253.393239229,1253.393239229,1253.393239229,92619.0
2006-05-10,1155.235937361,1155.235937361,1155.235937361,1155.235937361,49617.0
2006-05-12,1208.089869136,1208.089869136,1208.089869136,1208.089869136,27565.0
2006-05-15,1253.393239229,1253.393239229,1253.393239229,1253.393239229,149955.0
2006-05-17,1208.089869136,1208.089869136,1208.089869136,1208.089869136,77182.0
2006-05-19,1132.584252315,1132.584252315,1132.584252315,1132.584252315,26462.0
2006-05-22,1102.382005587,1102.382005587,1102.382005587,1102.382005587,4410.0
2006-05-24,1094.831443904,1094.831443904,1094.831443904,1094.831443904,69464.0
2006-05-26,1038.202231289,1038.202231289,1038.202231289,1038.202231289,83798.0
2006-05-29,981.573018673,981.573018673,981.573018673,981.573018673,152160.0
2006-05-31,1000.449422878,1000.449422878,1000.449422878,1000.449422878,35283.0
