Date,Price Open,Price Low,Price High,Price Close,Volume
2008-02-26,19712.728720464,19712.728720464,19712.728720464,19712.728720464,300.0
2008-02-27,18774.027352823,18774.027352823,18774.027352823,18774.027352823,220.0
2008-02-28,17864.660402921,17835.325985182,17893.99482066,17835.325985182,340.0
2008-02-29,16955.293453019,16955.293453019,16955.293453019,16955.293453019,300.0
2008-03-03,16133.929756333,16133.929756333,16133.929756333,16133.929756333,20.0
2008-03-04,15371.234895124,15371.234895124,15371.234895124,15371.234895124,210.0
2008-03-05,14608.540033916,14608.540033916,14608.540033916,14608.540033916,200.0
2008-03-06,14608.540033916,13904.514008185,15312.566059647,14139.189350095,48880.0
2008-03-07,14139.189350095,13493.832159842,14843.215375826,14843.215375826,144960.0
2008-03-10,14843.215375826,14139.189350095,15371.234895124,14139.189350095,17310.0
2008-03-11,13435.163324364,13435.163324364,13435.163324364,13435.163324364,2290.0
2008-03-12,12789.806134111,12789.806134111,12789.806134111,12789.806134111,15590.0
2008-03-13,12203.117779335,12203.117779335,12203.117779335,12203.117779335,8620.0
2008-03-14,11616.429424559,11616.429424559,11616.429424559,11616.429424559,4870.0
2008-03-17,11088.409905261,11088.409905261,11088.409905261,11088.409905261,2500.0
2008-03-18,10560.390385963,10560.390385963,10560.390385963,10560.390385963,720.0
2008-03-19,10560.390385963,10032.370866665,11088.409905261,10032.370866665,59710.0
2008-03-20,9768.3611070155,9563.020182844,9973.702031187,9563.020182844,9600.0
2008-03-21,9093.669499024,9093.669499024,9093.669499024,9093.669499024,7990.0
2008-03-24,8682.987650681,8682.987650681,8682.987650681,8682.987650681,9910.0
2008-03-25,8272.305802338,8272.305802338,8272.305802338,8272.305802338,1180.0
2008-03-26,8272.305802338,7861.623953995,8272.305802338,7861.623953995,13130.0
2008-03-27,7861.623953995,7861.623953995,7920.292789472,7920.292789472,6130.0
2008-03-28,7920.292789472,7920.292789472,7978.96162495,7978.96162495,8390.0
2008-03-31,8037.630460427,8037.630460427,8037.630460427,8037.630460427,1810.0
2008-04-01,8096.299295905,8096.299295905,8096.299295905,8096.299295905,5100.0
2008-04-02,8154.968131383,8154.968131383,8154.968131383,8154.968131383,100.0
2008-04-03,8213.63696686,8213.63696686,8213.63696686,8213.63696686,880.0
2008-04-04,8272.305802338,8272.305802338,8272.305802338,8272.305802338,10.0
2008-04-07,8389.643473293,8389.643473293,8389.643473293,8389.643473293,10100.0
2008-04-08,8389.643473293,8389.643473293,8506.981144248,8506.981144248,52960.0
2008-04-09,8506.981144248,8389.643473293,8624.318815203,8506.981144248,11540.0
2008-04-10,8506.981144248,8389.643473293,8506.981144248,8389.643473293,850.0
2008-04-11,8272.305802338,8272.305802338,8272.305802338,8272.305802338,580.0
2008-04-16,8154.968131383,8154.968131383,8154.968131383,8154.968131383,3240.0
2008-04-17,8154.968131383,8037.630460427,8272.305802338,8272.305802338,6090.0
2008-04-18,8154.968131383,8154.968131383,8154.968131383,8154.968131383,6040.0
