Date,Price Open,Price Low,Price High,Price Close,Volume
2010-12-17,7405.479985681,7083.502594999,7727.457376363,7244.49129034,226281.0
2010-12-20,7244.49129034,7244.49129034,7598.66642009,7598.66642009,114248.0
2010-12-21,7598.66642009,7485.974333351,7968.940419374,7485.974333351,61235.0
2010-12-22,7485.974333351,7469.875463817,7791.852854499,7485.974333351,53391.0
2010-12-23,7381.3316813795,7292.787898942,7469.875463817,7324.98563801,116844.0
2010-12-24,7405.479985681,7373.282246613,7437.677724749,7437.677724749,61615.0
2010-12-27,7437.677724749,7389.381116147,7437.677724749,7437.677724749,34787.0
2010-12-28,7155.9475079025,7067.403725465,7244.49129034,7067.403725465,44993.0
2010-12-29,7067.403725465,6729.327465249,7083.502594999,7083.502594999,60069.0
2010-12-30,7083.502594999,7083.502594999,7389.381116147,7244.49129034,35050.0
2010-12-31,7244.49129034,7244.49129034,7566.468681022,7244.49129034,1487.0
2011-01-04,7083.502594999,7083.502594999,7083.502594999,7083.502594999,437.0
2011-01-05,6922.513899658,6922.513899658,6922.513899658,6922.513899658,8747.0
2011-01-06,6922.513899658,6632.734248045,6922.513899658,6842.019551988,45227.0
2011-01-07,7083.502594999,7003.008247329,7163.996942669,7003.008247329,5248.0
2011-01-10,7003.008247329,6664.931987113,7244.49129034,6664.931987113,189102.0
2011-01-11,6914.464464891,6842.019551988,6986.909377794,6986.909377794,270050.0
2011-01-12,7123.7497688345,7003.008247329,7244.49129034,7067.403725465,261010.0
2011-01-13,7067.403725465,7051.304855931,7163.996942669,7163.996942669,281977.0
2011-01-14,7163.996942669,7147.898073135,7212.293551272,7180.095812204,304167.0
2011-01-17,7180.095812204,7163.996942669,7324.98563801,7180.095812204,297169.0
2011-01-18,7180.095812204,7180.095812204,7308.886768476,7292.787898942,261273.0
2011-01-19,7244.49129034,7212.293551272,7276.689029408,7212.293551272,219953.0
2011-01-20,7212.293551272,6906.415030124,7260.590159874,7212.293551272,269817.0
2011-01-21,7252.540725107,7228.392420806,7276.689029408,7276.689029408,160671.0
2011-01-24,7276.689029408,7180.095812204,7324.98563801,7244.49129034,215783.0
2011-01-25,7244.49129034,7099.601464533,7598.66642009,7163.996942669,198287.0
2011-01-26,7163.996942669,7003.008247329,7244.49129034,7115.700334067,239257.0
2011-01-27,7115.700334067,7003.008247329,7292.787898942,7260.590159874,396021.0
2011-01-28,7260.590159874,7163.996942669,7405.479985681,7341.084507544,402466.0
2011-02-08,7341.084507544,7244.49129034,7357.183377079,7357.183377079,83951.0
2011-02-09,7357.183377079,7051.304855931,7389.381116147,7373.282246613,198025.0
2011-02-10,7204.244116505,7051.304855931,7357.183377079,7357.183377079,119585.0
2011-02-11,7357.183377079,7099.601464533,7357.183377079,7357.183377079,261594.0
2011-02-14,7357.183377079,7163.996942669,7405.479985681,7163.996942669,206744.0
2011-02-15,7163.996942669,7003.008247329,7244.49129034,7180.095812204,189335.0
2011-02-16,7180.095812204,7163.996942669,7389.381116147,7212.293551272,208435.0
2011-02-17,7212.293551272,7003.008247329,7244.49129034,7131.799203601,141134.0
2011-02-18,7131.799203601,7115.700334067,7196.194681738,7115.700334067,119993.0
2011-02-21,7115.700334067,6761.525204317,7163.996942669,6761.525204317,116814.0
2011-02-22,6471.7455527035,6423.448944101,6520.042161306,6423.448944101,8981.0
2011-02-23,6624.684813277499,6600.536508976,6648.833117579,6648.833117579,2915.0
2011-02-24,6809.82181292,6809.82181292,6809.82181292,6809.82181292,1457.0
2011-02-25,6954.711638726,6954.711638726,6954.711638726,6954.711638726,1457.0
2011-03-04,6954.711638726,6954.711638726,6954.711638726,6954.711638726,29.0
2011-03-07,6616.63537851,6616.63537851,6616.63537851,6616.63537851,5831.0
2011-03-08,6616.63537851,6294.657987829,6616.63537851,6616.63537851,3003.0
2011-03-10,6616.63537851,6600.536508976,6938.612769192,6938.612769192,2653.0
2011-03-11,6970.81050826,6970.81050826,6970.81050826,6970.81050826,11663.0
2011-03-14,6640.783682812,6632.734248045,6648.833117579,6632.734248045,320.0
2011-03-15,6632.734248045,6326.855726897,6648.833117579,6326.855726897,116.0
2011-03-16,6326.855726897,6020.977205749,6632.734248045,6020.977205749,3586.0
2011-03-17,6020.977205749,6020.977205749,6310.756857363,6020.977205749,2974.0
2011-03-18,6310.756857363,6310.756857363,6310.756857363,6310.756857363,4432.0
2011-03-21,6584.437639442,6584.437639442,6584.437639442,6584.437639442,14025.0
2011-03-22,6262.46024876,6262.46024876,6262.46024876,6262.46024876,4373.0
2011-03-25,6439.547813635,6439.547813635,6439.547813635,6439.547813635,29.0
2011-03-28,6600.536508976,6600.536508976,6600.536508976,6600.536508976,11663.0
2011-03-29,6600.536508976,6600.536508976,6600.536508976,6600.536508976,291.0
2011-03-30,6858.118421522,6858.118421522,6858.118421522,6858.118421522,262.0
2011-04-04,6600.536508976,6600.536508976,6600.536508976,6600.536508976,3207.0
2011-04-05,6439.547813635,6439.547813635,6439.547813635,6439.547813635,437.0
2011-04-06,6439.547813635,6278.559118295,6439.547813635,6439.547813635,8018.0
2011-04-07,6439.547813635,6439.547813635,6439.547813635,6439.547813635,145.0
2011-04-08,6439.547813635,6439.547813635,6439.547813635,6439.547813635,291.0
2011-04-14,6600.536508976,6600.536508976,6600.536508976,6600.536508976,29.0
2011-04-18,6600.536508976,6439.547813635,6600.536508976,6439.547813635,4373.0
2011-04-19,6117.570422954,6117.570422954,6117.570422954,6117.570422954,2624.0
2011-04-20,6407.350074567,6407.350074567,6407.350074567,6407.350074567,291.0
2011-04-21,6101.47155342,6101.47155342,6101.47155342,6101.47155342,29.0
2011-04-22,6375.152335499,6375.152335499,6375.152335499,6375.152335499,29.0
2011-04-25,6375.152335499,6117.570422954,6439.547813635,6439.547813635,1457.0
2011-04-27,6439.547813635,6439.547813635,6600.536508976,6600.536508976,291.0
2011-04-29,6761.525204317,6761.525204317,6761.525204317,6761.525204317,29.0
2011-05-04,6761.525204317,6423.448944101,6761.525204317,6761.525204317,1166.0
2011-05-09,6600.536508976,6600.536508976,6600.536508976,6600.536508976,6998.0
2011-05-10,6600.536508976,6600.536508976,6600.536508976,6600.536508976,145.0
2011-05-11,6600.536508976,6600.536508976,6761.525204317,6600.536508976,16358.0
2011-05-12,6584.437639442,6584.437639442,6584.437639442,6584.437639442,466.0
2011-05-13,6584.437639442,6439.547813635,6584.437639442,6584.437639442,7873.0
2011-05-16,6278.559118295,6278.559118295,6278.559118295,6278.559118295,6123.0
2011-05-17,6117.570422954,6117.570422954,6117.570422954,6117.570422954,2915.0
2011-05-18,6117.570422954,6117.570422954,6278.559118295,6117.570422954,23386.0
2011-05-19,6423.448944101,6423.448944101,6423.448944101,6423.448944101,58.0
2011-05-23,6673.432514366999,6609.87601423,6736.989014504,6609.87601423,12402.0
2011-05-24,6279.382213518,6279.382213518,6279.382213518,6279.382213518,194.0
2011-05-25,5974.311012862,5974.311012862,5974.311012862,5974.311012862,19.0
2011-05-26,5758.2189123965,5694.66241226,5821.775412533,5821.775412533,136.0
2011-05-27,5821.775412533,5542.126811931,5821.775412533,5821.775412533,6376.0
