Date,Price Open,Price Low,Price High,Price Close,Volume
2017-01-13,3767.933934267,3767.933934267,3924.931181529,3767.933934267,523298.0
2017-01-16,3506.271855499,3506.271855499,3506.271855499,3506.271855499,31514.0
2017-01-17,3270.775984607,3270.775984607,3401.607023991,3296.942192484,2183619.0
2017-01-18,3139.944945223,3139.944945223,3401.607023991,3375.440816115,700537.0
2017-01-19,3375.440816115,3270.775984607,3375.440816115,3270.775984607,185911.0
2017-01-20,3296.942192484,3270.775984607,3453.939439745,3414.69012793,387501.0
2017-01-23,3414.69012793,3179.194257038,3414.69012793,3310.025296422,124736.0
2017-01-24,3349.274608238,3310.025296422,3388.523920053,3375.440816115,270996.0
2017-01-25,3401.607023991,3375.440816115,3440.856335807,3427.773231868,145254.0
2017-02-02,3453.939439745,3375.440816115,3453.939439745,3388.523920053,249159.0
2017-02-03,3375.440816115,3349.274608238,3401.607023991,3388.523920053,667232.0
2017-02-06,3349.274608238,3349.274608238,3414.69012793,3414.69012793,103654.0
2017-02-07,3427.773231868,3375.440816115,3427.773231868,3388.523920053,81031.0
2017-02-08,3349.274608238,3349.274608238,3401.607023991,3401.607023991,121155.0
2017-02-09,3375.440816115,3349.274608238,3388.523920053,3388.523920053,152732.0
2017-02-10,3388.523920053,3336.191504299,3401.607023991,3401.607023991,219122.0
2017-02-13,3401.607023991,3362.357712176,3401.607023991,3362.357712176,66264.0
2017-02-14,3375.440816115,3323.108400361,3375.440816115,3323.108400361,177365.0
2017-02-15,3349.274608238,3323.108400361,3388.523920053,3388.523920053,109435.0
2017-02-16,3388.523920053,3375.440816115,3401.607023991,3388.523920053,240487.0
2017-02-17,3375.440816115,3362.357712176,3401.607023991,3401.607023991,116662.0
2017-02-20,3427.773231868,3427.773231868,3637.102894883,3610.936687006,646307.0
2017-02-21,3637.102894883,3558.604271253,3663.26910276,3558.604271253,159330.0
2017-02-22,3610.936687006,3571.687375191,3610.936687006,3571.687375191,108524.0
2017-02-23,3453.939439745,3440.856335807,3506.271855499,3453.939439745,203726.0
2017-02-24,3427.773231868,3401.607023991,3453.939439745,3401.607023991,174757.0
2017-02-27,3401.607023991,3375.440816115,3610.936687006,3532.438063376,142740.0
2017-02-28,3401.607023991,3401.607023991,3532.438063376,3401.607023991,74056.0
2017-03-01,3453.939439745,3453.939439745,3493.18875156,3493.18875156,62839.0
2017-03-02,3506.271855499,3414.69012793,3506.271855499,3427.773231868,11154.0
2017-03-03,3401.607023991,3401.607023991,3532.438063376,3506.271855499,226820.0
2017-03-06,3571.687375191,3519.354959437,3571.687375191,3532.438063376,141389.0
2017-03-07,3506.271855499,3506.271855499,3519.354959437,3506.271855499,66515.0
2017-03-08,3506.271855499,3506.271855499,3506.271855499,3506.271855499,17312.0
2017-03-09,3401.607023991,3401.607023991,3506.271855499,3506.271855499,54136.0
2017-03-10,3427.773231868,3414.69012793,3427.773231868,3414.69012793,34499.0
2017-03-13,3414.69012793,3414.69012793,3453.939439745,3453.939439745,25230.0
2017-03-14,3453.939439745,3427.773231868,3480.105647622,3480.105647622,71480.0
2017-03-15,3427.773231868,3362.357712176,3427.773231868,3427.773231868,146730.0
2017-03-16,3427.773231868,3375.440816115,3427.773231868,3401.607023991,64379.0
2017-03-17,3401.607023991,3388.523920053,3427.773231868,3401.607023991,102617.0
2017-03-20,3467.022543684,3401.607023991,3467.022543684,3401.607023991,173060.0
2017-03-21,3401.607023991,3401.607023991,3427.773231868,3401.607023991,66892.0
2017-03-22,3388.523920053,3388.523920053,3401.607023991,3388.523920053,59666.0
2017-03-23,3375.440816115,3362.357712176,3401.607023991,3388.523920053,101926.0
2017-03-24,3375.440816115,3375.440816115,3467.022543684,3427.773231868,309862.0
2017-03-27,3440.856335807,3440.856335807,3584.770479129,3571.687375191,906589.0
2017-03-28,3558.604271253,3519.354959437,3558.604271253,3532.438063376,287209.0
2017-03-29,3519.354959437,3506.271855499,3571.687375191,3571.687375191,100669.0
2017-03-30,3558.604271253,3532.438063376,3584.770479129,3532.438063376,216325.0
2017-03-31,3545.521167314,3519.354959437,3558.604271253,3545.521167314,141012.0
2017-04-03,3545.521167314,3545.521167314,3597.853583068,3545.521167314,139661.0
2017-04-04,3545.521167314,3532.438063376,3545.521167314,3532.438063376,138687.0
2017-04-05,3506.271855499,3506.271855499,3545.521167314,3506.271855499,197128.0
2017-04-07,3427.773231868,3427.773231868,3558.604271253,3532.438063376,176893.0
2017-04-10,3545.521167314,3532.438063376,3545.521167314,3532.438063376,208533.0
2017-04-11,3532.438063376,3506.271855499,3545.521167314,3532.438063376,145442.0
2017-04-12,3545.521167314,3493.18875156,3545.521167314,3493.18875156,185377.0
2017-04-13,3506.271855499,3506.271855499,3545.521167314,3506.271855499,349546.0
2017-04-14,3493.18875156,3480.105647622,3532.438063376,3532.438063376,59792.0
2017-04-17,3571.687375191,3532.438063376,3571.687375191,3545.521167314,97118.0
2017-04-18,3453.939439745,3453.939439745,3545.521167314,3506.271855499,59509.0
2017-04-19,3532.438063376,3506.271855499,3532.438063376,3532.438063376,33179.0
2017-04-20,3532.438063376,3506.271855499,3532.438063376,3532.438063376,69249.0
2017-04-21,3532.438063376,3532.438063376,3545.521167314,3545.521167314,190498.0
2017-04-24,3545.521167314,3519.354959437,3545.521167314,3519.354959437,37672.0
2017-04-25,3506.271855499,3506.271855499,3532.438063376,3519.354959437,51151.0
2017-04-26,3506.271855499,3453.939439745,3532.438063376,3532.438063376,58095.0
2017-04-27,3532.438063376,3532.438063376,3545.521167314,3545.521167314,98438.0
2017-04-28,3558.604271253,3532.438063376,3558.604271253,3545.521167314,54827.0
2017-05-03,3545.521167314,3545.521167314,3558.604271253,3545.521167314,41065.0
2017-05-04,3545.521167314,3532.438063376,3558.604271253,3545.521167314,56964.0
2017-05-05,3558.604271253,3545.521167314,3663.26910276,3584.770479129,140604.0
2017-05-08,3674.388037528,3644.514964052,3689.324574266,3644.514964052,39189.0
2017-05-09,3644.514964052,3554.895743624,3644.514964052,3584.7688171,16766.0
2017-05-10,3614.641890576,3569.832280362,3644.514964052,3599.705353838,116367.0
2017-05-11,3614.641890576,3569.832280362,3644.514964052,3569.832280362,84690.0
2017-05-12,3569.832280362,3569.832280362,3614.641890576,3584.7688171,100429.0
2017-05-15,3584.7688171,3554.895743624,3599.705353838,3584.7688171,50643.0
2017-05-16,3584.7688171,3569.832280362,3599.705353838,3569.832280362,88318.0
2017-05-17,3554.895743624,3554.895743624,3599.705353838,3584.7688171,27992.0
2017-05-18,3554.895743624,3554.895743624,3599.705353838,3584.7688171,58012.0
2017-05-19,3569.832280362,3569.832280362,3704.261111004,3569.832280362,550876.0
2017-05-22,3584.7688171,3554.895743624,3629.578427314,3584.7688171,222681.0
2017-05-23,3584.7688171,3554.895743624,3584.7688171,3584.7688171,50300.0
2017-05-24,3539.959206886,3539.959206886,3644.514964052,3614.641890576,329908.0
2017-05-25,3644.514964052,3569.832280362,3644.514964052,3614.641890576,51414.0
2017-05-26,3584.7688171,3569.832280362,3584.7688171,3584.7688171,79492.0
2017-05-29,3569.832280362,3554.895743624,3614.641890576,3584.7688171,245475.0
2017-05-30,3554.895743624,3510.086133411,3554.895743624,3510.086133411,140446.0
2017-05-31,3510.086133411,3495.149596673,3525.022670149,3525.022670149,137676.0
2017-06-01,3569.832280362,3495.149596673,3569.832280362,3525.022670149,45873.0
2017-06-02,3495.149596673,3480.213059935,3495.149596673,3495.149596673,36475.0
2017-06-05,3495.149596673,3480.213059935,3510.086133411,3480.213059935,84005.0
2017-06-06,3480.213059935,3465.276523197,3495.149596673,3495.149596673,38303.0
2017-06-07,3554.895743624,3495.149596673,3554.895743624,3525.022670149,39789.0
2017-06-08,3525.022670149,3525.022670149,3539.959206886,3539.959206886,59983.0
2017-06-09,3525.022670149,3480.213059935,3525.022670149,3525.022670149,129164.0
2017-06-12,3480.213059935,3465.276523197,3495.149596673,3495.149596673,175694.0
2017-06-13,3510.086133411,3480.213059935,3510.086133411,3480.213059935,62068.0
2017-06-14,3510.086133411,3495.149596673,3510.086133411,3510.086133411,117624.0
2017-06-15,3510.086133411,3510.086133411,3614.641890576,3584.7688171,180264.0
2017-06-16,3614.641890576,3614.641890576,3764.007257955,3749.070721217,1339258.0
2017-06-19,3749.070721217,3704.261111004,3764.007257955,3734.134184479,927258.0
2017-06-20,3749.070721217,3704.261111004,3749.070721217,3734.134184479,1000694.0
2017-06-21,3704.261111004,3704.261111004,3719.197647741,3704.261111004,330194.0
2017-06-22,3704.261111004,3704.261111004,3734.134184479,3719.197647741,422511.0
2017-06-23,3734.134184479,3480.213059935,3734.134184479,3719.197647741,573184.0
2017-06-26,3734.134184479,3704.261111004,3749.070721217,3719.197647741,543449.0
2017-06-27,3734.134184479,3674.388037528,3734.134184479,3704.261111004,137761.0
2017-06-28,3719.197647741,3704.261111004,3719.197647741,3719.197647741,150272.0
2017-06-29,3704.261111004,3704.261111004,3734.134184479,3719.197647741,152015.0
2017-06-30,3689.324574266,3644.514964052,3689.324574266,3674.388037528,239705.0
2017-07-03,3719.197647741,3644.514964052,3719.197647741,3704.261111004,416770.0
2017-07-04,3644.514964052,3644.514964052,3674.388037528,3674.388037528,294061.0
2017-07-05,3674.388037528,3629.578427314,3689.324574266,3659.45150079,292262.0
2017-07-06,3674.388037528,3584.7688171,3674.388037528,3659.45150079,357986.0
2017-07-07,3659.45150079,3435.403449721,3659.45150079,3584.7688171,421055.0
2017-07-10,3554.895743624,3510.086133411,3569.832280362,3569.832280362,111312.0
2017-07-11,3554.895743624,3495.149596673,3569.832280362,3569.832280362,359015.0
2017-07-12,3614.641890576,3525.022670149,3614.641890576,3539.959206886,168582.0
2017-07-13,3554.895743624,3510.086133411,3554.895743624,3525.022670149,103742.0
2017-07-14,3584.7688171,3525.022670149,3584.7688171,3539.959206886,53270.0
2017-07-17,3554.895743624,3525.022670149,3584.7688171,3554.895743624,246874.0
2017-07-18,3554.895743624,3495.149596673,3554.895743624,3554.895743624,83005.0
2017-07-19,3554.895743624,3495.149596673,3554.895743624,3539.959206886,159555.0
2017-07-20,3495.149596673,3495.149596673,3539.959206886,3510.086133411,168267.0
2017-07-21,3539.959206886,3480.213059935,3539.959206886,3495.149596673,66838.0
2017-07-24,3495.149596673,3465.276523197,3510.086133411,3495.149596673,159898.0
2017-07-25,3510.086133411,3465.276523197,3510.086133411,3465.276523197,163697.0
2017-07-26,3510.086133411,3495.149596673,3525.022670149,3510.086133411,122080.0
2017-07-27,3525.022670149,3495.149596673,3525.022670149,3510.086133411,138647.0
2017-07-28,3510.086133411,3495.149596673,3525.022670149,3495.149596673,99258.0
2017-07-31,3495.149596673,3495.149596673,3539.959206886,3525.022670149,221453.0
2017-08-01,3525.022670149,3495.149596673,3525.022670149,3510.086133411,175065.0
2017-08-02,3510.086133411,3495.149596673,3510.086133411,3510.086133411,48358.0
2017-08-03,3510.086133411,3465.276523197,3510.086133411,3510.086133411,281436.0
2017-08-04,3510.086133411,3465.276523197,3510.086133411,3465.276523197,151129.0
2017-08-07,3465.276523197,3390.593839507,3584.7688171,3584.7688171,278723.0
2017-08-08,3584.7688171,3465.276523197,3644.514964052,3510.086133411,132249.0
2017-08-09,3525.022670149,3435.403449721,3554.895743624,3495.149596673,181778.0
2017-08-10,3495.149596673,3435.403449721,3495.149596673,3465.276523197,42274.0
2017-08-11,3465.276523197,3435.403449721,3495.149596673,3465.276523197,56612.0
2017-08-14,3495.149596673,3435.403449721,3495.149596673,3465.276523197,56784.0
2017-08-15,3465.276523197,3435.403449721,3465.276523197,3465.276523197,23364.0
2017-08-16,3435.403449721,3420.466912983,3465.276523197,3435.403449721,85576.0
2017-08-17,3435.403449721,3435.403449721,3450.339986459,3435.403449721,82205.0
2017-08-18,3420.466912983,3420.466912983,3465.276523197,3465.276523197,20708.0
2017-08-21,3435.403449721,3435.403449721,3450.339986459,3435.403449721,28420.0
2017-08-22,3330.847692556,3330.847692556,3450.339986459,3420.466912983,64496.0
2017-08-23,3405.530376245,3405.530376245,3405.530376245,3405.530376245,5855.0
2017-08-24,3435.403449721,3405.530376245,3450.339986459,3435.403449721,121680.0
2017-08-25,3405.530376245,3405.530376245,3435.403449721,3435.403449721,6969.0
2017-08-28,3435.403449721,3375.657302769,3435.403449721,3405.530376245,66981.0
2017-08-29,3360.720766031,3360.720766031,3435.403449721,3435.403449721,178950.0
2017-08-30,3435.403449721,3435.403449721,3435.403449721,3435.403449721,14853.0
2017-08-31,3375.657302769,3375.657302769,3420.466912983,3390.593839507,91803.0
2017-09-01,3405.530376245,3405.530376245,3435.403449721,3435.403449721,3656.0
2017-09-05,3405.530376245,3390.593839507,3435.403449721,3390.593839507,70609.0
2017-09-06,3390.593839507,3390.593839507,3420.466912983,3405.530376245,8112.0
2017-09-07,3405.530376245,3375.657302769,3405.530376245,3405.530376245,51157.0
2017-09-08,3405.530376245,3375.657302769,3405.530376245,3375.657302769,92574.0
2017-09-11,3330.847692556,3330.847692556,3390.593839507,3345.784229293,77949.0
2017-09-12,3345.784229293,3330.847692556,3360.720766031,3345.784229293,38617.0
2017-09-13,3345.784229293,3345.784229293,3390.593839507,3390.593839507,13596.0
2017-09-14,3345.784229293,3345.784229293,3375.657302769,3375.657302769,25535.0
2017-09-15,3345.784229293,3330.847692556,3375.657302769,3375.657302769,88746.0
2017-09-18,3360.720766031,3286.038082342,3375.657302769,3375.657302769,58555.0
2017-09-19,3345.784229293,3330.847692556,3375.657302769,3375.657302769,52528.0
2017-09-20,3345.784229293,3345.784229293,3375.657302769,3345.784229293,50757.0
2017-09-21,3345.784229293,3345.784229293,3390.593839507,3375.657302769,45101.0
2017-09-22,3405.530376245,3405.530376245,3584.7688171,3554.895743624,164011.0
2017-09-25,3480.213059935,3450.339986459,3480.213059935,3450.339986459,85176.0
2017-09-26,3405.530376245,3390.593839507,3510.086133411,3510.086133411,22136.0
2017-09-27,3525.022670149,3390.593839507,3525.022670149,3525.022670149,18937.0
2017-09-28,3510.086133411,3405.530376245,3525.022670149,3435.403449721,37018.0
2017-09-29,3450.339986459,3450.339986459,3465.276523197,3450.339986459,72122.0
2017-10-02,3405.530376245,3405.530376245,3495.149596673,3495.149596673,42759.0
2017-10-03,3465.276523197,3435.403449721,3465.276523197,3435.403449721,7055.0
2017-10-04,3435.403449721,3435.403449721,3480.213059935,3435.403449721,5427.0
2017-10-05,3465.276523197,3420.466912983,3465.276523197,3420.466912983,22450.0
2017-10-06,3420.466912983,3420.466912983,3435.403449721,3435.403449721,36104.0
2017-10-09,3465.276523197,3465.276523197,3495.149596673,3495.149596673,51414.0
2017-10-10,3465.276523197,3465.276523197,3525.022670149,3495.149596673,51557.0
2017-10-11,3495.149596673,3465.276523197,3495.149596673,3465.276523197,7540.0
2017-10-12,3465.276523197,3465.276523197,3480.213059935,3465.276523197,29277.0
2017-10-13,3644.514964052,3495.149596673,3704.261111004,3495.149596673,75350.0
2017-10-16,3480.213059935,3465.276523197,3495.149596673,3495.149596673,23222.0
2017-10-17,3525.022670149,3435.403449721,3525.022670149,3435.403449721,21565.0
2017-10-18,3435.403449721,3435.403449721,3525.022670149,3510.086133411,99001.0
2017-10-19,3539.959206886,3525.022670149,3584.7688171,3584.7688171,276980.0
2017-10-20,3584.7688171,3450.339986459,3584.7688171,3554.895743624,6026.0
2017-10-23,3495.149596673,3435.403449721,3495.149596673,3435.403449721,57755.0
2017-10-24,3435.403449721,3435.403449721,3510.086133411,3435.403449721,200201.0
2017-10-25,3435.403449721,3435.403449721,3435.403449721,3435.403449721,35904.0
2017-10-26,3435.403449721,3420.466912983,3435.403449721,3420.466912983,71751.0
2017-10-27,3450.339986459,3435.403449721,3465.276523197,3435.403449721,2999.0
2017-10-30,3435.403449721,3405.530376245,3435.403449721,3435.403449721,42902.0
2017-10-31,3375.657302769,3375.657302769,3405.530376245,3405.530376245,38703.0
2017-11-01,3405.530376245,3345.784229293,3465.276523197,3345.784229293,158213.0
2017-11-02,3345.784229293,3300.97461908,3375.657302769,3315.911155818,204657.0
2017-11-03,3330.847692556,3286.038082342,3345.784229293,3345.784229293,43273.0
2017-11-06,3345.784229293,3286.038082342,3345.784229293,3345.784229293,58640.0
2017-11-07,3345.784229293,3330.847692556,3345.784229293,3345.784229293,58840.0
2017-11-08,3345.784229293,3345.784229293,3345.784229293,3345.784229293,32191.0
2017-11-09,3345.784229293,3300.97461908,3375.657302769,3345.784229293,99372.0
2017-11-10,3315.911155818,3256.165008866,3375.657302769,3360.720766031,54556.0
2017-11-13,3256.165008866,3256.165008866,3435.403449721,3375.657302769,7340.0
2017-11-14,3375.657302769,3286.038082342,3375.657302769,3375.657302769,181778.0
2017-11-15,3405.530376245,3315.911155818,3405.530376245,3375.657302769,139561.0
2017-11-16,3345.784229293,3345.784229293,3360.720766031,3360.720766031,15995.0
2017-11-17,3345.784229293,3315.911155818,3345.784229293,3345.784229293,115825.0
2017-11-20,3345.784229293,3330.847692556,3375.657302769,3345.784229293,141646.0
2017-11-21,3345.784229293,3330.847692556,3375.657302769,3360.720766031,173123.0
2017-11-22,3360.720766031,3330.847692556,3375.657302769,3360.720766031,168781.0
2017-11-23,3360.720766031,3330.847692556,3360.720766031,3345.784229293,86033.0
