Date,Price Open,Price Low,Price High,Price Close,Volume
2007-12-24,2791.424667683,2693.479942501,2889.369392865,2889.369392865,44993.0
2007-12-25,2889.369392865,2889.369392865,2889.369392865,2889.369392865,401.0
2007-12-26,2791.424667683,2791.424667683,2791.424667683,2791.424667683,401.0
2007-12-27,2791.424667683,2595.535217319,2889.369392865,2644.50757991,22898.0
2007-12-28,2644.50757991,2595.535217319,2840.397030274,2595.535217319,13257.0
2008-01-02,2451.0667476755,2448.618129546,2453.515365805,2448.618129546,4017.0
2008-01-03,2448.618129546,2448.618129546,2448.618129546,2448.618129546,401.0
2008-01-04,2448.618129546,2203.756316592,2693.479942501,2203.756316592,12453.0
2008-01-08,2203.756316592,2203.756316592,2399.645766955,2203.756316592,1606.0
2008-01-09,2203.756316592,2179.270135296,2448.618129546,2179.270135296,5624.0
2008-01-10,2203.756316592,2203.756316592,2203.756316592,2203.756316592,2008.0
2008-01-11,2203.756316592,2007.866866228,2301.701041774,2007.866866228,8436.0
2008-01-14,2203.756316592,2203.756316592,2203.756316592,2203.756316592,401.0
2008-01-16,2203.756316592,2203.756316592,2203.756316592,2301.701041774,33343.0
2008-01-18,2301.701041774,2242.934206664,2424.131948251,2301.701041774,24103.0
2008-01-23,2066.633701337,2066.633701337,2066.633701337,2066.633701337,401.0
2008-01-24,1922.165231694,1885.435959751,1958.894503637,1885.435959751,803.0
2008-01-25,2034.801665653,1958.894503637,2110.708827669,1958.894503637,4419.0
2008-01-28,2174.3728990375,2096.017118892,2252.728679183,2096.017118892,2410.0
2008-01-30,2096.017118892,2007.866866228,2105.81159141,2105.81159141,67089.0
2008-01-31,2105.81159141,1865.847014714,2130.297772705,1958.894503637,13658.0
2008-02-01,1958.894503637,1914.819377305,1958.894503637,1914.819377305,12855.0
2008-02-12,1914.819377305,1767.902289532,2144.989481483,1767.902289532,7632.0
2008-02-13,1745.429699863,1727.950432482,1762.908967244,1727.950432482,26112.0
2008-02-14,1902.7431062885,1897.749029894,1907.737182683,1897.749029894,10846.0
2008-02-15,1860.2934569355,1847.808265949,1872.778647922,1872.778647922,2812.0
2008-02-18,1872.778647922,1747.92673806,1997.630557783,1937.70164105,11248.0
2008-02-19,1802.861578399,1747.92673806,1857.796418738,1857.796418738,6427.0
2008-02-20,1857.796418738,1757.914890849,1932.707564655,1757.914890849,1205.0
2008-02-21,1668.0215157490002,1638.057057382,1697.985974116,1648.045210171,6427.0
2008-02-22,1648.045210171,1483.240689154,1812.849731188,1498.222918337,10445.0
2008-02-25,1603.0985226204998,1598.104446226,1608.092599015,1598.104446226,6025.0
2008-02-26,1598.104446226,1448.282154393,1648.045210171,1448.282154393,4017.0
2008-02-27,1498.222918337,1498.222918337,1498.222918337,1498.222918337,1205.0
2008-02-28,1498.222918337,1473.252536365,1498.222918337,1473.252536365,803.0
2008-03-04,1348.400626504,1348.400626504,1348.400626504,1348.400626504,401.0
2008-03-06,1348.400626504,1323.430244531,1483.240689154,1483.240689154,82354.0
2008-03-07,1575.6311024515,1548.163682282,1603.098522621,1603.098522621,228585.0
2008-03-10,1603.098522621,1508.211071126,1747.92673806,1523.19330031,14462.0
2008-03-11,1523.19330031,1523.19330031,1598.104446226,1598.104446226,2410.0
2008-03-12,1465.7614217735,1418.317696026,1513.205147521,1418.317696026,12051.0
2008-03-13,1313.442091742,1303.453938953,1323.430244531,1303.453938953,14060.0
2008-03-14,1303.453938953,1173.607952698,1423.31177242,1178.602029092,25309.0
2008-03-17,1178.602029092,1078.720501203,1198.57833467,1078.720501203,63875.0
2008-03-18,988.827126103,978.838973314,998.815278892,978.838973314,63071.0
2008-03-19,978.838973314,903.927827397,1068.732348414,908.921903791,10043.0
2008-03-20,908.921903791,893.939674608,923.904132975,923.904132975,4419.0
2008-03-21,923.904132975,908.921903791,993.821202497,993.821202497,24505.0
2008-03-24,866.4722544385,848.992987058,883.951521819,863.975216241,10445.0
2008-03-25,814.0344522965,779.075917535,848.992987058,794.058146719,19684.0
2008-03-26,858.981139847,848.992987058,868.969292636,848.992987058,20890.0
2008-03-27,873.96336903,873.96336903,873.96336903,873.96336903,2008.0
2008-03-28,888.945598213,888.945598213,888.945598213,888.945598213,401.0
2008-03-31,903.927827397,903.927827397,903.927827397,903.927827397,401.0
2008-04-01,918.91005658,918.91005658,918.91005658,918.91005658,401.0
2008-04-03,933.892285764,933.892285764,933.892285764,933.892285764,803.0
2008-04-04,948.874514947,948.874514947,948.874514947,948.874514947,401.0
2008-04-07,973.844896919,973.844896919,973.844896919,973.844896919,8034.0
2008-04-08,973.844896919,973.844896919,998.815278892,973.844896919,38164.0
2008-04-09,973.844896919,963.85674413,978.838973314,963.85674413,16069.0
2008-04-11,963.85674413,945.208180147,965.645113772,945.208180147,9239.0
2008-04-16,919.662013116,919.662013116,919.662013116,919.662013116,20086.0
2008-04-17,919.662013116,919.662013116,945.208180147,945.208180147,14060.0
2008-04-18,970.754347178,970.754347178,970.754347178,970.754347178,12051.0
2008-04-21,970.754347178,970.754347178,996.300514209,970.754347178,10445.0
2008-04-22,963.090497069,960.535880366,965.645113772,960.535880366,5222.0
2008-04-23,945.208180147,940.098946741,950.317413553,945.208180147,30933.0
2008-04-24,945.208180147,919.662013116,970.754347178,919.662013116,12855.0
2008-04-25,968.199730475,965.645113772,970.754347178,965.645113772,6829.0
2008-04-28,965.645113772,940.098946741,970.754347178,965.645113772,10846.0
2008-04-29,922.216629819,919.662013116,924.771246522,919.662013116,17676.0
2008-05-05,919.662013116,919.662013116,919.662013116,919.662013116,4017.0
2008-05-06,894.115846085,894.115846085,894.115846085,894.115846085,14462.0
2008-05-07,868.569679054,868.569679054,868.569679054,868.569679054,6025.0
2008-05-08,843.023512023,843.023512023,843.023512023,843.023512023,3213.0
2008-05-09,822.586578398,822.586578398,822.586578398,822.586578398,4017.0
2008-05-12,802.149644773,802.149644773,802.149644773,802.149644773,401.0
2008-05-13,781.712711149,781.712711149,781.712711149,781.712711149,803.0
2008-05-14,761.275777524,761.275777524,761.275777524,761.275777524,3213.0
2008-05-15,740.838843899,740.838843899,740.838843899,740.838843899,8034.0
2008-05-16,740.838843899,720.401910274,761.275777524,730.620377087,25710.0
2008-05-19,730.620377087,715.292676868,740.838843899,715.292676868,16470.0
2008-05-20,715.292676868,710.183443462,715.292676868,710.183443462,16069.0
2008-05-21,694.855743243,694.855743243,694.855743243,694.855743243,401.0
2008-05-22,674.418809618,674.418809618,674.418809618,674.418809618,23300.0
2008-05-23,659.0911094,659.0911094,659.0911094,659.0911094,2008.0
2008-05-26,643.763409181,643.763409181,643.763409181,643.763409181,401.0
2008-05-27,628.435708963,628.435708963,628.435708963,628.435708963,6025.0
2008-05-28,628.435708963,613.108008744,638.654175775,638.654175775,13257.0
2008-05-29,633.544942369,633.544942369,633.544942369,633.544942369,12051.0
2008-05-30,633.544942369,618.21724215,648.872642587,628.435708963,18479.0
2008-06-02,620.7718588529999,618.21724215,623.326475556,623.326475556,10445.0
2008-06-03,610.553392041,607.998775338,613.108008744,607.998775338,20488.0
2008-06-04,592.671075119,592.671075119,592.671075119,592.671075119,2812.0
2008-06-05,577.343374901,577.343374901,577.343374901,577.343374901,8436.0
2008-06-06,562.015674682,562.015674682,562.015674682,562.015674682,12453.0
2008-06-09,577.343374901,577.343374901,577.343374901,577.343374901,8436.0
2008-06-10,587.5618417129999,582.452608307,592.671075119,592.671075119,14060.0
2008-06-11,602.889541932,602.889541932,602.889541932,602.889541932,10043.0
2008-06-12,618.21724215,618.21724215,618.21724215,618.21724215,2008.0
2008-06-13,633.544942369,633.544942369,633.544942369,633.544942369,401.0
2008-06-16,648.872642587,648.872642587,648.872642587,648.872642587,401.0
2008-06-17,664.200342806,664.200342806,664.200342806,664.200342806,401.0
2008-06-18,679.528043025,679.528043025,679.528043025,679.528043025,1606.0
2008-06-19,679.528043025,653.981875994,705.074210056,653.981875994,24907.0
2008-06-20,648.872642587,648.872642587,648.872642587,648.872642587,803.0
2008-06-23,648.872642587,623.326475556,669.309576212,669.309576212,27719.0
2008-06-24,653.9818759935,643.763409181,664.200342806,659.0911094,19283.0
2008-06-25,676.9734263215,669.309576212,684.637276431,684.637276431,25710.0
2008-06-26,684.637276431,653.981875994,705.074210056,653.981875994,40574.0
2008-06-27,661.645726103,659.0911094,664.200342806,664.200342806,6427.0
2008-06-30,664.200342806,664.200342806,664.200342806,664.200342806,1205.0
2008-07-01,664.200342806,664.200342806,689.746509837,689.746509837,10445.0
2008-07-02,689.746509837,679.528043025,705.074210056,705.074210056,30531.0
2008-07-03,722.9565269775,715.292676868,730.620377087,730.620377087,12855.0
2008-07-04,751.057310711,751.057310711,751.057310711,751.057310711,11650.0
2008-07-07,751.057310711,730.620377087,776.603477742,730.620377087,19684.0
2008-07-08,740.838843899,740.838843899,740.838843899,740.838843899,803.0
2008-07-09,740.838843899,715.292676868,740.838843899,715.292676868,4820.0
2008-07-10,715.292676868,715.292676868,715.292676868,715.292676868,2008.0
2008-07-11,715.292676868,689.746509837,740.838843899,740.838843899,17676.0
2008-07-14,740.838843899,715.292676868,740.838843899,740.838843899,17274.0
2008-07-15,761.275777524,761.275777524,761.275777524,761.275777524,24505.0
2008-07-16,761.275777524,735.729610493,786.821944555,735.729610493,13257.0
2008-07-17,763.8303942269999,761.275777524,766.38501093,766.38501093,40173.0
2008-07-18,766.38501093,751.057310711,771.494244336,751.057310711,4419.0
2008-07-21,740.838843899,740.838843899,740.838843899,740.838843899,401.0
2008-07-22,715.292676868,715.292676868,715.292676868,715.292676868,4419.0
2008-07-23,689.746509837,689.746509837,689.746509837,689.746509837,2008.0
2008-07-24,669.3095762119999,664.200342806,674.418809618,664.200342806,68294.0
2008-07-25,664.200342806,643.763409181,664.200342806,643.763409181,10043.0
2008-07-28,643.763409181,638.654175775,674.418809618,674.418809618,803.0
2008-07-29,684.637276431,684.637276431,684.637276431,684.637276431,1205.0
2008-07-30,710.183443462,710.183443462,710.183443462,710.183443462,47404.0
2008-07-31,735.729610493,735.729610493,735.729610493,735.729610493,9641.0
2008-08-01,761.275777524,761.275777524,761.275777524,761.275777524,20890.0
2008-08-04,786.821944555,786.821944555,786.821944555,786.821944555,49011.0
2008-08-05,786.821944555,756.166544118,817.477344992,807.25887818,121724.0
2008-08-06,807.25887818,797.040411367,827.695811804,827.695811804,65883.0
2008-08-07,853.241978835,853.241978835,853.241978835,853.241978835,8838.0
2008-08-08,883.897379273,883.897379273,883.897379273,883.897379273,83961.0
2008-08-11,914.55277971,914.55277971,914.55277971,914.55277971,8838.0
2008-08-12,950.317413553,950.317413553,950.317413553,950.317413553,39369.0
2008-08-13,980.9728139905,975.863580584,986.082047397,980.97281399,81149.0
2008-08-14,1011.6282144275,1001.409747615,1021.84668124,1021.84668124,55840.0
2008-08-15,1052.502081677,1052.502081677,1052.502081677,1052.502081677,8436.0
2008-08-18,1098.485182333,1072.939015302,1124.031349364,1124.031349364,62268.0
2008-08-19,1124.031349364,1047.392848271,1195.560617051,1072.939015302,91594.0
2008-08-20,980.97281399,980.97281399,980.97281399,980.97281399,10445.0
2008-08-21,980.97281399,914.55277971,1042.283614865,1042.283614865,32138.0
2008-08-22,975.863580584,929.880479928,1021.84668124,929.880479928,45797.0
2008-08-25,1009.0735977245,975.863580584,1042.283614865,1042.283614865,68696.0
2008-08-26,1103.594415739,1103.594415739,1103.594415739,1103.594415739,51823.0
2008-08-27,1152.132133098,1124.031349364,1180.232916832,1175.123683426,75927.0
2008-08-28,1108.7036491455,1093.375948927,1124.031349364,1093.375948927,10445.0
2008-08-29,1093.375948927,1026.955914646,1098.485182333,1098.485182333,45797.0
2008-09-01,1098.485182333,1026.955914646,1098.485182333,1098.485182333,45797.0
2008-09-03,1124.031349364,1124.031349364,1124.031349364,1124.031349364,45395.0
2008-09-04,1124.031349364,1098.485182333,1200.669850457,1200.669850457,224567.0
2008-09-05,1277.30835155,1277.30835155,1277.30835155,1277.30835155,109270.0
2008-09-08,1364.165319455,1364.165319455,1364.165319455,1364.165319455,24505.0
2008-09-09,1417.8122702205,1379.493019674,1456.131520767,1456.131520767,178368.0
2008-09-10,1456.131520767,1353.946852643,1476.568454392,1353.946852643,26112.0
2008-09-11,1353.946852643,1282.417584956,1420.366886924,1282.417584956,55438.0
2008-09-12,1210.888317269,1210.888317269,1210.888317269,1210.888317269,36557.0
2008-09-15,1152.132133098,1129.14058277,1175.123683426,1129.14058277,163102.0
2008-09-16,1129.14058277,1057.611315083,1200.669850457,1057.611315083,105253.0
2008-09-17,1057.611315083,1001.409747615,1108.703649145,1098.485182333,44190.0
2008-09-18,983.1437711945,966.666501286,999.621041103,999.621041103,14462.0
2008-09-19,1046.3066391765,1043.560427525,1049.052850828,1049.052850828,4017.0
2008-09-22,1120.454353764,1120.454353764,1120.454353764,1120.454353764,10445.0
2008-09-23,1120.454353764,1049.052850828,1153.40889358,1049.052850828,33745.0
2008-09-24,1021.590734314,1021.590734314,1021.590734314,1021.590734314,16069.0
2008-09-25,1060.0376974335,1049.052850828,1071.022544039,1049.052850828,24103.0
2008-09-26,1101.230872204,1065.530120736,1136.931623672,1098.484660553,34147.0
2008-09-29,1098.484660553,1021.590734314,1103.977083856,1021.590734314,11650.0
2008-10-01,974.9051362405,972.158924589,977.651347892,972.158924589,29326.0
2008-10-02,972.158924589,961.174077984,1027.083157617,1027.083157617,10445.0
2008-10-03,1016.0983110115,1010.605887709,1021.590734314,1021.590734314,12453.0
2008-10-06,952.9354430295,950.189231378,955.681654681,950.189231378,35352.0
2008-10-07,889.772575048,889.772575048,889.772575048,889.772575048,8034.0
2008-10-08,840.3407653224999,829.355918717,851.325611928,829.355918717,14462.0
2008-10-09,870.5490934879999,851.325611928,889.772575048,867.802881837,28121.0
2008-10-10,818.371072112,812.878648809,823.863495415,823.863495415,14864.0
