Date,Price Open,Price Low,Price High,Price Close,Volume
2006-12-20,5962.33677105,5962.33677105,5962.33677105,5962.33677105,3670.0
2006-12-21,6388.2179689820005,6217.865489809,6558.570448155,6558.570448155,7921.0
2006-12-22,5791.984291877,5791.984291877,5791.984291877,5791.984291877,2898.0
2006-12-25,5417.2088376965,5212.785862689,5621.631812704,5621.631812704,4057.0
2006-12-28,4752.8341689225,4735.798921005,4769.86941684,4735.798921005,1159.0
2006-12-29,4769.86941684,4769.86941684,4769.86941684,4769.86941684,2125.0
2007-01-02,4769.86941684,4292.882475156,4769.86941684,4769.86941684,3477.0
2007-01-04,4429.164458494,4429.164458494,4429.164458494,4429.164458494,193.0
2007-01-05,4429.164458494,4429.164458494,4429.164458494,4429.164458494,579.0
2007-01-08,4429.164458494,4429.164458494,4769.86941684,4429.164458494,7728.0
2007-01-09,4769.86941684,4769.86941684,4769.86941684,4769.86941684,5796.0
2007-01-10,4769.86941684,4769.86941684,5110.574375186,4769.86941684,8307.0
2007-01-11,4769.86941684,4701.728425171,4769.86941684,4701.728425171,5216.0
2007-01-12,4855.0456564265005,4769.86941684,4940.221896013,4769.86941684,23377.0
2007-01-15,5127.609623103001,4940.221896013,5314.997350193,5110.574375186,43470.0
2007-01-16,5110.574375186,5110.574375186,5689.772804373,5689.772804373,85588.0
2007-01-17,5911.231027297999,5791.984291877,6030.477762719,5962.33677105,71484.0
2007-01-18,5962.33677105,5621.631812704,6047.513010636,5706.808052291,8887.0
2007-01-19,5425.7264616555,5229.821110607,5621.631812704,5621.631812704,21831.0
2007-01-22,5621.631812704,5110.574375186,5621.631812704,5110.574375186,9660.0
2007-01-23,5110.574375186,5008.362887682,5110.574375186,5110.574375186,16035.0
2007-01-24,5110.574375186,4940.221896013,5451.279333531,5025.398135599,11785.0
2007-01-25,5025.398135599,4940.221896013,5366.103093945,4940.221896013,35742.0
2007-01-26,5161.680118937,5042.433383516,5280.926854358,5110.574375186,29946.0
2007-01-29,5204.268238730499,5127.609623103,5280.926854358,5246.856358524,5216.0
2007-01-30,5246.856358524,5246.856358524,5366.103093945,5280.926854358,29560.0
2007-01-31,5408.691213738,5366.103093945,5451.279333531,5451.279333531,17967.0
2007-02-01,5451.279333531,5280.926854358,5723.843300208,5536.455573118,35935.0
2007-02-02,5536.455573118,5451.279333531,5621.631812704,5604.596564787,14876.0
2007-02-05,5417.2088376965,5383.138341862,5451.279333531,5383.138341862,5602.0
2007-02-06,5383.138341862,4991.327639765,5451.279333531,5366.103093945,7921.0
2007-02-07,5280.926854358,5280.926854358,5280.926854358,5280.926854358,4636.0
2007-02-08,5280.926854358,5280.926854358,5366.103093945,5280.926854358,20093.0
2007-02-09,5280.926854358,5280.926854358,5451.279333531,5280.926854358,12558.0
2007-02-12,5400.1735897795,5349.067846028,5451.279333531,5451.279333531,12558.0
2007-02-13,5451.279333531,5366.103093945,5536.455573118,5536.455573118,10046.0
2007-02-14,5536.455573118,5451.279333531,5706.808052291,5706.808052291,30912.0
2007-02-15,5706.808052291,5621.631812704,5706.808052291,5706.808052291,34583.0
2007-02-26,6021.9601387605,5791.984291877,6251.935985644,6217.865489809,26661.0
2007-02-27,6550.0528241965,6303.041729396,6797.063918997,6797.063918997,55642.0
2007-02-28,7308.121356515,7308.121356515,7308.121356515,7308.121356515,17967.0
2007-03-01,7308.121356515,7154.80412526,8023.601769041,8023.601769041,59506.0
2007-03-02,8705.0116857325,8687.976437815,8722.04693365,8722.04693365,36708.0
2007-03-05,9565.291705556,9539.73883368,9590.844577432,9590.844577432,68007.0
2007-03-06,9590.844577432,9573.809329514,10527.783212882,10527.783212882,59120.0
2007-03-07,11302.8869931185,11072.911146235,11532.862840002,11532.862840002,63370.0
2007-03-08,11532.862840002,10953.664410814,12657.189202543,10953.664410814,64336.0
2007-03-09,10746.340735831,10608.124134727,10884.557336935,10850.003186659,55062.0
2007-03-12,10850.003186659,9778.824528103,11903.904770076,10158.920181139,73803.0
2007-03-13,10158.920181139,9329.620574516,10711.786585555,9675.162077275,85009.0
2007-03-14,9675.162077275,8984.079071756,9709.716227551,8984.079071756,51778.0
2007-03-15,8984.079071756,8431.21266734,8984.079071756,8431.21266734,15842.0
2007-03-16,8431.21266734,7653.74428613,8465.766817616,8465.766817616,166927.0
2007-03-19,8465.766817616,7774.683812096,8690.36879441,8638.537568996,261982.0
2007-03-20,8638.537568996,8552.152193306,9139.572747998,8863.13954579,223728.0
2007-03-21,9433.2830253435,9156.849823136,9709.716227551,9156.849823136,49073.0
2007-03-22,9156.849823136,8984.079071756,9467.837175619,9156.849823136,29173.0
2007-03-23,8655.814644134,8327.550216512,8984.079071756,8638.537568996,19513.0
2007-03-26,7982.008713752,7774.683812096,8189.333615408,7774.683812096,8500.0
2007-03-27,7031.769581163,7031.769581163,7031.769581163,7031.769581163,14876.0
2007-03-28,7031.769581163,6340.686575643,7688.298436406,7688.298436406,66461.0
2007-03-29,7688.298436406,7601.913060716,7843.792112648,7843.792112648,66461.0
2007-03-30,8379.381441926,8206.610690546,8552.152193306,8552.152193306,70712.0
2007-04-02,8552.152193306,7653.74428613,8552.152193306,7653.74428613,28014.0
2007-04-03,7455.057922043,7308.20278337,7601.913060716,7342.756933646,13717.0
2007-04-04,7342.756933646,7256.371557957,7947.454563476,7774.683812096,11592.0
2007-04-05,7429.142309336499,7256.371557957,7601.913060716,7480.97353475,15649.0
2007-04-06,7144.0705695595,6910.830055197,7377.311083922,7169.986182267,28593.0
2007-04-09,7299.5642458015,7256.371557957,7342.756933646,7342.756933646,5989.0
2007-04-10,7342.756933646,7256.371557957,7411.865234198,7256.371557957,4830.0
2007-04-11,7256.371557957,7083.600806577,7342.756933646,7083.600806577,2318.0
2007-04-12,7083.600806577,6478.903176747,7135.432031991,6565.288552437,20093.0
2007-04-13,6565.288552437,6392.517801057,6738.059303817,6738.059303817,13717.0
2007-04-16,6738.059303817,6012.422148021,6738.059303817,6012.422148021,9853.0
