Date,Price Open,Price Low,Price High,Price Close,Volume
2007-11-15,2395.003759528,2318.971894146,2471.03562491,2414.011725874,48525652.0
2007-11-16,2299.963927801,2299.963927801,2299.963927801,2299.963927801,9231289.0
2007-11-19,2185.916129728,2185.916129728,2185.916129728,2185.916129728,4475416.0
2007-11-20,2090.876298001,2090.876298001,2090.876298001,2090.876298001,2180873.0
2007-11-21,2090.876298001,1995.836466273,2166.908163383,2166.908163383,27045659.0
2007-11-22,2166.908163383,2166.908163383,2166.908163383,2166.908163383,9882468.0
2007-11-23,2109.8842643465,2090.876298001,2128.892230692,2090.876298001,3951278.0
2007-11-26,2062.3643484825,2052.86036531,2071.868331655,2071.868331655,5030757.0
2007-11-27,2024.3484157915,1995.836466273,2052.86036531,1995.836466273,9736853.0
2007-11-28,2024.3484157915,2014.844432619,2033.852398964,2033.852398964,4866940.0
2007-11-29,2033.852398964,2014.844432619,2033.852398964,2033.852398964,4758844.0
2007-11-30,2014.844432619,2014.844432619,2014.844432619,2014.844432619,4261452.0
2007-12-03,2014.844432619,2014.844432619,2033.852398964,2014.844432619,2552339.0
2007-12-04,2014.844432619,1995.836466273,2014.844432619,1995.836466273,4644804.0
2007-12-05,1995.836466273,1957.820533582,1995.836466273,1976.828499928,4166356.0
2007-12-06,2014.8444326185,1995.836466273,2033.852398964,1995.836466273,2844682.0
2007-12-07,1957.8205335825,1938.812567237,1976.828499928,1938.812567237,4955349.0
2007-12-10,1877.036676614,1853.276718682,1900.796634546,1853.276718682,5810463.0
2007-12-11,1781.996844887,1767.740870128,1796.252819646,1767.740870128,6854281.0
2007-12-12,1767.740870128,1682.205021573,1824.764769164,1786.748836473,11432965.0
2007-12-13,1786.748836473,1720.220954264,1786.748836473,1720.220954264,4844281.0
2007-12-14,1720.220954264,1710.716971092,1739.22892061,1729.724937437,3018528.0
2007-12-17,1729.724937437,1729.724918218,1748.944083976,1729.724918218,3239922.0
2007-12-18,1729.724918218,1729.724918218,1777.772832613,1777.772832613,3869184.0
2007-12-19,1845.039912766,1825.820747008,1864.259078524,1864.259078524,8074173.0
2007-12-20,1864.259078524,1796.991998371,1864.259078524,1806.60158125,3901502.0
2007-12-21,1806.60158125,1777.772832613,1816.211164129,1806.60158125,4239535.0
2007-12-24,1830.6255384475,1825.820747008,1835.430329887,1825.820747008,6200502.0
2007-12-25,1825.820747008,1806.60158125,1825.820747008,1806.60158125,4066061.0
2007-12-26,1806.60158125,1748.944083976,1806.60158125,1806.60158125,5857267.0
2007-12-27,1806.60158125,1806.60158125,1816.211164129,1806.60158125,3198317.0
2007-12-28,1806.60158125,1806.60158125,1825.820747008,1825.820747008,3030415.0
2008-01-02,1825.820747008,1825.820747008,1845.039912766,1835.430329887,6491359.0
2008-01-03,1849.8447042055,1845.039912766,1854.649495645,1845.039912766,6403693.0
2008-01-04,1845.039912766,1845.039912766,1864.259078524,1864.259078524,8217931.0
2008-01-07,1864.259078524,1864.259078524,1893.087827161,1893.087827161,16130517.0
2008-01-08,1893.087827161,1893.087827161,1979.574073071,1979.574073071,13541403.0
2008-01-09,1979.574073071,1902.69741004,2075.669901861,2075.669901861,22137114.0
