Date,Price Open,Price Low,Price High,Price Close,Volume
2010-05-25,5190.748389101,5190.748389101,5190.748389101,5190.748389101,1242.0
2010-07-05,5709.823228012,5709.823228012,5709.823228012,5709.823228012,1863.0
2010-07-08,6280.805550813,6280.805550813,6280.805550813,6280.805550813,1242.0
2010-07-09,6903.695357505,6903.695357505,6903.695357505,6903.695357505,2484.0
2010-07-12,7578.492648088,7578.492648088,7578.492648088,7578.492648088,1242.0
2010-07-15,8331.151164508,8331.151164508,8331.151164508,8331.151164508,2212.0
2010-07-16,9161.670906764,9161.670906764,9161.670906764,9161.670906764,13664.0
2010-07-19,10070.051874857,10070.051874857,10070.051874857,10070.051874857,124.0
2010-07-20,11056.294068786,11056.294068786,11056.294068786,11056.294068786,25093.0
2010-07-21,12146.351230497,12146.351230497,12146.351230497,12146.351230497,2981.0
2010-07-22,12146.351230497,10952.479101004,12146.351230497,11160.109036568,8198.0
2010-07-23,10511.2654879305,10121.959358748,10900.571617113,10511.26548793,6335.0
2010-07-27,9304.416487464,9265.485874546,9343.347100382,9265.485874546,3726.0
2010-07-28,9083.809680927,9083.809680927,9083.809680927,9083.809680927,2484.0
2010-07-29,9083.809680927,8409.012390344,9966.236907075,9966.236907075,248.0
2010-07-30,10044.098132911,10044.098132911,10044.098132911,10044.098132911,124.0
2010-08-02,9992.19064902,9992.19064902,9992.19064902,9992.19064902,1242.0
2010-08-04,9213.578390655,9213.578390655,9213.578390655,9213.578390655,2484.0
2010-08-05,8992.971584118,8824.272261472,9161.670906764,8824.272261472,745.0
2010-08-06,8564.734842017,8564.734842017,8564.734842017,8564.734842017,496.0
2010-08-09,8006.729390189,7708.261357816,8305.197422562,7708.261357816,4472.0
2010-08-10,8928.087229254,8928.087229254,8928.087229254,8928.087229254,124.0
2010-08-12,8045.660003107,8045.660003107,8045.660003107,8045.660003107,124.0
2010-08-13,8850.226003418,8850.226003418,8850.226003418,8850.226003418,124.0
2010-08-16,8850.226003418,8850.226003418,8850.226003418,8850.226003418,621.0
2010-08-18,8006.729390189001,7967.798777271,8045.660003107,7967.798777271,3975.0
2010-08-19,7967.798777271,7967.798777271,7967.798777271,7967.798777271,248.0
2010-08-20,7967.798777271,7941.845035325,7967.798777271,7967.798777271,2857.0
2010-08-24,7513.608293224001,7189.186518905,7838.030067543,7189.186518905,2484.0
2010-08-25,7189.186518905,6773.926647777,7267.047744742,7267.047744742,8944.0
2010-08-30,7604.446390034,7604.446390034,7604.446390034,7604.446390034,372.0
2010-08-31,7604.446390034,7474.677680306,8305.197422562,8305.197422562,2608.0
2010-09-07,7656.353873925,7656.353873925,7656.353873925,7656.353873925,372.0
2010-09-08,8045.660003107,8045.660003107,8045.660003107,8045.660003107,124.0
2010-09-10,8850.226003418,8850.226003418,8850.226003418,8850.226003418,124.0
2010-09-13,9473.11581011,9473.11581011,9473.11581011,9473.11581011,124.0
2010-09-14,9473.11581011,8538.781100072,10407.450520148,8538.781100072,372.0
