Date,Price Open,Price Low,Price High,Price Close,Volume
2019-02-26,10870.324045849,8696.259236679,11305.137007683,8696.259236679,113608.0
2019-02-27,8131.002386295,8087.521090112,8261.446274845,8087.521090112,33016.0
2019-02-28,7522.264239728,7522.264239728,7522.264239728,7522.264239728,2397.0
2019-03-01,7000.488685527,7000.488685527,7391.820351178,7000.488685527,45488.0
2019-03-04,6609.157019876,6609.157019876,7174.413870261,6696.119612243,8711.0
2019-03-05,6957.007389344,6652.63831606,7152.673222169,7152.673222169,29618.0
2019-03-06,7565.745535911,7565.745535911,7652.708128278,7652.708128278,12040.0
2019-03-07,7804.89266492,7804.89266492,8174.483682479,8044.039793928,11764.0
2019-03-08,8131.002386295,7609.226832095,8131.002386295,8022.299145837,4778.0
2019-03-11,7957.077201562,7478.782943544,7957.077201562,7957.077201562,11868.0
2019-03-12,7826.633313012,7826.633313012,7913.595905378,7913.595905378,6900.0
2019-03-13,7413.560999269,7391.820351178,7826.633313012,7522.264239728,14093.0
2019-03-14,7609.226832095,7391.820351178,7739.670720645,7391.820351178,31343.0
2019-03-15,7391.820351178,7391.820351178,7652.708128278,7587.486184003,4812.0
2019-03-18,7391.820351178,7391.820351178,8109.261738204,7913.595905378,29721.0
2019-03-19,7913.595905378,7696.189424461,7913.595905378,7891.855257287,2984.0
2019-03-20,7935.33655347,7826.633313012,8435.371459579,8261.446274845,5520.0
2019-03-21,8261.446274845,8261.446274845,8435.371459579,8261.446274845,7020.0
2019-03-22,8261.446274845,8261.446274845,8696.259236679,8304.927571029,9746.0
2019-03-25,7870.114609195,7783.152016828,8304.927571029,7826.633313012,5002.0
2019-03-26,8261.446274845,8044.039793928,8261.446274845,8174.483682479,1621.0
2019-03-27,7826.633313012,7826.633313012,8174.483682479,8044.039793928,707.0
2019-03-28,8261.446274845,7826.633313012,8261.446274845,7826.633313012,2673.0
2019-03-29,8174.483682479,8174.483682479,8174.483682479,8174.483682479,17.0
2019-04-01,7957.077201562,7826.633313012,8174.483682479,7957.077201562,17836.0
2019-04-02,7957.077201562,7957.077201562,7957.077201562,7957.077201562,258.0
2019-04-03,8044.039793928,7413.560999269,8044.039793928,7957.077201562,14714.0
2019-04-04,8044.039793928,7435.301647361,8087.521090112,7544.004887819,15024.0
2019-04-05,7957.077201562,7957.077201562,7957.077201562,7957.077201562,1449.0
2019-04-08,7478.782943544,7478.782943544,7957.077201562,7957.077201562,3674.0
2019-04-09,7826.633313012,7739.670720645,7826.633313012,7739.670720645,2121.0
2019-04-10,7739.670720645,7739.670720645,7739.670720645,7739.670720645,17.0
2019-04-11,7717.930072553,7652.708128278,7891.855257287,7891.855257287,13869.0
2019-04-16,7630.967480186,7630.967480186,7630.967480186,7630.967480186,6779.0
2019-04-18,7804.89266492,7804.89266492,7804.89266492,7804.89266492,17.0
2019-04-19,7609.226832095,7609.226832095,7804.89266492,7804.89266492,6848.0
2019-04-22,7609.226832095,7609.226832095,7804.89266492,7804.89266492,51.0
2019-04-25,7413.560999269,7261.376462627,7609.226832095,7609.226832095,5226.0
2019-04-26,7652.708128278,7652.708128278,7652.708128278,7652.708128278,6123.0
2019-05-02,7435.301647361,7391.820351178,7652.708128278,7652.708128278,4002.0
2019-05-03,7239.635814536,7239.635814536,7761.411368736,7565.745535911,897.0
2019-05-06,7391.820351178,7304.857758811,7435.301647361,7435.301647361,3984.0
2019-05-07,7783.152016828,7348.339054994,7826.633313012,7696.189424461,69.0
2019-05-08,7391.820351178,7391.820351178,7391.820351178,7391.820351178,2587.0
2019-05-09,7348.339054994,7348.339054994,7783.152016828,7783.152016828,69.0
2019-05-13,8261.446274845,8044.039793928,8261.446274845,8044.039793928,1742.0
2019-05-14,8044.039793928,8044.039793928,8044.039793928,8044.039793928,17.0
2019-05-16,7826.633313012,7500.523591636,7826.633313012,7826.633313012,7572.0
2019-05-17,7826.633313012,7609.226832095,7826.633313012,7826.633313012,4899.0
2019-05-20,7783.152016828,7413.560999269,7783.152016828,7413.560999269,19182.0
2019-05-21,7739.670720645,7435.301647361,7739.670720645,7717.930072553,2121.0
2019-05-22,7812.919620542,7599.192336089,7836.667096592,7599.192336089,7469.0
2019-05-23,7599.192336089,7599.192336089,7599.192336089,7599.192336089,17.0
2019-05-24,7789.172144492,7409.212527687,7789.172144492,7765.424668441,1328.0
2019-05-27,7242.980195335,7242.980195335,7599.192336089,7599.192336089,8366.0
2019-05-28,8097.889333145,8097.889333145,8097.889333145,8097.889333145,17.0
2019-05-29,7551.697383989,7551.697383989,7599.192336089,7551.697383989,3777.0
2019-05-30,7219.232719285,7219.232719285,7599.192336089,7242.980195335,8745.0
2019-05-31,7599.192336089,7599.192336089,7599.192336089,7599.192336089,17.0
2019-06-03,7599.192336089,7599.192336089,7694.182240291,7694.182240291,34.0
2019-06-04,7670.43476424,7670.43476424,7670.43476424,7670.43476424,17.0
2019-06-05,7670.43476424,7670.43476424,7670.43476424,7670.43476424,17.0
2019-06-06,7646.68728819,7646.68728819,7646.68728819,7646.68728819,17.0
2019-06-07,7599.192336089,7599.192336089,7599.192336089,7599.192336089,1000.0
2019-06-10,7599.192336089,7599.192336089,7599.192336089,7599.192336089,17.0
2019-06-11,7409.212527687,7409.212527687,7575.444860039,7575.444860039,1742.0
2019-06-12,7741.677192391,7361.717575587,7741.677192391,7456.707479788,39571.0
2019-06-13,7812.919620542,7812.919620542,7812.919620542,7812.919620542,17.0
2019-06-17,7646.68728819,7599.192336089,7646.68728819,7646.68728819,11902.0
2019-06-18,7599.192336089,7599.192336089,7694.182240291,7599.192336089,12092.0
2019-06-19,7741.677192391,7622.93981214,7741.677192391,7717.929716341,207.0
2019-06-20,7622.93981214,7622.93981214,7670.43476424,7622.93981214,6020.0
2019-06-21,7646.68728819,7599.192336089,7646.68728819,7622.93981214,7434.0
2019-06-24,8074.141857095,7599.192336089,8074.141857095,7789.172144492,7831.0
2019-06-25,7765.424668441,7765.424668441,7836.667096592,7836.667096592,19820.0
2019-06-26,7836.667096592,7836.667096592,8359.111569698,8074.141857095,17353.0
2019-06-27,8311.616617598,8097.889333145,8596.586330201,8145.384285246,36759.0
2019-06-28,8145.384285246,8145.384285246,8644.081282302,8454.1014739,16818.0
2019-07-01,8501.596426,8311.616617598,9024.040899106,9024.040899106,130513.0
2019-07-02,9071.535851207,9024.040899106,9404.000515911,9404.000515911,204792.0
2019-07-03,9309.01061171,9261.515659609,9309.01061171,9309.01061171,33879.0
2019-07-04,9119.030803307,9071.535851207,9309.01061171,9309.01061171,31291.0
2019-07-05,9142.778279358,9142.778279358,9309.01061171,9309.01061171,17319.0
2019-07-08,9356.50556381,9356.50556381,9950.192465067,9950.192465067,115281.0
2019-07-09,10211.41470162,10163.91974952,10638.869270525,10638.869270525,145141.0
2019-07-10,11303.798599933,10923.838983129,11375.041028084,10923.838983129,80712.0
2019-07-11,10733.859174726,10686.364222626,11398.788504134,11161.313743631,67171.0
2019-07-12,11161.313743631,11161.313743631,11873.73802514,11873.73802514,43314.0
2019-07-15,11636.263264637,11303.798599933,11873.73802514,11303.798599933,63980.0
2019-07-16,11588.768312536,11541.273360436,12063.717833542,11541.273360436,95806.0
2019-07-17,10971.333935229,10971.333935229,11731.253168838,11018.82888733,40002.0
2019-07-18,10781.354126827,10781.354126827,11161.313743631,11161.313743631,12558.0
2019-07-19,10923.838983129,10900.091507078,11256.303647833,11208.808695732,1362.0
2019-07-22,11256.303647833,10425.141986073,11256.303647833,10425.141986073,62548.0
2019-07-23,10425.141986073,9712.717704564,10448.889462123,10306.404605821,128840.0
2019-07-24,10258.909653721,9593.980324313,10258.909653721,9593.980324313,57390.0
2019-07-25,9593.980324313,9498.990420112,10235.162177671,10211.41470162,32102.0
2019-07-26,10235.162177671,9498.990420112,10235.162177671,9498.990420112,29290.0
2019-07-29,8976.545947006,8834.061090704,8976.545947006,8834.061090704,136878.0
2019-07-30,9237.768183559,8549.091378101,9237.768183559,8786.566138603,41106.0
2019-07-31,8786.566138603,8454.1014739,8834.061090704,8501.596426,102654.0
2019-08-01,8501.596426,8454.1014739,8976.545947006,8976.545947006,29842.0
2019-08-02,8976.545947006,8549.091378101,8976.545947006,8881.556042805,28117.0
2019-08-05,8572.838854151,8572.838854151,9498.990420112,9498.990420112,31412.0
2019-08-06,9736.465180615,9641.475276414,10163.91974952,10163.91974952,168567.0
