Date,Price Open,Price Low,Price High,Price Close,Volume
2008-04-11,4050.79673163,2618.28147459,5483.31198867,4318.108191077,502754.0
2008-04-16,3673.819032409,3673.819032409,3673.819032409,3673.819032409,6863.0
2008-04-17,3673.819032409,3564.152792635,3701.235592352,3564.152792635,304140.0
2008-04-18,3564.152792635,3481.903112805,3564.152792635,3481.903112805,52334.0
2008-04-21,3385.945153004,3385.945153004,3385.945153004,3385.945153004,3431.0
2008-04-24,3289.987193202,3289.987193202,3289.987193202,3289.987193202,3860.0
2008-05-16,3194.0292334,3194.0292334,3194.0292334,3194.0292334,2144.0
2008-06-13,3109.605320344,3109.605320344,3109.605320344,3109.605320344,4289.0
2008-06-16,3025.181646489,3025.181646489,3025.181646489,3025.181646489,3431.0
2008-06-17,2940.757972633,2940.757972633,2940.757972633,2940.757972633,3860.0
2008-06-24,2828.193074159,2828.193074159,2828.193074159,2828.193074159,22735.0
2008-06-26,2715.628175685,2715.628175685,2715.628175685,2715.628175685,34317.0
2008-07-02,2617.13388952,2617.13388952,2617.13388952,2617.13388952,9008.0
2008-07-04,2518.639603356,2518.639603356,2518.639603356,2518.639603356,3002.0
2008-07-07,2420.145317191,2420.145317191,2420.145317191,2420.145317191,4289.0
2008-07-09,2335.721643335,2335.721643335,2335.721643335,2335.721643335,428.0
2008-07-10,2251.29796948,2251.29796948,2251.29796948,2251.29796948,6005.0
2008-07-11,2166.874295624,2166.874295624,2166.874295624,2166.874295624,2573.0
2008-07-14,2089.4859279235,2082.450621769,2096.521234078,2096.521234078,308430.0
2008-07-15,2096.521234078,2012.097560223,2152.803683315,2152.803683315,195181.0
2008-07-16,2152.803683315,2040.238784841,2209.086132552,2152.803683315,120540.0
2008-07-17,2152.803683315,2012.097560223,2152.803683315,2012.097560223,106384.0
2008-07-18,2026.168172532,2026.168172532,2026.168172532,2026.168172532,36462.0
2008-07-21,1955.815110986,1955.815110986,1955.815110986,1955.815110986,4289.0
2008-07-22,1885.462049439,1885.462049439,1885.462049439,1885.462049439,428.0
2008-07-23,1815.108987893,1815.108987893,1815.108987893,1815.108987893,428.0
2008-07-24,1744.755926347,1744.755926347,1744.755926347,1744.755926347,428.0
2008-07-25,1688.47347711,1688.47347711,1688.47347711,1688.47347711,30885.0
2008-07-28,1632.191027873,1632.191027873,1632.191027873,1632.191027873,1286.0
2008-07-29,1597.0144971,1575.908578636,1618.120415564,1618.120415564,165582.0
2008-07-30,1547.7673540175,1519.626129399,1575.908578636,1519.626129399,67777.0
2008-07-31,1463.343680162,1463.343680162,1463.343680162,1463.343680162,19303.0
2008-08-01,1463.343680162,1407.061230925,1519.626129399,1519.626129399,241081.0
2008-08-04,1505.55551709,1505.55551709,1505.55551709,1505.55551709,62629.0
2008-08-05,1505.55551709,1449.273067853,1561.837966327,1561.837966327,108100.0
2008-08-06,1561.837966327,1547.767354017,1589.979190945,1575.908578636,80646.0
2008-08-07,1575.908578636,1519.626129399,1618.120415564,1604.049803254,47615.0
2008-08-08,1604.049803254,1533.696741708,1604.049803254,1533.696741708,27454.0
2008-08-11,1533.696741708,1533.696741708,1589.979190945,1589.979190945,100808.0
2008-08-12,1625.1557217185,1618.120415564,1632.191027873,1632.191027873,111961.0
2008-08-13,1632.191027873,1575.908578636,1632.191027873,1575.908578636,17587.0
2008-08-14,1646.261640182,1604.049803254,1688.47347711,1688.47347711,123972.0
2008-08-15,1730.685314038,1730.685314038,1730.685314038,1730.685314038,125688.0
2008-08-18,1730.685314038,1730.685314038,1843.250212512,1772.897150965,34746.0
2008-08-19,1695.5087832645,1688.47347711,1702.544089419,1688.47347711,175020.0
2008-08-20,1582.9438847905,1575.908578636,1589.979190945,1575.908578636,24451.0
2008-08-21,1575.908578636,1491.48490478,1674.402864801,1674.402864801,100379.0
2008-08-22,1674.402864801,1519.626129399,1744.755926347,1533.696741708,28741.0
2008-08-25,1674.402864801,1618.120415564,1730.685314038,1730.685314038,206764.0
2008-08-26,1822.1442940475,1815.108987893,1829.179600202,1829.179600202,165153.0
2008-08-27,1829.179600202,1815.108987893,1955.815110986,1829.179600202,143276.0
2008-08-28,1829.179600202,1744.755926347,1829.179600202,1744.755926347,205048.0
2008-08-29,1681.4381709555,1632.191027873,1730.685314038,1632.191027873,92657.0
