Date,Price Open,Price Low,Price High,Price Close,Volume
2010-09-28,7803.633283509,7584.839826962,8022.426740056,7584.839826962,158600.0
2010-09-29,7293.115218233,7220.184066051,7366.046370415,7220.184066051,74130.0
2010-09-30,6928.459457321,6928.459457321,6928.459457321,6928.459457321,27370.0
2010-10-01,6709.6660007745,6636.734848592,6782.597152957,6636.734848592,17910.0
2010-10-04,6636.734848592,6345.010239863,6636.734848592,6345.010239863,23160.0
2010-10-05,6053.285631133,6053.285631133,6053.285631133,6053.285631133,11100.0
2010-10-06,6053.285631133,5980.354478951,6345.010239863,6345.010239863,33670.0
2010-10-07,6345.010239863,6272.07908768,6563.80369641,6563.80369641,16240.0
2010-10-08,6563.80369641,6272.07908768,6563.80369641,6272.07908768,2360.0
2010-10-11,6272.07908768,5980.354478951,6563.80369641,6563.80369641,5450.0
2010-10-12,6272.07908768,6272.07908768,6272.07908768,6272.07908768,16170.0
2010-10-13,6272.07908768,5980.354478951,6272.07908768,6272.07908768,48680.0
2010-10-14,6053.2856311335,5980.354478951,6126.216783316,5980.354478951,54670.0
2010-10-15,5980.354478951,5761.561022404,5980.354478951,5761.561022404,13990.0
2010-10-18,5761.561022404,5542.767565857,5907.423326769,5542.767565857,10820.0
2010-10-19,5542.767565857,5323.97410931,5542.767565857,5396.905261492,25270.0
2010-10-20,5396.905261492,5178.111804945,5396.905261492,5178.111804945,33610.0
2010-10-21,5178.111804945,4959.318348398,5178.111804945,5105.180652763,17620.0
2010-10-22,5105.180652763,5105.180652763,5178.111804945,5105.180652763,5260.0
2010-10-25,5105.180652763,5032.249500581,5251.042957128,5105.180652763,9530.0
2010-10-26,5105.180652763,5105.180652763,5323.97410931,5323.97410931,28270.0
2010-10-27,5323.97410931,5105.180652763,5469.836413675,5178.111804945,4690.0
2010-10-28,5178.111804945,5032.249500581,5178.111804945,5178.111804945,5630.0
2010-10-29,5032.249500580499,4959.318348398,5105.180652763,4959.318348398,26010.0
2010-11-01,4813.4560440335,4740.524891851,4886.387196216,4813.456044034,8520.0
2010-11-02,4813.456044034,4740.524891851,4813.456044034,4740.524891851,8620.0
2010-11-03,4740.524891851,4521.731435304,4740.524891851,4521.731435304,14030.0
2010-11-04,4521.731435304,4521.731435304,4667.593739669,4667.593739669,4100.0
2010-11-05,4667.593739669,4667.593739669,4886.387196216,4813.456044034,14810.0
2010-11-08,4813.456044034,4594.662587487,4813.456044034,4594.662587487,11960.0
2010-11-09,4594.662587487,4521.731435304,4594.662587487,4521.731435304,6890.0
2010-11-10,4412.334707031,4375.86913094,4448.800283122,4375.86913094,5600.0
2010-11-11,4375.86913094,4375.86913094,4521.731435304,4448.800283122,2920.0
2010-11-12,4448.800283122,4230.006826575,4448.800283122,4230.006826575,30840.0
2010-11-15,4230.006826575,4084.14452221,4302.937978757,4302.937978757,16380.0
2010-11-16,4302.937978757,4157.075674393,4302.937978757,4157.075674393,9960.0
2010-11-17,4157.075674393,4084.14452221,4302.937978757,4084.14452221,9690.0
2010-11-18,4084.14452221,4084.14452221,4230.006826575,4230.006826575,5460.0
2010-11-19,4230.006826575,4230.006826575,4375.86913094,4375.86913094,42470.0
2010-11-22,4375.86913094,4302.937978757,4448.800283122,4448.800283122,22230.0
2010-11-23,4448.800283122,4375.86913094,4667.593739669,4667.593739669,26710.0
2010-11-24,4813.4560440335,4740.524891851,4886.387196216,4886.387196216,16600.0
2010-11-25,4886.387196216,4886.387196216,5105.180652763,4959.318348398,15830.0
2010-11-26,4959.318348398,4740.524891851,5032.249500581,4813.456044034,16310.0
2010-11-29,4813.456044034,4813.456044034,4886.387196216,4813.456044034,8000.0
2010-11-30,4959.318348398499,4886.387196216,5032.249500581,4959.318348398,34300.0
2010-12-01,4959.318348398,4959.318348398,5105.180652763,4959.318348398,21020.0
2010-12-02,4959.318348398,4886.387196216,5105.180652763,4959.318348398,21140.0
2010-12-03,5105.180652763,5032.249500581,5178.111804945,5178.111804945,45130.0
2010-12-06,5178.111804945,4959.318348398,5251.042957128,5178.111804945,30760.0
2010-12-07,5178.111804945,5105.180652763,5323.97410931,5178.111804945,10730.0
2010-12-08,4995.7839244895,4959.318348398,5032.249500581,4959.318348398,16980.0
2010-12-09,4959.318348398,4959.318348398,4959.318348398,4959.318348398,200.0
2010-12-10,4959.318348398,4886.387196216,5105.180652763,4886.387196216,10410.0
2010-12-13,5068.715076672,5032.249500581,5105.180652763,5105.180652763,69030.0
2010-12-14,5105.180652763,4959.318348398,5105.180652763,5032.249500581,8170.0
2010-12-15,5032.249500581,4813.456044034,5032.249500581,4813.456044034,31320.0
2010-12-16,4813.456044034,4594.662587487,4959.318348398,4667.593739669,5120.0
2010-12-17,4667.593739669,4521.731435304,4886.387196216,4886.387196216,2230.0
2010-12-20,4886.387196216,4740.524891851,5105.180652763,4740.524891851,4590.0
2010-12-21,4740.524891851,4740.524891851,4886.387196216,4886.387196216,16220.0
2010-12-22,4886.387196216,4886.387196216,4886.387196216,4886.387196216,31580.0
2010-12-23,4886.387196216,4813.456044034,4886.387196216,4813.456044034,22130.0
2010-12-24,4813.456044034,4813.456044034,4886.387196216,4886.387196216,57830.0
2010-12-27,4886.387196216,4813.456044034,5105.180652763,4886.387196216,5260.0
2010-12-28,4886.387196216,4813.456044034,4959.318348398,4959.318348398,17610.0
2010-12-29,4959.318348398,4886.387196216,5032.249500581,4959.318348398,73020.0
2010-12-30,4959.318348398,4740.524891851,5032.249500581,4813.456044034,16920.0
2010-12-31,4813.456044034,4740.524891851,5032.249500581,5032.249500581,1720.0
2011-01-04,5032.249500581,4959.318348398,5105.180652763,5032.249500581,37530.0
2011-01-05,5032.249500581,4959.318348398,5032.249500581,5032.249500581,54900.0
2011-01-06,4886.387196216,4813.456044034,4959.318348398,4959.318348398,87380.0
2011-01-07,4959.318348398,4740.524891851,5032.249500581,4740.524891851,19540.0
2011-01-10,4740.524891851,4667.593739669,4959.318348398,4959.318348398,10580.0
2011-01-11,4959.318348398,4813.456044034,4959.318348398,4959.318348398,3210.0
2011-01-12,4959.318348398,4740.524891851,5032.249500581,4959.318348398,32930.0
2011-01-13,4959.318348398,4959.318348398,5032.249500581,5032.249500581,630.0
2011-01-14,5032.249500581,4813.456044034,5032.249500581,4886.387196216,5260.0
2011-01-17,4886.387196216,4813.456044034,4959.318348398,4959.318348398,2730.0
2011-01-18,4959.318348398,4813.456044034,4959.318348398,4813.456044034,14210.0
2011-01-19,4813.456044034,4740.524891851,4886.387196216,4886.387196216,5890.0
2011-01-20,4886.387196216,4813.456044034,4886.387196216,4813.456044034,420.0
2011-01-21,4813.456044034,4667.593739669,4813.456044034,4740.524891851,11590.0
2011-01-24,4740.524891851,4594.662587487,4740.524891851,4594.662587487,54620.0
2011-01-25,4594.662587487,4448.800283122,4813.456044034,4813.456044034,2630.0
2011-01-26,4813.456044034,4740.524891851,4813.456044034,4813.456044034,210.0
2011-01-27,4813.456044034,4667.593739669,4813.456044034,4667.593739669,70.0
2011-01-28,4667.593739669,4521.731435304,4740.524891851,4594.662587487,1870.0
2011-02-08,4594.662587487,4594.662587487,4740.524891851,4740.524891851,8010.0
2011-02-09,4740.524891851,4521.731435304,4886.387196216,4886.387196216,600.0
2011-02-10,4886.387196216,4667.593739669,4886.387196216,4667.593739669,1880.0
2011-02-11,4667.593739669,4521.731435304,4886.387196216,4813.456044034,11760.0
2011-02-14,4813.456044034,4594.662587487,4959.318348398,4740.524891851,11610.0
2011-02-15,4667.593739669,4667.593739669,4667.593739669,4667.593739669,200.0
2011-02-16,4667.593739669,4594.662587487,4667.593739669,4667.593739669,270.0
2011-02-17,4667.593739669,4594.662587487,4667.593739669,4594.662587487,11950.0
2011-02-18,4521.731435304,4521.731435304,4521.731435304,4521.731435304,10000.0
2011-02-21,4521.731435304,4302.937978757,4740.524891851,4302.937978757,1150.0
2011-02-22,4302.937978757,4157.075674393,4448.800283122,4448.800283122,7420.0
2011-02-23,4448.800283122,4448.800283122,4667.593739669,4448.800283122,2430.0
2011-02-24,4448.800283122,4375.86913094,4521.731435304,4375.86913094,5170.0
2011-02-25,4375.86913094,4375.86913094,4375.86913094,4375.86913094,900.0
2011-02-28,4230.006826575,4157.075674393,4302.937978757,4302.937978757,6480.0
2011-03-01,4302.937978757,4302.937978757,4302.937978757,4302.937978757,1710.0
2011-03-02,4302.937978757,4157.075674393,4302.937978757,4302.937978757,4100.0
2011-03-03,4302.937978757,4157.075674393,4302.937978757,4302.937978757,110.0
2011-03-04,4302.937978757,4302.937978757,4375.86913094,4375.86913094,660.0
2011-03-07,4375.86913094,4375.86913094,4448.800283122,4375.86913094,80.0
2011-03-09,4230.006826575,4157.075674393,4302.937978757,4302.937978757,190.0
2011-03-10,4302.937978757,4230.006826575,4375.86913094,4375.86913094,2200.0
2011-03-11,4375.86913094,4375.86913094,4521.731435304,4521.731435304,11180.0
2011-03-14,4521.731435304,4375.86913094,4667.593739669,4375.86913094,8680.0
2011-03-15,4448.800283122,4448.800283122,4448.800283122,4448.800283122,10.0
2011-03-16,4448.800283122,4448.800283122,4448.800283122,4448.800283122,10.0
2011-03-18,4375.86913094,4375.86913094,4375.86913094,4375.86913094,220.0
2011-03-21,4375.86913094,4230.006826575,4375.86913094,4230.006826575,730.0
2011-03-22,4230.006826575,4230.006826575,4375.86913094,4375.86913094,1240.0
2011-03-23,4375.86913094,4375.86913094,4375.86913094,4375.86913094,1500.0
2011-03-24,4375.86913094,4157.075674393,4375.86913094,4157.075674393,70.0
2011-03-25,4157.075674393,4084.14452221,4157.075674393,4084.14452221,1270.0
2011-03-28,4084.14452221,4011.213370028,4230.006826575,4230.006826575,1840.0
2011-03-29,4230.006826575,4230.006826575,4302.937978757,4302.937978757,30.0
2011-03-30,4302.937978757,4157.075674393,4302.937978757,4302.937978757,200.0
2011-03-31,4302.937978757,4230.006826575,4302.937978757,4302.937978757,1010.0
2011-04-01,4302.937978757,4230.006826575,4302.937978757,4302.937978757,900.0
2011-04-04,4193.541250484,4157.075674393,4230.006826575,4157.075674393,10010.0
2011-04-05,4157.075674393,4011.213370028,4302.937978757,4302.937978757,6270.0
2011-04-06,4302.937978757,4230.006826575,4375.86913094,4375.86913094,2220.0
2011-04-08,4375.86913094,4157.075674393,4375.86913094,4157.075674393,120.0
2011-04-13,4157.075674393,4084.14452221,4230.006826575,4230.006826575,20.0
2011-04-14,4230.006826575,4084.14452221,4302.937978757,4302.937978757,7950.0
2011-04-15,4302.937978757,4302.937978757,4302.937978757,4302.937978757,300.0
2011-04-18,4302.937978757,4157.075674393,4302.937978757,4230.006826575,2720.0
2011-04-19,4230.006826575,4157.075674393,4302.937978757,4302.937978757,40.0
2011-04-20,4375.86913094,4375.86913094,4375.86913094,4375.86913094,10.0
2011-04-22,4157.075674393,4157.075674393,4157.075674393,4157.075674393,120.0
2011-04-25,4266.472402666,4230.006826575,4302.937978757,4302.937978757,20.0
2011-04-26,4302.937978757,4157.075674393,4302.937978757,4302.937978757,40.0
2011-04-27,4193.541250484,4157.075674393,4230.006826575,4157.075674393,1550.0
2011-04-28,4047.678946119,4011.213370028,4084.14452221,4084.14452221,4190.0
2011-05-04,4230.006826575,4230.006826575,4230.006826575,4230.006826575,10.0
2011-05-05,4230.006826575,4230.006826575,4302.937978757,4302.937978757,20.0
2011-05-06,4302.937978757,4230.006826575,4375.86913094,4230.006826575,30.0
2011-05-09,4230.006826575,4084.14452221,4302.937978757,4084.14452221,2010.0
2011-05-10,4084.14452221,4022.264154035,4176.966621498,4176.966621498,2900.0
2011-05-11,4176.966621498,4176.966621498,4331.669088961,4331.669088961,3180.0
2011-05-12,4331.669088961,4331.669088961,4331.669088961,4331.669088961,800.0
2011-05-13,4331.669088961,4331.669088961,4331.669088961,4331.669088961,12500.0
2011-05-16,4215.642238364,4176.966621498,4254.31785523,4176.966621498,1320.0
2011-05-17,4176.966621498,4022.264154035,4176.966621498,4022.264154035,19680.0
2011-05-18,3867.561686572,3867.561686572,3867.561686572,3867.561686572,40.0
2011-05-19,3867.561686572,3712.859219109,4022.264154035,4022.264154035,50.0
2011-05-20,4176.966621498,4176.966621498,4176.966621498,4176.966621498,1000.0
2011-05-23,4022.264154035,4022.264154035,4022.264154035,4022.264154035,350.0
2011-05-24,4022.264154035,3867.561686572,4099.615387767,3867.561686572,50.0
2011-05-25,3867.561686572,3712.859219109,4022.264154035,3712.859219109,3230.0
2011-05-26,3712.859219109,3558.156751647,3867.561686572,3635.507985378,1600.0
2011-05-27,3558.156751647,3558.156751647,3558.156751647,3558.156751647,9440.0
2011-05-30,3712.859219109,3712.859219109,3712.859219109,3712.859219109,10.0
2011-05-31,3558.156751647,3558.156751647,3558.156751647,3558.156751647,20090.0
2011-06-01,3558.156751647,3480.805517915,3712.859219109,3712.859219109,6110.0
2011-06-02,3712.859219109,3712.859219109,3867.561686572,3867.561686572,1100.0
2011-06-03,3867.561686572,3712.859219109,3944.912920304,3944.912920304,120.0
2011-06-06,3944.912920304,3790.210452841,4022.264154035,4022.264154035,230.0
2011-06-07,4022.264154035,3867.561686572,4099.615387767,4099.615387767,60.0
2011-06-08,4099.615387767,3944.912920304,4176.966621498,4176.966621498,110.0
2011-06-09,4176.966621498,4022.264154035,4254.31785523,4254.31785523,1110.0
