Date,Price Open,Price Low,Price High,Price Close,Volume
2009-04-21,4913.657794476,4239.234175626,5588.081413326,5356.850458291,43953.0
2009-04-22,5356.850458291,5318.311965786,5356.850458291,5356.850458291,24238.0
2009-04-23,5703.696890843,5703.696890843,5703.696890843,5703.696890843,538.0
2009-04-24,5703.696890843,5318.311965786,6089.0818159,6089.0818159,302071.0
2009-04-27,6089.0818159,5549.54292082,6281.774278428,5549.54292082,77780.0
2009-04-28,5549.54292082,5511.004428314,5857.850860866,5742.235383348,47616.0
2009-04-29,5530.273674567,5356.850458291,5703.696890843,5511.004428314,31241.0
2009-05-04,5800.043122106999,5703.696890843,5896.389353371,5896.389353371,203068.0
2009-05-05,6146.889554658001,6050.543323394,6243.235785922,6050.543323394,447182.0
2009-05-06,6050.543323394,5819.31236836,6050.543323394,5857.850860866,57419.0
2009-05-07,5857.850860866,5742.235383348,5934.927845877,5896.389353371,14866.0
2009-05-08,5626.6199058315,5472.465935809,5780.773875854,5588.081413326,193157.0
2009-05-11,5838.5816146125,5780.773875854,5896.389353371,5896.389353371,138970.0
2009-05-12,6223.9665396695,6166.158800911,6281.774278428,6281.774278428,202530.0
2009-05-13,6686.428449738,6667.159203485,6705.697695991,6705.697695991,403659.0
2009-05-14,6705.697695991,6320.312770934,6936.928651025,6435.928248451,258549.0
2009-05-15,6435.928248451,6289.178486332,6876.16847839,6876.16847839,268352.0
2009-05-18,6876.16847839,6708.457052088,7127.735617843,7085.807761268,207808.0
2009-05-19,7295.4470441455,7169.663474419,7421.230613872,7295.447044145,176890.0
2009-05-20,7295.447044145,6918.096334965,7337.374900721,7043.879904692,155991.0
2009-05-21,7043.879904692,6876.16847839,7505.086327023,7295.447044145,363369.0
2009-05-22,7295.447044145,6918.096334965,7463.158470448,7169.663474419,168918.0
2009-05-25,7484.122398735501,7337.374900721,7630.86989675,7630.86989675,217612.0
2009-05-26,8008.220605930001,7924.364892779,8092.076319081,8092.076319081,250469.0
2009-05-27,8511.3548848365,8385.57131511,8637.138454563,8637.138454563,467866.0
2009-05-28,8637.138454563,8175.932032232,9224.128446621,9224.128446621,532718.0
2009-05-29,9224.128446621,9224.128446621,9643.407012376,9643.407012376,370694.0
2009-06-01,10167.5052195705,10062.685578132,10272.324861009,10272.324861009,125396.0
2009-06-02,10985.098422794,10985.098422794,10985.098422794,10985.098422794,148773.0
2009-06-03,10985.098422794,10901.242709643,11739.799841154,11739.799841154,421111.0
2009-06-04,12263.898048348,12159.078406909,12368.717689787,12368.717689787,302610.0
2009-06-05,13207.274821298,13207.274821298,13207.274821298,13207.274821298,101049.0
2009-06-08,14129.68766596,14129.68766596,14129.68766596,14129.68766596,29517.0
2009-06-09,14129.68766596,14129.68766596,15094.028367197,15094.028367197,553725.0
2009-06-10,15094.028367197,13961.976239658,16058.369068435,14003.904096233,726846.0
2009-06-11,14884.3890843195,14381.254805413,15387.523363226,15387.523363226,480578.0
2009-06-12,15890.657642133,15513.306932953,16268.008351313,16268.008351313,442765.0
2009-06-15,16268.008351313,15094.028367197,17064.637626248,15094.028367197,407322.0
2009-06-16,14423.182661989,14339.326948838,14507.03837514,14339.326948838,101265.0
2009-06-17,14339.326948838,13374.9862476,14339.326948838,13836.192669931,498137.0
2009-06-18,13836.192669931,12494.501259513,14339.326948838,14255.471235686,770691.0
2009-06-19,13731.373028492,13416.914104175,14045.831952809,14045.831952809,355828.0
2009-06-22,14045.831952809,13081.491251571,15010.172654046,13081.491251571,307673.0
2009-06-23,12410.645546362,12410.645546362,12410.645546362,12410.645546362,30594.0
2009-06-24,12410.645546362,11572.088414851,13207.274821298,12787.996255542,358952.0
2009-06-25,12787.996255542,11697.871984578,13207.274821298,11697.871984578,300778.0
2009-06-26,11697.871984578,11068.954135945,11865.58341088,11194.737705671,456554.0
2009-06-29,10733.53128334,10356.18057416,11110.88199252,10356.18057416,160731.0
2009-06-30,10356.18057416,9727.262725527,10985.098422794,9727.262725527,131644.0
2009-07-01,9224.128446621,9224.128446621,9224.128446621,9224.128446621,15512.0
2009-07-02,9224.128446621,8595.210597987,9601.479155801,9098.344876894,446859.0
2009-07-03,9098.344876894,8301.715601959,9391.839872923,9391.839872923,79934.0
