Date,Price Open,Price Low,Price High,Price Close,Volume
2010-04-19,5876.928643906,5876.928643906,5876.928643906,5876.928643906,1527503.0
2010-04-20,6170.775076102,6170.775076102,6170.775076102,6170.775076102,99912.0
2010-04-21,6464.621508297,6464.621508297,6464.621508297,6464.621508297,211335.0
2010-04-22,6464.621508297,6366.672697565,6774.792742281,6366.672697565,546042.0
2010-04-26,6056.501463581,6056.501463581,6056.501463581,6056.501463581,136220.0
2010-04-27,5852.4414412235,5762.655031386,5942.227851061,5827.954238541,413877.0
2010-04-28,5827.954238541,5713.68062602,6040.176661793,5713.68062602,336185.0
2010-04-29,5713.68062602,5713.68062602,5958.55265285,5925.903049272,348035.0
2010-05-04,5925.903049272,5876.928643906,6187.09987789,6023.851860004,571120.0
2010-05-05,6023.851860004,5730.005427809,6023.851860004,6023.851860004,2230329.0
2010-05-06,6023.851860004,5958.55265285,6317.698292199,6317.698292199,924331.0
2010-05-07,6578.8951208175,6529.920715452,6627.869526183,6627.869526183,1250466.0
2010-05-10,6627.869526183,6301.373490411,6693.168733338,6301.373490411,765230.0
2010-05-11,6301.373490411,6007.527058215,6350.347895777,6072.82626537,906487.0
2010-05-12,5868.7662430125,5778.979833175,5958.55265285,5778.979833175,782035.0
2010-05-13,5778.979833175,5681.031022443,5958.55265285,5681.031022443,419173.0
2010-05-14,5681.031022443,5629.847925375,5715.148651517,5681.02836106,275638.0
2010-05-17,5681.02836106,5408.066037406,5800.449377659,5459.246473091,229439.0
2010-05-18,5280.1149481925,5186.284149436,5373.945746949,5186.284149436,988895.0
2010-05-19,4947.4421162385,4930.38197101,4964.502261467,4930.38197101,414497.0
2010-05-20,4930.38197101,4691.539937813,5169.224004208,5169.224004208,777739.0
2010-05-21,4973.032334081499,4913.321825782,5032.742842381,4913.321825782,395274.0
2010-05-24,4913.321825782,4674.479792584,4913.321825782,4725.660228269,350333.0
2010-05-25,4725.660228269,4555.058775985,4776.840663955,4606.23921167,208777.0
2010-05-26,4759.7805187265,4691.539937813,4828.02109964,4828.02109964,273141.0
2010-05-27,4828.02109964,4708.600083041,4981.562406695,4947.442116239,325775.0
2010-05-28,5143.633786365001,5100.983423294,5186.284149436,5186.284149436,465892.0
2010-05-31,5186.284149436,4930.38197101,5186.284149436,4947.442116239,247383.0
2010-06-01,4947.442116239,4810.960954411,4981.562406695,4981.562406695,254177.0
2010-06-02,4981.562406695,4776.840663955,5032.742842381,5032.742842381,287688.0
2010-06-03,5032.742842381,4913.321825782,5186.284149436,5015.682697152,746287.0
2010-06-04,5015.682697152,4913.321825782,5015.682697152,4930.38197101,159460.0
