Date,Price Open,Price Low,Price High,Price Close,Volume
2006-12-04,6675.587537432,6675.587537432,6675.587537432,6675.587537432,536342.0
2006-12-05,6375.1860982475,6341.80816056,6408.564035935,6341.80816056,772921.0
2006-12-06,6041.406721376,6041.406721376,6041.406721376,6041.406721376,28092.0
2006-12-07,6041.406721376,5774.383219879,6341.80816056,6341.80816056,1871884.0
2006-12-08,6608.831662058,6608.831662058,6608.831662058,6608.831662058,161637.0
2006-12-11,6875.855163555,6875.855163555,6875.855163555,6875.855163555,631164.0
2006-12-12,6875.855163555,6875.855163555,7142.878665052,6875.855163555,800408.0
2006-12-13,6608.831662057501,6542.075786683,6675.587537432,6675.587537432,755029.0
2006-12-14,6675.587537432,6675.587537432,6875.855163555,6675.587537432,507818.0
2006-12-15,6675.587537432,6608.831662058,6675.587537432,6608.831662058,727109.0
2006-12-18,6608.831662058,6408.564035935,6608.831662058,6542.075786683,407983.0
2006-12-19,6408.564035935,6408.564035935,6408.564035935,6408.564035935,260694.0
2006-12-20,6408.564035935,6408.564035935,6441.941973622,6441.941973622,418269.0
2006-12-21,6441.941973622,6341.80816056,6441.941973622,6341.80816056,476874.0
2006-12-22,6041.406721376,6041.406721376,6041.406721376,6041.406721376,232948.0
2006-12-25,6041.406721376,5874.51703294,6341.80816056,6341.80816056,232083.0
2006-12-26,6558.764755527,6475.319911309,6642.209599745,6542.075786683,693658.0
2006-12-27,6675.587537432,6675.587537432,6675.587537432,6675.587537432,842071.0
2006-12-28,6675.587537432,6608.831662058,6675.587537432,6675.587537432,498829.0
2006-12-29,6675.587537432,6575.453724371,6675.587537432,6675.587537432,298208.0
2007-01-02,6675.587537432,6675.587537432,6675.587537432,6675.587537432,288613.0
2007-01-03,6675.587537432,6542.075786683,6675.587537432,6675.587537432,300628.0
2007-01-04,7009.366914304,7009.366914304,7009.366914304,7009.366914304,377298.0
2007-01-05,7276.390415801,7209.634540427,7343.146291175,7209.634540427,1068450.0
2007-01-08,7443.280104236501,7343.146291175,7543.413917298,7343.146291175,854518.0
2007-01-09,7343.146291175,7343.146291175,7343.146291175,7343.146291175,1033184.0
2007-01-10,7543.4139172985,7476.658041924,7610.169792673,7610.169792673,800840.0
2007-01-11,7877.19329417,7810.437418796,7943.949169544,7943.949169544,1134229.0
2007-01-12,8277.728546416,8277.728546416,8277.728546416,8277.728546416,608777.0
2007-01-15,8411.240297164,8411.240297164,8411.240297164,8411.240297164,378681.0
2007-01-16,8244.3506087285,8144.216795667,8344.48442179,8144.216795667,328634.0
2007-01-17,7877.19329417,7743.681543421,8010.705044919,7743.681543421,385337.0
2007-01-18,7743.681543421,7409.90216655,7877.19329417,7877.19329417,518104.0
2007-01-19,8077.460920293,8010.705044919,8144.216795667,8144.216795667,548357.0
2007-01-22,7877.19329417,7743.681543421,8010.705044919,8010.705044919,330708.0
2007-01-23,8010.705044919,8010.705044919,8077.460920293,8077.460920293,565299.0
2007-01-24,8077.460920293,8010.705044919,8144.216795667,8010.705044919,836971.0
2007-01-25,7810.4374187955,7743.681543421,7877.19329417,7877.19329417,337883.0
2007-01-26,8010.705044919,8010.705044919,8010.705044919,8010.705044919,596243.0
2007-01-29,8411.240297164,8411.240297164,8411.240297164,8411.240297164,594083.0
2007-01-30,8811.77554941,8811.77554941,8811.77554941,8811.77554941,520957.0
2007-01-31,9212.310801656,9212.310801656,9212.310801656,9212.310801656,869817.0
2007-02-01,9212.310801656,9212.310801656,9412.578427779,9212.310801656,650353.0
2007-02-02,9012.043175533,9012.043175533,9012.043175533,9012.043175533,567892.0
2007-02-05,9012.043175533,8678.263798662,9012.043175533,8678.263798662,203386.0
2007-02-06,8678.263798662,8544.752047913,8678.263798662,8544.752047913,572300.0
2007-02-07,8945.287300159,8945.287300159,8945.287300159,8945.287300159,724776.0
2007-02-08,9345.822552405,9345.822552405,9345.822552405,9345.822552405,688731.0
2007-02-09,8878.531424785,8878.531424785,8878.531424785,8878.531424785,250408.0
2007-02-12,9012.043175533,9012.043175533,9012.043175533,9012.043175533,277982.0
2007-02-13,9112.176988595,9078.799050908,9145.554926282,9145.554926282,229490.0
2007-02-14,9145.554926282,9078.799050908,9412.578427779,9345.822552405,462525.0
2007-02-15,9345.822552405,9345.822552405,9479.334303154,9479.334303154,314372.0
2007-02-26,9646.2239915895,9612.846053902,9679.601929277,9679.601929277,393202.0
2007-02-27,10013.381306148502,9879.8695554,10146.893056897,10013.381306148,693140.0
2007-02-28,9646.2239915895,9546.090178528,9746.357804651,9546.090178528,152388.0
2007-03-01,9546.090178528,9546.090178528,9679.601929277,9546.090178528,223613.0
2007-03-02,9546.090178528,9546.090178528,9679.601929277,9546.090178528,421986.0
2007-03-05,9546.090178528,9546.090178528,9679.601929277,9679.601929277,382138.0
2007-03-06,9679.601929277,9546.090178528,9746.357804651,9546.090178528,369346.0
2007-03-07,9679.601929277,9679.601929277,9679.601929277,9679.601929277,164057.0
2007-03-08,9679.601929277,9679.601929277,9679.601929277,9679.601929277,236751.0
2007-03-09,9679.601929277,9546.090178528,9679.601929277,9546.090178528,99748.0
2007-03-12,9546.090178528,9546.090178528,9612.846053902,9612.846053902,291466.0
2007-03-13,9846.4916177125,9679.601929277,10013.381306148,10013.381306148,538331.0
2007-03-14,10013.381306148,9879.8695554,10146.893056897,9879.8695554,365975.0
2007-03-15,9546.090178528,9412.578427779,9679.601929277,9412.578427779,49009.0
2007-03-16,9412.578427779,9412.578427779,9879.8695554,9879.8695554,103811.0
2007-03-19,9879.8695554,9679.601929277,9879.8695554,9679.601929277,183592.0
2007-03-20,9679.601929277,9546.090178528,9679.601929277,9546.090178528,259570.0
2007-03-21,9212.310801656498,9078.799050908,9345.822552405,9345.822552405,82893.0
2007-03-22,9112.1769885945,9012.043175533,9212.310801656,9012.043175533,161551.0
2007-03-23,9012.043175533,8678.263798662,9012.043175533,8678.263798662,157575.0
2007-03-26,8311.106484103,8277.728546416,8344.48442179,8277.728546416,162329.0
2007-03-27,7877.19329417,7877.19329417,7877.19329417,7877.19329417,195607.0
