Date,Price Open,Price Low,Price High,Price Close,Volume
2008-08-21,38204.144615415,33545.102589145,42863.186641685,40254.123106974,424215.0
2008-08-22,40254.123106974,35781.442761754,41111.386839807,40999.569831177,288129.0
2008-08-25,40999.569831177,40999.569831177,42453.190943373,42453.190943373,381328.0
2008-08-26,45285.888495345,45285.888495345,45285.888495345,45285.888495345,210999.0
2008-08-27,47522.228667955,46590.420262701,48454.037073209,48454.037073209,512094.0
2008-08-28,48454.037073209,45062.254478084,51584.913314862,45062.254478084,137858.0
2008-08-29,45062.254478084,42751.369633054,45956.790547128,43571.361029678,317939.0
2008-09-01,43571.361029678,42751.369633054,45956.790547128,43571.361029678,317939.0
2008-09-03,43571.361029678,40254.123106974,45434.977840186,40254.123106974,140296.0
2008-09-04,38875.046667198,38875.046667198,38875.046667198,38875.046667198,24380.0
2008-09-05,36154.166123856,36154.166123856,36154.166123856,36154.166123856,7646.0
2008-09-08,33656.919597775,33656.919597775,33656.919597775,33656.919597775,443.0
2008-09-09,31308.762416535,31308.762416535,31308.762416535,31308.762416535,5873.0
2008-09-10,29146.966916346,29146.966916346,29146.966916346,29146.966916346,7868.0
2008-09-11,29146.966916346,27134.260760997,29817.868968129,27134.260760997,423550.0
2008-09-12,25792.456657431,25494.27796775,26090.635347112,25494.27796775,181632.0
2008-09-15,25494.27796775,23779.750502083,27283.350105838,27022.443752366,198587.0
2008-09-16,25624.7311444855,24338.835545235,26910.626743736,24338.835545235,77130.0
2008-09-17,24338.835545235,23257.93779514,24338.835545235,23257.93779514,96855.0
2008-09-18,21655.227338103,21655.227338103,21655.227338103,21655.227338103,10195.0
2008-09-19,21655.227338103,20201.606225907,23146.12078651,23146.12078651,89985.0
2008-09-22,24040.656855554,24040.656855554,24040.656855554,24040.656855554,22939.0
2008-09-23,23183.3931227195,22363.401726096,24003.384519343,22363.401726096,126333.0
2008-09-24,22363.401726096,21245.231639792,23481.571812401,21990.678363995,103615.0
2008-09-25,21990.678363995,21916.133691574,23854.295174503,23705.205829662,125225.0
2008-09-26,23705.205829662,23108.8484503,24860.648252177,23481.571812401,143843.0
2008-09-29,23481.571812401,22065.223036415,23667.933493452,22624.308079568,73583.0
2008-09-30,21133.414631161,21133.414631161,21133.414631161,21133.414631161,2992.0
2008-10-01,21133.414631161,19679.793518965,21990.678363995,20127.061553487,112924.0
2008-10-02,20127.061553487,20127.061553487,21543.410329473,20797.96360527,52749.0
2008-10-03,19959.336040541,19567.976510334,20350.695570748,20089.789217277,41557.0
2008-10-06,19083.436139602,18598.89576887,19567.976510334,18598.89576887,38675.0
2008-10-07,17368.908673935,17368.908673935,17368.908673935,17368.908673935,26596.0
2008-10-08,16288.010923840498,16176.19391521,16399.827932471,16176.19391521,96966.0
2008-10-09,15523.928031532,15058.023828905,15989.832234159,15058.023828905,103394.0
2008-10-10,14126.215423651,14126.215423651,14126.215423651,14126.215423651,13852.0
2008-10-13,14126.215423651,13157.134682187,14126.215423651,13157.134682187,62169.0
2008-10-14,14312.577104702,14312.577104702,14312.577104702,14312.577104702,2327.0
2008-10-15,14312.577104702,13343.496363238,15281.657846166,14610.755794383,170218.0
2008-10-16,13436.677203763,13418.041035658,13455.313371868,13418.041035658,55077.0
2008-10-17,13418.041035658,13045.317673556,14349.849440912,13678.947389129,69483.0
2008-10-20,13678.947389129,12896.228328716,14610.755794383,13418.041035658,83446.0
2008-10-21,13418.041035658,13045.317673556,13790.764397759,13231.679354607,65050.0
2008-10-22,12598.0496390345,12448.960294194,12747.138983875,12448.960294194,70259.0
2008-10-23,11628.96889757,11628.96889757,11628.96889757,11628.96889757,8200.0
2008-10-24,10995.3391819975,10846.249837157,11144.428526838,10846.249837157,117911.0
2008-10-27,10100.803112954,10100.803112954,10100.803112954,10100.803112954,2548.0
2008-10-28,9429.901061171,9429.901061171,9429.901061171,9429.901061171,10306.0
2008-10-29,9429.901061171,8796.271345598,10063.530776743,9318.08405254,200693.0
2008-10-30,9318.08405254,8945.360690439,9504.445733591,8982.633026649,88101.0
2008-10-31,8982.633026649,8423.547983496,9280.81171633,8945.360690439,95636.0
2008-11-03,8945.360690439,8423.547983496,9429.901061171,9392.62872496,84333.0
2008-11-04,9392.62872496,8535.364992127,9802.624423272,9802.624423272,45989.0
2008-11-05,10436.254138845,10436.254138845,10436.254138845,10436.254138845,5762.0
2008-11-06,10436.254138845,10063.530776743,11144.428526838,11144.428526838,259759.0
2008-11-07,11144.428526838,10622.615819896,11740.785906201,11740.785906201,207564.0
2008-11-10,11740.785906201,11554.42422515,12262.598613143,11964.419923462,155811.0
2008-11-11,11386.698712204,11181.700863048,11591.69656136,11181.700863048,30142.0
2008-11-12,10473.526475055,10473.526475055,10473.526475055,10473.526475055,4100.0
2008-11-13,10473.526475055,9765.352087062,10622.615819896,10026.258440533,100180.0
2008-11-14,10026.258440533,9504.445733591,10473.526475055,9877.169095693,99847.0
2008-11-17,9877.169095693,9280.81171633,9914.441431903,9541.718069801,53414.0
2008-11-18,9541.718069801,9318.08405254,10138.075449164,9951.713768113,71145.0
2008-11-19,9951.713768113,9877.169095693,10361.709466425,10063.530776743,73362.0
2008-11-20,10063.530776743,9392.62872496,10063.530776743,9392.62872496,51087.0
2008-11-21,9392.62872496,8945.360690439,9429.901061171,9280.81171633,51752.0
2008-11-24,9280.81171633,8982.633026649,9802.624423272,9318.08405254,106275.0
