Date,Price Open,Price Low,Price High,Price Close,Volume
2009-08-25,4915.672256142,4915.672256142,4915.672256142,4915.672256142,221.0
2009-08-26,4468.792960129,4468.792960129,4468.792960129,4468.792960129,4439.0
2009-08-27,4341.113161268,4341.113161268,4341.113161268,4341.113161268,1109.0
2009-08-28,4341.113161268,4149.593462977,4468.792960129,4468.792960129,2708.0
2009-08-31,4564.552809274,4564.552809274,4564.552809274,4564.552809274,1109.0
2009-09-03,4564.552809274,4564.552809274,4564.552809274,4564.552809274,554.0
2009-09-07,4468.792960129,4468.792960129,4468.792960129,4468.792960129,1109.0
2009-09-08,4564.552809274,4564.552809274,4564.552809274,4564.552809274,554.0
2009-09-09,4564.552809274,4468.792960129,4564.552809274,4564.552809274,3884.0
2009-09-11,4484.7529349865,4468.792960129,4500.712909844,4468.792960129,5894.0
2009-09-14,4468.792960129,4468.792960129,4468.792960129,4468.792960129,1400.0
2009-09-15,4596.472758989499,4564.552809274,4628.392708705,4628.392708705,1664.0
2009-09-16,4532.6328595595005,4468.792960129,4596.47275899,4468.792960129,332.0
2009-09-17,4596.472758989499,4564.552809274,4628.392708705,4564.552809274,1442.0
2009-09-18,4628.392708705,4628.392708705,4628.392708705,4628.392708705,554.0
2009-09-21,4628.392708705,4628.392708705,4628.392708705,4628.392708705,221.0
2009-09-22,4628.392708705,4628.392708705,4628.392708705,4628.392708705,166.0
2009-09-25,4947.592205857,4947.592205857,4947.592205857,4947.592205857,11.0
2009-09-28,5266.791703009,5266.791703009,5266.791703009,5266.791703009,221.0
2009-09-30,5266.791703009,4756.072507566,5585.991200161,4756.072507566,127.0
2009-10-01,4947.592205857,4947.592205857,4947.592205857,4947.592205857,13.0
2009-10-07,4947.592205857,4947.592205857,4947.592205857,4947.592205857,1109.0
2009-10-08,5107.191954433,5107.191954433,5107.191954433,5107.191954433,11.0
2009-10-09,5107.191954433,4628.392708705,5107.191954433,5107.191954433,566.0
2009-10-15,5107.191954433,4947.592205857,5617.911149876,5617.911149876,2275.0
2009-10-16,5426.391451585,5426.391451585,5426.391451585,5426.391451585,2952.0
2009-10-19,5937.110647028499,5905.190697313,5969.030596744,5969.030596744,2219.0
2009-10-20,6288.2300938955,6064.790445889,6511.669741902,6511.669741902,10245.0
2009-10-22,6703.189440193,6703.189440193,6703.189440193,6703.189440193,5549.0
2009-10-30,6032.870496174,6032.870496174,6032.870496174,6032.870496174,110.0
2009-11-06,5458.3114013,5458.3114013,5458.3114013,5458.3114013,22.0
2009-11-09,5171.0318538635,4915.672256142,5426.391451585,5426.391451585,610.0
2009-11-10,5426.391451585,4883.752306427,5426.391451585,4915.672256142,1500.0
2009-11-11,4787.992457281,4787.992457281,4787.992457281,4787.992457281,66.0
2009-11-12,4628.392708705,4628.392708705,4628.392708705,4628.392708705,33.0
2009-11-18,4181.513412692,4181.513412692,4181.513412692,4181.513412692,22.0
2009-11-19,3830.393965825,3830.393965825,3830.393965825,3830.393965825,11.0
2010-02-12,4213.433362407,4213.433362407,4213.433362407,4213.433362407,13.0
2010-02-22,4628.392708705,4628.392708705,4628.392708705,4628.392708705,16.0
2010-02-24,5075.272004718,5075.272004718,5075.272004718,5075.272004718,11.0
2010-02-25,5554.071250446,5554.071250446,5554.071250446,5554.071250446,17.0
2010-02-26,6096.710395604,6096.710395604,6096.710395604,6096.710395604,11.0
2010-03-01,6703.189440193,6703.189440193,6703.189440193,6703.189440193,110.0
2010-03-05,6032.870496174,6032.870496174,6032.870496174,6032.870496174,55.0
2010-03-09,5458.3114013,5458.3114013,5458.3114013,5458.3114013,55.0
2010-03-10,5107.191954433,5107.191954433,5107.191954433,5107.191954433,12764.0
2010-03-16,5617.911149876,5617.911149876,5617.911149876,5617.911149876,1276.0
2010-03-24,5075.272004718,5075.272004718,5075.272004718,5075.272004718,110.0
2010-04-20,5554.071250446,5554.071250446,5554.071250446,5554.071250446,1482.0
2010-04-29,5107.191954433,5107.191954433,5107.191954433,5107.191954433,887.0
2010-05-12,5601.9511750185,5585.991200161,5617.911149876,5617.911149876,2830.0
2010-05-13,6128.63034532,6128.63034532,6128.63034532,6128.63034532,44.0
2010-05-18,5522.151300731,5522.151300731,5522.151300731,5522.151300731,1109.0
2010-05-19,6064.790445889,6064.790445889,6064.790445889,6064.790445889,11.0
2010-05-20,6671.269490478,6671.269490478,6671.269490478,6671.269490478,11.0
2010-05-21,7309.668484782,7309.668484782,7309.668484782,7309.668484782,11.0
2010-05-27,7309.668484782,6590.19209328,8007.437704738,6590.19209328,920.0
2010-05-28,7263.383758723,7263.383758723,7263.383758723,7263.383758723,15.0
2010-06-01,7972.006564452,7972.006564452,7972.006564452,7972.006564452,10.0
2010-06-02,8503.473668749,8503.473668749,8503.473668749,8503.473668749,100.0
2010-06-03,9318.389895337,9318.389895337,9318.389895337,9318.389895337,15.0
2010-06-07,8397.180247889,8397.180247889,8397.180247889,8397.180247889,164.0
2010-06-10,8397.180247889,7582.264021301,9212.096474478,7582.264021301,50.0
2010-06-11,9424.683316197,9424.683316197,9424.683316197,9424.683316197,10.0
2010-06-15,9424.683316197,8538.904809035,10345.892963644,10345.892963644,32.0
2010-06-17,9920.719280207,9920.719280207,9920.719280207,9920.719280207,50.0
2010-06-18,10841.928927655,10841.928927655,10841.928927655,10841.928927655,50.0
2010-07-02,10841.928927655,9778.994719061,11904.863136248,9778.994719061,30.0
2010-07-05,9460.114456483,9460.114456483,9460.114456483,9460.114456483,500.0
2010-07-06,8538.904809035,8538.904809035,8538.904809035,8538.904809035,100.0
2010-07-07,7688.55744216,7688.55744216,7688.55744216,7688.55744216,245.0
2010-07-08,6944.503496145,6944.503496145,6944.503496145,6944.503496145,145.0
2010-07-09,6271.311830702,6271.311830702,6271.311830702,6271.311830702,2150.0
2010-07-12,5686.6980159760005,5668.982445833,5704.413586119,5668.982445833,210.0
2010-07-13,6235.880690416,6235.880690416,6235.880690416,6235.880690416,550.0
2010-07-14,6235.880690416,6235.880690416,6731.916654426,6696.48551414,736.0
2010-07-16,6023.293848697,6023.293848697,6023.293848697,6023.293848697,50.0
2010-07-21,5757.560296549,5668.982445833,5846.138147265,5668.982445833,1500.0
2010-07-27,5952.431568124,5952.431568124,5952.431568124,5952.431568124,100.0
2010-08-03,5438.6800339705005,5385.533323541,5491.8267444,5385.533323541,2900.0
2010-08-06,5243.808762395,5243.808762395,5243.808762395,5243.808762395,100.0
2010-08-11,5491.8267444,5491.8267444,5491.8267444,5491.8267444,100.0
2010-08-13,5491.8267444,5314.671042968,5491.8267444,5491.8267444,300.0
2010-08-16,5491.8267444,5456.395604114,5739.844726405,5456.395604114,2600.0
2010-08-19,4960.359640103,4960.359640103,4960.359640103,4960.359640103,100.0
2010-08-25,4464.323676093,4464.323676093,4464.323676093,4464.323676093,100.0
2010-08-30,4889.497359531,4889.497359531,4889.497359531,4889.497359531,100.0
2010-08-31,5350.102183254,5350.102183254,5350.102183254,5350.102183254,100.0
2010-09-09,5172.946481822,5172.946481822,5172.946481822,5172.946481822,100.0
2010-09-16,4712.341658098,4712.341658098,4712.341658098,4712.341658098,100.0
2010-09-21,4712.341658098,4712.341658098,4783.203938671,4712.341658098,300.0
2010-09-22,4322.599114947,4322.599114947,4322.599114947,4322.599114947,100.0
2010-09-28,3897.42543151,3897.42543151,3897.42543151,3897.42543151,10000.0
2010-10-05,4287.167974661,4287.167974661,4287.167974661,4287.167974661,100.0
2010-10-06,4712.341658098,4712.341658098,4712.341658098,4712.341658098,200.0
