Date,Price Open,Price Low,Price High,Price Close,Volume
2013-07-26,7700.0,7700.0,7700.0,7700.0,200.0
2013-07-29,7000.0,7000.0,7000.0,7000.0,100.0
2013-07-30,6300.0,6300.0,6300.0,6300.0,100.0
2013-07-31,5700.0,5700.0,5700.0,5700.0,100.0
2013-08-01,5200.0,5200.0,5200.0,5200.0,100.0
2013-08-02,4700.0,4700.0,4700.0,4700.0,100.0
2013-08-05,4300.0,4300.0,4300.0,4300.0,200.0
2013-08-06,3900.0,3900.0,3900.0,3900.0,1200.0
2013-08-07,3600.0,3600.0,4200.0,3800.0,73100.0
2013-08-08,4000.0,3700.0,4000.0,4000.0,8900.0
2013-08-09,3900.0,3600.0,3900.0,3600.0,116000.0
2013-08-12,3500.0,3300.0,3800.0,3300.0,243200.0
2013-08-13,3400.0,3100.0,3500.0,3200.0,68400.0
2013-08-14,3300.0,3200.0,3300.0,3300.0,60200.0
2013-08-15,3300.0,3200.0,3400.0,3400.0,76600.0
2013-08-16,3300.0,3300.0,3500.0,3500.0,72800.0
2013-08-19,3500.0,3400.0,3500.0,3500.0,98300.0
2013-08-20,3400.0,3400.0,3600.0,3600.0,32900.0
2013-08-21,3600.0,3500.0,3900.0,3900.0,84000.0
2013-08-22,4100.0,4100.0,4200.0,4200.0,19400.0
2013-08-23,4600.0,4400.0,4600.0,4600.0,489100.0
2013-08-26,4800.0,4300.0,4800.0,4700.0,95100.0
2013-08-27,4600.0,4600.0,5100.0,5100.0,268900.0
2013-08-28,5000.0,4800.0,5600.0,5600.0,251700.0
2013-08-29,5800.0,5800.0,6100.0,6100.0,156700.0
2013-08-30,6500.0,5500.0,6500.0,5600.0,177300.0
2013-09-03,5400.0,5100.0,5600.0,5100.0,185700.0
2013-09-04,4700.0,4600.0,5000.0,4600.0,219000.0
2013-09-05,4600.0,4400.0,5000.0,4900.0,58000.0
2013-09-06,4800.0,4500.0,4900.0,4500.0,106000.0
2013-09-09,4400.0,4100.0,4400.0,4100.0,151200.0
2013-09-10,4100.0,4000.0,4300.0,4300.0,28500.0
2013-09-11,3900.0,3900.0,4300.0,4300.0,23600.0
2013-09-12,4200.0,4200.0,4700.0,4600.0,46400.0
2013-09-13,4300.0,4300.0,4600.0,4400.0,14600.0
2013-09-16,4600.0,4000.0,4600.0,4000.0,45100.0
2013-09-17,3900.0,3700.0,4200.0,4200.0,21000.0
2013-09-18,3900.0,3900.0,4200.0,4100.0,15900.0
2013-09-19,4000.0,3700.0,4100.0,4000.0,54500.0
2013-09-20,3900.0,3700.0,4000.0,4000.0,46900.0
2013-09-23,3900.0,3900.0,4300.0,4200.0,46200.0
2013-09-24,4200.0,4000.0,4200.0,4000.0,61400.0
2013-09-25,4200.0,4100.0,4400.0,4400.0,66000.0
2013-09-26,4400.0,4400.0,4800.0,4800.0,73800.0
2013-09-27,4800.0,4500.0,5000.0,4700.0,71800.0
2013-09-30,4500.0,4400.0,4500.0,4400.0,81300.0
2013-10-01,4500.0,4400.0,4500.0,4500.0,88100.0
2013-10-02,4400.0,4300.0,4500.0,4400.0,49000.0
2013-10-03,4400.0,4300.0,4600.0,4600.0,44200.0
2013-10-04,4600.0,4400.0,4600.0,4400.0,32100.0
2013-10-07,4400.0,4400.0,4500.0,4500.0,65400.0
2013-10-08,4500.0,4400.0,4500.0,4400.0,162400.0
2013-10-09,4400.0,4300.0,4500.0,4500.0,38400.0
2013-10-10,4400.0,4300.0,4500.0,4300.0,31900.0
2013-10-11,4200.0,4200.0,4300.0,4300.0,36000.0
2013-10-14,4300.0,4300.0,4700.0,4700.0,166000.0
2013-10-15,4600.0,4400.0,4600.0,4500.0,56400.0
2013-10-16,4600.0,4600.0,4900.0,4900.0,76300.0
2013-10-17,5000.0,4600.0,5000.0,4800.0,72500.0
2013-10-18,4800.0,4500.0,4800.0,4700.0,32500.0
2013-10-21,4700.0,4600.0,5000.0,4900.0,62800.0
2013-10-22,4700.0,4500.0,4700.0,4500.0,157100.0
2013-10-23,4600.0,4500.0,4800.0,4500.0,58200.0
