Date,Price Open,Price Low,Price High,Price Close,Volume
2008-02-22,6169.8768238055,6099.49800072,6240.255646891,6240.255646891,727.0
2008-02-25,6240.255646891,5567.746892965,6412.292769988,5567.746892965,9818.0
2008-02-26,5082.9150006,5082.9150006,5082.9150006,5082.9150006,909.0
2008-02-27,5395.709769868,5208.032908307,5583.386631429,5208.032908307,1090.0
2008-02-28,4801.399708259,4801.399708259,4801.399708259,4801.399708259,4545.0
2008-02-29,4465.1453312965,4332.207554358,4598.083108235,4332.207554358,909.0
2008-03-03,4332.207554358,3956.853831237,4832.679185186,3956.853831237,1454.0
2008-03-04,4496.424808223001,4066.33200048,4926.517615966,4066.33200048,4363.0
2008-03-05,4066.33200048,3800.456446603,4582.443369772,3800.456446603,2727.0
2008-03-06,4191.449908187,3909.934615846,4472.965200528,4472.965200528,52363.0
2008-03-07,4903.0580082715,4895.23813904,4910.877877503,4910.877877503,18909.0
2008-03-10,5395.709769868,5395.709769868,5395.709769868,5395.709769868,363.0
2008-03-11,5927.460877623,5927.460877623,5927.460877623,5927.460877623,909.0
2008-03-12,5348.790554478,5348.790554478,5348.790554478,5348.790554478,545.0
2008-03-13,4989.076569819999,4817.039446723,5161.113692917,4817.039446723,1636.0
2008-03-14,4410.406246675,4410.406246675,4410.406246675,4410.406246675,5272.0
2008-03-17,4410.406246675,4379.126769748,4848.318923649,4379.126769748,1272.0
2008-03-18,4379.126769748,4254.008862041,5161.113692917,4254.008862041,727.0
2008-03-19,4496.4248082235,4457.325462065,4535.524154382,4457.325462065,18181.0
2008-03-20,4457.325462065,4222.729385114,4472.965200528,4222.729385114,727.0
2008-03-24,3972.4935697,3972.4935697,3972.4935697,3972.4935697,1818.0
2008-03-25,3581.500108115,3581.500108115,3581.500108115,3581.500108115,1272.0
2008-03-26,3245.2457311525,3237.425861921,3253.065600384,3237.425861921,4000.0
2008-03-27,3299.984815774,3299.984815774,3299.984815774,3299.984815774,727.0
2008-03-28,3362.543769628,3362.543769628,3362.543769628,3362.543769628,181.0
2008-03-31,3425.102723481,3425.102723481,3425.102723481,3425.102723481,181.0
2008-04-01,3487.661677335,3487.661677335,3487.661677335,3487.661677335,363.0
2008-04-02,3550.220631189,3550.220631189,3550.220631189,3550.220631189,181.0
2008-04-03,3612.779585042,3612.779585042,3612.779585042,3612.779585042,363.0
2008-04-04,3675.338538896,3675.338538896,3675.338538896,3675.338538896,181.0
2008-04-07,3784.816708139,3784.816708139,3784.816708139,3784.816708139,19090.0
