Date,Price Open,Price Low,Price High,Price Close,Volume
2006-12-20,1527.449520721,1527.449520721,1527.449520721,1527.449520721,102633.0
2006-12-21,1527.449520721,1454.713829258,1527.449520721,1454.713829258,39600.0
2006-12-22,1454.713829258,1381.978137795,1454.713829258,1381.978137795,71.0
2006-12-25,1313.07064062,1313.07064062,1313.07064062,1313.07064062,20369.0
2006-12-26,1247.991337732,1247.991337732,1247.991337732,1247.991337732,71651.0
2006-12-27,1186.740229132,1186.740229132,1186.740229132,1186.740229132,91878.0
2006-12-28,1129.317314819,1129.317314819,1129.317314819,1129.317314819,10683.0
2006-12-29,1129.317314819,1075.722594793,1129.317314819,1075.722594793,3917.0
2007-01-02,1075.722594793,1022.127874768,1075.722594793,1022.127874768,71.0
2007-01-03,1022.127874768,972.36134903,1022.127874768,972.36134903,3632.0
2007-01-04,926.42301758,926.42301758,926.42301758,926.42301758,71.0
2007-01-05,926.42301758,884.312880417,926.42301758,884.312880417,507753.0
2007-01-08,926.42301758,926.42301758,926.42301758,926.42301758,278057.0
2007-01-09,972.36134903,972.36134903,972.36134903,972.36134903,567795.0
2007-01-10,972.36134903,957.04857188,972.36134903,957.04857188,361958.0
2007-01-11,957.04857188,957.04857188,957.04857188,957.04857188,26637.0
2007-01-12,913.024337574,911.11024043,914.938434718,911.11024043,37748.0
2007-01-15,911.11024043,872.828297555,911.11024043,872.828297555,23575.0
2007-01-16,830.718160392,830.718160392,830.718160392,830.718160392,133188.0
2007-01-17,830.718160392,792.436217517,846.030937542,846.030937542,38460.0
2007-01-18,846.030937542,838.374548967,846.030937542,842.202743255,47007.0
2007-01-19,842.202743255,803.920800379,842.202743255,842.202743255,103986.0
2007-01-22,842.202743255,800.092606092,842.202743255,800.092606092,29201.0
2007-01-23,800.092606092,761.810663217,800.092606092,761.810663217,72719.0
2007-01-24,761.810663217,761.810663217,765.638857504,761.810663217,128914.0
2007-01-25,796.264411804,796.264411804,796.264411804,796.264411804,34899.0
2007-01-26,796.264411804,796.264411804,834.54635468,834.54635468,145652.0
2007-01-29,834.54635468,803.920800379,834.54635468,803.920800379,90525.0
2007-01-30,803.920800379,803.920800379,803.920800379,803.920800379,34614.0
