Date,Price Open,Price Low,Price High,Price Close,Volume
2008-11-18,5754.643798714,5754.643798714,5754.643798714,5754.643798714,94.0
2008-11-19,5466.911608779,5466.911608779,5466.911608779,5466.911608779,47.0
2008-11-20,5203.157101338,5203.157101338,5203.157101338,5203.157101338,47.0
2008-11-21,4951.391435144,4951.391435144,4951.391435144,4951.391435144,47.0
2008-11-24,4711.614610197,4711.614610197,4711.614610197,4711.614610197,16104.0
2008-11-25,4483.826626498,4483.826626498,4483.826626498,4483.826626498,14687.0
2008-11-26,4268.027484046,4268.027484046,4268.027484046,4268.027484046,38300.0
2008-11-27,4064.217182842,4064.217182842,4064.217182842,4064.217182842,9492.0
2008-11-28,3872.395722885,3872.395722885,3872.395722885,3872.395722885,9964.0
2008-12-01,3680.574262928,3680.574262928,3680.574262928,3680.574262928,11806.0
2008-12-02,3500.741644218,3500.741644218,3500.741644218,3500.741644218,113391.0
2008-12-03,3350.881128626,3332.897866755,3368.864390497,3332.897866755,969325.0
2008-12-04,3202.317172186,3171.226714204,3233.407630168,3171.226714204,1858933.0
2008-12-05,3059.301065467,3021.992515888,3096.609615046,3034.428699081,1607829.0
2008-12-08,3183.662897397,3183.662897397,3183.662897397,3183.662897397,198257.0
2008-12-09,3332.897095712,3332.897095712,3332.897095712,3332.897095712,83118.0
2008-12-10,3332.897095712,3208.535263782,3332.897095712,3332.897095712,653757.0
2008-12-11,3463.477019238,3432.386561256,3494.56747722,3494.56747722,670523.0
2008-12-12,3668.674041922,3668.674041922,3668.674041922,3668.674041922,127275.0
2008-12-15,3842.780606623,3842.780606623,3842.780606623,3842.780606623,19410.0
2008-12-16,3942.270072167,3855.216789816,4029.323354518,4029.323354518,1737844.0
2008-12-17,4029.323354518,3855.216789816,4190.993736026,3967.142438553,255873.0
2008-12-18,3967.142438553,3855.216789816,4041.75953771,3967.142438553,133556.0
2008-12-19,4153.685186447,4153.685186447,4153.685186447,4153.685186447,113202.0
2008-12-22,4352.664117534,4352.664117534,4352.664117534,4352.664117534,134406.0
2008-12-23,4352.664117534,4228.302285605,4564.079231815,4564.079231815,570450.0
2008-12-24,4564.079231815,4365.100300727,4663.568697358,4477.025949464,401237.0
2008-12-25,4477.025949464,4352.664117534,4601.387781393,4576.515415008,123261.0
2008-12-26,4713.31343013,4626.260147779,4800.366712481,4725.749613323,645020.0
2008-12-29,4725.749613323,4638.696330972,4825.239078867,4825.239078867,233629.0
2008-12-30,4825.239078867,4663.568697358,4974.473277182,4974.473277182,423150.0
2008-12-31,4974.473277182,4850.111445253,5223.196941041,5223.196941041,1014096.0
2009-01-02,5465.7025133035,5447.048238514,5484.356788093,5484.356788093,438546.0
2009-01-05,5484.356788093,5210.760757848,5708.208085566,5248.069307427,610687.0
2009-01-06,5248.069307427,5061.526559533,5347.558772971,5161.016025076,396183.0
2009-01-07,5161.016025076,4986.909460375,5359.994956164,4986.909460375,294268.0
2009-01-08,4986.909460375,4738.185796516,4986.909460375,4986.909460375,686155.0
2009-01-09,4986.909460375,4962.037093989,5098.835109112,5098.835109112,163923.0
2009-01-12,5098.835109112,5098.835109112,5223.196941041,5148.579841883,105173.0
2009-01-13,4999.345643568,4899.856178024,5098.835109112,4899.856178024,176013.0
2009-01-14,4899.856178024,4700.877246937,5086.398925919,4725.749613323,422394.0
2009-01-15,4725.749613323,4700.877246937,4787.930529288,4725.749613323,225648.0
2009-01-16,4906.074269621,4850.111445253,4962.037093989,4962.037093989,575928.0
2009-01-19,5036.654193147,4974.473277182,5098.835109112,5073.962742726,200713.0
2009-01-20,5154.79793348,5086.398925919,5223.196941041,5111.271292305,465276.0
2009-01-21,5030.4361015505,4962.037093989,5098.835109112,4962.037093989,101914.0
2009-01-22,4962.037093989,4949.600910796,5024.218009954,4974.473277182,286854.0
2009-01-23,4974.473277182,4949.600910796,4999.345643568,4974.473277182,134170.0
2009-02-02,4974.473277182,4887.419994831,4974.473277182,4887.419994831,206144.0
2009-02-03,4707.0953385335,4651.132514165,4763.058162902,4651.132514165,302108.0
2009-02-04,4651.132514165,4427.281216692,4676.004880551,4427.281216692,196226.0
2009-02-05,4215.866102412,4215.866102412,4215.866102412,4215.866102412,85007.0
2009-02-06,4215.866102412,4016.887171325,4402.408850306,4352.664117534,571489.0
2009-02-09,4352.664117534,4352.664117534,4477.025949464,4464.589766271,131289.0
2009-02-10,4464.589766271,4253.174651991,4464.589766271,4253.174651991,98136.0
2009-02-11,4122.5947284645,4079.068087289,4166.12136964,4079.068087289,107629.0
2009-02-12,3973.360530149,3904.961522588,4041.75953771,3904.961522588,150652.0
2009-02-13,3904.961522588,3855.216789816,4041.75953771,3855.216789816,133651.0
2009-02-16,3855.216789816,3705.982591501,4029.323354518,3705.982591501,136909.0
2009-02-17,3581.620759571,3531.876026799,3631.365492343,3544.312209992,392878.0
2009-02-18,3544.312209992,3482.131294027,3668.674041922,3556.748393185,239911.0
2009-02-19,3656.237858729,3606.493125957,3705.982591501,3705.982591501,360008.0
2009-02-20,3705.982591501,3606.493125957,3780.599690658,3780.599690658,114241.0
2009-02-23,3780.599690658,3594.056942764,3780.599690658,3594.056942764,224515.0
2009-02-24,3451.040836045,3419.950378063,3482.131294027,3419.950378063,224231.0
2009-02-25,3507.0036604135,3432.386561256,3581.620759571,3581.620759571,252473.0
2009-02-26,3581.620759571,3444.822744449,3581.620759571,3581.620759571,41134.0
2009-02-27,3581.620759571,3482.131294027,3668.674041922,3556.748393185,122694.0
2009-03-02,3556.748393185,3482.131294027,3569.184576378,3556.748393185,73720.0
2009-03-03,3556.748393185,3444.822744449,3556.748393185,3544.312209992,80899.0
2009-03-04,3594.056942764,3581.620759571,3606.493125957,3581.620759571,64039.0
2009-03-05,3581.620759571,3507.003660413,3743.29114108,3743.29114108,278731.0
2009-03-06,3743.29114108,3681.110225115,3743.29114108,3730.854957887,84299.0
2009-03-09,3730.854957887,3631.365492343,3855.216789816,3643.801675536,402276.0
2009-03-10,3643.801675536,3594.056942764,3817.908240237,3817.908240237,996811.0
2009-03-11,4004.450988132,4004.450988132,4004.450988132,4004.450988132,423717.0
2009-03-12,4004.450988132,3929.833888974,4203.429919219,4203.429919219,1152234.0
2009-03-13,4315.3555679555,4228.302285605,4402.408850306,4377.53648392,1252827.0
2009-03-16,4259.392743587,4166.12136964,4352.664117534,4340.227934341,985146.0
2009-03-17,4421.0631250955,4352.664117534,4489.462132657,4489.462132657,996953.0
2009-03-18,4489.462132657,4290.48320157,4576.515415008,4477.025949464,673970.0
2009-03-19,4334.009842745,4253.174651991,4414.845033499,4253.174651991,607900.0
2009-03-20,4253.174651991,4041.75953771,4253.174651991,4091.504270482,961675.0
2009-03-23,3992.0148049385,3929.833888974,4054.195720903,3929.833888974,249167.0
2009-03-24,4091.504270482,4066.631904096,4116.376636868,4116.376636868,785047.0
2009-03-25,4116.376636868,3979.578621746,4315.355567955,4278.047018377,421780.0
2009-03-26,4278.047018377,4166.12136964,4290.48320157,4253.174651991,849370.0
2009-03-27,4253.174651991,4141.249003254,4278.047018377,4141.249003254,823159.0
2009-03-30,4141.249003254,3979.578621746,4141.249003254,4041.75953771,142671.0
2009-03-31,3967.142438553,3904.961522588,4029.323354518,3929.833888974,245483.0
2009-04-01,3929.833888974,3892.525339395,4054.195720903,4029.323354518,617676.0
