Date,Price Open,Price Low,Price High,Price Close,Volume
2010-04-22,11862.783498265,10037.739883147,13687.827113383,11292.457368541,1229251.0
2010-04-26,11292.457368541,10790.570374383,11908.409588643,10790.570374383,347077.0
2010-04-27,10459.7812191435,10311.496425415,10608.066012872,10311.496425415,355681.0
2010-04-28,10311.496425415,10265.870335037,11041.513871462,11041.513871462,283705.0
2010-04-29,11668.8726141585,11634.653046375,11703.092181942,11703.092181942,1162521.0
2010-05-04,12239.198743883,11976.84872421,12501.548763556,12159.353085722,465638.0
2010-05-05,12159.353085722,11520.587820431,13163.127074037,11794.344362698,304270.0
2010-05-06,11794.344362698,11406.522594486,11862.783498265,11406.522594486,365753.0
2010-05-07,11406.522594486,10813.383419572,11634.653046375,11064.326916651,326303.0
2010-05-10,11064.326916651,10494.000786927,11634.653046375,11041.513871462,357989.0
2010-05-11,11041.513871462,10265.870335037,11634.653046375,11292.457368541,446752.0
2010-05-12,11292.457368541,10679.98881862,11747.987700482,11196.762471134,471163.0
2010-05-13,11196.762471134,10748.891972288,11541.278239476,11196.762471134,114153.0
2010-05-14,11196.762471134,10852.246702791,11196.762471134,10921.14985646,53859.0
2010-05-17,10524.9567228655,10197.66674294,10852.246702791,10679.98881862,87853.0
2010-05-18,10214.892531357,9956.5057051,10473.279357614,9990.957281935,130101.0
2010-05-19,9990.957281935,9439.732052586,10059.860435603,9439.732052586,91490.0
2010-05-20,9439.732052586,8888.506823238,9680.893090426,9474.183629421,54418.0
2010-05-21,8940.18418849,8647.345785399,9233.022591581,8888.506823238,92470.0
2010-05-24,8888.506823238,8854.055246404,9198.571014747,8888.506823238,40429.0
2010-05-25,8888.506823238,8785.152092736,8957.409976907,8854.055246404,33854.0
2010-05-26,9267.474168415,9095.216284244,9439.732052586,9439.732052586,73864.0
2010-05-27,9749.796244095,9474.183629421,10025.408858769,10025.408858769,135977.0
2010-05-28,10025.408858769,9990.957281935,10645.537241785,10335.473050277,81978.0
2010-05-31,10335.473050277,9646.441513592,10679.98881862,9646.441513592,27559.0
2010-06-01,9646.441513592,9336.377322084,9990.957281935,9784.247820929,52740.0
2010-06-02,9784.247820929,9267.474168415,10438.82778078,10438.82778078,228167.0
2010-06-03,10955.601433294,10955.601433294,10955.601433294,10955.601433294,431573.0
2010-06-04,11369.0203553045,11024.504586962,11713.536123647,11644.632969979,310984.0
2010-06-07,10835.020914374,10817.795125957,10852.246702791,10817.795125957,149267.0
2010-06-08,10817.795125957,10197.66674294,10955.601433294,10955.601433294,54978.0
2010-06-09,10955.601433294,9887.602551432,11196.762471134,9887.602551432,129122.0
2010-06-10,10404.3762039455,10094.312012437,10714.440395454,10714.440395454,71905.0
2010-06-11,10714.440395454,10404.376203946,11024.504586962,10473.279357614,51620.0
2010-06-14,10886.698279625,10507.730934448,11265.665624802,11265.665624802,275311.0
2010-06-15,11782.4392773155,11713.536123647,11851.342430984,11851.342430984,649389.0
2010-06-16,12626.5029097555,12574.825544504,12678.180275007,12678.180275007,392123.0
2010-06-17,12678.180275007,12058.05189199,13263.857081189,12058.05189199,234182.0
2010-06-18,12058.05189199,11747.987700482,13091.599197018,12505.922390835,299793.0
2010-06-21,12505.922390835,11782.439277316,13022.696043349,12574.825544504,354072.0
2010-06-22,12574.825544504,12058.05189199,12747.083428675,12195.858199327,206623.0
2010-06-23,12195.858199327,11920.245584653,12299.21292983,12195.858199327,91910.0
2010-06-24,12195.858199327,12058.05189199,12988.244466515,12988.244466515,698352.0
2010-06-25,12988.244466515,12368.116083498,12988.244466515,12747.083428675,282166.0
2010-06-28,12747.083428675,12402.567660333,12919.341312846,12540.37396767,92050.0
2010-06-29,12540.37396767,12402.567660333,12884.889736012,12609.277121338,49102.0
2010-06-30,12058.05189199,11713.536123647,12402.567660333,11747.987700482,140174.0
2010-07-01,11747.987700482,11369.020355305,11989.148738321,11437.923508973,115132.0
2010-07-02,11437.923508973,11265.665624802,11713.536123647,11334.568778471,54418.0
2010-07-05,11334.568778471,11024.504586962,11437.923508973,11231.214047968,39310.0
2010-07-06,11024.5045869625,10852.246702791,11196.762471134,10921.14985646,195712.0
2010-07-07,10921.14985646,10748.891972288,11679.084546813,11127.859317465,175707.0
2010-07-08,11127.859317465,10748.891972288,11334.568778471,11024.504586962,125345.0
2010-07-09,11024.504586962,10679.98881862,11541.278239476,11403.471932139,165774.0
2010-07-12,11403.471932139,11058.956163797,11851.342430984,11713.536123647,164095.0
2010-07-13,11713.536123647,11713.536123647,12299.21292983,12264.761352996,330150.0
