Date,Price Open,Price Low,Price High,Price Close,Volume
2008-01-09,10432.312182015,10151.801867262,10712.822496768,10418.954547979,276634.0
2008-01-10,9938.079722688,9911.364454616,9964.79499076,9911.364454616,165029.0
2008-01-11,9911.364454616,9911.364454616,10392.239279908,10392.239279908,90779.0
2008-01-14,10392.239279908,10285.378207621,10792.968300984,10285.378207621,89891.0
2008-01-15,10285.378207621,9777.788114257,10365.524011836,9777.788114257,126758.0
2008-01-16,10138.444233226,10018.225526903,10258.662939549,10258.662939549,61402.0
2008-01-17,10258.662939549,9884.649186544,10418.954547979,9884.649186544,111805.0
2008-01-18,9884.649186544,9403.774361253,10125.08659919,10125.08659919,69337.0
2008-01-21,10125.08659919,9644.211773899,10151.801867262,10125.08659919,35807.0
2008-01-22,9657.5694079345,9644.211773899,9670.92704197,9670.92704197,13320.0
2008-01-23,9230.1251187865,9190.052216679,9270.198020894,9190.052216679,86224.0
2008-01-24,9190.052216679,8735.89265946,9644.211773899,8735.89265946,2248.0
2008-01-25,8348.5212724195,8308.448370312,8388.594174527,8388.594174527,6488.0
2008-01-28,8388.594174527,7987.865153451,8388.594174527,8388.594174527,14036.0
2008-01-29,8388.594174527,8014.580421522,8522.170514886,8415.309442599,27786.0
2008-01-30,8415.309442599,8415.309442599,8816.038463675,8816.038463675,81011.0
2008-01-31,8816.038463675,8548.885782957,9243.482752823,9243.482752823,55945.0
2008-02-01,9497.2777995045,9350.34382511,9644.211773899,9644.211773899,65943.0
2008-02-12,9644.211773899,9350.34382511,10125.08659919,10125.08659919,36709.0
2008-02-13,9831.218650401,9644.211773899,10018.225526903,9644.211773899,38142.0
2008-02-14,9644.211773899,9617.496505827,9670.92704197,9617.496505827,28230.0
2008-02-15,9617.496505827,9136.621680536,9617.496505827,9243.482752823,21355.0
2008-02-18,8882.826633854002,8816.038463675,8949.614804033,8816.038463675,37440.0
2008-02-19,8816.038463675,8548.885782957,8816.038463675,8735.89265946,44258.0
2008-02-20,8735.89265946,8308.448370312,8789.323195603,8308.448370312,23833.0
2008-02-21,7947.7922513435005,7907.719349236,7987.865153451,7907.719349236,53095.0
2008-02-22,7907.719349236,7640.566668518,8014.580421522,8014.580421522,66315.0
2008-02-25,8415.309442599,8415.309442599,8415.309442599,8415.309442599,114440.0
2008-02-26,8415.309442599,8014.580421522,8762.607927531,8014.580421522,65398.0
2008-02-27,8014.580421522,8014.580421522,8281.73310224,8281.73310224,59411.0
2008-02-28,8281.73310224,8281.73310224,8415.309442599,8388.594174527,25795.0
2008-02-29,8388.594174527,8148.156761881,8388.594174527,8148.156761881,13821.0
2008-03-03,7921.0769832715,7800.858276949,8041.295689594,7800.858276949,51777.0
2008-03-04,7480.2750600875,7426.844523944,7533.705596231,7426.844523944,51849.0
2008-03-05,7426.844523944,7079.546039012,7480.275060088,7079.546039012,144275.0
2008-03-06,7426.844523944,7426.844523944,7426.844523944,7426.844523944,93185.0
2008-03-07,7774.143008877,7774.143008877,7774.143008877,7774.143008877,50846.0
2008-03-10,7774.143008877,7480.275060088,8148.156761881,7480.275060088,96608.0
2008-03-11,7480.275060088,7480.275060088,7667.28193659,7560.420864303,140236.0
2008-03-12,7560.420864303,7560.420864303,7693.997204662,7560.420864303,34518.0
2008-03-13,7774.143008877,7667.28193659,7881.004081164,7667.28193659,23074.0
2008-03-14,7667.28193659,7373.413987801,7667.28193659,7667.28193659,13205.0
2008-03-17,7413.486889907999,7293.268183585,7533.705596231,7293.268183585,79893.0
2008-03-18,6945.969698653,6945.969698653,6945.969698653,6945.969698653,78619.0
2008-03-19,6945.969698653,6945.969698653,7213.12237937,6945.969698653,73233.0
2008-03-20,6652.1017498635,6598.67121372,6705.532286007,6598.67121372,33100.0
2008-03-21,6291.445630894999,6278.087996859,6304.803264931,6278.087996859,70111.0
2008-03-24,5997.577682106001,5984.22004807,6010.935316142,5984.22004807,99831.0
2008-03-25,5743.7826354245,5717.067367353,5770.497903496,5743.782635424,46249.0
2008-03-26,5743.782635424,5743.782635424,6010.935316142,6010.935316142,63021.0
2008-03-27,6064.365852285,6064.365852285,6064.365852285,6064.365852285,7319.0
2008-03-28,6117.796388429,6117.796388429,6117.796388429,6117.796388429,21627.0
2008-03-31,6117.796388429,6117.796388429,6171.226924572,6171.226924572,33401.0
