Date,Price Open,Price Low,Price High,Price Close,Volume
2010-06-23,5621.8077985175005,5345.325447771,5898.290149264,5437.486231353,97574.0
2010-06-24,5437.486231353,5207.084272397,5437.486231353,5207.084272397,50474.0
2010-06-25,5207.084272397,4976.682313442,5391.405839562,5068.843097024,281899.0
2010-06-28,5068.843097024,4976.682313442,5068.843097024,5068.843097024,32499.0
2010-06-29,5068.843097024,4884.52152986,5207.084272397,4930.601921651,86424.0
2010-06-30,4930.601921651,4792.360746277,4930.601921651,4930.601921651,49549.0
2010-07-01,4769.320550381501,4700.199962695,4838.441138068,4700.199962695,79174.0
2010-07-02,4700.199962695,4654.119570904,4930.601921651,4930.601921651,43099.0
2010-07-05,5045.8029011285,5022.762705233,5068.843097024,5022.762705233,27749.0
2010-07-06,4907.5617257555,4884.52152986,4930.601921651,4930.601921651,44274.0
2010-07-07,4930.601921651,4884.52152986,4930.601921651,4930.601921651,12274.0
2010-07-08,4930.601921651,4792.360746277,4930.601921651,4792.360746277,59749.0
2010-07-09,4861.481333964,4838.441138068,4884.52152986,4838.441138068,57524.0
2010-07-12,4838.441138068,4792.360746277,4930.601921651,4792.360746277,11849.0
2010-07-13,4792.360746277,4792.360746277,5022.762705233,4976.682313442,42824.0
2010-07-14,4976.682313442,4838.441138068,4976.682313442,4838.441138068,54374.0
2010-07-15,4907.5617257555,4884.52152986,4930.601921651,4884.52152986,92399.0
2010-07-16,4884.52152986,4884.52152986,4930.601921651,4884.52152986,66249.0
2010-07-19,4884.52152986,4838.441138068,4930.601921651,4838.441138068,89824.0
2010-07-20,4838.441138068,4838.441138068,4930.601921651,4930.601921651,94199.0
2010-07-21,4930.601921651,4884.52152986,4930.601921651,4930.601921651,89199.0
2010-07-22,4930.601921651,4884.52152986,4930.601921651,4930.601921651,53224.0
2010-07-23,5068.843097024001,4976.682313442,5161.003880606,5161.003880606,196674.0
2010-07-26,5161.003880606,5068.843097024,5345.325447771,5068.843097024,220149.0
2010-07-27,4999.7225093375,4976.682313442,5022.762705233,4976.682313442,55924.0
2010-07-28,4976.682313442,4884.52152986,5161.003880606,4976.682313442,80149.0
2010-07-29,4861.481333964,4838.441138068,4884.52152986,4884.52152986,14999.0
2010-07-30,4884.52152986,4838.441138068,5022.762705233,4884.52152986,232499.0
2010-08-02,4884.52152986,4884.52152986,4930.601921651,4884.52152986,51099.0
2010-08-03,4953.6421175465,4930.601921651,4976.682313442,4930.601921651,94399.0
2010-08-04,4930.601921651,4838.441138068,4930.601921651,4884.52152986,67749.0
2010-08-05,4884.52152986,4838.441138068,4884.52152986,4884.52152986,49724.0
2010-08-06,4884.52152986,4792.360746277,4884.52152986,4884.52152986,53649.0
2010-08-09,4884.52152986,4654.119570904,4884.52152986,4700.199962695,25974.0
2010-08-10,4566.566826501,4479.014082098,4654.119570904,4479.014082098,180499.0
2010-08-11,4649.511531725,4598.823100755,4700.199962695,4654.119570904,35449.0
2010-08-12,4654.119570904,4423.717611948,4654.119570904,4561.958787322,50274.0
2010-08-13,4561.958787322,4552.742708963,4608.039179113,4552.742708963,45299.0
2010-08-16,4746.280354486,4746.280354486,4746.280354486,4746.280354486,16974.0
2010-08-17,4746.280354486,4700.199962695,4792.360746277,4792.360746277,25099.0
2010-08-18,4792.360746277,4552.742708963,4792.360746277,4552.742708963,82324.0
2010-08-19,4608.039179113,4608.039179113,4608.039179113,4608.039179113,974.0
2010-08-20,4608.039179113,4571.17486568,4608.039179113,4608.039179113,22349.0
2010-08-23,4608.039179113,4580.390944038,4746.280354486,4608.039179113,24649.0
2010-08-24,4608.039179113,4423.717611948,4608.039179113,4608.039179113,51824.0
2010-08-25,4488.230160456,4377.637220157,4598.823100755,4377.637220157,199849.0
2010-08-26,4556.755202214,4531.963280548,4581.54712388,4551.79681788,37999.0
2010-08-27,4398.086903551,4333.627907219,4462.545899883,4422.878825217,13874.0
2010-08-30,4422.878825217,4363.378213219,4561.713586547,4422.878825217,48649.0
2010-08-31,4422.878825217,4323.711138553,4442.71236255,4412.962056551,74924.0
2010-09-01,4412.962056551,4363.378213219,4452.629131216,4412.962056551,58999.0
2010-09-06,4412.962056551,4412.962056551,4631.130967212,4442.71236255,47649.0
2010-09-07,4442.71236255,4353.461444552,4551.79681788,4551.79681788,37724.0
2010-09-08,4452.629131216499,4442.71236255,4462.545899883,4442.71236255,21074.0
2010-09-09,4442.71236255,4432.795593884,4512.129743215,4442.71236255,41249.0
2010-09-10,4442.71236255,4323.711138553,4512.129743215,4363.378213219,74824.0
2010-09-13,4323.711138553,4303.87760122,4343.544675886,4323.711138553,57674.0
2010-09-14,4323.711138553,4284.044063887,4323.711138553,4323.711138553,49749.0
2010-09-15,4323.711138553,4214.626683223,4323.711138553,4244.376989222,15549.0
2010-09-16,4244.376989222,4174.959608557,4264.210526555,4264.210526555,9524.0
2010-09-17,4264.210526555,4264.210526555,4313.794369887,4313.794369887,19749.0
2010-09-20,4313.794369887,4313.794369887,4363.378213219,4343.544675886,37924.0
2010-09-21,4343.544675886,4313.794369887,4373.294981885,4363.378213219,36274.0
2010-09-22,4363.378213219,4313.794369887,4373.294981885,4363.378213219,37649.0
2010-09-23,4363.378213219,4343.544675886,4363.378213219,4343.544675886,32999.0
2010-09-24,4343.544675886,4343.544675886,4363.378213219,4343.544675886,30024.0
2010-09-27,4343.544675886,4264.210526555,4353.461444552,4343.544675886,57499.0
2010-09-28,4343.544675886,4313.794369887,4343.544675886,4313.794369887,47349.0
2010-09-29,4279.0856795545005,4264.210526555,4293.960832554,4264.210526555,31299.0
2010-09-30,4264.210526555,4244.376989222,4264.210526555,4264.210526555,50024.0
2010-10-01,4184.8763772235,4125.375765225,4244.376989222,4135.292533891,40249.0
2010-10-04,4135.292533891,3946.87392923,4135.292533891,3946.87392923,29249.0
2010-10-05,3976.624235229,3976.624235229,3976.624235229,3976.624235229,29874.0
2010-10-06,4090.6670748925,4016.291309894,4165.042839891,4115.458996559,56524.0
2010-10-07,4135.292533891499,4125.375765225,4145.209302558,4125.375765225,26799.0
2010-10-08,4155.126071224,4155.126071224,4155.126071224,4155.126071224,23774.0
2010-10-11,4041.0832315605,3956.790697896,4125.375765225,3966.707466562,19274.0
2010-10-12,3966.707466562,3867.539779898,3966.707466562,3867.539779898,55674.0
2010-10-13,3867.539779898,3679.121175237,3917.12362323,3917.12362323,47524.0
2010-10-14,4036.124847227,3966.707466562,4105.542227892,4105.542227892,120124.0
2010-10-15,4105.542227892,4065.875153227,4303.87760122,4264.210526555,140324.0
2010-10-18,4264.210526555,4214.626683223,4462.545899883,4214.626683223,29574.0
2010-10-19,4214.626683223,4135.292533891,4363.378213219,4165.042839891,98324.0
2010-10-20,4165.042839891,3996.457772562,4194.79314589,4165.042839891,113849.0
2010-10-21,4165.042839891,4036.124847227,4373.294981885,4165.042839891,68124.0
2010-10-22,4165.042839891,4145.209302558,4323.711138553,4264.210526555,242249.0
2010-10-25,4264.210526555,4085.708690559,4264.210526555,4085.708690559,27749.0
2010-10-26,4244.3769892215005,4204.709914556,4284.044063887,4204.709914556,174.0
2010-10-27,4130.3341495585,4065.875153227,4194.79314589,4065.875153227,4624.0
2010-10-28,4065.875153227,3996.457772562,4095.625459226,4046.041615894,14774.0
2010-10-29,4165.042839891,4165.042839891,4165.042839891,4165.042839891,24999.0
2010-11-01,4001.416156895,3956.790697896,4046.041615894,3966.707466562,105149.0
2010-11-02,3966.707466562,3917.12362323,4125.375765225,3917.12362323,34774.0
2010-11-03,3976.6242352285,3936.957160563,4016.291309894,3946.87392923,52424.0
2010-11-04,3946.87392923,3917.12362323,3946.87392923,3917.12362323,73449.0
2010-11-05,4021.2496942275,3966.707466562,4075.791921893,4065.875153227,89149.0
2010-11-08,3971.6658508955,3966.707466562,3976.624235229,3976.624235229,13549.0
2010-11-09,3966.707466562,3966.707466562,3966.707466562,3966.707466562,18099.0
2010-11-10,3966.707466562,3917.12362323,3966.707466562,3956.790697896,36824.0
2010-11-11,3956.790697896,3837.789473899,3956.790697896,3837.789473899,12899.0
2010-11-12,3718.788249902,3669.20440657,3768.372093234,3768.372093234,9124.0
2010-11-15,3768.372093234,3629.537331905,3778.288861901,3669.20440657,53224.0
2010-11-16,3669.20440657,3619.620563238,3669.20440657,3619.620563238,5024.0
2010-11-17,3619.620563238,3470.869033242,3798.122399234,3798.122399234,799.0
2010-11-18,3867.539779898,3867.539779898,3867.539779898,3867.539779898,74.0
2010-11-19,3867.539779898,3698.954712569,3956.790697896,3708.871481236,6799.0
2010-11-22,3708.871481236,3669.20440657,3768.372093234,3768.372093234,2649.0
2010-11-23,3768.372093234,3669.20440657,3867.539779898,3768.372093234,5549.0
2010-11-24,3718.788249902,3718.788249902,3718.788249902,3718.788249902,3749.0
2010-11-25,3817.955936566,3768.372093234,3867.539779898,3817.955936566,18774.0
2010-11-26,3817.955936566,3768.372093234,3956.790697896,3936.957160563,13824.0
2010-11-29,3936.957160563,3927.040391897,3936.957160563,3927.040391897,5024.0
2010-11-30,3927.040391897,3927.040391897,4115.458996559,3966.707466562,27974.0
2010-12-01,4036.124847227,4036.124847227,4036.124847227,4036.124847227,349.0
2010-12-02,3917.12362323,3867.539779898,3966.707466562,3966.707466562,7799.0
2010-12-03,3966.707466562,3887.373317231,4006.374541228,3986.541003895,38624.0
2010-12-06,3986.541003895,3966.707466562,4065.875153227,4026.208078561,30199.0
2010-12-07,4065.875153227,4065.875153227,4065.875153227,4065.875153227,1249.0
2010-12-08,4016.291309894,4016.291309894,4016.291309894,4016.291309894,274.0
2010-12-09,3931.99877623,3897.290085898,3966.707466562,3907.206854564,16949.0
2010-12-10,3907.206854564,3827.872705233,3936.957160563,3936.957160563,11374.0
2010-12-13,4036.124847227,3966.707466562,4105.542227892,3976.624235229,39474.0
2010-12-14,4016.291309894,4016.291309894,4016.291309894,4016.291309894,574.0
2010-12-15,3922.0820075635,3867.539779898,3976.624235229,3867.539779898,30549.0
2010-12-16,3867.539779898,3867.539779898,3867.539779898,3867.539779898,9749.0
2010-12-17,3887.3733172315,3877.456548565,3897.290085898,3877.456548565,5899.0
2010-12-20,3877.456548565,3867.539779898,3956.790697896,3877.456548565,4649.0
2010-12-21,3877.456548565,3817.955936566,3877.456548565,3877.456548565,30274.0
2010-12-22,3877.456548565,3867.539779898,3966.707466562,3867.539779898,37799.0
2010-12-23,3867.539779898,3867.539779898,3966.707466562,3867.539779898,72799.0
2010-12-24,3867.539779898,3817.955936566,3907.206854564,3857.623011232,12949.0
2010-12-27,3857.623011232,3827.872705233,3857.623011232,3827.872705233,8249.0
2010-12-28,3907.206854564,3867.539779898,3946.87392923,3946.87392923,2799.0
2010-12-29,3946.87392923,3857.623011232,3946.87392923,3877.456548565,12724.0
2010-12-30,3877.456548565,3867.539779898,4016.291309894,4016.291309894,12249.0
2010-12-31,4016.291309894,3966.707466562,4065.875153227,4065.875153227,29524.0
2011-01-04,4055.95838456,4055.95838456,4055.95838456,4055.95838456,24.0
2011-01-05,4055.95838456,3966.707466562,4055.95838456,3966.707466562,5374.0
2011-01-06,3872.498164232,3847.706242566,3897.290085898,3897.290085898,28874.0
2011-01-07,3897.290085898,3897.290085898,3907.206854564,3907.206854564,24099.0
2011-01-10,3907.206854564,3867.539779898,3907.206854564,3867.539779898,8524.0
2011-01-11,3812.997552233,3788.205630567,3837.789473899,3808.0391679,36274.0
2011-01-12,3808.0391679,3788.205630567,3966.707466562,3966.707466562,3799.0
2011-01-13,3966.707466562,3946.87392923,4016.291309894,4006.374541228,18824.0
2011-01-14,3941.915544896,3917.12362323,3966.707466562,3936.957160563,13949.0
2011-01-17,3936.957160563,3936.957160563,4055.95838456,4055.95838456,35874.0
2011-01-18,3976.6242352285,3966.707466562,3986.541003895,3966.707466562,25024.0
2011-01-19,4110.577685557,4110.577685557,4110.577685557,4110.577685557,3999.0
2011-01-20,4007.813243418,4007.813243418,4007.813243418,4007.813243418,749.0
2011-01-21,4007.813243418,3843.390135996,4007.813243418,4007.813243418,424.0
2011-01-24,3889.6341349585,3822.837247568,3956.431022349,3956.431022349,21674.0
2011-01-25,3997.536799204,3987.26035499,4007.813243418,3987.26035499,2524.0
2011-01-26,3987.26035499,3987.26035499,3987.26035499,3987.26035499,24.0
2011-01-27,4007.813243418,4007.813243418,4007.813243418,4007.813243418,1249.0
2011-01-28,4007.813243418,4007.813243418,4007.813243418,4007.813243418,1274.0
2011-02-08,4131.130573985,4131.130573985,4131.130573985,4131.130573985,49.0
2011-02-09,4131.130573985,4131.130573985,4131.130573985,4131.130573985,274.0
2011-02-10,4007.813243418,3966.707466562,4048.919020274,4007.813243418,1699.0
2011-02-11,4007.813243418,3997.536799204,4007.813243418,3997.536799204,4024.0
2011-02-14,3997.536799204,3905.048801279,4007.813243418,3915.325245493,5624.0
2011-02-16,3915.325245493,3802.28435914,3956.431022349,3956.431022349,9199.0
2011-02-17,3874.2194686375,3802.28435914,3946.154578135,3935.878133921,3899.0
2011-02-18,4079.748352915,4079.748352915,4079.748352915,4079.748352915,24.0
2011-02-21,3894.772357065,3884.495912851,3905.048801279,3884.495912851,2774.0
2011-02-22,3874.219468637,3874.219468637,3874.219468637,3874.219468637,24.0
2011-02-23,3874.219468637,3863.943024424,3976.983910776,3863.943024424,2349.0
2011-02-24,3848.528358103,3843.390135996,3853.66658021,3843.390135996,749.0
2011-02-25,3843.390135996,3843.390135996,3946.154578135,3874.219468637,4299.0
2011-02-28,3874.219468637,3699.519917001,3874.219468637,3699.519917001,11424.0
2011-03-01,3699.519917001,3524.820365365,3853.66658021,3524.820365365,10099.0
2011-03-02,3524.820365365,3360.397257943,3524.820365365,3483.71458851,8449.0
2011-03-03,3483.71458851,3483.71458851,3483.71458851,3483.71458851,499.0
2011-03-04,3483.71458851,3473.438144296,3648.137695932,3648.137695932,9949.0
2011-03-07,3637.861251718,3637.861251718,3637.861251718,3637.861251718,224.0
2011-03-08,3637.861251718,3524.820365365,3771.455026498,3524.820365365,16724.0
2011-03-09,3524.820365365,3493.991032723,3596.755474862,3535.096809579,1274.0
2011-03-10,3535.096809579,3535.096809579,3709.796361215,3648.137695932,17199.0
2011-03-11,3648.137695932,3596.755474862,3648.137695932,3648.137695932,31774.0
2011-03-14,3596.755474862,3596.755474862,3596.755474862,3596.755474862,4799.0
2011-03-15,3596.755474862,3432.33236744,3648.137695932,3432.33236744,13549.0
2011-03-16,3488.8528106165,3483.71458851,3493.991032723,3493.991032723,6499.0
2011-03-17,3493.991032723,3483.71458851,3596.755474862,3493.991032723,12699.0
2011-03-18,3493.991032723,3473.438144296,3545.373253793,3545.373253793,25324.0
2011-03-21,3545.373253793,3442.608811654,3545.373253793,3442.608811654,2874.0
2011-03-22,3442.608811654,3401.503034798,3493.991032723,3493.991032723,22999.0
2011-03-23,3493.991032723,3493.991032723,3545.373253793,3545.373253793,2724.0
2011-03-24,3545.373253793,3535.096809579,3545.373253793,3545.373253793,1449.0
2011-03-25,3545.373253793,3545.373253793,3596.755474862,3596.755474862,6399.0
2011-03-28,3596.755474862,3422.055923226,3596.755474862,3422.055923226,58024.0
2011-03-29,3422.055923226,3422.055923226,3493.991032723,3493.991032723,399.0
2011-03-30,3545.373253793,3545.373253793,3545.373253793,3545.373253793,49.0
2011-03-31,3545.373253793,3442.608811654,3545.373253793,3493.991032723,21624.0
2011-04-01,3493.991032723,3339.844369515,3493.991032723,3339.844369515,1299.0
2011-04-04,3339.844369515,3288.462148446,3483.71458851,3391.226590584,6049.0
2011-04-05,3391.226590584,3350.120813729,3452.885255868,3391.226590584,8449.0
2011-04-06,3391.226590584,3391.226590584,3442.608811654,3422.055923226,11574.0
2011-04-07,3576.2025864345,3565.926142221,3586.479030648,3586.479030648,2599.0
2011-04-08,3586.479030648,3493.991032723,3586.479030648,3545.373253793,274.0
2011-04-13,3545.373253793,3483.71458851,3545.373253793,3493.991032723,6099.0
2011-04-14,3493.991032723,3493.991032723,3545.373253793,3545.373253793,15199.0
2011-04-15,3545.373253793,3370.673702157,3545.373253793,3493.991032723,7249.0
2011-04-18,3493.991032723,3319.291481087,3493.991032723,3319.291481087,3074.0
2011-04-19,3319.291481087,3319.291481087,3380.950146371,3380.950146371,8074.0
2011-04-20,3380.950146371,3380.950146371,3442.608811654,3380.950146371,2024.0
2011-04-21,3293.6003705525,3216.527038948,3370.673702157,3216.527038948,24274.0
2011-04-22,3216.527038948,3072.656819954,3226.803483162,3226.803483162,824.0
2011-04-25,3226.803483162,3216.527038948,3380.950146371,3380.950146371,5824.0
2011-04-26,3380.950146371,3216.527038948,3380.950146371,3216.527038948,40424.0
2011-04-27,3216.527038948,3185.697706307,3370.673702157,3226.803483162,4949.0
2011-04-28,3226.803483162,3216.527038948,3237.079927376,3216.527038948,1024.0
2011-04-29,3149.730151558,3113.762596809,3185.697706307,3175.421262093,1624.0
2011-05-04,3226.803483162,3226.803483162,3226.803483162,3226.803483162,249.0
2011-05-05,3072.656819954,3072.656819954,3072.656819954,3072.656819954,2149.0
2011-05-06,3072.656819954,2949.339489387,3082.933264168,3082.933264168,3174.0
2011-05-09,3082.933264168,2980.168822029,3082.933264168,2980.168822029,63174.0
2011-05-10,2980.168822029,2877.40437989,3124.039041023,2877.40437989,18599.0
2011-05-11,2877.40437989,2826.02215882,2980.168822029,2867.127935676,32649.0
2011-05-12,2867.127935676,2856.851491462,2918.510156745,2856.851491462,39899.0
2011-05-13,2856.851491462,2774.639937751,2908.233712532,2908.233712532,2324.0
2011-05-16,2784.9163819650003,2774.639937751,2795.192826179,2774.639937751,23574.0
2011-05-17,2774.639937751,2712.981272468,2908.233712532,2712.981272468,56399.0
2011-05-18,2712.981272468,2671.875495612,2774.639937751,2682.151939826,31949.0
2011-05-19,2682.151939826,2579.387497687,2682.151939826,2579.387497687,25049.0
2011-05-20,2579.387497687,2517.728832404,2702.704828254,2517.728832404,2574.0
2011-05-23,2517.728832404,2414.964390265,2610.216830329,2414.964390265,3424.0
2011-05-24,2414.964390265,2301.923503912,2507.45238819,2301.923503912,83749.0
2011-05-25,2219.7119502005,2188.882617559,2250.541282842,2188.882617559,35749.0
2011-05-26,2188.882617559,2086.11817542,2291.647059698,2147.776840704,542749.0
2011-05-27,2147.776840704,2147.776840704,2250.541282842,2250.541282842,41574.0
2011-05-30,2250.541282842,2147.776840704,2260.817727056,2147.776840704,187949.0
2011-05-31,2147.776840704,2086.11817542,2158.053284917,2086.11817542,30424.0
2011-06-01,2086.11817542,2034.735954351,2158.053284917,2147.776840704,86824.0
2011-06-02,2147.776840704,2065.565286992,2240.264838629,2188.882617559,13524.0
2011-06-03,2250.5412828425,2209.435505987,2291.647059698,2219.711950201,43374.0
2011-06-06,2219.711950201,2158.053284917,2240.264838629,2240.264838629,30399.0
2011-06-07,2307.0617260185,2271.09417127,2343.029280767,2343.029280767,36149.0
2011-06-08,2430.3790565855,2404.687946051,2456.07016712,2456.07016712,73174.0
2011-06-09,2569.111053473,2569.111053473,2569.111053473,2569.111053473,75099.0
2011-06-10,2692.42838404,2692.42838404,2692.42838404,2692.42838404,5199.0
2011-06-13,2764.363493537,2702.704828254,2826.02215882,2826.02215882,89049.0
2011-06-14,2944.20126728,2928.786600959,2959.615933601,2959.615933601,228274.0
2011-06-15,2959.615933601,2959.615933601,3103.486152595,3103.486152595,167624.0
2011-06-16,3103.486152595,3103.486152595,3247.35637159,3216.527038948,44999.0
2011-06-17,3098.3479304885,3062.38037574,3134.315485237,3072.656819954,162374.0
2011-06-20,3072.656819954,3031.551043098,3185.697706307,3072.656819954,129324.0
2011-06-21,3103.4861525955,3082.933264168,3124.039041023,3082.933264168,83349.0
2011-06-22,3082.933264168,3082.933264168,3185.697706307,3082.933264168,104074.0
2011-06-23,3031.551043098,3031.551043098,3031.551043098,3031.551043098,50899.0
2011-06-24,3031.551043098,2980.168822029,3031.551043098,2980.168822029,49699.0
2011-06-27,2980.168822029,2980.168822029,2980.168822029,2980.168822029,24.0
2011-06-28,2980.168822029,2980.168822029,3031.551043098,3031.551043098,19499.0
2011-06-29,3031.551043098,2980.168822029,3072.656819954,3072.656819954,8124.0
2011-06-30,2995.5834883495,2928.786600959,3062.38037574,3062.38037574,19999.0
2011-07-01,2949.339489387,2918.510156745,2980.168822029,2918.510156745,25374.0
2011-07-04,2918.510156745,2867.127935676,2918.510156745,2867.127935676,17524.0
2011-07-05,2980.168822029,2980.168822029,2980.168822029,2980.168822029,474.0
2011-07-06,2980.168822029,2867.127935676,3124.039041023,2867.127935676,16024.0
2011-07-07,2995.58348835,2990.445266243,3000.721710457,3000.721710457,41774.0
2011-07-08,3134.315485237,3134.315485237,3134.315485237,3134.315485237,49.0
2011-07-11,3237.0799273765,3185.697706307,3288.462148446,3288.462148446,2774.0
2011-07-12,3288.462148446,3124.039041023,3288.462148446,3124.039041023,724.0
2011-07-13,2969.892377815,2969.892377815,2969.892377815,2969.892377815,574.0
2011-07-15,2969.892377815,2969.892377815,2969.892377815,2969.892377815,24.0
2011-07-18,2846.575047248,2836.298603034,2856.851491462,2836.298603034,5649.0
2011-07-19,2836.298603034,2826.02215882,2836.298603034,2826.02215882,7974.0
2011-07-20,2959.615933601,2959.615933601,2959.615933601,2959.615933601,24.0
2011-07-21,3031.551043098,3031.551043098,3031.551043098,3031.551043098,24.0
2011-07-22,3031.551043098,2887.680824104,3082.933264168,2887.680824104,1599.0
2011-07-25,2877.40437989,2877.40437989,2877.40437989,2877.40437989,2399.0
2011-07-26,2805.4692703925,2774.639937751,2836.298603034,2774.639937751,44949.0
2011-07-27,2784.916381965,2784.916381965,2784.916381965,2784.916381965,924.0
2011-07-28,2784.916381965,2774.639937751,2877.40437989,2867.127935676,27524.0
2011-07-29,2779.778159858,2754.087049323,2805.469270393,2754.087049323,11699.0
2011-08-01,2754.087049323,2630.769718756,2887.680824104,2630.769718756,47499.0
2011-08-02,2630.769718756,2569.111053473,2723.257716681,2569.111053473,12399.0
2011-08-03,2569.111053473,2548.558165045,2569.111053473,2569.111053473,146249.0
2011-08-04,2656.4608292915,2620.493274543,2692.42838404,2692.42838404,77424.0
2011-08-05,2692.42838404,2692.42838404,2784.916381965,2784.916381965,2874.0
2011-08-08,2784.916381965,2671.875495612,2784.916381965,2774.639937751,20749.0
2011-08-09,2666.737273505,2641.04616297,2692.42838404,2692.42838404,64199.0
2011-08-10,2826.02215882,2826.02215882,2826.02215882,2826.02215882,16599.0
2011-08-11,2826.02215882,2826.02215882,2959.615933601,2959.615933601,138824.0
2011-08-12,3041.827487312,3010.99815467,3072.656819954,3010.99815467,17024.0
2011-08-15,3010.99815467,3010.99815467,3031.551043098,3010.99815467,46874.0
2011-08-16,3010.99815467,3010.99815467,3031.551043098,3021.274598884,52049.0
2011-08-17,3021.274598884,2890.733190643,3027.843065298,3027.843065298,46049.0
2011-08-18,3027.843065298,3027.843065298,3096.398002625,3027.843065298,22499.0
2011-08-19,3027.843065298,3027.843065298,3027.843065298,3027.843065298,17249.0
2011-08-22,3027.843065298,3027.843065298,3164.952939953,3164.952939953,1499.0
2011-08-23,3164.952939953,3039.268888186,3290.63699172,3164.952939953,4049.0
2011-08-25,3142.101294177,3142.101294177,3142.101294177,3142.101294177,7699.0
2011-08-26,3142.101294177,3084.972179737,3199.230408616,3084.972179737,8099.0
2011-08-29,3170.6658513965003,3142.101294177,3199.230408616,3142.101294177,3774.0
2011-08-30,3142.101294177,3084.972179737,3290.63699172,3256.359523056,7049.0
2011-08-31,3256.359523056,3210.656231504,3313.488637496,3210.656231504,8524.0
2011-09-01,3210.656231504,3210.656231504,3336.340283271,3256.359523056,13824.0
2011-09-05,3256.359523056,3244.933700168,3256.359523056,3256.359523056,30649.0
2011-09-06,3256.359523056,3199.230408616,3256.359523056,3256.359523056,6299.0
2011-09-07,3256.359523056,3256.359523056,3336.340283271,3302.062814608,12949.0
2011-09-08,3302.062814608,3302.062814608,3313.488637496,3313.488637496,5874.0
2011-09-09,3313.488637496,3256.359523056,3313.488637496,3302.062814608,5274.0
2011-09-12,3302.062814608,3290.63699172,3359.191929047,3290.63699172,3474.0
2011-09-13,3347.7661061595,3313.488637496,3382.043574823,3313.488637496,1474.0
2011-09-14,3313.488637496,3313.488637496,3416.321043487,3313.488637496,5124.0
2011-09-15,3227.7949658360003,3199.230408616,3256.359523056,3256.359523056,16124.0
2011-09-16,3256.359523056,3256.359523056,3336.340283271,3256.359523056,5999.0
2011-09-19,3256.359523056,3256.359523056,3256.359523056,3256.359523056,1374.0
2011-09-20,3256.359523056,3256.359523056,3256.359523056,3256.359523056,9999.0
2011-09-21,3256.359523056,3256.359523056,3290.63699172,3290.63699172,5024.0
2011-09-22,3302.062814608,3302.062814608,3302.062814608,3302.062814608,24.0
2011-09-26,3313.488637496,3313.488637496,3313.488637496,3313.488637496,24.0
2011-09-27,3302.062814608,3302.062814608,3302.062814608,3302.062814608,249.0
2011-09-28,3313.488637496,3313.488637496,3313.488637496,3313.488637496,9999.0
2011-09-29,3313.488637496,3302.062814608,3313.488637496,3302.062814608,2624.0
2011-09-30,3267.7853459440003,3256.359523056,3279.211168832,3267.785345944,13474.0
2011-10-04,3256.359523056,3256.359523056,3256.359523056,3256.359523056,131149.0
2011-10-05,3256.359523056,3256.359523056,3256.359523056,3256.359523056,1624.0
2011-10-06,3256.359523056,3199.230408616,3404.895220599,3404.895220599,14124.0
2011-10-10,3302.062814608,3302.062814608,3302.062814608,3302.062814608,674.0
2011-10-11,3256.359523056,3256.359523056,3256.359523056,3256.359523056,32999.0
2011-10-12,3256.359523056,3256.359523056,3256.359523056,3256.359523056,24024.0
2011-10-13,3256.359523056,3256.359523056,3256.359523056,3256.359523056,3724.0
2011-10-14,3359.191929047,3347.766106159,3370.617751935,3370.617751935,9324.0
2011-10-17,3370.617751935,3370.617751935,3427.746866375,3427.746866375,3774.0
2011-10-18,3313.488637496,3313.488637496,3313.488637496,3313.488637496,7874.0
2011-10-19,3422.0339549305,3370.617751935,3473.450157926,3473.450157926,7424.0
2011-10-20,3473.450157926,3370.617751935,3542.005095254,3542.005095254,399.0
