Date,Price Open,Price Low,Price High,Price Close,Volume
2006-12-21,8953.740364024,8953.740364024,8953.740364024,8953.740364024,5610.0
2006-12-22,8546.752165659,8546.752165659,8546.752165659,8546.752165659,26228.0
2006-12-25,8546.752165659,8123.48443936,8546.752165659,8123.48443936,27771.0
2006-12-26,7732.77576893,7732.77576893,7732.77576893,7732.77576893,132994.0
2006-12-27,8042.0867996875,7976.968687949,8107.204911426,8107.204911426,4207.0
2006-12-28,8465.354525987,8465.354525987,8465.354525987,8465.354525987,69147.0
2006-12-29,8465.354525987,8465.354525987,8465.354525987,8465.354525987,74505.0
2007-01-02,8465.354525987,8139.763967295,8465.354525987,8139.763967295,31137.0
2007-01-03,7781.614352734,7749.055296865,7814.173408603,7814.173408603,71251.0
2007-01-04,8107.2049114255005,8074.645855556,8139.763967295,8139.763967295,26761.0
2007-01-05,8139.763967295,8139.763967295,8139.763967295,8139.763967295,75235.0
2007-01-08,8139.763967295,7976.968687949,8139.763967295,8058.366327622,85137.0
2007-01-09,8058.366327622,7911.850576211,8058.366327622,7960.689160014,15905.0
2007-01-10,7960.689160014,7651.378129257,7960.689160014,7960.689160014,35345.0
2007-01-11,7960.689160014,7797.893880668,7976.968687949,7797.893880668,15484.0
2007-01-12,7797.893880668,7651.378129257,7797.893880668,7651.378129257,52737.0
2007-01-15,7651.378129257,7651.378129257,7651.378129257,7651.378129257,77984.0
2007-01-16,7651.378129257,7504.862377846,7651.378129257,7504.862377846,18486.0
2007-01-17,7504.862377846,7504.862377846,7569.980489584,7569.980489584,27350.0
2007-01-18,7569.980489584,7244.389930892,7814.173408603,7814.173408603,8443.0
2007-01-19,7814.173408603,7814.173408603,8139.763967295,7814.173408603,43929.0
2007-01-22,7814.173408603,7732.77576893,7814.173408603,7732.77576893,25611.0
2007-01-23,7732.77576893,7651.378129257,7732.77576893,7651.378129257,36327.0
2007-01-24,7651.378129257,7651.378129257,7814.173408603,7732.77576893,22834.0
2007-01-25,7732.77576893,7732.77576893,7732.77576893,7732.77576893,40366.0
2007-01-26,8042.0867996875,7976.968687949,8107.204911426,7976.968687949,48389.0
2007-01-29,7976.968687949,7976.968687949,7976.968687949,7976.968687949,36355.0
2007-01-30,7976.968687949,7976.968687949,7976.968687949,7976.968687949,45247.0
2007-01-31,7928.130104145,7895.571048276,7960.689160014,7960.689160014,101912.0
2007-02-01,7895.571048276,7895.571048276,7895.571048276,7895.571048276,59834.0
2007-02-02,7814.173408603,7814.173408603,7814.173408603,7814.173408603,7574.0
2007-02-05,7578.1202535515,7504.862377846,7651.378129257,7651.378129257,65304.0
2007-02-06,7529.2816697475,7488.582849911,7569.980489584,7569.980489584,76020.0
2007-02-07,7773.474588766499,7651.378129257,7895.571048276,7895.571048276,106457.0
2007-02-08,7895.571048276,7895.571048276,8139.763967295,7895.571048276,171453.0
2007-02-09,7895.571048276,7814.173408603,7976.968687949,7814.173408603,89485.0
2007-02-12,7814.173408603,7732.77576893,7814.173408603,7814.173408603,54785.0
2007-02-13,7895.571048276,7895.571048276,7895.571048276,7895.571048276,115770.0
2007-02-14,8099.0651474585,7976.968687949,8221.161606968,8221.161606968,197036.0
2007-02-15,8546.7521656595,8465.354525987,8628.149805332,8628.149805332,76385.0
2007-02-26,9035.138003697,9035.138003697,9035.138003697,9035.138003697,100706.0
2007-02-27,9442.126202062,9442.126202062,9442.126202062,9442.126202062,47576.0
2007-02-28,9849.114400427,9849.114400427,9849.114400427,9849.114400427,54420.0
2007-03-01,10337.500238464,10337.500238464,10337.500238464,10337.500238464,163206.0
2007-03-02,10825.886076502,10825.886076502,10825.886076502,10825.886076502,77423.0
2007-03-05,11314.27191454,11314.27191454,11314.27191454,11314.27191454,45444.0
2007-03-06,11802.657752577,11802.657752577,11802.657752577,11802.657752577,38571.0
2007-03-07,12372.441230288,12372.441230288,12372.441230288,12372.441230288,56805.0
2007-03-08,12372.441230288,11884.05539225,12372.441230288,12046.850671596,457610.0
2007-03-09,12575.9353294705,12535.236509634,12616.634149307,12616.634149307,175548.0
2007-03-12,13186.417627018,13186.417627018,13186.417627018,13186.417627018,260490.0
2007-03-13,13186.417627018,13186.417627018,13349.212906363,13186.417627018,222984.0
2007-03-14,13186.417627018,12535.236509634,13186.417627018,12535.236509634,49511.0
2007-03-15,11965.453031923,11965.453031923,11965.453031923,11965.453031923,28192.0
2007-03-16,11965.453031923,11395.669554213,11965.453031923,11965.453031923,276984.0
2007-03-19,12535.236509634,12535.236509634,12535.236509634,12535.236509634,49932.0
2007-03-20,13105.019987345,13105.019987345,13105.019987345,13105.019987345,156950.0
2007-03-21,13674.803465055,13593.405825382,13756.201104728,13593.405825382,496799.0
2007-03-22,12942.224707999,12942.224707999,12942.224707999,12942.224707999,127019.0
2007-03-23,12657.3329691435,12453.838869961,12860.827068326,12860.827068326,120595.0
2007-03-26,12291.043590615,12291.043590615,12291.043590615,12291.043590615,79695.0
2007-03-27,11721.260112904,11721.260112904,11721.260112904,11721.260112904,42358.0
2007-03-28,11151.476635194,11151.476635194,11151.476635194,11151.476635194,109346.0
2007-03-29,11639.862473232,11639.862473232,11639.862473232,11639.862473232,29791.0
2007-03-30,12046.850671596,11884.05539225,12209.645950942,11884.05539225,218861.0
2007-04-02,11314.27191454,11314.27191454,11314.27191454,11314.27191454,64435.0
2007-04-03,10988.681355848,10988.681355848,10988.681355848,10988.681355848,98293.0
2007-04-04,10988.681355848,10988.681355848,11477.067193886,11477.067193886,44658.0
2007-04-05,11477.067193886,11395.669554213,11477.067193886,11395.669554213,84688.0
2007-04-06,11395.669554213,11070.078995521,11395.669554213,11070.078995521,71840.0
2007-04-09,11070.078995521,10907.283716175,11314.27191454,10907.283716175,45780.0
2007-04-10,10907.283716175,10907.283716175,10907.283716175,10907.283716175,36074.0
2007-04-11,10703.7896169925,10581.693157483,10825.886076502,10581.693157483,50128.0
2007-04-12,10256.1025987915,10093.307319446,10418.897878137,10093.307319446,50353.0
2007-04-13,9604.921481408,9604.921481408,9604.921481408,9604.921481408,34111.0
2007-04-16,9197.933283043,9197.933283043,9197.933283043,9197.933283043,15905.0
2007-04-17,8831.6439045145,8790.945084678,8872.342724351,8790.945084678,15849.0
2007-04-18,8790.945084678,8465.354525987,9197.933283043,9197.933283043,85558.0
2007-04-19,9197.933283043,9197.933283043,9604.921481408,9197.933283043,155071.0
2007-04-20,9197.933283043,9197.933283043,9442.126202062,9197.933283043,78377.0
2007-04-23,8790.945084678,8790.945084678,8790.945084678,8790.945084678,16831.0
2007-04-24,8506.053345822998,8383.956886314,8628.149805332,8628.149805332,69400.0
2007-04-25,8628.149805332,8628.149805332,8872.342724351,8872.342724351,51447.0
2007-05-02,8587.4509854955,8546.752165659,8628.149805332,8546.752165659,20954.0
2007-05-03,8546.752165659,8546.752165659,8628.149805332,8628.149805332,29061.0
2007-05-04,8506.053345823,8465.354525987,8546.752165659,8546.752165659,43564.0
2007-05-07,8546.752165659,8546.752165659,8790.945084678,8790.945084678,34055.0
2007-05-08,9035.138003697,8953.740364024,9116.53564337,9116.53564337,85530.0
2007-05-09,9116.53564337,8790.945084678,9116.53564337,8790.945084678,53214.0
2007-05-10,8790.945084678,8628.149805332,8790.945084678,8628.149805332,10238.0
2007-05-11,8831.6439045145,8790.945084678,8872.342724351,8872.342724351,29202.0
2007-05-14,9157.2344632065,9116.53564337,9197.933283043,9197.933283043,31333.0
2007-05-15,9197.933283043,9116.53564337,9442.126202062,9116.53564337,107410.0
2007-05-16,9116.53564337,9116.53564337,9116.53564337,9116.53564337,40114.0
2007-05-17,9116.53564337,9035.138003697,9116.53564337,9116.53564337,20618.0
2007-05-18,9197.933283043,9197.933283043,9197.933283043,9197.933283043,75010.0
2007-05-21,9442.126202062,9442.126202062,9442.126202062,9442.126202062,113666.0
2007-05-22,9808.4155805905,9767.716760754,9849.114400427,9849.114400427,57057.0
2007-05-23,10337.500238464,10337.500238464,10337.500238464,10337.500238464,19776.0
2007-05-24,10337.500238464,10174.704959118,10825.886076502,10174.704959118,211876.0
2007-05-25,10174.704959118,10011.909679773,10663.090797156,10663.090797156,125448.0
2007-05-28,11151.476635194,11151.476635194,11151.476635194,11151.476635194,111730.0
2007-05-29,11151.476635194,11070.078995521,11395.669554213,11070.078995521,168676.0
2007-05-30,11070.078995521,10663.090797156,11070.078995521,10663.090797156,113554.0
2007-05-31,10540.9943376465,10500.29551781,10581.693157483,10581.693157483,86343.0
2007-06-01,10581.693157483,10581.693157483,10744.488436829,10744.488436829,74533.0
2007-06-04,10744.488436829,10581.693157483,10744.488436829,10581.693157483,85670.0
2007-06-05,10134.006139282,10093.307319446,10174.704959118,10093.307319446,74337.0
2007-06-06,10093.307319446,10093.307319446,10418.897878137,10418.897878137,27546.0
2007-06-07,10418.897878137,10418.897878137,10581.693157483,10418.897878137,43312.0
2007-06-08,10418.897878137,10256.102598791,10418.897878137,10256.102598791,60059.0
2007-06-11,10256.102598791,9930.5120401,10256.102598791,9930.5120401,36972.0
2007-06-12,10052.6084996095,10011.909679773,10093.307319446,10011.909679773,51475.0
2007-06-13,10174.7049591185,10093.307319446,10256.102598791,10093.307319446,52120.0
2007-06-14,10337.500238464,10337.500238464,10337.500238464,10337.500238464,131900.0
2007-06-15,10337.500238464,10093.307319446,10337.500238464,10093.307319446,71616.0
2007-06-18,10256.102598791,10256.102598791,10256.102598791,10256.102598791,66679.0
2007-06-19,10256.102598791,10256.102598791,10256.102598791,10256.102598791,130721.0
2007-06-20,10256.102598791,10256.102598791,10337.500238464,10337.500238464,101211.0
2007-06-21,10337.500238464,10256.102598791,10337.500238464,10256.102598791,89513.0
2007-06-22,10134.006139282,10093.307319446,10174.704959118,10174.704959118,47071.0
2007-06-25,10174.704959118,10093.307319446,10174.704959118,10093.307319446,49820.0
2007-06-26,9930.5120401,9930.5120401,9930.5120401,9930.5120401,51643.0
2007-06-27,9930.5120401,9930.5120401,10011.909679773,9930.5120401,32989.0
2007-06-28,9930.5120401,9604.921481408,9930.5120401,9604.921481408,71392.0
2007-06-29,9604.921481408,9604.921481408,9686.319121081,9604.921481408,59049.0
2007-07-02,9604.921481408,9197.933283043,9604.921481408,9197.933283043,23900.0
2007-07-03,8831.6439045145,8790.945084678,8872.342724351,8872.342724351,77479.0
2007-07-04,9197.933283043,9116.53564337,9279.330922716,9279.330922716,18121.0
2007-07-05,9279.330922716,9116.53564337,9442.126202062,9116.53564337,54476.0
2007-07-06,9116.53564337,9116.53564337,9197.933283043,9197.933283043,14474.0
2007-07-09,9197.933283043,9116.53564337,9279.330922716,9279.330922716,16214.0
2007-07-10,9401.4273822255,9360.728562389,9442.126202062,9442.126202062,54813.0
2007-07-11,9564.2226615715,9523.523841735,9604.921481408,9604.921481408,56047.0
2007-07-12,9604.921481408,9279.330922716,9604.921481408,9442.126202062,47716.0
2007-07-13,9442.126202062,9360.728562389,9442.126202062,9442.126202062,8555.0
2007-07-16,9197.933283043,9197.933283043,9197.933283043,9197.933283043,25358.0
2007-07-17,9197.933283043,9197.933283043,9360.728562389,9360.728562389,19860.0
2007-07-18,9360.728562389,9279.330922716,9360.728562389,9360.728562389,37309.0
2007-07-19,9360.728562389,9360.728562389,9442.126202062,9360.728562389,17195.0
2007-07-20,9564.2226615715,9523.523841735,9604.921481408,9523.523841735,56777.0
2007-07-23,9523.523841735,9442.126202062,9604.921481408,9442.126202062,30099.0
2007-07-24,9442.126202062,9279.330922716,9442.126202062,9279.330922716,22189.0
2007-07-25,9116.53564337,9035.138003697,9197.933283043,9116.53564337,12931.0
2007-07-26,9116.53564337,9035.138003697,9116.53564337,9035.138003697,28192.0
2007-07-27,8953.740364024,8953.740364024,8953.740364024,8953.740364024,26396.0
2007-07-30,8831.6439045145,8790.945084678,8872.342724351,8790.945084678,13885.0
2007-07-31,8587.4509854955,8546.752165659,8628.149805332,8546.752165659,31726.0
2007-08-01,8546.752165659,8465.354525987,8872.342724351,8628.149805332,25471.0
2007-08-02,8628.149805332,8628.149805332,8790.945084678,8628.149805332,52176.0
2007-08-03,8343.2580664775,8302.559246641,8383.956886314,8302.559246641,67240.0
2007-08-06,8302.559246641,8302.559246641,8302.559246641,8302.559246641,39637.0
2007-08-07,8302.559246641,8302.559246641,8465.354525987,8465.354525987,26368.0
2007-08-08,8343.2580664775,8302.559246641,8383.956886314,8383.956886314,10884.0
2007-08-09,8383.956886314,8302.559246641,8546.752165659,8546.752165659,43564.0
2007-08-10,8546.752165659,8546.752165659,8628.149805332,8546.752165659,27659.0
2007-08-13,8180.462787131501,8139.763967295,8221.161606968,8139.763967295,21712.0
2007-08-14,8139.763967295,8139.763967295,8383.956886314,8383.956886314,12903.0
2007-08-15,8383.956886314,8139.763967295,8383.956886314,8139.763967295,15737.0
2007-08-16,8139.763967295,8139.763967295,8221.161606968,8221.161606968,23844.0
2007-08-17,8099.0651474585,8058.366327622,8139.763967295,8058.366327622,23956.0
2007-08-20,8180.462787131501,8139.763967295,8221.161606968,8139.763967295,19355.0
2007-08-21,8139.763967295,8139.763967295,8302.559246641,8302.559246641,28556.0
2007-08-22,8302.559246641,8221.161606968,8302.559246641,8302.559246641,10996.0
2007-08-23,8302.559246641,8139.763967295,8302.559246641,8221.161606968,31137.0
2007-08-24,8221.161606968,8221.161606968,8302.559246641,8302.559246641,52344.0
2007-08-27,8302.559246641,8302.559246641,8302.559246641,8302.559246641,45808.0
2007-08-28,8302.559246641,8139.763967295,8302.559246641,8139.763967295,21571.0
2007-08-29,8139.763967295,8139.763967295,8221.161606968,8139.763967295,20758.0
2007-08-30,8139.763967295,8139.763967295,8139.763967295,8139.763967295,15148.0
2007-08-31,8139.763967295,8139.763967295,8139.763967295,8139.763967295,15540.0
2007-09-04,8139.763967295,8139.763967295,8383.956886314,8302.559246641,42638.0
2007-09-05,8302.559246641,8302.559246641,8465.354525987,8302.559246641,42470.0
2007-09-06,8302.559246641,8302.559246641,8302.559246641,8302.559246641,43256.0
2007-09-07,8302.559246641,8302.559246641,8465.354525987,8465.354525987,97059.0
2007-09-10,8872.342724351,8872.342724351,8872.342724351,8872.342724351,68951.0
2007-09-11,9279.330922716,9279.330922716,9279.330922716,9279.330922716,54056.0
2007-09-12,9279.330922716,9035.138003697,9686.319121081,9035.138003697,339259.0
2007-09-13,8831.6439045145,8790.945084678,8872.342724351,8872.342724351,42723.0
2007-09-14,8872.342724351,8790.945084678,9035.138003697,9035.138003697,54841.0
2007-09-17,9035.138003697,8872.342724351,9116.53564337,8872.342724351,60367.0
2007-09-18,8872.342724351,8872.342724351,8953.740364024,8872.342724351,28921.0
2007-09-19,9075.8368235335,9035.138003697,9116.53564337,9035.138003697,91701.0
2007-09-20,9035.138003697,9035.138003697,9116.53564337,9116.53564337,61237.0
2007-09-21,9116.53564337,9116.53564337,9116.53564337,9116.53564337,76048.0
2007-09-24,9401.4273822255,9279.330922716,9523.523841735,9523.523841735,112600.0
2007-09-25,9604.921481408,9604.921481408,9604.921481408,9604.921481408,112011.0
2007-09-26,9604.921481408,9442.126202062,9604.921481408,9523.523841735,103399.0
2007-09-27,9401.4273822255,9360.728562389,9442.126202062,9442.126202062,82528.0
2007-09-28,9686.319121081,9604.921481408,9767.716760754,9767.716760754,68446.0
2007-10-01,9767.716760754,9767.716760754,9930.5120401,9930.5120401,215579.0
2007-10-02,10174.7049591185,10093.307319446,10256.102598791,10174.704959118,184777.0
2007-10-03,10174.704959118,10093.307319446,10256.102598791,10256.102598791,140596.0
2007-10-04,10459.5966979735,10337.500238464,10581.693157483,10581.693157483,132629.0
2007-10-05,11070.078995521,11070.078995521,11070.078995521,11070.078995521,159306.0
2007-10-08,11070.078995521,10825.886076502,11070.078995521,10825.886076502,138043.0
2007-10-09,10825.886076502,10825.886076502,10907.283716175,10825.886076502,142111.0
2007-10-10,10825.886076502,10825.886076502,10825.886076502,10825.886076502,174510.0
2007-10-11,10825.886076502,10825.886076502,11070.078995521,11070.078995521,180345.0
2007-10-12,11070.078995521,11070.078995521,11395.669554213,11395.669554213,287363.0
2007-10-15,11965.453031923,11965.453031923,11965.453031923,11965.453031923,376007.0
2007-10-16,12535.236509634,12535.236509634,12535.236509634,12535.236509634,157707.0
2007-10-17,12535.236509634,12046.850671596,13023.622347672,12046.850671596,409137.0
2007-10-18,11680.561293068,11477.067193886,11884.05539225,11477.067193886,259816.0
2007-10-19,11884.05539225,11802.657752577,11965.453031923,11965.453031923,356119.0
2007-10-22,11965.453031923,11965.453031923,12046.850671596,11965.453031923,188985.0
2007-10-23,11599.1636533955,11558.464833559,11639.862473232,11639.862473232,151424.0
2007-10-24,11639.862473232,11477.067193886,11721.260112904,11721.260112904,199897.0
2007-10-25,11721.260112904,11558.464833559,11721.260112904,11558.464833559,206069.0
2007-10-26,11987.7900306705,11888.717385789,12086.862675552,11888.717385789,264763.0
2007-10-29,11294.2815165,11294.2815165,11294.2815165,11294.2815165,74127.0
2007-10-30,11046.599904296,10997.063581855,11096.136226737,11096.136226737,85394.0
2007-10-31,11096.136226737,11096.136226737,11294.2815165,11294.2815165,59633.0
2007-11-01,11442.890483822,11393.354161381,11492.426806263,11393.354161381,46940.0
2007-11-02,11244.745194059,11195.208871618,11294.2815165,11294.2815165,33592.0
2007-11-05,11046.599904296,10997.063581855,11096.136226737,10997.063581855,49488.0
2007-11-06,10650.3093247695,10600.773002329,10699.84564721,10600.773002329,84880.0
2007-11-07,10798.9182920915,10699.84564721,10897.990936973,10897.990936973,31792.0
2007-11-08,10897.990936973,10897.990936973,11096.136226737,10897.990936973,43106.0
2007-11-09,10897.990936973,10798.918292092,10897.990936973,10897.990936973,37566.0
2007-11-12,10600.7730023285,10501.700357447,10699.84564721,10501.700357447,24171.0
2007-11-13,10055.87345548,10006.337133039,10105.409777921,10006.337133039,57786.0
2007-11-14,10303.555067684,10105.409777921,10501.700357447,10501.700357447,38103.0
2007-11-15,10501.700357447,10303.555067684,10798.918292092,10303.555067684,47664.0
2007-11-16,10303.555067684,10303.555067684,10501.700357447,10501.700357447,12857.0
2007-11-19,10501.700357447,10402.627712566,10501.700357447,10402.627712566,15522.0
2007-11-20,10402.627712566,10105.409777921,10402.627712566,10204.482422802,63210.0
2007-11-21,10204.482422802,10105.409777921,10204.482422802,10204.482422802,55238.0
2007-11-22,10204.482422802,10204.482422802,10303.555067684,10204.482422802,14563.0
2007-11-23,10204.482422802,10105.409777921,10303.555067684,10105.409777921,47057.0
2007-11-26,10105.409777921,10105.409777921,10501.700357447,10501.700357447,23119.0
2007-11-27,10501.700357447,10402.627712566,10699.84564721,10501.700357447,21763.0
2007-11-28,10501.700357447,10402.627712566,10501.700357447,10402.627712566,19566.0
2007-11-29,10402.627712566,10402.627712566,10501.700357447,10501.700357447,24171.0
2007-11-30,10501.700357447,10303.555067684,10501.700357447,10501.700357447,32727.0
2007-12-03,10501.700357447,10303.555067684,10699.84564721,10699.84564721,3927.0
2007-12-04,10501.7003574475,10402.627712566,10600.773002329,10600.773002329,18233.0
2007-12-05,10452.1640350065,10402.627712566,10501.700357447,10501.700357447,20945.0
2007-12-06,10402.627712566,10402.627712566,10402.627712566,10402.627712566,13044.0
