Date,Price Open,Price Low,Price High,Price Close,Volume
2007-12-21,5854.9967280405,5789.21024795,5920.783208131,5920.783208131,4052479.0
2007-12-24,6205.857955189,6205.857955189,6205.857955189,6205.857955189,745599.0
2007-12-25,6512.861528944,6512.861528944,6512.861528944,6512.861528944,1734879.0
2007-12-26,6512.861528944,6337.43091537,6534.790355641,6490.932702247,1893919.0
2007-12-27,6490.932702247,6490.932702247,6556.719182337,6490.932702247,1744639.0
2007-12-28,6436.110635505,6403.21739546,6469.00387555,6447.075048853,814879.0
2008-01-02,6359.3597420665,6315.502088673,6403.21739546,6315.502088673,438399.0
2008-01-03,6151.035888447,6096.213821705,6205.857955189,6096.213821705,1482399.0
2008-01-04,6096.213821705,6096.213821705,6183.929128492,6096.213821705,687679.0
2008-01-07,6096.213821705,5876.925554737,6096.213821705,5920.783208131,928639.0
2008-01-08,6030.4273416145,5964.640861524,6096.213821705,5964.640861524,767359.0
2008-01-09,5964.640861524,5833.067901344,5964.640861524,5854.99672804,707519.0
2008-01-10,5723.4237678595,5679.566114466,5767.281421253,5679.566114466,1752479.0
2008-01-11,5745.3525945565,5701.494941163,5789.21024795,5701.494941163,786079.0
2008-01-14,5701.494941163,5547.993154285,5701.494941163,5547.993154285,608479.0
2008-01-15,5547.993154285,5350.633714014,5547.993154285,5350.633714014,1929279.0
2008-01-16,5580.8863943305005,5547.993154285,5613.779634376,5613.779634376,827199.0
2008-01-17,5613.779634376,5591.850807679,5723.42376786,5657.637287769,1300319.0
2008-01-18,5811.139074647,5701.494941163,5920.783208131,5920.783208131,1240639.0
2008-01-21,5920.783208131,5833.067901344,6052.356168311,5986.569688221,1831999.0
2008-01-22,5887.889968085499,5854.99672804,5920.783208131,5854.99672804,1078559.0
2008-01-23,5854.99672804,5679.566114466,5854.99672804,5679.566114466,1453439.0
2008-01-24,5789.21024795,5701.494941163,5876.925554737,5745.352594556,1274719.0
2008-01-25,5898.854381434,5811.139074647,5986.569688221,5986.569688221,1515039.0
2008-01-28,5986.569688221,5986.569688221,6249.715608582,6249.715608582,1719039.0
2008-01-29,6249.715608582,6183.929128492,6556.719182337,6556.719182337,2839999.0
2008-01-30,6841.7939293955005,6819.865102699,6863.722756092,6863.722756092,2247519.0
2008-01-31,6655.398902473,6534.790355641,6776.007449305,6754.078622608,2788159.0
2008-02-01,6754.078622608,6578.648009034,6841.793929395,6578.648009034,1470239.0
2008-02-12,6578.648009034,6293.573261976,6578.648009034,6293.573261976,755999.0
2008-02-13,6293.573261976,6052.356168311,6293.573261976,6118.142648402,643839.0
2008-02-14,6249.7156085825,6140.071475099,6359.359742066,6162.000301795,778879.0
2008-02-15,6162.000301795,6074.284995008,6249.715608582,6162.000301795,1069599.0
2008-02-18,5975.605274873,5920.783208131,6030.427341615,6030.427341615,962239.0
2008-02-19,6030.427341615,5876.925554737,6052.356168311,5986.569688221,1389119.0
2008-02-20,5833.0679013435,5701.494941163,5964.640861524,5701.494941163,1046559.0
2008-02-21,5416.420194105,5416.420194105,5416.420194105,5416.420194105,286559.0
2008-02-22,5153.274273743,5153.274273743,5153.274273743,5153.274273743,2143999.0
2008-02-25,5328.7048873175,5262.918407227,5394.491367408,5350.633714014,1604159.0
2008-02-26,5142.309860395,5087.487793653,5197.131927137,5087.487793653,688159.0
2008-02-27,5087.487793653,4846.270699988,5109.41662035,4846.270699988,1715999.0
2008-02-28,4846.270699988,4714.697739808,4933.986006776,4802.413046595,1243039.0
2008-02-29,4594.0891929755,4583.124779627,4605.053606324,4583.124779627,859839.0
2008-03-03,4363.836512659,4363.836512659,4363.836512659,4363.836512659,211999.0
2008-03-04,4166.477072388,4166.477072388,4166.477072388,4166.477072388,98079.0
2008-03-05,3969.117632117,3969.117632117,3969.117632117,3969.117632117,1535839.0
2008-03-06,4111.655005646,4056.832938904,4166.477072388,4166.477072388,5133759.0
2008-03-07,4330.943272614,4298.050032569,4363.836512659,4363.836512659,1532159.0
2008-03-10,4363.836512659,4188.405899085,4561.19595293,4298.050032569,1546399.0
2008-03-11,4100.690592298,4100.690592298,4100.690592298,4100.690592298,1353119.0
2008-03-12,4100.690592298,3903.331152027,4122.619418995,3903.331152027,2605919.0
2008-03-13,3903.331152027,3727.900538453,3925.259978724,3727.900538453,2563039.0
2008-03-14,3607.2919916205,3574.398751575,3640.185231666,3574.398751575,996639.0
2008-03-17,3420.8969646980004,3398.968138001,3442.825791395,3398.968138001,1812159.0
2008-03-18,3245.466351124,3245.466351124,3245.466351124,3245.466351124,1143359.0
2008-03-19,3157.7510443365,3091.964564246,3223.537524427,3091.964564246,2189279.0
2008-03-20,2949.427190717,2938.462777369,2960.391604065,2938.462777369,1945279.0
2008-03-21,2806.889817188,2806.889817188,2806.889817188,2806.889817188,31199.0
2008-03-24,2686.2812703555,2675.316857007,2697.245683704,2675.316857007,7199.0
2008-03-25,2543.743896827,2543.743896827,2543.743896827,2543.743896827,6719.0
2008-03-26,2434.099763343,2434.099763343,2434.099763343,2434.099763343,105119.0
2008-03-27,2434.099763343,2412.170936646,2456.028590039,2456.028590039,1953119.0
2008-03-28,2477.957416736,2477.957416736,2477.957416736,2477.957416736,425279.0
2008-03-31,2499.886243433,2499.886243433,2499.886243433,2499.886243433,80319.0
2008-04-01,2521.81507013,2521.81507013,2521.81507013,2521.81507013,55999.0
2008-04-02,2543.743896827,2543.743896827,2543.743896827,2543.743896827,39199.0
2008-04-03,2565.672723523,2565.672723523,2565.672723523,2565.672723523,9599.0
2008-04-04,2587.60155022,2587.60155022,2587.60155022,2587.60155022,9919.0
2008-04-07,2631.459203614,2631.459203614,2631.459203614,2631.459203614,29599.0
2008-04-08,2631.459203614,2587.60155022,2675.316857007,2587.60155022,2331679.0
2008-04-09,2543.743896827,2543.743896827,2543.743896827,2543.743896827,436479.0
2008-04-10,2499.886243433,2499.886243433,2499.886243433,2499.886243433,139359.0
2008-04-11,2456.028590039,2456.028590039,2456.028590039,2456.028590039,376959.0
2008-04-16,2412.170936646,2412.170936646,2412.170936646,2412.170936646,134559.0
2008-04-17,2412.170936646,2368.313283252,2434.099763343,2368.313283252,1493119.0
2008-04-18,2324.455629859,2324.455629859,2324.455629859,2324.455629859,317599.0
2008-04-21,2280.597976465,2280.597976465,2280.597976465,2280.597976465,127679.0
2008-04-22,2236.740323072,2236.740323072,2236.740323072,2236.740323072,101439.0
2008-04-23,2192.882669678,2192.882669678,2192.882669678,2192.882669678,7999.0
2008-04-24,2149.025016284,2149.025016284,2149.025016284,2149.025016284,48799.0
2008-04-25,2116.131776239,2116.131776239,2116.131776239,2116.131776239,12959.0
2008-04-28,2083.238536194,2083.238536194,2083.238536194,2083.238536194,251199.0
2008-04-29,2050.345296149,2050.345296149,2050.345296149,2050.345296149,68319.0
2008-05-05,2050.345296149,2017.452056104,2050.345296149,2017.452056104,22239.0
2008-05-06,1984.558816059,1984.558816059,1984.558816059,1984.558816059,527359.0
2008-05-07,1951.665576013,1951.665576013,1951.665576013,1951.665576013,529919.0
2008-05-08,1918.772335968,1918.772335968,1918.772335968,1918.772335968,332319.0
2008-05-09,1885.879095923,1885.879095923,1885.879095923,1885.879095923,17599.0
2008-05-12,1852.985855878,1852.985855878,1852.985855878,1852.985855878,31999.0
2008-05-13,1820.092615833,1820.092615833,1820.092615833,1820.092615833,9599.0
2008-05-14,1787.199375788,1787.199375788,1787.199375788,1787.199375788,159.0
2008-05-15,1754.306135742,1754.306135742,1754.306135742,1754.306135742,91519.0
2008-05-16,1721.412895697,1721.412895697,1721.412895697,1721.412895697,218719.0
2008-05-19,1688.519655652,1688.519655652,1688.519655652,1688.519655652,53839.0
2008-05-20,1657.819298277,1657.819298277,1657.819298277,1657.819298277,10639.0
2008-05-21,1627.118940901,1627.118940901,1627.118940901,1627.118940901,54239.0
2008-05-22,1596.418583526,1596.418583526,1596.418583526,1596.418583526,195919.0
2008-05-23,1565.71822615,1565.71822615,1565.71822615,1565.71822615,28879.0
2008-05-26,1539.403634114,1535.017868775,1543.789399453,1535.017868775,4799.0
2008-05-30,1504.317511399,1504.317511399,1504.317511399,1504.317511399,86079.0
2008-06-02,1478.002919363,1478.002919363,1478.002919363,1478.002919363,799.0
2008-06-03,1451.688327327,1451.688327327,1451.688327327,1451.688327327,3999.0
