Date,Price Open,Price Low,Price High,Price Close,Volume
2008-06-25,3675.241052079,3675.241052079,3675.241052079,3675.241052079,30402.0
2008-06-26,3675.241052079,3675.241052079,3822.250694162,3822.250694162,6035.0
2008-07-02,3645.839123662,3645.839123662,3645.839123662,3645.839123662,223.0
2008-07-03,3513.530445788,3513.530445788,3513.530445788,3513.530445788,223.0
2008-07-04,3513.530445788,3381.221767913,3645.839123662,3381.221767913,21460.0
2008-07-07,3381.221767913,3248.913090038,3513.530445788,3248.913090038,6929.0
2008-07-08,3204.810197413,3204.810197413,3204.810197413,3204.810197413,223.0
2008-07-10,3087.202483746,3087.202483746,3087.202483746,3087.202483746,223.0
2008-07-11,2969.59477008,2969.59477008,2969.59477008,2969.59477008,5812.0
2008-07-14,2851.987056413,2851.987056413,2851.987056413,2851.987056413,9165.0
2008-07-15,2851.987056413,2749.080306955,2954.893805872,2954.893805872,201639.0
2008-07-16,2940.192841663,2940.192841663,2940.192841663,2940.192841663,89418.0
2008-07-17,3057.80055533,3057.80055533,3057.80055533,3057.80055533,82265.0
2008-07-18,3057.80055533,2940.192841663,3175.408268996,2940.192841663,7153.0
2008-07-21,2954.893805872,2954.893805872,2954.893805872,2954.893805872,4918.0
2008-07-24,2837.286092205,2837.286092205,2837.286092205,2837.286092205,7153.0
2008-07-25,2734.379342747,2734.379342747,2734.379342747,2734.379342747,447.0
2008-07-28,2631.472593289,2631.472593289,2631.472593289,2631.472593289,3576.0
2008-07-29,2543.2668080385,2528.56584383,2557.967772247,2528.56584383,40462.0
2008-07-30,2440.36005858,2440.36005858,2440.36005858,2440.36005858,6706.0
2008-07-31,2352.154273331,2352.154273331,2352.154273331,2352.154273331,447.0
2008-08-01,2352.154273331,2263.948488081,2440.36005858,2293.350416497,77123.0
2008-08-04,2293.350416497,2278.649452289,2366.855237539,2366.855237539,35991.0
2008-08-05,2410.958130164,2410.958130164,2410.958130164,2410.958130164,1788.0
2008-08-06,2499.163915414,2499.163915414,2499.163915414,2499.163915414,11624.0
2008-08-07,2587.369700664,2587.369700664,2587.369700664,2587.369700664,2682.0
2008-08-08,2690.276450122,2690.276450122,2690.276450122,2690.276450122,6929.0
2008-08-11,2793.18319958,2793.18319958,2793.18319958,2793.18319958,59463.0
2008-08-12,2793.18319958,2793.18319958,2896.089949038,2896.089949038,208792.0
2008-08-13,2990.763715638,2990.763715638,2990.763715638,2990.763715638,4470.0
2008-08-14,3085.845799083,3077.201973315,3094.489624851,3094.489624851,29547.0
2008-08-15,3215.503185599,3215.503185599,3215.503185599,3215.503185599,57733.0
2008-08-18,3215.503185599,2990.763715638,3440.24265556,3025.339018709,113134.0
2008-08-19,2878.3939806575,2817.887200283,2938.900761032,2938.900761032,21577.0
2008-08-20,2696.8736395345,2679.585987999,2714.16129107,2679.585987999,39655.0
2008-08-21,2679.585987999,2593.147730322,2852.462503354,2852.462503354,16523.0
2008-08-22,2852.462503354,2766.024245677,2956.188412567,2956.188412567,69591.0
2008-08-25,3059.91432178,3025.339018709,3094.489624851,3094.489624851,63370.0
2008-08-26,3284.6537917415,3267.366140206,3301.941443277,3301.941443277,71729.0
2008-08-27,3301.941443277,3301.941443277,3526.680913238,3301.941443277,116827.0
2008-08-28,3250.07848867,3250.07848867,3250.07848867,3250.07848867,56761.0
2008-08-29,3250.07848867,3025.339018709,3250.07848867,3250.07848867,59288.0
2008-09-01,3250.07848867,3025.339018709,3250.07848867,3250.07848867,59288.0
2008-09-03,3267.366140206,3267.366140206,3267.366140206,3267.366140206,1166.0
2008-09-04,3267.366140206,3111.777276386,3492.105610167,3284.653791741,88446.0
2008-09-05,3284.653791741,3094.489624851,3301.941443277,3129.064927922,45098.0
2008-09-08,3129.064927922,3008.051367173,3250.07848867,3180.927882528,59094.0
2008-09-09,3258.722314438,3198.215534064,3319.229094812,3319.229094812,60649.0
2008-09-10,3319.229094812,3284.653791741,3526.680913238,3301.941443277,58122.0
2008-09-11,3180.927882528,3146.352579457,3215.503185599,3146.352579457,27603.0
2008-09-12,2982.1198898705,2973.476064103,2990.763715638,2973.476064103,27991.0
2008-09-15,2973.476064103,2973.476064103,3008.051367173,2990.763715638,38294.0
2008-09-16,2800.5995487475,2783.311897212,2817.887200283,2817.887200283,26825.0
2008-09-17,2627.723033393,2593.147730322,2662.298336464,2593.147730322,21771.0
2008-09-18,2472.134169574,2437.558866503,2506.709472645,2437.558866503,15162.0
2008-09-19,2593.147730322,2593.147730322,2593.147730322,2593.147730322,3110.0
2008-09-22,2766.024245677,2766.024245677,2766.024245677,2766.024245677,583.0
2008-09-23,2766.024245677,2766.024245677,2956.188412567,2938.900761032,27797.0
2008-09-25,2938.900761032,2938.900761032,3111.777276386,3077.201973315,4859.0
2008-09-26,3016.6951929415,2973.476064103,3059.91432178,2973.476064103,8747.0
2008-09-29,2990.763715638,2990.763715638,2990.763715638,2990.763715638,6026.0
2008-10-01,2990.763715638,2783.311897212,3094.489624851,2990.763715638,5442.0
2008-10-02,2990.763715638,2938.900761032,3008.051367173,2938.900761032,6220.0
2008-10-03,2938.900761032,2817.887200283,2990.763715638,2817.887200283,12052.0
2008-10-08,2679.585987999,2679.585987999,2679.585987999,2679.585987999,3887.0
2008-10-09,2679.585987999,2506.709472645,2852.462503354,2506.709472645,7386.0
2008-10-13,2766.024245677,2766.024245677,2766.024245677,2766.024245677,194.0
2008-10-14,2904.3254579605,2852.462503354,2956.188412567,2938.900761032,117605.0
2008-10-16,2766.024245677,2766.024245677,2766.024245677,2766.024245677,1943.0
2008-10-20,2575.860078786,2575.860078786,2575.860078786,2575.860078786,12829.0
2008-10-21,2575.860078786,2402.983563432,2593.147730322,2420.271214967,8164.0
2008-10-22,2316.5453057545,2299.257654219,2333.83295729,2299.257654219,2915.0
2008-10-23,2143.668790399,2143.668790399,2143.668790399,2143.668790399,971.0
2008-10-24,2005.367578116,2005.367578116,2005.367578116,2005.367578116,26242.0
2008-10-27,1867.066365832,1867.066365832,1867.066365832,1867.066365832,3110.0
2008-10-28,1754.696630851,1746.052805083,1763.340456619,1746.052805083,6609.0
2008-10-29,1867.066365832,1867.066365832,1867.066365832,1867.066365832,39849.0
2008-10-30,1867.066365832,1746.052805083,1970.792275045,1970.792275045,1555.0
2008-10-31,1875.7101915995,1815.203411225,1936.216971974,1936.216971974,15939.0
2008-11-03,1936.216971974,1936.216971974,1970.792275045,1970.792275045,388.0
2008-11-04,2022.655229651,2022.655229651,2022.655229651,2022.655229651,1943.0
2008-11-05,2109.0934873285,2074.518184258,2143.668790399,2143.668790399,23521.0
2008-11-06,2031.299055419,1988.07992658,2074.518184258,2074.518184258,3498.0
2008-11-07,1927.573146206,1918.929320438,1936.216971974,1918.929320438,13218.0
2008-11-10,1918.929320438,1918.929320438,1936.216971974,1918.929320438,1360.0
2008-11-11,1858.422540064,1815.203411225,1901.641668903,1815.203411225,6609.0
2008-11-12,1901.641668903,1901.641668903,1901.641668903,1901.641668903,971.0
2008-11-13,1797.9157596895002,1780.628108154,1815.203411225,1780.628108154,21382.0
2008-11-14,1832.491062761,1797.91575969,1867.066365832,1867.066365832,3887.0
2008-11-17,1711.477502012,1711.477502012,1711.477502012,1711.477502012,4082.0
2008-11-18,1711.477502012,1676.902198942,1711.477502012,1711.477502012,777.0
2008-11-19,1711.477502012,1659.614547406,1711.477502012,1676.902198942,10496.0
2008-11-20,1676.902198942,1573.176289729,1676.902198942,1676.902198942,7192.0
2008-11-21,1564.5324639609998,1521.313335122,1607.7515928,1607.7515928,1555.0
2008-11-24,1607.7515928,1590.463941264,1676.902198942,1590.463941264,4470.0
2008-11-25,1512.6695093545,1504.025683587,1521.313335122,1521.313335122,12635.0
2008-11-26,1521.313335122,1521.313335122,1521.313335122,1521.313335122,1555.0
2008-11-27,1521.313335122,1521.313335122,1538.600986658,1538.600986658,6220.0
2008-11-28,1538.600986658,1469.450380516,1555.888638193,1555.888638193,3498.0
2008-12-01,1555.888638193,1555.888638193,1590.463941264,1555.888638193,388.0
2008-12-02,1555.888638193,1555.888638193,1555.888638193,1555.888638193,971.0
2008-12-03,1469.450380516,1469.450380516,1469.450380516,1469.450380516,3304.0
2008-12-04,1555.888638193,1555.888638193,1555.888638193,1555.888638193,2527.0
2008-12-05,1486.738032051,1486.738032051,1486.738032051,1486.738032051,1943.0
2008-12-08,1486.738032051,1486.738032051,1486.738032051,1486.738032051,1555.0
2008-12-10,1400.2997743735,1383.012122838,1417.587425909,1383.012122838,2332.0
2008-12-11,1486.738032051,1486.738032051,1486.738032051,1486.738032051,971.0
2008-12-12,1547.2448124255,1538.600986658,1555.888638193,1555.888638193,4859.0
2008-12-15,1555.888638193,1555.888638193,1555.888638193,1555.888638193,971.0
2008-12-16,1469.450380516,1469.450380516,1469.450380516,1469.450380516,2138.0
2008-12-17,1547.2448124255,1538.600986658,1555.888638193,1538.600986658,3498.0
2008-12-18,1486.738032051,1486.738032051,1486.738032051,1486.738032051,583.0
2008-12-22,1383.012122838,1383.012122838,1383.012122838,1383.012122838,2915.0
2008-12-23,1383.012122838,1348.436819767,1469.450380516,1469.450380516,1749.0
2008-12-24,1400.2997743735,1348.436819767,1452.16272898,1348.436819767,971.0
2008-12-25,1426.231251677,1383.012122838,1469.450380516,1383.012122838,1166.0
2008-12-26,1383.012122838,1331.149168232,1383.012122838,1331.149168232,1360.0
2008-12-29,1296.573865161,1296.573865161,1296.573865161,1296.573865161,1943.0
2008-12-30,1331.149168232,1331.149168232,1331.149168232,1331.149168232,1166.0
2008-12-31,1331.149168232,1331.149168232,1331.149168232,1331.149168232,5248.0
2009-01-02,1383.012122838,1383.012122838,1383.012122838,1383.012122838,1943.0
2009-01-05,1383.012122838,1348.436819767,1417.587425909,1417.587425909,1166.0
2009-01-06,1443.5189032125,1434.875077445,1452.16272898,1452.16272898,13412.0
2009-01-07,1495.3818578189998,1469.450380516,1521.313335122,1521.313335122,6026.0
2009-01-08,1460.806554748,1452.16272898,1469.450380516,1452.16272898,2138.0
2009-01-09,1555.888638193,1555.888638193,1555.888638193,1555.888638193,40627.0
2009-01-12,1469.4503805155,1452.16272898,1486.738032051,1486.738032051,971.0
2009-01-13,1486.738032051,1417.587425909,1521.313335122,1504.025683587,5054.0
2009-01-14,1504.025683587,1469.450380516,1504.025683587,1486.738032051,971.0
2009-01-15,1486.738032051,1486.738032051,1555.888638193,1555.888638193,11663.0
2009-01-16,1555.888638193,1555.888638193,1555.888638193,1555.888638193,8553.0
2009-01-19,1616.3954185675,1573.176289729,1659.614547406,1659.614547406,22549.0
2009-01-22,1573.1762897284998,1555.888638193,1590.463941264,1573.176289729,3304.0
2009-02-02,1676.902198942,1676.902198942,1676.902198942,1676.902198942,21188.0
2009-02-03,1676.902198942,1676.902198942,1780.628108154,1780.628108154,28186.0
2009-02-04,1849.7787142965,1832.491062761,1867.066365832,1867.066365832,18855.0
2009-02-05,1944.8607977415,1901.641668903,1988.07992658,1988.07992658,19827.0
2009-02-06,1988.07992658,1988.07992658,2074.518184258,2074.518184258,5831.0
2009-02-09,2074.518184258,1936.216971974,2074.518184258,1936.216971974,18855.0
2009-02-10,1858.422540064,1849.778714296,1867.066365832,1849.778714296,24492.0
2009-02-11,1789.271933922,1746.052805083,1832.491062761,1746.052805083,13218.0
2009-02-12,1780.628108154,1780.628108154,1780.628108154,1780.628108154,4859.0
2009-02-13,1780.628108154,1676.902198942,1797.91575969,1676.902198942,10885.0
2009-02-16,1746.0528050835,1728.765153548,1763.340456619,1728.765153548,3498.0
2009-02-17,1728.765153548,1694.189850477,1746.052805083,1746.052805083,11080.0
2009-02-18,1685.5460247095,1642.326895871,1728.765153548,1728.765153548,9330.0
2009-02-19,1728.765153548,1676.902198942,1797.91575969,1694.189850477,6997.0
2009-02-20,1694.189850477,1659.614547406,1694.189850477,1694.189850477,3887.0
2009-02-23,1633.683070103,1590.463941264,1676.902198942,1676.902198942,1166.0
2009-02-24,1581.8201154965,1555.888638193,1607.7515928,1555.888638193,5637.0
2009-02-25,1555.888638193,1521.313335122,1590.463941264,1590.463941264,1555.0
2009-02-26,1590.463941264,1555.888638193,1642.326895871,1625.039244335,5054.0
2009-02-27,1676.902198942,1676.902198942,1676.902198942,1676.902198942,194.0
2009-03-02,1676.902198942,1676.902198942,1763.340456619,1676.902198942,7775.0
2009-03-03,1676.902198942,1676.902198942,1711.477502012,1711.477502012,3887.0
2009-03-05,1711.477502012,1711.477502012,1728.765153548,1728.765153548,2721.0
2009-03-06,1789.271933922,1763.340456619,1815.203411225,1815.203411225,6609.0
2009-03-09,1815.203411225,1815.203411225,1901.641668903,1901.641668903,11857.0
2009-03-10,1901.641668903,1901.641668903,1918.929320438,1901.641668903,11080.0
2009-03-11,1901.641668903,1901.641668903,2005.367578116,1936.216971974,25076.0
2009-03-12,1936.216971974,1832.491062761,2022.655229651,1849.778714296,13024.0
2009-03-13,1849.778714296,1815.203411225,1849.778714296,1815.203411225,5442.0
2009-03-16,1815.203411225,1763.340456619,1832.491062761,1815.203411225,4276.0
2009-03-17,1875.7101915995,1867.066365832,1884.354017367,1867.066365832,4665.0
2009-03-18,1962.148449277,1936.216971974,1988.07992658,1988.07992658,16523.0
