Date,Price Open,Price Low,Price High,Price Close,Volume
2006-12-22,4843.933716956,4212.116275614,5475.751158298,4212.116275614,138847.0
2006-12-25,4784.964089097501,4515.388647458,5054.539530737,5054.539530737,213612.0
2006-12-26,5079.81222839,5079.81222839,5079.81222839,5079.81222839,14240.0
2006-12-27,5585.266181464,5585.266181464,5585.266181464,5585.266181464,174449.0
2006-12-28,6128.629181018,6115.992832191,6141.265529845,6124.417064743,769003.0
2006-12-29,6124.417064743,6065.447436884,6739.386040982,6149.689762396,102533.0
2007-01-02,6288.689599491499,6174.96246005,6402.416738933,6233.932087909,111078.0
2007-01-03,6233.932087909,6166.538227499,6318.174413421,6318.174413421,55539.0
2007-01-04,6718.325459604,6655.14371547,6781.507203738,6781.507203738,216460.0
2007-01-05,7396.476179978,7396.476179978,7396.476179978,7396.476179978,256334.0
2007-01-08,7396.476179978,6747.810273533,8003.020923666,7413.32464508,148816.0
2007-01-09,7792.4151098855,7581.809296105,8003.020923666,8003.020923666,240669.0
2007-01-10,8339.9902257155,8255.747900203,8424.232551228,8424.232551228,141696.0
2007-01-11,8424.232551228,8424.232551228,9157.140783185,8845.444178789,116062.0
2007-01-12,9544.655480541,9544.655480541,9544.655480541,9544.655480541,412271.0
2007-01-15,10176.472921883,9856.352084936,10496.59375883,10109.079061473,416543.0
2007-01-16,10109.079061473,9350.898131863,11288.471618645,9772.109759424,193675.0
2007-01-17,9772.109759424,9308.776969107,10361.80603801,9308.776969107,98261.0
2007-01-18,9308.776969107,8415.808318677,10109.079061473,10109.079061473,253486.0
2007-01-19,10109.079061473,9940.594410449,10210.169852088,9940.594410449,398742.0
2007-01-22,9940.594410449,9098.171155326,10530.290689035,9098.171155326,168041.0
2007-01-23,9098.171155326,8845.444178789,10024.836735961,8845.444178789,313297.0
2007-01-24,9561.5039456435,9435.140457375,9687.867433912,9435.140457375,9968.0
2007-01-25,9127.655969255,8845.444178789,9409.867759721,8929.686504301,130303.0
2007-01-26,8929.686504301,8912.838039199,9772.109759424,8929.686504301,287664.0
2007-01-29,9477.261620131,9098.171155326,9856.352084936,9098.171155326,331098.0
2007-01-30,9982.715573205,9772.109759424,10193.321386986,10109.079061473,403014.0
2007-01-31,10109.079061473,10109.079061473,10361.80603801,10125.927526576,239245.0
2007-02-01,10125.927526576,9772.109759424,10446.048363522,9772.109759424,39162.0
2007-02-02,9772.109759424,9266.655806351,10024.836735961,9999.564038307,249926.0
2007-02-05,9641.53415488,9595.200875848,9687.867433912,9595.200875848,34889.0
2007-02-06,9595.200875848,8929.686504301,9603.6251084,9182.413480838,106094.0
2007-02-07,9182.413480838,8845.444178789,9687.867433912,9687.867433912,164481.0
2007-02-08,9266.6558063505,9013.928829814,9519.382782887,9266.655806351,301193.0
2007-02-09,9266.655806351,8887.565341545,9266.655806351,8887.565341545,126743.0
2007-02-12,9173.9892482875,9081.322690224,9266.655806351,9190.837713389,32753.0
2007-02-13,9190.837713389,9182.413480838,9687.867433912,9645.746271156,27769.0
2007-02-14,9898.4732476925,9687.867433912,10109.079061473,10024.836735961,54115.0
2007-02-15,10361.80603801,10109.079061473,10614.533014547,10614.533014547,151664.0
2007-02-26,10614.533014547,10277.563712498,10993.623479352,10993.623479352,109654.0
2007-02-27,10993.623479352,10951.502316596,12029.804083153,10951.502316596,249926.0
2007-02-28,10951.502316596,10783.017665572,11372.713944157,10951.502316596,242805.0
2007-03-01,10951.502316596,10614.533014547,11204.229293133,10943.078084045,147392.0
2007-03-02,10943.078084045,10530.290689035,10951.502316596,10530.290689035,72628.0
2007-03-05,10867.259991084,10783.017665572,10951.502316596,10867.259991084,119622.0
2007-03-06,10867.259991084,10867.259991084,11035.744642108,10943.078084045,175161.0
2007-03-07,10943.078084045,10446.048363522,10959.926549147,10446.048363522,46994.0
2007-03-08,10719.8359214375,10530.290689035,10909.38115384,10783.017665572,151664.0
2007-03-09,10783.017665572,10614.533014547,10951.502316596,10698.775340059,171601.0
2007-03-12,11659.1378508995,11456.95626967,11861.319432129,11709.683246207,200083.0
2007-03-13,12278.3189434145,11793.925571719,12762.71231511,12206.712966729,324690.0
2007-03-14,12206.712966729,10951.502316596,13251.317803081,12206.712966729,229277.0
2007-03-15,11583.319757938,11035.744642108,12130.894873768,11035.744642108,200795.0
2007-03-16,11709.6832462065,11372.713944157,12046.652548256,12046.652548256,229989.0
2007-03-19,12375.1976177535,12105.622176114,12644.773059393,12467.864175817,344627.0
2007-03-20,12467.864175817,12215.13719928,13605.135570233,12552.106501329,202931.0
2007-03-21,12552.106501329,11962.410222743,12552.106501329,11962.410222743,44858.0
2007-03-22,11962.410222743,11625.440920694,12215.13719928,11785.501339168,102533.0
2007-03-23,11372.7139441575,11119.986967621,11625.440920694,11288.471618645,176586.0
2007-03-26,11288.471618645,10530.290689035,11878.167897231,10783.017665572,87580.0
2007-03-27,10783.017665572,9940.594410449,10951.502316596,9940.594410449,16376.0
2007-03-28,9940.594410449,9173.989248287,11195.805060582,11195.805060582,90429.0
2007-03-29,11288.471618645,11204.229293133,11372.713944157,11204.229293133,89717.0
2007-03-30,11204.229293133,10446.048363522,11962.410222743,10530.290689035,187266.0
2007-04-02,10740.8965028155,10614.533014547,10867.259991084,10867.259991084,34889.0
2007-04-03,10867.259991084,10698.775340059,10867.259991084,10698.775340059,15664.0
2007-04-04,10698.775340059,10109.079061473,10951.502316596,10159.624456781,61947.0
2007-04-05,10159.624456781,10125.927526576,10951.502316596,10193.321386986,81884.0
2007-04-06,10193.321386986,10024.836735961,10572.411851791,10277.563712498,110366.0
2007-04-09,10277.563712498,10277.563712498,10521.866456483,10361.80603801,68355.0
2007-04-10,10783.0176655715,10530.290689035,11035.744642108,10614.533014547,145256.0
2007-04-11,10446.0483635225,10361.80603801,10530.290689035,10361.80603801,19937.0
2007-04-12,10361.80603801,9772.109759424,10446.048363522,9772.109759424,56963.0
2007-04-13,10003.776154583,9898.473247693,10109.079061473,10024.836735961,74764.0
2007-04-16,9477.2616201315,9013.928829814,9940.594410449,9266.655806351,74052.0
2007-04-17,9266.655806351,8845.444178789,9266.655806351,8887.565341545,80460.0
2007-04-18,9826.867271007,9687.867433912,9965.867108102,9965.867108102,57675.0
2007-04-19,9477.2616201315,9013.928829814,9940.594410449,9266.655806351,23497.0
2007-04-20,9266.655806351,9030.777294916,9435.140457375,9266.655806351,17801.0
2007-04-23,9013.9288298135,8845.444178789,9182.413480838,8929.686504301,50554.0
2007-04-24,8676.959527764498,8508.47487674,8845.444178789,8676.959527765,19225.0
2007-04-25,8676.959527765,8424.232551228,9013.928829814,8929.686504301,19225.0
2007-05-02,9599.412992124,9435.140457375,9763.685526873,9519.382782887,114638.0
2007-05-03,10066.9578987175,9603.6251084,10530.290689035,9603.6251084,55539.0
2007-05-04,9603.6251084,9266.655806351,9603.6251084,9519.382782887,17088.0
2007-05-07,10024.836735961,9940.594410449,10109.079061473,10109.079061473,111790.0
2007-05-08,10446.0483635225,10277.563712498,10614.533014547,10446.048363522,106094.0
2007-05-09,10446.048363522,10109.079061473,10572.411851791,10109.079061473,89005.0
2007-05-10,10109.079061473,9687.867433912,10235.442549742,10235.442549742,133151.0
2007-05-11,10235.442549742,10109.079061473,11077.865804865,11077.865804865,383789.0
2007-05-14,11077.865804865,11035.744642108,11709.683246207,11625.440920694,328962.0
2007-05-15,11625.440920694,11431.683572016,12215.13719928,11541.198595182,316858.0
2007-05-16,11541.198595182,10951.502316596,11541.198595182,11221.077758235,250638.0
2007-05-17,11221.077758235,10867.259991084,11583.319757938,11583.319757938,215036.0
2007-05-18,11709.6832462065,11625.440920694,11793.925571719,11709.683246207,186554.0
2007-05-21,12004.5313854995,11793.925571719,12215.13719928,12130.894873768,237821.0
2007-05-22,12712.166919803,12198.288734178,13226.045105428,13057.560454403,336795.0
2007-05-23,13748.347523604,13310.28743094,14186.407616268,13394.529756452,453569.0
2007-05-24,13394.529756452,12636.348826842,13478.772081964,12729.015384905,237109.0
2007-05-25,12729.015384905,12215.13719928,13723.07482595,13310.28743094,292648.0
2007-05-28,13866.286779321,13579.862872579,14152.710686063,13815.741384014,457842.0
2007-05-29,13815.741384014,13310.28743094,14152.710686063,13478.772081964,266303.0
2007-05-30,13478.772081964,13065.984686954,13478.772081964,13268.166268184,201507.0
2007-05-31,13268.166268184,13074.408919505,13352.408593696,13074.408919505,253486.0
2007-06-01,13074.408919505,12552.106501329,13192.348175223,12636.348826842,321842.0
2007-06-04,12636.348826842,11423.259339465,12636.348826842,12215.13719928,210763.0
2007-06-05,12215.13719928,11563.653403734,12437.220050111,11563.653403734,24307.0
2007-06-06,11563.653403734,11104.660759027,11830.165261951,11178.691830754,190814.0
2007-06-07,11770.940404569,11400.785045935,12141.095763203,11622.878261115,89938.0
2007-06-08,11622.878261115,11474.816117662,11830.165261951,11474.816117662,180686.0
2007-06-11,11252.722902481,11104.660759027,11400.785045935,11178.691830754,79404.0
2007-06-12,10808.53647212,10660.474328666,10956.598615574,10941.792401228,22687.0
2007-06-13,10549.427721076,10216.287898305,10882.567543847,10423.57489914,151517.0
2007-06-14,10423.57489914,10364.350041759,10527.218399558,10364.350041759,101686.0
2007-06-15,10586.4432569395,10438.381113486,10734.505400393,10586.44325694,84671.0
2007-06-18,10586.44325694,10512.412185213,10808.53647212,10512.412185213,57933.0
2007-06-19,10512.412185213,10438.381113486,10660.474328666,10512.412185213,56312.0
2007-06-20,10512.412185213,10512.412185213,10586.44325694,10527.218399558,2835.0
2007-06-21,10290.318970032498,10068.225754852,10512.412185213,10068.225754852,46994.0
2007-06-22,10290.318970032,10216.287898305,10364.350041759,10216.287898305,18635.0
2007-06-25,10216.287898305,9920.163611398,10216.287898305,9920.163611398,87507.0
2007-06-26,9920.163611398,9846.132539671,9964.582254434,9964.582254434,25928.0
2007-06-27,9683.264181872,9461.170966691,9905.357397053,9475.977181037,46589.0
2007-06-28,9475.977181037,9194.659108475,9624.03932449,9327.915037583,94394.0
2007-06-29,9327.915037583,9327.915037583,9475.977181037,9401.94610931,181901.0
2007-07-02,9401.94610931,9179.852894129,9550.008252764,9179.852894129,60363.0
2007-07-03,8750.472678114,8469.154605552,9031.790750676,8587.604320315,74138.0
2007-07-04,9416.752323655,9179.852894129,9653.651753181,9653.651753181,91963.0
2007-07-05,9653.651753181,9401.94610931,9772.101467944,9401.94610931,49020.0
2007-07-06,9401.94610931,9401.94610931,9624.03932449,9624.03932449,49020.0
2007-07-09,9624.03932449,9535.202038418,9772.101467944,9698.070396217,23092.0
2007-07-10,9698.070396217,9624.03932449,9920.163611398,9772.101467944,90343.0
2007-07-11,9772.101467944,9772.101467944,10068.225754852,10068.225754852,157594.0
2007-07-12,10068.225754852,9624.03932449,10068.225754852,9786.90768229,42133.0
2007-07-13,9786.90768229,9624.03932449,9846.132539671,9712.876610563,72922.0
2007-07-16,9712.876610563,9431.558538001,9846.132539671,9550.008252764,15394.0
2007-07-17,9809.1170038075,9624.03932449,9994.194683125,9905.357397053,24307.0
2007-07-18,9631.4424316635,9475.977181037,9786.90768229,9742.489039253,71707.0
2007-07-19,9742.489039253,9624.03932449,9772.101467944,9712.876610563,10533.0
2007-07-20,9601.8300029725,9550.008252764,9653.651753181,9550.008252764,49425.0
2007-07-23,9550.008252764,9416.752323655,9624.03932449,9475.977181037,36461.0
2007-07-24,9387.1398949645,9327.915037583,9446.364752346,9357.527466274,11748.0
2007-07-25,9357.527466274,9194.659108475,9357.527466274,9327.915037583,23497.0
2007-07-26,9327.915037583,9179.852894129,9342.721251928,9327.915037583,20661.0
2007-07-27,9327.915037583,9031.790750676,9401.94610931,9401.94610931,18635.0
2007-07-30,9224.2715371655,9105.821822403,9342.721251928,9342.721251928,25928.0
2007-07-31,9342.721251928,9253.883965856,9357.527466274,9253.883965856,30384.0
2007-08-01,9624.0393244905,9327.915037583,9920.163611398,9875.744968362,52261.0
2007-08-02,9512.9927169,9401.94610931,9624.03932449,9624.03932449,102497.0
2007-08-03,9624.03932449,9401.94610931,9624.03932449,9594.4268958,34435.0
2007-08-06,9335.318144756,9194.659108475,9475.977181037,9475.977181037,81430.0
2007-08-07,9475.977181037,9327.915037583,9475.977181037,9475.977181037,108979.0
2007-08-08,9475.977181037,9446.364752346,9579.620681454,9475.977181037,61579.0
2007-08-09,9475.977181037,9401.94610931,9920.163611398,9475.977181037,88722.0
2007-08-10,9475.977181037,9401.94610931,9772.101467944,9416.752323655,31599.0
2007-08-13,9105.8218224025,8883.728607222,9327.915037583,9253.883965856,70492.0
2007-08-14,9253.883965856,9253.883965856,9475.977181037,9327.915037583,93179.0
2007-08-15,9327.915037583,9327.915037583,9431.558538001,9357.527466274,57528.0
2007-08-16,9298.3026088925,9268.690180202,9327.915037583,9283.496394547,15799.0
2007-08-17,9187.256001302,9120.628036748,9253.883965856,9253.883965856,35651.0
2007-08-20,9253.883965856,9031.790750676,9253.883965856,9179.852894129,19446.0
2007-08-21,9179.852894129,9031.790750676,9253.883965856,9150.240465439,9723.0
2007-08-22,9150.240465439,9031.790750676,9150.240465439,9031.790750676,18230.0
2007-08-23,9031.790750676,8928.147250258,9031.790750676,8957.759678949,25117.0
2007-08-24,9054.000072194,9002.178321985,9105.821822403,9061.403179366,42943.0
2007-08-27,9231.674644338,9135.434251093,9327.915037583,9313.108823238,20256.0
2007-08-28,9179.852894129,9179.852894129,9179.852894129,9179.852894129,6076.0
2007-08-29,9179.852894129,9031.790750676,9179.852894129,9031.790750676,10938.0
2007-08-30,9031.790750676,9002.178321985,9105.821822403,9002.178321985,12153.0
2007-08-31,9002.178321985,8883.728607222,9179.852894129,9135.434251093,21471.0
2007-09-04,9327.915037583,9179.852894129,9475.977181037,9475.977181037,69276.0
2007-09-05,9475.977181037,9327.915037583,9624.03932449,9401.94610931,72112.0
2007-09-06,9401.94610931,9327.915037583,9475.977181037,9401.94610931,30384.0
2007-09-07,9624.0393244905,9475.977181037,9772.101467944,9668.457967527,170963.0
2007-09-10,9668.457967527,9624.03932449,10053.419540506,9860.938754016,140984.0
2007-09-11,9860.938754016,9624.03932449,9920.163611398,9742.489039253,42943.0
2007-09-12,9742.489039253,9624.03932449,9772.101467944,9624.03932449,49830.0
2007-09-13,9624.03932449,9550.008252764,9698.070396217,9624.03932449,54692.0
2007-09-14,9624.03932449,9475.977181037,9683.264181872,9490.783395382,31599.0
2007-09-17,9587.023788627,9550.008252764,9624.03932449,9579.620681454,32815.0
2007-09-18,9579.620681454,9550.008252764,9772.101467944,9594.4268958,106548.0
2007-09-19,9994.1946831245,9772.101467944,10216.287898305,10142.256826578,182712.0
2007-09-20,10142.256826578,10038.613326161,10660.474328666,10216.287898305,109789.0
2007-09-21,9994.194683125,9920.163611398,10068.225754852,9979.388468779,34030.0
2007-09-24,10290.318970032498,10068.225754852,10512.412185213,10423.57489914,139363.0
2007-09-25,10623.458792803,10438.381113486,10808.53647212,10808.53647212,178660.0
2007-09-26,11178.691830754498,10956.598615574,11400.785045935,11371.172617244,577710.0
2007-09-27,11859.7776906415,11474.816117662,12244.739263621,12244.739263621,375147.0
2007-09-28,12703.7319083275,12289.157906657,13118.305909998,13118.305909998,637669.0
2007-10-01,13888.229055957,13473.655054287,14302.803057627,14302.803057627,176230.0
2007-10-02,15242.9976685585,14806.21434537,15679.780991747,15679.780991747,762853.0
2007-10-03,16827.262603513,16686.603567232,16967.921639794,16967.921639794,212286.0
2007-10-04,17841.488286170497,17027.146497175,18655.830075166,18507.767931712,866566.0
2007-10-05,18507.767931712,16671.797352887,19692.265079342,17027.146497175,387301.0
2007-10-08,18396.7213241225,17471.332927537,19322.109720708,17619.39507099,721936.0
2007-10-09,17619.39507099,16138.773636453,18359.705788259,16434.897923361,683854.0
2007-10-10,16434.897923361,15990.711493,17767.457214444,17012.34028283,441183.0
2007-10-11,17552.767106436,17101.177568902,18004.35664397,18004.35664397,405531.0
2007-10-12,18004.35664397,17027.146497175,19721.877508033,19721.877508033,2020772.0
2007-10-15,20943.390191526,20876.762226972,21010.01815608,21010.01815608,1714091.0
2007-10-16,22505.4458049625,21913.197231148,23097.694378777,23097.694378777,1371354.0
2007-10-17,25363.045173619,25363.045173619,25363.045173619,25363.045173619,1105996.0
2007-10-18,25363.045173619,22831.18252056,25466.688674036,25022.502243675,1767973.0
2007-10-19,25022.502243675,25022.502243675,26665.992036011,26665.992036011,771361.0
2007-10-22,28827.699330435,28827.699330435,28827.699330435,28827.699330435,621059.0
2007-10-23,28827.699330435,28294.675614002,31700.104913437,31700.104913437,2665734.0
2007-10-24,31700.104913437,29612.42869074,33462.044420536,31833.360842545,1351908.0
2007-10-25,31833.360842545,29760.490834194,34054.292994351,31093.050125277,1772024.0
2007-10-26,29908.552977647,28872.117973471,30944.987981823,29597.622476395,1168385.0
2007-10-29,29597.622476395,26429.092606485,31093.050125277,27095.372252027,780274.0
2007-10-30,27095.372252027,25096.533315402,27124.984680718,25762.812960944,1276149.0
2007-10-31,25762.812960944,25170.564387129,28575.993686564,28575.993686564,1366087.0
2007-11-01,29642.041119430494,29020.180116925,30263.902121936,30204.677264555,971089.0
2007-11-02,30204.677264555,27835.682969296,32869.795846721,29316.304403833,851576.0
2007-11-05,27613.589754115,26651.185821666,28575.993686564,27613.589754115,507623.0
2007-11-06,27613.589754115,25910.875104397,28575.993686564,27687.620825842,851171.0
2007-11-07,27687.620825842,26799.24796512,29168.242260379,27095.372252027,911130.0
2007-11-08,27095.372252027,26947.310108573,27983.745112749,27243.434395481,529095.0
2007-11-09,27243.434395481,26058.937247851,28427.93154311,27539.558682388,700059.0
2007-11-12,27539.558682388,26799.24796512,29804.90947723,27036.147394646,538008.0
2007-11-13,27036.147394646,24889.246314567,27391.496538934,25614.75081749,691956.0
2007-11-14,26925.100787055,25910.875104397,27939.326469713,27939.326469713,973924.0
2007-11-15,27939.326469713,25170.564387129,28857.311759126,26947.310108573,330178.0
2007-11-16,26947.310108573,25910.875104397,27095.372252027,26947.310108573,367855.0
2007-11-19,26947.310108573,26355.061534759,26947.310108573,26636.379607321,347598.0
2007-11-20,26636.379607321,25910.875104397,26651.185821666,26206.999391305,263332.0
2007-11-21,26206.999391305,25466.688674036,26443.898820831,25866.456461361,405126.0
2007-11-22,25866.456461361,25303.820316237,26799.24796512,25807.23160398,384060.0
2007-11-23,25807.23160398,25614.75081749,26355.061534759,25866.456461361,333824.0
2007-11-26,25866.456461361,25836.844032671,26206.999391305,26029.32481916,265763.0
2007-11-27,26029.32481916,25792.425389634,26473.511249522,25984.906176124,330583.0
2007-11-28,25984.906176124,25836.844032671,26206.999391305,25940.487533088,283183.0
2007-11-29,25940.487533088,25925.681318743,26281.030463032,26029.32481916,256040.0
2007-11-30,26029.32481916,25836.844032671,26177.386962614,26058.937247851,200942.0
2007-12-03,26058.937247851,25925.681318743,26162.580748269,26058.937247851,228491.0
2007-12-04,26392.077070622,26132.968319578,26651.185821666,26206.999391305,312757.0
2007-12-05,26206.999391305,25836.844032671,26503.123678212,25940.487533088,257255.0
2007-12-06,25940.487533088,25910.875104397,26325.449106068,26029.32481916,209450.0
2007-12-07,26029.32481916,25910.875104397,26058.937247851,25940.487533088,152732.0
2007-12-10,25940.487533088,25022.502243675,25999.71239047,25614.75081749,319645.0
2007-12-11,25614.75081749,24578.315813314,25896.068890052,24830.021457185,222414.0
2007-12-12,24830.021457185,24134.129382953,25466.688674036,24844.827671531,318834.0
2007-12-13,24844.827671531,23986.067239499,24874.440100222,23986.067239499,168127.0
2007-12-14,23986.067239499,22949.632235323,24104.516954262,23393.818665685,360562.0
2007-12-17,22357.383661508506,21617.07294424,23097.694378777,21705.910230312,250368.0
2007-12-18,21705.910230312,20314.126081848,22209.321518055,22164.902875019,569608.0
2007-12-19,22757.1514488335,22209.321518055,23304.981379612,23304.981379612,171368.0
2007-12-20,22512.848912135,21928.003445493,23097.694378777,22505.445804962,232947.0
2007-12-21,23393.8186656845,22653.507948416,24134.129382953,23615.911880865,406747.0
2007-12-24,23615.911880865,23379.012451339,24726.377956768,24060.098311226,363803.0
2007-12-25,24060.098311226,23393.818665685,24356.222598134,23660.330523901,172178.0
2007-12-26,23660.330523901,23423.431094375,24430.25366986,23749.167809973,387301.0
2007-12-27,23749.167809973,23497.462166102,24267.385312061,23793.58645301,288045.0
2007-12-28,23793.58645301,23586.299452174,24119.323168608,23986.067239499,339496.0
2008-01-02,23986.067239499,23393.818665685,24134.129382953,23541.880809138,243886.0
2008-01-03,23142.1130218135,22801.57009187,23482.655951757,23245.756522231,243481.0
2008-01-04,22957.035342496,22816.376306215,23097.694378777,22949.632235323,131666.0
2008-01-07,21765.135087694,20728.700083518,22801.57009187,21765.135087694,144630.0
2008-01-08,21765.135087694,20462.188225301,22771.957663179,22061.259374601,596346.0
2008-01-09,22061.259374601,21172.886513879,22505.445804962,21320.948657333,259281.0
2008-01-10,21320.948657333,20136.451509703,21750.328873348,21617.07294424,512485.0
2008-01-11,21617.07294424,21187.692728224,22357.383661509,21543.041872513,375957.0
2008-01-14,20950.7932986985,20432.575796611,21469.010800786,20447.382010956,355701.0
2008-01-15,19433.156328298,18596.605217785,20269.707438811,19470.171864162,596346.0
2008-01-16,19470.171864162,19248.078648981,20980.405727389,20980.405727389,352055.0
2008-01-17,20980.405727389,20136.451509703,22505.445804962,20876.762226972,687500.0
2008-01-18,20876.762226972,20447.382010956,22061.259374601,21335.754871678,694387.0
2008-01-21,21335.754871678,20965.599513044,22209.321518055,21557.848086859,398644.0
2008-01-22,20728.700083518,20284.513653157,21172.886513879,20847.149798281,504788.0
2008-01-23,20232.691902948,19692.265079342,20773.118726554,20284.513653157,703300.0
