Date,Price Open,Price Low,Price High,Price Close,Volume
2009-11-26,7957.192367154001,7359.849844689,8554.534889619,7669.583004486,2552843.0
2009-11-27,7669.583004486,7330.351448518,8038.312956625,8038.312956625,517945.0
2009-11-30,8407.042908763,8407.042908763,8407.042908763,8407.042908763,24320.0
2009-12-01,8775.772860902,8775.772860902,8775.772860902,8775.772860902,121990.0
2009-12-02,8775.772860902,8554.534889619,9144.502813041,9144.502813041,2280532.0
2009-12-03,9144.502813041,8849.51885133,9439.486774752,9070.756822613,613890.0
2009-12-04,9070.756822613,8849.51885133,9144.502813041,8849.51885133,728106.0
2009-12-07,8849.51885133,8775.772860902,8923.264841758,8849.51885133,183654.0
2009-12-08,8591.4078848325,8407.042908763,8775.772860902,8407.042908763,959235.0
2009-12-09,8407.042908763,8024.906929247,8407.045354449,8101.334614287,840500.0
2009-12-10,8101.334614287,7719.196189085,8330.617669409,7795.623874126,650334.0
2009-12-11,7795.623874126,7413.485448923,7795.623874126,7413.485448923,983969.0
2009-12-14,7642.768504044499,7566.340819004,7719.196189085,7719.196189085,522561.0
2009-12-15,7948.4792442065,7795.623874126,8101.334614287,8101.334614287,809498.0
2009-12-16,8101.334614287,7719.196189085,8101.334614287,7719.196189085,789745.0
2009-12-17,7719.196189085,7489.913133964,8101.334614287,8024.906929247,547634.0
2009-12-18,8024.906929247,8024.906929247,8407.045354449,8330.617669409,850170.0
2009-12-21,8330.617669409,8024.906929247,8636.328409571,8559.90072453,651500.0
2009-12-22,8559.90072453,8177.762299328,8636.328409571,8177.762299328,542241.0
2009-12-23,8177.762299328,8024.906929247,8254.189984368,8101.334614287,386527.0
2009-12-24,8101.334614287,7872.051559166,8254.189984368,8254.189984368,507716.0
2009-12-25,8521.686882009999,8407.045354449,8636.328409571,8636.328409571,1023498.0
2009-12-28,8636.328409571,8330.617669409,8712.756094611,8330.617669409,412864.0
2009-12-29,8330.617669409,8101.334614287,8330.617669409,8177.762299328,272821.0
2009-12-30,8177.762299328,8177.762299328,8559.90072453,8559.90072453,831438.0
2009-12-31,8559.90072453,8254.189984368,8712.756094611,8330.617669409,853377.0
2010-01-04,8636.3284095705,8559.90072453,8712.756094611,8712.756094611,791373.0
2010-01-05,8712.756094611,8330.617669409,9094.894519813,9094.894519813,1839387.0
