Date,Price Open,Price Low,Price High,Price Close,Volume
2006-12-20,28805.822011839,26589.98954939,31021.654474288,26589.98954939,10005.0
2006-12-21,26589.98954939,24684.373631683,27033.156041879,24684.373631683,8144.0
2006-12-22,22823.074363226,22823.074363226,22823.074363226,22823.074363226,8028.0
2006-12-25,20585.0835761525,20562.925251528,20607.241900777,20607.241900777,27923.0
2006-12-26,20607.241900777,19277.742423307,22601.491116981,22601.491116981,62130.0
2006-12-27,23620.774049708,23487.824101961,23753.723997455,23620.774049708,50611.0
2006-12-28,24595.740333185506,23930.990594451,25260.49007192,24374.15708694,54451.0
2006-12-29,24374.15708694,23487.824101961,25260.49007192,23487.824101961,38860.0
2007-01-02,25105.3817995485,24595.740333185,25615.023265912,24595.740333185,26643.0
2007-01-03,23354.8741542135,22335.591221487,24374.15708694,23044.657609471,20360.0
2007-01-04,23044.657609471,22379.907870736,24374.15708694,24329.840437691,23269.0
2007-01-05,24329.840437691,23709.407348206,24994.590176426,23709.407348206,10122.0
2007-01-08,24393.322943575,23937.372982013,24849.272905137,24438.917939731,10005.0
2007-01-09,23709.3980012315,23025.473058888,24393.322943575,23253.448039669,64689.0
2007-01-10,23253.448039669,23025.473058888,23390.233028138,23025.473058888,52007.0
2007-01-11,23025.473058888,22569.523097326,23709.398001231,22797.498078107,35020.0
2007-01-12,22797.498078107,20563.343266453,23709.398001231,23709.398001231,50029.0
2007-01-15,23709.398001231,22797.498078107,25305.222866699,24074.157970481,47819.0
2007-01-16,24074.157970481,23253.448039669,25943.552812886,23253.448039669,60035.0
2007-01-17,23253.448039669,22797.498078107,23937.372982013,23025.473058888,47237.0
2007-01-18,23025.473058888,22751.903081951,23253.448039669,23253.448039669,49215.0
2007-01-19,23253.448039669,22797.498078107,23344.638031982,23344.638031982,65387.0
2007-01-22,22911.4855684975,22569.523097326,23253.448039669,23253.448039669,49913.0
2007-01-23,23253.448039669,20700.128254921,23481.42302045,23253.448039669,105528.0
2007-01-24,23253.448039669,23025.473058888,25305.222866699,25305.222866699,166727.0
