Date,Price Open,Price Low,Price High,Price Close,Volume
2016-03-04,9797.082924521,9797.082924521,9797.082924521,9797.082924521,113.0
2016-03-07,10735.101502401,10735.101502401,10735.101502401,10735.101502401,113.0
2016-03-09,11777.344366712,11777.344366712,11777.344366712,11777.344366712,113.0
2016-03-15,10682.989359186,10682.989359186,10682.989359186,10682.989359186,226.0
2016-04-14,9640.746494875,9640.746494875,9640.746494875,9640.746494875,479.0
2016-05-06,9640.746494875,9640.746494875,9640.746494875,9640.746494875,226.0
2016-05-12,9640.746494875,9640.746494875,9640.746494875,9640.746494875,113.0
2016-05-13,9380.185778797,9380.185778797,9380.185778797,9380.185778797,226.0
2016-06-03,9380.183532047,9380.183532047,9380.183532047,9380.183532047,453.0
2016-06-23,9829.533641366,9829.533641366,9829.533641366,9829.533641366,113.0
2016-07-04,9267.846004717,9267.846004717,9267.846004717,9267.846004717,340.0
2016-09-20,9885.702405031,9885.702405031,9885.702405031,9885.702405031,3992.0
2016-11-07,8930.833422727,8930.833422727,8930.833422727,8930.833422727,3628.0
2016-12-29,9773.364877701,9773.364877701,9773.364877701,9773.364877701,113.0
2017-01-05,9773.364877701,9773.364877701,9773.364877701,9773.364877701,0.0
2017-02-14,9773.364877701,9773.364877701,9773.364877701,9773.364877701,226.0
2017-04-26,10110.377459691,10110.377459691,10110.377459691,10110.377459691,226.0
2017-04-28,9267.846004717,9099.339713722,9267.846004717,9099.339713722,7484.0
2017-05-04,8538.417418429,8538.417418429,8538.417418429,8538.417418429,113.0
2017-05-05,8413.768988963,8102.147915298,8413.768988963,8102.147915298,226.0
2017-05-10,7915.175271099,7915.175271099,7915.175271099,7915.175271099,113.0
2017-05-15,7478.905767967,7478.905767967,7478.905767967,7478.905767967,113.0
2017-05-22,7229.608909035,7229.608909035,7229.608909035,7229.608909035,113.0
2017-05-24,6917.98783537,6917.98783537,6917.98783537,6917.98783537,113.0
2017-05-31,7603.554197433,7167.284694302,7603.554197433,7603.554197433,546.0
2017-06-01,8351.44477423,8351.44477423,8351.44477423,8351.44477423,113.0
2017-06-02,8725.390062628,7665.878412166,8725.390062628,7665.878412166,804.0
2017-06-05,7790.526841632,7665.878412166,8413.768988963,8413.768988963,379.0
2017-06-07,8413.768988963,8413.768988963,8413.768988963,8413.768988963,182.0
2017-06-08,7728.202626899,7665.878412166,7728.202626899,7665.878412166,244.0
2017-06-27,7790.526841632,7790.526841632,7790.526841632,7790.526841632,239.0
2017-07-04,8538.417418429,8538.417418429,8538.417418429,8538.417418429,124.0
