Date,Price Open,Price Low,Price High,Price Close,Volume
2006-12-29,3506.0622982795003,3116.499820693,3895.624775866,3895.624775866,14364.0
2007-01-08,4129.362262418,4129.362262418,4129.362262418,4129.362262418,281.0
2007-01-09,4538.402863884,4538.402863884,4538.402863884,4538.402863884,844.0
2007-01-10,4470.229430307,4470.229430307,4470.229430307,4470.229430307,563.0
2007-01-19,4674.74973104,4674.74973104,4674.74973104,4674.74973104,2816.0
2007-01-25,4674.74973104,4674.74973104,4674.74973104,4674.74973104,3098.0
2007-02-05,4674.74973104,4479.968492246,4966.92158923,4479.968492246,3379.0
2007-02-06,5064.312208626,5064.312208626,5064.312208626,5064.312208626,2253.0
2007-02-07,5171.4418899625,5161.702828023,5181.180951902,5161.702828023,1689.0
2007-02-12,5161.702828023,5161.702828023,5161.702828023,5161.702828023,844.0
2007-02-13,4869.530969833,4869.530969833,4869.530969833,4869.530969833,10421.0
2007-02-14,4869.530969833,4869.530969833,4918.226279531,4918.226279531,18026.0
2007-02-15,4772.140350436,4772.140350436,4772.140350436,4772.140350436,11266.0
2007-02-26,4772.140350436,4772.140350436,5064.312208626,5064.312208626,35208.0
2007-02-27,5302.9192261485005,5113.007518325,5492.830933972,5492.830933972,20279.0
2007-02-28,5848.306694769,5843.437163799,5853.176225739,5843.437163799,9294.0
2007-03-01,5843.437163799,5763.934617353,6419.830625535,5763.934617353,16336.0
2007-03-02,5873.250618717,5863.312800411,5883.188437023,5863.312800411,2816.0
2007-03-05,5863.312800411,5863.312800411,6260.825532642,6211.136441113,9013.0
2007-03-06,6558.9600818155,6360.2037157,6757.716447931,6558.960081816,24504.0
2007-03-07,7194.980453386001,7155.229180163,7234.731726609,7234.731726609,6478.0
2007-03-08,7612.3688222285,7304.296454749,7920.441189708,7920.441189708,9576.0
2007-03-09,7920.441189708,7353.985546278,8586.275016195,8586.275016195,8449.0
2007-03-12,8586.275016195,7373.86118289,9003.663385038,8944.036475203,7604.0
2007-03-13,8944.036475203,8645.90192603,9440.927390492,9043.414658261,21406.0
2007-03-14,9043.414658261,8447.145559914,9043.414658261,8645.90192603,5351.0
2007-03-16,8645.90192603,7831.000824956,8695.591017559,7831.000824956,6759.0
2007-03-19,8546.523742972,8447.145559914,8645.90192603,8566.399379584,9013.0
2007-03-20,8566.399379584,8149.011010741,9132.855023013,8149.011010741,5914.0
2007-03-21,7701.809186980499,7453.363729336,7950.254644625,7950.254644625,1689.0
2007-03-22,7950.254644625,7453.363729336,8049.632827683,7453.363729336,2816.0
2007-03-23,7602.431003923,7552.741912394,7652.120095452,7552.741912394,4506.0
2007-03-28,6857.094630989,6857.094630989,6857.094630989,6857.094630989,2816.0
2007-03-29,6857.094630989,6857.094630989,7503.052820865,7503.052820865,3379.0
2007-03-30,7353.985546278,7353.985546278,7353.985546278,7353.985546278,281.0
2007-04-02,7403.674637807,7403.674637807,7403.674637807,7403.674637807,281.0
2007-04-16,6857.094630989,6857.094630989,6857.094630989,6857.094630989,281.0
2007-04-17,6181.322986196,6181.322986196,6181.322986196,6181.322986196,281.0
2007-04-18,5962.690983469,5962.690983469,5962.690983469,5962.690983469,4788.0
2007-04-19,5962.690983469,5962.690983469,6161.447349585,5962.690983469,12393.0
2007-04-20,5962.690983469,5962.690983469,5962.690983469,5962.690983469,563.0
2007-04-23,5863.312800411,5863.312800411,5863.312800411,5863.312800411,1408.0
2007-04-24,5520.458068861501,5276.98152037,5763.934617353,5366.421885122,1971.0
2007-04-25,5366.421885122,5078.225154254,5366.421885122,5078.225154254,8731.0
2007-05-02,5078.225154254,4611.147693883,5117.976427477,5117.976427477,1408.0
2007-05-03,4621.085512188,4621.085512188,4621.085512188,4621.085512188,563.0
2007-05-04,4347.7955087795,4173.883688428,4521.707329131,4173.883688428,3943.0
2007-05-07,4099.3500511345,4074.50550537,4124.194596899,4074.50550537,6196.0
2007-05-08,4432.2669643785,4372.640054544,4491.893874213,4372.640054544,2816.0
2007-05-09,4770.152786775,4640.9611488,4899.34442475,4869.530969833,2816.0
2007-05-10,5306.794975287,5306.794975287,5306.794975287,5306.794975287,1689.0
2007-05-15,4968.909152891,4968.909152891,4968.909152891,4968.909152891,2534.0
2007-05-16,4824.810787457,4770.152786775,4879.468788139,4770.152786775,1408.0
2007-05-17,4770.152786775,4770.152786775,4770.152786775,4770.152786775,281.0
2007-05-18,4715.4947860935,4690.650240329,4740.339331858,4690.650240329,1689.0
2007-05-23,4978.8469711965,4770.152786775,5187.541155618,4770.152786775,4224.0
2007-05-24,4819.841878304,4819.841878304,4819.841878304,4819.841878304,2816.0
2007-05-25,4819.841878304,4770.152786775,4869.530969833,4869.530969833,2253.0
2007-05-28,4968.909152891,4968.909152891,4968.909152891,4968.909152891,563.0
2007-05-29,4968.909152891,4869.530969833,5068.287335949,5068.287335949,3379.0
2007-05-30,5068.287335949,4919.220061362,5117.976427477,4919.220061362,4224.0
2007-05-31,5167.6655190065,4968.909152891,5366.421885122,5018.59824442,5351.0
2007-06-01,5267.043702064,5267.043702064,5267.043702064,5267.043702064,563.0
2007-06-04,5778.841344812,5763.934617353,5793.748072271,5793.748072271,1689.0
2007-06-05,6370.141534006,6370.141534006,6370.141534006,6370.141534006,26194.0
2007-06-06,6732.871902167,6459.581898758,7006.161905576,6956.472814047,26758.0
2007-06-07,6956.472814047,6658.338264874,7105.540088634,6857.094630989,12111.0
2007-06-08,6857.094630989,6747.778629626,6956.472814047,6747.778629626,1408.0
2007-06-11,6360.2037157,6360.2037157,6360.2037157,6360.2037157,844.0
2007-06-12,6360.2037157,6360.2037157,6409.892807229,6409.892807229,3098.0
2007-06-13,6360.2037157,6360.2037157,6360.2037157,6360.2037157,1126.0
2007-06-14,6235.980986877999,6161.447349585,6310.514624171,6310.514624171,3098.0
2007-06-19,5624.805161072,5624.805161072,5624.805161072,5624.805161072,844.0
2007-06-21,5167.6655190065,5068.287335949,5267.043702064,5267.043702064,1126.0
2007-06-22,5649.649706837,5565.178251238,5734.121162436,5734.121162436,2253.0
2007-06-25,5714.245525824,5714.245525824,5714.245525824,5714.245525824,1971.0
2007-06-26,5714.245525824,5664.556434295,5714.245525824,5714.245525824,5633.0
2007-07-02,5316.732793593,5316.732793593,5316.732793593,5316.732793593,4224.0
2007-07-04,4879.468788139,4790.028423387,4968.909152891,4968.909152891,6759.0
2007-07-05,4621.0855121885,4472.018237602,4770.152786775,4472.018237602,3661.0
2007-07-06,4472.018237602,4472.018237602,4472.018237602,4472.018237602,1971.0
2007-07-09,4571.396420659,4571.396420659,4571.396420659,4571.396420659,1408.0
2007-07-10,4571.396420659,4521.707329131,4670.774603717,4670.774603717,13801.0
2007-07-11,4596.2409664235,4571.396420659,4621.085512188,4571.396420659,5633.0
2007-07-12,4571.396420659,4571.396420659,4670.774603717,4571.396420659,12111.0
2007-07-13,4571.396420659,4551.520784048,4571.396420659,4551.520784048,5633.0
2007-07-18,4173.883688428,4173.883688428,4173.883688428,4173.883688428,281.0
2007-07-19,4591.272057271,4591.272057271,4591.272057271,4591.272057271,1126.0
2007-07-24,4770.152786775,4770.152786775,4770.152786775,4770.152786775,563.0
2007-07-25,4968.909152891,4968.909152891,4968.909152891,4968.909152891,1408.0
2007-07-26,4472.018237602,4472.018237602,4472.018237602,4472.018237602,563.0
