Date,Price Open,Price Low,Price High,Price Close,Volume
2006-12-05,19115.21006785,19115.21006785,19115.21006785,19115.21006785,142463.0
2006-12-06,18232.96960318,18232.96960318,18232.96960318,18232.96960318,99780.0
2006-12-07,17350.72913851,17350.72913851,17350.72913851,17350.72913851,134977.0
2006-12-08,16615.528751285,16615.528751285,16615.528751285,16615.528751285,116205.0
2006-12-11,16615.528751285,16615.528751285,17350.72913851,17350.72913851,1866499.0
2006-12-12,17865.369409567502,17644.8092934,18085.929525735,17644.8092934,2997382.0
2006-12-13,18527.04975807,18527.04975807,18527.04975807,18527.04975807,2025611.0
2006-12-14,19409.29022274,19409.29022274,19409.29022274,19409.29022274,919031.0
2006-12-15,20291.53068741,20291.53068741,20291.53068741,20291.53068741,687736.0
2006-12-18,21173.77115208,21173.77115208,21173.77115208,21173.77115208,1089205.0
2006-12-19,22203.051694195,22203.051694195,22203.051694195,22203.051694195,693603.0
2006-12-20,23232.33223631,23232.33223631,23232.33223631,23232.33223631,786511.0
2006-12-21,23232.33223631,22350.09177164,24261.612778425,22350.09177164,4528616.0
2006-12-22,21320.811229525,21320.811229525,21320.811229525,21320.811229525,2769105.0
2006-12-25,21320.811229525,20291.53068741,22350.09177164,22350.09177164,2662787.0
2006-12-26,22350.09177164,21614.891384415,23379.372313755,23379.372313755,1723364.0
2006-12-27,24408.65285587,24408.65285587,24408.65285587,24408.65285587,1477992.0
2006-12-28,24408.65285587,24408.65285587,24408.65285587,24408.65285587,2550828.0
2006-12-29,24408.65285587,24408.65285587,24555.692933315,24555.692933315,1065796.0
2007-01-02,24555.692933315,23820.49254609,24702.73301076,23820.49254609,1783032.0
2007-01-03,23820.49254609,23820.49254609,24702.73301076,24702.73301076,831876.0
2007-01-04,25879.05363032,25879.05363032,25879.05363032,25879.05363032,825116.0
2007-01-05,27055.37424988,27055.37424988,27055.37424988,27055.37424988,670529.0
2007-01-08,28378.734946885,28378.734946885,28378.734946885,28378.734946885,2585410.0
2007-01-09,29702.09564389,29702.09564389,29702.09564389,29702.09564389,1549391.0
2007-01-10,31172.49641834,31172.49641834,31172.49641834,31172.49641834,603096.0
2007-01-11,32642.89719279,32642.89719279,32642.89719279,32642.89719279,456889.0
2007-01-12,34260.338044685,34260.338044685,34260.338044685,34260.338044685,223640.0
2007-01-15,35877.77889658,35877.77889658,35877.77889658,35877.77889658,336661.0
2007-01-16,37642.25982592,37642.25982592,37642.25982592,37642.25982592,484097.0
2007-01-17,39406.74075526,39406.74075526,39406.74075526,39406.74075526,3132136.0
2007-01-18,41097.7016458775,40877.14152971,41318.261762045,41318.261762045,3801548.0
2007-01-19,43376.822846275,43376.822846275,43376.822846275,43376.822846275,1968179.0
2007-01-22,43376.822846275,43376.822846275,43376.822846275,43376.822846275,2255229.0
2007-01-23,43376.822846275,43376.822846275,44112.0232335,43376.822846275,2034382.0
2007-01-24,41979.9421105475,41318.261762045,42641.62245905,41318.261762045,1049092.0
2007-01-25,39259.700677815,39259.700677815,39259.700677815,39259.700677815,803160.0
2007-01-26,37348.17967103,37348.17967103,37348.17967103,37348.17967103,1502909.0
2007-01-29,37348.17967103,35583.69874169,39112.66060037,39112.66060037,2975984.0
2007-01-30,41024.181607155,41024.181607155,41024.181607155,41024.181607155,1245803.0
2007-01-31,42935.70261394,42935.70261394,42935.70261394,42935.70261394,2170701.0
2007-02-01,42935.70261394,40877.14152971,42935.70261394,40877.14152971,1242898.0
2007-02-02,41759.38199438,41759.38199438,41759.38199438,41759.38199438,1677273.0
2007-02-05,41759.38199438,41759.38199438,43817.94307861,41759.38199438,2354954.0
2007-02-06,41759.38199438,41465.30183949,41759.38199438,41759.38199438,1299884.0
2007-02-07,41759.38199438,40583.06137482,41759.38199438,41759.38199438,1176974.0
2007-02-08,39700.82091015,39700.82091015,39700.82091015,39700.82091015,1289492.0
2007-02-09,39700.82091015,37789.299903365,39700.82091015,39700.82091015,1942200.0
2007-02-12,41391.7818007675,41171.2216846,41612.341916935,41318.261762045,1464248.0
2007-02-13,41171.2216846,41171.2216846,41171.2216846,41171.2216846,985458.0
2007-02-14,41171.2216846,41171.2216846,41171.2216846,41171.2216846,747627.0
2007-02-15,41171.2216846,41171.2216846,41465.30183949,41465.30183949,470409.0
2007-02-26,43523.86292372,43523.86292372,43523.86292372,43523.86292372,1233848.0
2007-02-27,45582.42400795,45582.42400795,45582.42400795,45582.42400795,2032371.0
2007-02-28,43597.3829624425,43376.822846275,43817.94307861,43817.94307861,1354579.0
2007-03-01,43009.2226526625,42641.62245905,43376.822846275,42641.62245905,1126078.0
2007-03-02,42641.62245905,42641.62245905,43376.822846275,43376.822846275,1389273.0
2007-03-05,43376.822846275,42494.582381605,44847.223620725,42494.582381605,1414246.0
2007-03-06,40803.6214909875,40436.021297375,41171.2216846,40436.021297375,1115631.0
2007-03-07,41024.181607155,40877.14152971,41171.2216846,40877.14152971,599800.0
2007-03-08,40583.06137482,40436.021297375,40730.101452265,40730.101452265,1132503.0
2007-03-09,40730.101452265,40730.101452265,40730.101452265,40730.101452265,1531625.0
2007-03-12,41538.8218782125,41171.2216846,41906.422071825,41171.2216846,607454.0
2007-03-13,41171.2216846,39700.82091015,41171.2216846,39700.82091015,867353.0
2007-03-14,38009.8600195325,37789.299903365,38230.4201357,38083.380058255,909365.0
2007-03-15,36760.01936125,36760.01936125,36760.01936125,36760.01936125,636729.0
2007-03-16,36760.01936125,36760.01936125,38524.50029059,38524.50029059,889421.0
2007-03-19,38524.50029059,38230.4201357,39700.82091015,38524.50029059,1102669.0
2007-03-20,36907.059438695,36760.01936125,37054.09951614,37054.09951614,1408883.0
2007-03-21,37348.17967103,37201.139593585,37495.219748475,37201.139593585,1127698.0
2007-03-22,36686.499322527496,36318.899128915,37054.09951614,36318.899128915,799417.0
2007-03-23,36318.899128915,35142.578509355,36612.979283805,36465.93920636,998699.0
2007-03-26,36465.93920636,36465.93920636,36612.979283805,36465.93920636,1114122.0
2007-03-27,36465.93920636,36024.818974025,36465.93920636,36024.818974025,1245859.0
2007-03-28,36024.818974025,35289.6185868,36024.818974025,36024.818974025,1123452.0
2007-03-29,36024.818974025,36024.818974025,36318.899128915,36024.818974025,1305806.0
2007-03-30,36024.818974025,36024.818974025,36760.01936125,36024.818974025,691815.0
2007-04-02,36024.818974025,36024.818974025,36318.899128915,36024.818974025,699078.0
2007-04-03,34774.9783157425,34554.418199575,34995.53843191,34554.418199575,569017.0
2007-04-04,35730.738819135004,35289.6185868,36171.85905147,36171.85905147,836849.0
2007-04-05,37054.099516140006,36465.93920636,37642.25982592,36465.93920636,1058254.0
2007-04-06,36465.93920636,36465.93920636,36612.979283805,36612.979283805,606057.0
2007-04-09,38377.460213145,38377.460213145,38377.460213145,38377.460213145,796288.0
2007-04-10,38377.460213145,36760.01936125,38671.540368035,36760.01936125,932383.0
2007-04-11,36760.01936125,36760.01936125,37054.09951614,36907.059438695,597174.0
2007-04-12,36907.059438695,36465.93920636,37054.09951614,36465.93920636,447056.0
2007-04-13,36465.93920636,36465.93920636,36760.01936125,36465.93920636,546222.0
2007-04-16,34701.45827702,34701.45827702,34701.45827702,34701.45827702,1776048.0
2007-04-17,33598.6576961825,33378.097580015,33819.21781235,33378.097580015,1203623.0
2007-04-18,34260.338044685,33525.13765746,34995.53843191,34701.45827702,900259.0
2007-04-19,33819.21781235,33084.017425125,34554.418199575,33084.017425125,1337539.0
2007-04-20,32348.8170379,31907.696805565,32789.937270235,32348.8170379,601588.0
2007-04-23,30731.376186005,30731.376186005,30731.376186005,30731.376186005,395770.0
2007-04-24,29260.975411555,29260.975411555,29260.975411555,29260.975411555,737124.0
2007-04-25,29260.975411555,29260.975411555,29849.135721335,29849.135721335,1374077.0
2007-05-02,29187.4553728325,28966.895256665,29408.015489,29408.015489,1084847.0
2007-05-03,29408.015489,29408.015489,29702.09564389,29555.055566445,667177.0
2007-05-04,30216.7359149475,30143.215876225,30290.25595367,30290.25595367,589297.0
2007-05-07,31466.57657323,31172.49641834,31760.65672812,31760.65672812,607454.0
2007-05-08,33231.05750257,33231.05750257,33231.05750257,33231.05750257,438397.0
2007-05-09,34333.8580834075,33819.21781235,34848.498354465,33819.21781235,2343222.0
2007-05-10,33819.21781235,33819.21781235,34407.37812213,34407.37812213,1289660.0
2007-05-11,34407.37812213,34113.29796724,35730.738819135,35730.738819135,1045293.0
2007-05-14,37421.6997097525,37348.17967103,37495.219748475,37495.219748475,1153453.0
2007-05-15,37495.219748475,36760.01936125,38083.380058255,36760.01936125,1134402.0
2007-05-16,36760.01936125,36760.01936125,37348.17967103,36760.01936125,792936.0
2007-05-17,36760.01936125,36465.93920636,36760.01936125,36760.01936125,867017.0
2007-05-18,36980.5794774175,36907.059438695,37054.09951614,37054.09951614,793271.0
2007-05-21,37054.09951614,37054.09951614,37201.139593585,37201.139593585,880817.0
2007-05-22,38303.9401744225,37642.25982592,38965.620522925,38965.620522925,1343182.0
2007-05-23,38965.620522925,38524.50029059,40436.021297375,38524.50029059,1526038.0
2007-05-24,37789.299903365,37348.17967103,38230.4201357,37936.33998081,1140995.0
2007-05-25,37936.33998081,37495.219748475,38230.4201357,38230.4201357,1011213.0
2007-05-28,38965.620522925004,38377.460213145,39553.780832705,38377.460213145,907187.0
2007-05-29,38377.460213145,38377.460213145,38524.50029059,38524.50029059,409290.0
2007-05-30,38524.50029059,38377.460213145,38818.58044548,38524.50029059,834335.0
2007-05-31,38892.1004842025,38818.58044548,38965.620522925,38965.620522925,963669.0
2007-06-01,38377.460213144994,38230.4201357,38524.50029059,38230.4201357,1159767.0
2007-06-04,38230.4201357,36907.059438695,38230.4201357,37201.139593585,455884.0
2007-06-05,37862.8199420875,37495.219748475,38230.4201357,37495.219748475,812155.0
2007-06-06,37495.219748475,37495.219748475,37495.219748475,37495.219748475,612259.0
2007-06-07,37495.219748475,37348.17967103,37642.25982592,37348.17967103,1114849.0
2007-06-08,36907.059438695,36760.01936125,37054.09951614,36760.01936125,698296.0
2007-06-11,36171.85905147,35877.77889658,36465.93920636,35877.77889658,691368.0
2007-06-12,35877.77889658,35583.69874169,36024.818974025,36024.818974025,776120.0
2007-06-13,36171.85905147,36171.85905147,36171.85905147,36171.85905147,978977.0
2007-06-14,36539.4592450825,36318.899128915,36760.01936125,36760.01936125,1681407.0
2007-06-15,38117.2235324825,37655.196580574,38579.250484391,37655.196580574,1125618.0
2007-06-18,37655.196580574,37424.183104619,37655.196580574,37655.196580574,612060.0
2007-06-19,38117.223532482,38117.223532482,38117.223532482,38117.223532482,699680.0
2007-06-20,38579.25048439149,38348.237008437,38810.263960346,38810.263960346,654483.0
2007-06-21,38810.263960346,38579.250484391,39272.290912255,38579.250484391,779583.0
2007-06-22,38579.250484391,38117.223532482,38579.250484391,38579.250484391,627422.0
2007-06-25,38579.250484391,38348.237008437,39272.290912255,38348.237008437,653167.0
2007-06-26,39041.2774363005,38810.263960346,39272.290912255,39041.2774363,1034762.0
2007-06-27,39041.2774363,38117.223532482,39041.2774363,38117.223532482,679055.0
2007-06-28,38117.223532482,38117.223532482,38579.250484391,38579.250484391,319222.0
2007-06-29,38117.223532482,38117.223532482,38117.223532482,38117.223532482,251374.0
2007-07-02,36846.649414732994,36500.129200801,37193.169628665,36500.129200801,789078.0
2007-07-03,36500.129200801,36500.129200801,36731.142676756,36731.142676756,748930.0
2007-07-04,38348.237008437,38348.237008437,38348.237008437,38348.237008437,500472.0
2007-07-05,38694.7572223685,38579.250484391,38810.263960346,38579.250484391,1331902.0
2007-07-06,38579.250484391,38117.223532482,38579.250484391,38579.250484391,569103.0
2007-07-09,38579.250484391,38579.250484391,39272.290912255,39272.290912255,962966.0
2007-07-10,39272.290912255,39272.290912255,40196.344816072,40196.344816072,1200472.0
