Date,Price Open,Price Low,Price High,Price Close,Volume
2006-12-06,19236.591602915,19236.591602915,19236.591602915,19236.591602915,63310.0
2006-12-07,19236.591602915,19236.591602915,20131.316793749,20131.316793749,135177.0
2006-12-08,21026.041984582,21026.041984582,21026.041984582,21026.041984582,12759.0
2006-12-11,22032.607824269,22032.607824269,22032.607824269,22032.607824269,30452.0
2006-12-12,23039.173663957,23039.173663957,23039.173663957,23039.173663957,138983.0
2006-12-13,24157.580152498,24157.580152498,24157.580152498,24157.580152498,92513.0
2006-12-14,25275.98664104,25275.98664104,25275.98664104,25275.98664104,76237.0
2006-12-15,25275.98664104,24157.580152498,25723.349236457,25723.349236457,153098.0
2006-12-18,24828.6240456235,24604.942747915,25052.305343332,24604.942747915,138146.0
2006-12-19,23822.0582059355,23486.536259373,24157.580152498,23710.217557082,97842.0
2006-12-20,22703.6517173945,22591.81106854,22815.492366249,22815.492366249,81809.0
2006-12-21,23933.89885479,23933.89885479,23933.89885479,23933.89885479,251108.0
2006-12-22,22815.492366249,22815.492366249,22815.492366249,22815.492366249,28183.0
2006-12-25,22815.492366249,21697.085877707,23933.89885479,23933.89885479,93335.0
2006-12-26,23933.89885479,23933.89885479,23933.89885479,23933.89885479,101969.0
2006-12-27,23933.89885479,23933.89885479,24604.942747915,24604.942747915,96974.0
2006-12-28,24604.942747915,24157.580152498,24604.942747915,24604.942747915,102517.0
2006-12-29,24604.942747915,24604.942747915,24828.624045623,24828.624045623,55057.0
2007-01-02,24828.624045623,23710.217557082,24828.624045623,24828.624045623,55590.0
2007-01-03,24828.624045623,24604.942747915,24828.624045623,24604.942747915,15728.0
2007-01-04,24604.942747915,24604.942747915,25052.305343332,25052.305343332,85098.0
2007-01-05,25052.305343332,25052.305343332,25275.98664104,25275.98664104,52286.0
2007-01-08,24381.2614502065,24157.580152498,24604.942747915,24604.942747915,35674.0
2007-01-09,24604.942747915,24381.261450207,24604.942747915,24604.942747915,105577.0
2007-01-10,24604.942747915,24604.942747915,24828.624045623,24828.624045623,115352.0
2007-01-11,24828.624045623,24828.624045623,24828.624045623,24828.624045623,155138.0
2007-01-12,24828.624045623,24381.261450207,24828.624045623,24604.942747915,100918.0
2007-01-15,24604.942747915,24381.261450207,24828.624045623,24828.624045623,148926.0
2007-01-16,24828.624045623,24828.624045623,25947.030534165,25947.030534165,103172.0
2007-01-17,25947.030534165,24828.624045623,26170.711831873,24828.624045623,105927.0
2007-01-18,24828.624045623,24604.942747915,24828.624045623,24828.624045623,50916.0
2007-01-19,25387.827289894,25275.98664104,25499.667938748,25275.98664104,99609.0
2007-01-22,25275.98664104,24157.580152498,25275.98664104,24157.580152498,73679.0
2007-01-23,24157.580152498,24157.580152498,24604.942747915,24604.942747915,17814.0
2007-01-24,24940.4646944775,24828.624045623,25052.305343332,25052.305343332,68684.0
2007-01-25,24493.102099060503,24157.580152498,24828.624045623,24157.580152498,65852.0
2007-01-26,24157.580152498,23933.89885479,24157.580152498,23933.89885479,62320.0
2007-01-29,24604.942747915,24157.580152498,25052.305343332,25052.305343332,34319.0
2007-01-30,25052.305343332,25052.305343332,25723.349236457,25052.305343332,64589.0
2007-01-31,25052.305343332,25052.305343332,25052.305343332,25052.305343332,97736.0
2007-02-01,25052.305343332,25052.305343332,25052.305343332,25052.305343332,45723.0
2007-02-02,25052.305343332,25052.305343332,25052.305343332,25052.305343332,51311.0
2007-02-05,26170.711831873,26170.711831873,26170.711831873,26170.711831873,186808.0
2007-02-06,27065.4370227065,26841.755724998,27289.118320415,26841.755724998,254504.0
2007-02-07,28183.843511248,28183.843511248,28183.843511248,28183.843511248,182697.0
2007-02-08,28183.843511248,27960.16221354,29525.931297498,27960.16221354,172831.0
2007-02-09,26618.07442729,26618.07442729,26618.07442729,26618.07442729,35811.0
2007-02-12,27289.118320415,27289.118320415,27289.118320415,27289.118320415,96107.0
2007-02-13,27289.118320415,27289.118320415,27960.16221354,27960.16221354,94889.0
2007-02-14,27960.16221354,27512.799618123,27960.16221354,27512.799618123,84169.0
2007-02-15,27512.799618123,27512.799618123,28407.524808956,27512.799618123,93549.0
2007-02-26,28854.887404373,28854.887404373,28854.887404373,28854.887404373,94477.0
2007-02-27,30196.975190623,30196.975190623,30196.975190623,30196.975190623,67634.0
2007-02-28,30196.975190623,28854.887404373,31539.062976873,28854.887404373,124168.0
2007-03-01,28854.887404373,27960.16221354,28854.887404373,28854.887404373,45723.0
2007-03-02,28854.887404373,28407.524808956,28854.887404373,28407.524808956,31959.0
2007-03-05,28966.728053227,28854.887404373,29078.568702081,29078.568702081,71745.0
2007-03-06,29078.568702081,28854.887404373,29078.568702081,28854.887404373,71912.0
2007-03-07,27848.321564685502,27512.799618123,28183.843511248,28183.843511248,50032.0
2007-03-08,28966.728053227,28854.887404373,29078.568702081,29078.568702081,70984.0
2007-03-09,29078.568702081,29078.568702081,29078.568702081,29078.568702081,78429.0
2007-03-12,29861.4532440605,29302.24999979,30420.656488331,29525.931297498,129452.0
2007-03-13,30420.656488331,30420.656488331,30420.656488331,30420.656488331,131979.0
2007-03-14,30420.656488331,29525.931297498,30420.656488331,29525.931297498,104146.0
2007-03-15,28183.843511248,28183.843511248,28183.843511248,28183.843511248,49956.0
