Date,Price Open,Price Low,Price High,Price Close,Volume
2007-06-14,16493.792040154498,14097.258153978,18890.325926331,17762.545274012,87502.0
2007-06-15,17762.545274012,17574.581831959,18758.751516893,17762.545274012,130258.0
2007-06-18,19054.793938127,18796.344205304,19313.24367095,19313.24367095,70598.0
2007-06-19,21014.31282153,20957.923788914,21070.701854146,21070.701854146,38779.0
2007-06-20,23157.096060935,23157.096060935,23157.096060935,23157.096060935,42756.0
2007-06-21,25469.046398187,25469.046398187,25469.046398187,25469.046398187,39773.0
2007-06-22,25469.046398187,22922.141758368,28015.951038006,24247.284024842,326144.0
2007-06-25,25788.584249677,24322.469401663,27254.699097691,24322.469401663,125287.0
2007-06-26,22536.8167021595,22048.111752822,23025.521651497,22179.686162259,100925.0
2007-06-27,21070.7018541455,20055.699267059,22085.704441232,20957.923788914,166055.0
2007-06-28,20957.923788914,20018.106578649,22884.549069958,22884.549069958,95954.0
2007-06-29,23457.837568219,23025.521651497,23890.153484941,23890.153484941,131253.0
2007-07-02,23890.153484941,22085.704441232,25938.95500332,22555.613046365,75570.0
2007-07-03,22555.613046365,21615.7958361,23128.901544627,22555.613046365,49717.0
2007-07-04,23800.8708499665,23307.466814577,24294.274885356,23965.338861763,103411.0
2007-07-05,22926.8408444195,22367.649604312,23486.032084527,22931.539930471,32813.0
2007-07-06,22931.539930471,22555.613046365,23025.521651497,23025.521651497,39276.0
2007-07-09,23025.521651497,22555.613046365,23448.439396117,22555.613046365,23367.0
2007-07-10,22555.613046365,20469.218839576,23401.448535604,22837.558209444,51705.0
2007-07-11,22837.558209444,22649.594767391,22922.141758368,22696.585627905,38282.0
2007-07-12,22696.585627905,22461.631325338,22837.558209444,22555.613046365,17898.0
2007-07-13,22555.613046365,22085.704441232,22555.613046365,22320.658743799,30327.0
2007-07-16,20816.9512073745,20018.106578649,21615.7958361,21427.832394047,66620.0
2007-07-17,21427.832394047,21145.887230967,21615.7958361,21521.814115073,36293.0
2007-07-18,21521.814115073,21145.887230967,21521.814115073,21437.230566149,24361.0
2007-07-19,21127.090886762,21014.31282153,21239.868951994,21042.507337838,36790.0
2007-07-20,20563.200560603,20215.468192805,20910.932928401,20300.051741728,63637.0
2007-07-23,20300.051741728,20018.106578649,20685.376797937,20206.070020702,28835.0
2007-07-24,20206.070020702,19360.234531463,20300.051741728,20065.097439162,84021.0
2007-07-25,19548.1979735165,19078.289368384,20018.106578649,19078.289368384,16406.0
2007-07-26,18105.578555759,17414.812906214,18796.344205304,17762.545274012,63637.0
2007-07-27,17269.141238623,17076.478710519,17461.803766727,17452.405594625,80044.0
2007-07-30,17452.405594625,16916.709784774,18044.490437092,18044.490437092,35796.0
2007-07-31,18044.490437092,17856.526995039,18147.870330221,18147.870330221,22372.0
2007-08-01,19724.718435066003,19696.391888726,19753.044981406,19753.044981406,13920.0
2007-08-02,19753.044981406,17770.186737575,21717.018861011,17770.186737575,56677.0
2007-08-03,18837.1533163985,18412.255121292,19262.051511505,18884.364226966,15909.0
2007-08-06,18884.364226966,18365.044210724,18950.45950176,18365.044210724,13423.0
2007-08-07,19025.9969586685,18412.255121292,19639.738796045,19639.738796045,24361.0
2007-08-08,19167.6296903705,18978.786048101,19356.47333264,19262.051511505,11434.0
2007-08-09,19568.9224301935,19309.262422073,19828.582438314,19639.738796045,49717.0
2007-08-10,18794.6634968875,18695.520584696,18893.806409079,18884.364226966,22869.0
2007-08-13,18884.364226966,18138.431840001,18884.364226966,18572.772217221,13423.0
2007-08-14,18572.772217221,18506.676942427,18601.098763561,18572.772217221,17898.0
2007-08-15,18676.6362204695,18610.540945675,18742.731495264,18695.520584696,24858.0
2007-08-16,18695.520584696,18695.520584696,18761.615859491,18695.520584696,25355.0
2007-08-17,18110.1052936605,17807.955466029,18412.255121292,17949.588197731,5468.0
2007-08-20,18365.044210724,18128.989657887,18601.098763561,18601.098763561,2485.0
2007-08-21,18601.098763561,18232.853661136,18601.098763561,18232.853661136,9446.0
2007-08-22,18232.853661136,18176.200568455,18412.255121292,18317.833300157,6463.0
2007-08-23,18317.833300157,18034.567836753,18412.255121292,18034.567836753,16903.0
2007-08-24,18034.567836753,18034.567836753,18789.942405831,18034.567836753,22372.0
2007-08-27,19323.425695243,18440.581667632,20206.269722854,18440.581667632,6960.0
2007-08-29,18738.010404207,18695.520584696,18780.500223718,18695.520584696,1491.0
2007-08-30,18695.520584696,18572.772217221,18893.806409079,18601.098763561,5468.0
2007-08-31,18813.5478611145,18752.173677377,18874.922044852,18874.922044852,26350.0
2007-09-04,18978.786048101,18884.364226966,19073.207869236,19073.207869236,21378.0
2007-09-05,19073.207869236,18714.404948923,19073.207869236,18884.364226966,51208.0
2007-09-06,18884.364226966,18874.922044852,19073.207869236,18874.922044852,4971.0
2007-09-07,19125.1398708595,18893.806409079,19356.47333264,18978.786048101,22869.0
2007-09-10,19828.5824383145,19073.207869236,20583.957007393,20300.691543988,46734.0
2007-09-11,20300.691543988,20300.691543988,21150.487934202,20583.957007393,90982.0
2007-09-12,21339.3315764715,21056.066113067,21622.597039876,21386.542487039,50214.0
2007-09-13,21386.542487039,21244.909755337,21868.093774827,21263.794119564,72586.0
2007-09-14,21263.794119564,19450.895153775,21292.120665904,20395.113365123,31818.0
2007-09-17,20395.113365123,20300.691543988,21339.331576472,20772.800649663,25852.0
2007-09-18,20772.800649663,20583.957007393,21244.909755337,20961.644291932,44745.0
2007-09-19,20961.644291932,20961.644291932,21717.018861011,21386.542487039,60654.0
2007-09-20,21386.542487039,21244.909755337,21820.882864259,21339.331576472,61152.0
2007-09-21,21339.331576472,21150.487934202,21528.175218741,21528.175218741,23864.0
2007-09-24,21528.175218741,21528.175218741,22283.54978782,22189.127966685,63140.0
2007-09-25,22618.7472528485,22198.570148799,23038.924356898,22850.080714629,31321.0
2007-09-26,23180.557088601003,22944.502535764,23416.611641438,23369.40073087,65626.0
2007-09-27,23369.40073087,23133.346178033,23511.033462573,23416.611641438,61152.0
2007-09-28,23416.611641438,23416.611641438,25399.469885269,25210.626243,80044.0
2007-10-01,26065.14372427,25493.891706404,26636.395742136,26636.395742136,104405.0
2007-10-02,26636.395742136,24738.517137325,29081.920909528,26929.103387653,74575.0
2007-10-03,25966.000812078,25493.891706404,26438.109917752,25956.558629965,105897.0
2007-10-04,25956.558629965,25493.891706404,25966.000812078,25796.041534036,44248.0
2007-10-05,25234.2316982835,24785.728047893,25682.735348674,25295.605882021,108880.0
2007-10-08,25295.605882021,24832.93895846,25956.558629965,24832.93895846,53197.0
2007-10-09,24832.93895846,24814.054594233,25210.626243,24832.93895846,60157.0
2007-10-10,25493.891706404,25021.78260073,25966.000812078,25966.000812078,91479.0
2007-10-11,27146.2735762635,26438.109917752,27854.437234775,27854.437234775,185444.0
2007-10-12,29530.424559918,28798.655446123,30262.193673713,30262.193673713,109377.0
2007-10-15,32079.8137305585,31064.779153359,33094.848307758,33094.848307758,100925.0
2007-10-16,36050.251309278494,35785.870210101,36314.632408456,36314.632408456,198868.0
2007-10-17,36314.632408456,32575.528291516,39808.239790444,34086.277429674,95954.0
2007-10-18,34086.277429674,32575.528291516,34936.073819887,33519.746502865,124789.0
2007-10-19,33519.746502865,32282.820645998,36361.843319023,36361.843319023,143185.0
2007-10-22,36361.843319023,35870.849849122,37768.728453932,37013.353884853,156111.0
2007-10-23,37013.353884853,36645.108782427,38240.837559606,37202.197527123,110372.0
2007-10-24,37740.4019075915,37296.619348258,38184.184466925,37674.306632797,124789.0
2007-10-25,37674.306632797,37013.353884853,38051.993917336,37013.353884853,171524.0
2007-10-26,37013.353884853,33972.971244312,37013.353884853,34463.964714213,146168.0
2007-10-29,32443.3377419275,31366.92898099,33519.746502865,32103.419185842,73581.0
2007-10-30,32103.419185842,30687.09186882,32481.106470381,31820.153722438,70101.0
2007-10-31,33463.0934101835,31867.364633005,35058.822187362,33991.855608539,125784.0
2007-11-01,35644.2374783985,34936.073819887,36352.40113691,35880.292031235,109874.0
2007-11-02,35880.292031235,33425.32468173,35880.292031235,33991.855608539,66123.0
2007-11-05,33991.855608539,31527.44607692,34360.100710965,33803.011966269,83524.0
2007-11-06,33803.011966269,33047.63739719,33982.413426425,33897.433787404,65626.0
2007-11-07,33897.433787404,33708.590145134,34180.699250808,33708.590145134,32813.0
2007-11-08,33708.590145134,33519.746502865,34086.277429674,33519.746502865,38282.0
2007-11-09,33519.746502865,32103.419185842,33803.011966269,33689.705780907,39276.0
2007-11-12,33689.705780907,32292.262828112,33784.127602042,32405.569013474,66123.0
2007-11-13,31017.568242792,29648.451836337,32386.684649247,29648.451836337,106891.0
2007-11-14,31584.099169601,30214.982763146,32953.215576056,32292.262828112,102914.0
2007-11-15,32292.262828112,30214.982763146,33047.63739719,32103.419185842,13920.0
2007-11-16,32103.419185842,31055.336971246,32103.419185842,31631.310080168,61649.0
2007-11-19,31961.78645414,31725.731901303,32197.841006977,32197.841006977,16406.0
2007-11-20,32197.841006977,31442.466437898,32386.684649247,31735.174083416,16903.0
2007-11-21,31735.174083416,31187.527520834,32292.262828112,31725.731901303,45242.0
2007-11-22,31725.731901303,31697.405354962,32575.528291516,31697.405354962,36293.0
2007-11-23,32339.473738679,32103.419185842,32575.528291516,32103.419185842,55683.0
2007-11-26,32627.46029314,32207.28318909,33047.63739719,32320.589374452,26350.0
2007-11-27,32320.589374452,32160.072278523,32575.528291516,32197.841006977,29830.0
2007-11-28,32197.841006977,32122.303550069,32528.317380949,32471.664288268,19886.0
2007-11-29,32471.664288268,32197.841006977,32669.950112651,32339.473738679,40270.0
2007-11-30,32528.317380949,32386.684649247,32669.950112651,32669.950112651,24858.0
2007-12-03,32669.950112651,32348.915920793,33047.63739719,32688.834476878,21378.0
2007-12-04,33326.181769538496,32858.793754921,33793.569784156,32858.793754921,53694.0
2007-12-05,32858.793754921,32197.841006977,33991.855608539,32245.051917544,33807.0
2007-12-06,32245.051917544,32197.841006977,32953.215576056,32953.215576056,11434.0
2007-12-07,32433.895559814,32292.262828112,32575.528291516,32386.684649247,29333.0
2007-12-10,32386.684649247,31631.310080168,32575.528291516,31631.310080168,10937.0
2007-12-11,30970.3573322245,30781.513689955,31159.200974494,30875.935511089,42259.0
2007-12-12,30875.935511089,30592.670047685,31348.044616764,31178.085338721,21875.0
2007-12-13,31159.200974494,31159.200974494,31159.200974494,31159.200974494,497.0
2007-12-14,31536.888259033,31536.888259033,31536.888259033,31536.888259033,994.0
2007-12-17,31064.779153359,30970.357332224,31159.200974494,31159.200974494,1491.0
2007-12-18,31159.200974494,28317.104158335,31159.200974494,30403.826405415,15412.0
2007-12-19,30403.826405415,30309.40458428,31914.575543572,31442.466437898,55186.0
2007-12-20,30592.670047685,30026.139120876,31159.200974494,30592.670047685,22869.0
2007-12-21,30592.670047685,30309.40458428,30687.09186882,30403.826405415,15909.0
2007-12-24,29790.0845680385,29742.873657471,29837.295478606,29752.315839585,6960.0
2007-12-25,29752.315839585,29742.873657471,30214.982763146,30214.982763146,11434.0
2007-12-26,30545.459137117497,30403.826405415,30687.09186882,30687.09186882,2983.0
2007-12-27,29742.873657471,29742.873657471,29742.873657471,29742.873657471,2485.0
2007-12-28,29742.873657471,29742.873657471,29941.159481855,29837.295478606,8451.0
2008-01-02,29837.295478606,29742.873657471,30214.982763146,30214.982763146,2983.0
2008-01-03,29034.709998960003,28798.655446123,29270.764551797,29270.764551797,6463.0
2008-01-07,27963.0223290795,27571.17177137,28354.872886789,28326.546340449,11932.0
2008-01-08,28326.546340449,27429.539039668,28609.811803853,27429.539039668,25355.0
2008-01-09,27429.539039668,26060.422633213,28128.260516066,27287.906307966,16903.0
2008-01-10,26197.334273858494,25966.000812078,26428.667735639,26428.667735639,9943.0
2008-01-11,26428.667735639,24549.673495056,26815.797202292,24549.673495056,30824.0
2008-01-14,24549.673495056,23133.346178033,24785.728047893,23133.346178033,9446.0
2008-01-15,21929.4679585645,21754.787589465,22104.148327664,21754.787589465,36293.0
2008-01-16,23119.182904863,22189.127966685,24049.237843041,24049.237843041,56677.0
2008-01-17,24049.237843041,21244.909755337,24549.673495056,23416.611641438,26350.0
2008-01-18,23416.611641438,22868.965078856,23794.298925977,22868.965078856,21875.0
2008-01-21,22868.965078856,22850.080714629,23038.924356898,23038.924356898,11932.0
2008-01-22,22661.237072359,22566.815251224,22755.658893494,22755.658893494,25355.0
2008-01-23,21768.950862635,20886.106835024,22651.794890246,21717.018861011,17898.0
2008-01-24,21717.018861011,21244.909755337,22189.127966685,21339.331576472,48722.0
2008-01-25,21849.2094105995,21528.175218741,22170.243602458,21528.175218741,22372.0
2008-01-28,21669.8079504435,21622.597039876,21717.018861011,21717.018861011,11434.0
2008-01-29,21717.018861011,19498.106064342,22189.127966685,21905.862503281,31321.0
2008-01-30,23643.224012161,23605.455283707,23680.992740615,23680.992740615,30327.0
2008-01-31,23109.7407227495,22566.815251224,23652.666194275,23605.455283707,24858.0
2008-02-01,23605.455283707,23605.455283707,24549.673495056,23983.142568247,23864.0
2008-02-12,23983.142568247,23369.40073087,24171.986210516,23369.40073087,4971.0
