Date,Price Open,Price Low,Price High,Price Close,Volume
2009-09-22,3668.880460703,3668.880460703,3668.880460703,3668.880460703,344.0
2009-09-23,3852.324483739,3852.324483739,3852.324483739,3852.324483739,62.0
2009-09-24,4035.768506774,4035.768506774,4035.768506774,4035.768506774,3825.0
2009-09-25,4219.212529809,4219.212529809,4219.212529809,4219.212529809,1379.0
2009-09-28,4423.03922207,4423.03922207,4423.03922207,4423.03922207,25053.0
2009-09-29,4626.865914332,4626.865914332,4626.865914332,4626.865914332,499306.0
2009-09-30,4851.075275819,4851.075275819,4851.075275819,4851.075275819,20694.0
2009-10-01,5075.284637306,5075.284637306,5075.284637306,5075.284637306,73905.0
2009-10-02,5319.87666802,5319.87666802,5319.87666802,5319.87666802,451551.0
2009-10-05,5584.85136796,5584.85136796,5584.85136796,5584.85136796,203027.0
2009-10-06,5849.826067899,5849.826067899,5849.826067899,5849.826067899,131630.0
2009-10-07,6135.183437065,6135.183437065,6135.183437065,6135.183437065,49447.0
2009-10-08,6440.923475457,6440.923475457,6440.923475457,6440.923475457,13075.0
2009-10-09,6440.923475457,6135.183437065,6746.663513849,6726.280844623,2337904.0
2009-10-12,6726.280844623,6461.306144683,6726.280844623,6481.688813909,1140152.0
2009-10-13,6481.688813909,6216.71411397,6502.071483136,6216.71411397,411887.0
2009-10-14,6012.8874217085,5910.974075578,6114.800767839,6114.800767839,643291.0
2009-10-15,6114.800767839,5972.122083256,6216.71411397,6012.887421708,804083.0
2009-10-16,6012.887421708,5747.912721769,6012.887421708,5747.912721769,492408.0
2009-10-19,5533.8946948945,5462.555352603,5605.234037186,5482.938021829,704027.0
2009-10-20,5676.573379477501,5605.234037186,5747.912721769,5747.912721769,175810.0
2009-10-21,6033.270090935,6033.270090935,6033.270090935,6033.270090935,68041.0
2009-10-22,6267.670787035,6216.71411397,6318.6274601,6318.6274601,993502.0
2009-10-23,6114.800767839,6012.887421708,6216.71411397,6033.270090935,1048938.0
2009-10-26,5849.8260678995,5768.295390995,5931.356744804,5809.060729447,192147.0
2009-10-27,5574.660033346499,5544.086029507,5605.234037186,5544.086029507,292673.0
2009-10-28,5768.295390995,5727.530052543,5809.060729447,5809.060729447,641504.0
2009-10-29,5809.060729447,5747.912721769,6012.887421708,5768.295390995,334407.0
2009-10-30,5768.295390995,5686.76471409,5809.060729447,5747.912721769,310608.0
2009-11-02,5503.320691055,5462.555352603,5544.086029507,5462.555352603,249371.0
2009-11-03,5309.685333407,5197.580652663,5421.790014151,5197.580652663,150005.0
2009-11-04,5197.580652663,4952.98862195,5442.172683377,5034.519298854,208075.0
2009-11-05,5187.3893180505,5095.667306533,5279.111329568,5279.111329568,114479.0
2009-11-06,5279.111329568,5095.667306533,5523.703360281,5136.432644985,110026.0
2009-11-09,4942.7972873365,4891.840614271,4993.753960402,4891.840614271,104727.0
2009-11-10,4718.587925849501,4647.248583558,4789.927268141,4647.248583558,194875.0
2009-11-11,4647.248583558,4443.421891296,4688.01392201,4606.483245105,112880.0
2009-11-12,4759.3532643015005,4688.01392201,4830.692606593,4830.692606593,96794.0
2009-11-13,4830.692606593,4688.01392201,4830.692606593,4830.692606593,49259.0
2009-11-16,4830.692606593,4728.779260462,4891.840614271,4810.309937367,35745.0
2009-11-17,4810.309937367,4708.396591236,4891.840614271,4728.779260462,32390.0
2009-11-18,4728.779260462,4626.865914332,4891.840614271,4647.248583558,30697.0
2009-11-19,4871.457945045,4871.457945045,4871.457945045,4871.457945045,89614.0
2009-11-20,5095.667306533,5095.667306533,5095.667306533,5095.667306533,173145.0
2009-11-23,4963.179956562501,4851.075275819,5075.284637306,4851.075275819,91088.0
2009-11-24,4851.075275819,4647.248583558,4952.98862195,4688.01392201,76476.0
2009-11-25,4514.761233588,4463.804560523,4565.717906653,4463.804560523,215977.0
2009-11-26,4259.977868261,4259.977868261,4259.977868261,4259.977868261,110528.0
2009-11-27,4259.977868261,4056.151176,4463.804560523,4463.804560523,67257.0
2009-11-30,4463.804560523,4280.360537487,4626.865914332,4280.360537487,33017.0
2009-12-01,4453.613225909499,4423.03922207,4484.187229749,4484.187229749,49385.0
2009-12-02,4484.187229749,4259.977868261,4647.248583558,4259.977868261,41546.0
2009-12-03,4259.977868261,4137.681852904,4382.273883618,4259.977868261,29536.0
2009-12-04,4259.977868261,4096.916514452,4361.891214392,4137.681852904,34177.0
2009-12-07,4137.681852904,4076.533845226,4178.447191357,4076.533845226,11695.0
2009-12-08,4076.533845226,3872.707152965,4076.533845226,3872.707152965,35400.0
2009-12-09,3689.26312993,3689.26312993,3689.26312993,3689.26312993,43333.0
2009-12-10,3607.732453025,3546.584445347,3668.880460703,3546.584445347,68167.0
2009-12-11,3546.584445347,3383.523091538,3566.967114573,3383.523091538,77887.0
2009-12-14,3383.523091538,3261.227076181,3546.584445347,3485.436437668,44305.0
2009-12-15,3485.436437668,3465.053768442,3607.732453025,3465.053768442,16336.0
2009-12-16,3312.183749246,3301.992414633,3322.375083859,3301.992414633,63620.0
2009-12-17,3159.31373005,3138.931060824,3179.696399276,3138.931060824,58823.0
2009-12-18,3138.931060824,3138.931060824,3281.609745407,3281.609745407,39633.0
2009-12-21,3444.671099216,3444.671099216,3444.671099216,3444.671099216,21917.0
2009-12-22,3566.967114573,3526.201776121,3607.732453025,3587.349783799,42925.0
2009-12-23,3587.349783799,3444.671099216,3587.349783799,3505.819106894,49165.0
2009-12-24,3505.819106894,3465.053768442,3566.967114573,3465.053768442,23516.0
2009-12-25,3465.053768442,3465.053768442,3628.115122251,3628.115122251,194686.0
2009-12-28,3628.115122251,3587.349783799,3628.115122251,3587.349783799,13984.0
2009-12-29,3587.349783799,3465.053768442,3607.732453025,3465.053768442,72023.0
2009-12-30,3465.053768442,3465.053768442,3526.201776121,3485.436437668,35086.0
2009-12-31,3638.306456864,3628.115122251,3648.497791477,3648.497791477,123885.0
2010-01-04,3811.559145286,3811.559145286,3811.559145286,3811.559145286,26652.0
2010-01-05,3995.003168322,3995.003168322,3995.003168322,3995.003168322,9814.0
2010-01-06,4127.4905182915,4076.533845226,4178.447191357,4178.447191357,136020.0
2010-01-07,4382.273883618,4382.273883618,4382.273883618,4382.273883618,27436.0
2010-01-08,4586.100575879,4586.100575879,4586.100575879,4586.100575879,132383.0
2010-01-11,4423.0392220705,4361.891214392,4484.187229749,4361.891214392,172330.0
2010-01-12,4361.891214392,4158.064522131,4361.891214392,4158.064522131,61895.0
2010-01-13,4045.9598413865,3954.237829869,4137.681852904,3954.237829869,68856.0
2010-01-14,4066.342510613,3995.003168322,4137.681852904,4117.299183678,18374.0
2010-01-15,3954.2378298695,3913.472491417,3995.003168322,3913.472491417,51548.0
2010-01-18,3913.472491417,3730.028468382,4035.768506774,3730.028468382,70487.0
2010-01-19,3730.028468382,3607.732453025,3913.472491417,3872.707152965,25460.0
2010-01-20,3872.707152965,3689.26312993,3872.707152965,3689.26312993,36027.0
2010-01-21,3689.26312993,3505.819106894,3750.411137608,3526.201776121,31481.0
2010-01-22,3526.201776121,3363.140422312,3668.880460703,3465.053768442,80333.0
2010-01-25,3465.053768442,3465.053768442,3607.732453025,3546.584445347,8810.0
2010-01-26,3658.6891260905,3607.732453025,3709.645799156,3709.645799156,33738.0
2010-01-27,3709.645799156,3709.645799156,3709.645799156,3709.645799156,940.0
2010-01-28,3587.349783799,3526.201776121,3648.497791477,3526.201776121,165369.0
2010-01-29,3526.201776121,3444.671099216,3526.201776121,3465.053768442,32797.0
2010-02-01,3516.0104415075,3505.819106894,3526.201776121,3526.201776121,7932.0
2010-02-02,3587.349783799,3546.584445347,3628.115122251,3628.115122251,21008.0
2010-02-03,3628.115122251,3485.436437668,3648.497791477,3566.967114573,11193.0
2010-02-04,3566.967114573,3505.819106894,3628.115122251,3546.584445347,7932.0
2010-02-05,3546.584445347,3403.905760764,3566.967114573,3403.905760764,24300.0
2010-02-08,3403.905760764,3363.140422312,3403.905760764,3363.140422312,49291.0
2010-02-09,3363.140422312,3363.140422312,3505.819106894,3485.436437668,12981.0
2010-02-10,3485.436437668,3444.671099216,3607.732453025,3607.732453025,815.0
2010-02-11,3689.2631299295,3668.880460703,3709.645799156,3668.880460703,16179.0
2010-02-12,3780.985141447,3750.411137608,3811.559145286,3750.411137608,1693.0
2010-02-22,3770.793806834,3770.793806834,3770.793806834,3770.793806834,2602.0
2010-02-23,3668.8804607035,3587.349783799,3750.411137608,3668.880460703,21917.0
2010-02-24,3566.9671145725,3485.436437668,3648.497791477,3485.436437668,13796.0
2010-02-25,3485.436437668,3485.436437668,3566.967114573,3566.967114573,5361.0
2010-02-26,3566.967114573,3465.053768442,3566.967114573,3566.967114573,16712.0
2010-03-01,3566.967114573,3465.053768442,3668.880460703,3566.967114573,7682.0
2010-03-02,3566.967114573,3465.053768442,3566.967114573,3566.967114573,17276.0
2010-03-03,3566.967114573,3505.819106894,3668.880460703,3628.115122251,42235.0
2010-03-04,3699.4544645425,3648.497791477,3750.411137608,3750.411137608,116141.0
2010-03-05,3668.8804607035,3628.115122251,3709.645799156,3668.880460703,37720.0
2010-03-08,3668.880460703,3668.880460703,3770.793806834,3730.028468382,47409.0
2010-03-09,3730.028468382,3668.880460703,3750.411137608,3709.645799156,62930.0
2010-03-10,3709.645799156,3668.880460703,3893.089822191,3893.089822191,215977.0
2010-03-11,3893.089822191,3872.707152965,3954.237829869,3933.855160643,111061.0
2010-03-12,3933.855160643,3811.559145286,3954.237829869,3954.237829869,126707.0
2010-03-15,3954.237829869,3811.559145286,3974.620499095,3872.707152965,36184.0
2010-03-16,3872.707152965,3709.645799156,3872.707152965,3709.645799156,47723.0
2010-03-17,3709.645799156,3668.880460703,3770.793806834,3668.880460703,12699.0
2010-03-18,3668.880460703,3668.880460703,3730.028468382,3709.645799156,81524.0
2010-03-19,3709.645799156,3709.645799156,3852.324483739,3709.645799156,53492.0
2010-03-22,3811.5591452865,3730.028468382,3893.089822191,3893.089822191,446158.0
2010-03-23,3893.089822191,3852.324483739,4076.533845226,3893.089822191,564055.0
2010-03-24,4015.3858375475,3954.237829869,4076.533845226,4076.533845226,1886196.0
2010-03-25,4280.360537487,4280.360537487,4280.360537487,4280.360537487,205943.0
2010-03-26,4484.187229749,4484.187229749,4484.187229749,4484.187229749,121753.0
2010-03-29,4606.4832451055,4504.569898975,4708.396591236,4708.396591236,1970229.0
2010-03-30,4586.1005758795,4484.187229749,4688.01392201,4504.569898975,1146799.0
2010-03-31,4504.569898975,4321.12587594,4524.952568201,4321.12587594,487109.0
2010-04-01,4321.12587594,4117.299183678,4382.273883618,4361.891214392,183618.0
2010-04-02,4361.891214392,4158.064522131,4565.717906653,4565.717906653,759558.0
2010-04-05,4565.717906653,4341.508545166,4647.248583558,4341.508545166,229867.0
2010-04-06,4341.508545166,4158.064522131,4463.804560523,4158.064522131,665052.0
2010-04-07,4321.1258759395005,4280.360537487,4361.891214392,4361.891214392,157216.0
2010-04-08,4473.9958951355,4402.656552844,4545.335237427,4463.804560523,793139.0
2010-04-09,4463.804560523,4321.12587594,4565.717906653,4361.891214392,335536.0
2010-04-12,4361.891214392,4178.447191357,4382.273883618,4198.829860583,270316.0
2010-04-13,4198.829860583,4158.064522131,4280.360537487,4178.447191357,126488.0
2010-04-14,4178.447191357,4076.533845226,4178.447191357,4158.064522131,269062.0
2010-04-15,4219.212529809,4178.447191357,4259.977868261,4259.977868261,370842.0
2010-04-16,4259.977868261,4178.447191357,4280.360537487,4178.447191357,140065.0
2010-04-19,4178.447191357,4137.681852904,4259.977868261,4239.595199035,268435.0
2010-04-20,4178.4471913565,4137.681852904,4219.212529809,4137.681852904,187694.0
2010-04-21,4137.681852904,4117.299183678,4198.829860583,4178.447191357,205849.0
2010-04-22,4178.447191357,4178.447191357,4300.743206714,4280.360537487,310639.0
2010-04-26,4280.360537487,4137.681852904,4321.12587594,4137.681852904,183837.0
2010-04-27,4137.681852904,4096.916514452,4239.595199035,4198.829860583,119778.0
2010-04-28,4198.829860583,4117.299183678,4280.360537487,4198.829860583,238741.0
2010-04-29,4368.479772549999,4347.273560062,4389.685985038,4389.685985038,372598.0
2010-05-04,4516.9232599665,4432.098410014,4601.748109919,4601.748109919,473751.0
2010-05-05,4601.748109919,4410.892197526,4707.77917236,4495.717047478,275396.0
2010-05-06,4495.717047478,4368.47977255,4516.923259967,4410.892197526,264233.0
2010-05-07,4410.892197526,4262.448710109,4410.892197526,4368.47977255,190359.0
2010-05-10,4251.8456038655,4156.417647669,4347.273560062,4198.830072645,199923.0
2010-05-11,4315.4642413295005,4241.242497621,4389.685985038,4389.685985038,282263.0
2010-05-12,4273.0518163535,4177.623860157,4368.47977255,4177.623860157,204313.0
2010-05-13,4283.6549225975,4198.830072645,4368.47977255,4368.47977255,433397.0
