Date,Price Open,Price Low,Price High,Price Close,Volume
2006-12-28,3791.949691715,3791.949691715,3791.949691715,3791.949691715,3839.0
2006-12-29,3981.5471763,3981.5471763,3981.5471763,3981.5471763,57598.0
2007-01-02,3981.5471763,3981.5471763,4180.624535115,4180.624535115,44542.0
2007-01-03,4389.18176816,4389.18176816,4389.18176816,4389.18176816,52299.0
2007-01-04,4607.218875433,4607.218875433,4607.218875433,4607.218875433,80062.0
2007-01-05,4787.3364857895,4739.937114643,4834.735856936,4739.937114643,50609.0
2007-01-08,4502.940258911,4502.940258911,4502.940258911,4502.940258911,35711.0
2007-01-09,4346.522334128,4284.903151638,4408.141516618,4284.903151638,6105.0
2007-01-10,4081.085855708,4076.345918593,4085.825792823,4076.345918593,33675.0
2007-01-11,3929.407868039,3877.268559778,3981.5471763,3877.268559778,35826.0
2007-01-12,3687.671075193,3687.671075193,3687.671075193,3687.671075193,53566.0
2007-01-15,3687.671075193,3687.671075193,3848.82893709,3791.949691715,33215.0
2007-01-16,3791.949691715,3791.949691715,3981.5471763,3981.5471763,45579.0
2007-01-17,3981.5471763,3981.5471763,4180.624535115,3981.5471763,42814.0
2007-01-18,3787.2097546,3782.469817485,3791.949691715,3791.949691715,8447.0
2007-01-19,3791.949691715,3791.949691715,3877.268559778,3877.268559778,13094.0
2007-01-22,3687.671075193,3687.671075193,3687.671075193,3687.671075193,28952.0
2007-01-23,3578.6525215555,3507.553464836,3649.751578275,3649.751578275,19122.0
2007-01-24,3554.9528359825,3507.553464836,3602.352207129,3507.553464836,12594.0
2007-01-25,3507.553464836,3441.194345231,3507.553464836,3460.15409369,14246.0
2007-01-26,3460.15409369,3460.15409369,3507.553464836,3460.15409369,22386.0
2007-01-29,3460.15409369,3317.95598025,3554.952835983,3317.95598025,60670.0
2007-01-30,3445.9342823455,3412.754722543,3479.113842148,3479.113842148,3916.0
2007-01-31,3479.113842148,3479.113842148,3649.751578275,3649.751578275,7756.0
2007-02-01,3829.869188632,3829.869188632,3829.869188632,3829.869188632,6950.0
2007-02-02,4000.506924759,4000.506924759,4000.506924759,4000.506924759,12287.0
