Date,Price Open,Price Low,Price High,Price Close,Volume
2007-10-18,45511.613884173,45511.613884173,45511.613884173,45511.613884173,8886.0
2007-10-19,47644.970784993,47644.970784993,47644.970784993,47644.970784993,28976.0
2007-10-22,50015.367341461,50015.367341461,50015.367341461,50015.367341461,137597.0
2007-10-23,52385.763897928,52385.763897928,52385.763897928,52385.763897928,152129.0
2007-10-24,54993.200110042,54993.200110042,54993.200110042,54993.200110042,89332.0
2007-10-25,57600.636322156,57600.636322156,57600.636322156,57600.636322156,133659.0
2007-10-26,60445.112189917,60445.112189917,60445.112189917,60445.112189917,295894.0
2007-10-29,60445.112189917,59259.913911683,62815.508746384,59259.913911683,465918.0
2007-10-30,58430.275116920006,58074.71563345,58785.83460039,58074.71563345,181662.0
2007-10-31,56059.8785604525,55467.279421336,56652.477699569,56415.438043923,192465.0
2007-11-01,56415.438043923,56415.438043923,57126.557010863,56889.517355216,261813.0
2007-11-02,56889.517355216,56178.398388276,57600.636322156,56178.398388276,114022.0
2007-11-05,53926.521659632,53570.962176162,54282.081143102,53570.962176162,284046.0
2007-11-06,51437.60527534101,51200.565619694,51674.644930988,51200.565619694,436680.0
2007-11-07,49541.2880301675,49067.208718874,50015.367341461,49067.208718874,584662.0
2007-11-08,51200.5656196945,50963.525964048,51437.605275341,51437.605275341,274933.0
2007-11-09,53808.001831808,53808.001831808,53808.001831808,53808.001831808,783975.0
2007-11-12,51911.684586634496,51674.644930988,52148.724242281,51911.684586635,185722.0
2007-11-13,49778.327685814,49541.288030167,50015.367341461,49541.288030167,236705.0
2007-11-14,51319.085447518,50963.525964048,51674.644930988,51674.644930988,332066.0
2007-11-15,50252.4069971075,50015.367341461,50489.446652754,50489.446652754,249860.0
2007-11-16,50489.446652754,50015.367341461,50489.446652754,50252.406997107,183300.0
2007-11-19,50252.406997107,50015.367341461,50726.486308401,50015.367341461,165772.0
2007-11-20,50015.367341461,49304.248374521,50015.367341461,49304.248374521,268538.0
2007-11-21,48948.68889105049,48830.169063227,49067.208718874,49067.208718874,160300.0
2007-11-22,49067.208718874,49067.208718874,49304.248374521,49067.208718874,127857.0
2007-11-23,48356.0897519335,48119.050096287,48593.12940758,48356.089751934,231896.0
2007-11-26,49185.728546697,48830.169063227,49541.288030167,49304.248374521,343496.0
2007-11-27,49304.248374521,48830.169063227,49778.327685814,48830.169063227,353341.0
2007-11-28,48830.169063227,48830.169063227,49541.288030167,49541.288030167,219211.0
2007-11-29,49541.288030167,49541.288030167,50015.367341461,49541.288030167,132213.0
2007-11-30,49067.208718874,49067.208718874,49067.208718874,49067.208718874,73738.0
2007-12-03,49067.208718874,49067.208718874,49067.208718874,49067.208718874,179397.0
2007-12-04,49067.208718874,49067.208718874,49541.288030167,49067.208718874,215517.0
2007-12-05,49067.208718874,48593.12940758,49067.208718874,48593.12940758,155247.0
