Date,Price Open,Price Low,Price High,Price Close,Volume
2006-12-20,5503.281636371499,4468.01083349,6538.552439253,5721.233384347,55825.0
2006-12-21,5176.354014409,4903.91432944,5448.793699378,4903.91432944,76806.0
2006-12-22,4707.757756262,4707.757756262,4707.757756262,4707.757756262,8992.0
2006-12-25,4239.161498116,4239.161498116,4239.161498116,4239.161498116,23229.0
2006-12-26,3825.053176963,3825.053176963,3825.053176963,3825.053176963,24353.0
2006-12-27,3443.637618007,3443.637618007,3443.637618007,3443.637618007,22480.0
2006-12-28,3187.544314136,3105.812408645,3269.276219627,3269.276219627,300108.0
2006-12-29,3269.276219627,2844.270311075,3323.76415662,2942.348597664,320714.0
2007-01-02,3203.890695234,3105.812408645,3301.968981823,3269.276219627,161106.0
2007-01-03,3269.276219627,3214.788282633,3530.818317197,3519.920729798,264889.0
2007-01-04,3519.920729798,3519.920729798,3726.974890374,3705.179715577,121017.0
2007-01-05,3705.179715577,3596.203841589,3988.516987945,3705.179715577,255522.0
2007-01-08,3705.179715577,3639.794191184,3748.770065172,3639.794191184,153613.0
2007-01-09,3639.794191184,3323.76415662,3650.691778583,3432.740030608,95540.0
2007-01-10,3547.164698295,3443.637618007,3650.691778583,3541.715904596,166726.0
2007-01-11,3705.179715577,3596.203841589,3814.155589565,3705.179715577,345068.0
2007-01-12,3705.179715577,3596.203841589,3814.155589565,3650.691778583,160357.0
2007-01-15,3650.691778583,3650.691778583,4043.004924938,3650.691778583,152864.0
2007-01-16,3650.691778583,3487.227967602,3759.667652571,3694.282128178,185085.0
2007-01-17,3498.1255550005,3378.252093614,3617.999016387,3487.227967602,101909.0
2007-01-18,3487.227967602,3378.252093614,3487.227967602,3487.227967602,133006.0
2007-01-19,3487.227967602,3432.740030608,3596.203841589,3596.203841589,165602.0
2007-01-22,3596.203841589,3487.227967602,3868.643526558,3519.920729798,261142.0
2007-01-23,3732.423684074,3541.715904596,3923.131463552,3541.715904596,219929.0
2007-01-24,3705.179715577,3596.203841589,3814.155589565,3716.077302976,501679.0
2007-01-25,3716.077302976,3617.999016387,3814.155589565,3770.565239969,319216.0
2007-01-26,3770.565239969,3726.974890374,4119.28803673,4119.28803673,443605.0
2007-01-29,4337.239784705,4337.239784705,4337.239784705,4337.239784705,95165.0
2007-01-30,4762.245693256,4762.245693256,4762.245693256,4762.245693256,162980.0
2007-01-31,5230.841951403,5230.841951403,5230.841951403,5230.841951403,213185.0
2007-02-01,5753.926146543,5753.926146543,5753.926146543,5753.926146543,381036.0
2007-02-02,6320.600691278,6320.600691278,6320.600691278,6320.600691278,277628.0
2007-02-05,6952.660760406,6952.660760406,6952.660760406,6952.660760406,79804.0
2007-02-06,7306.832350866,6974.455935204,7639.208766528,7246.895620173,1025463.0
2007-02-07,7246.895620173,7083.431809191,8064.214675079,7628.311179129,818647.0
2007-02-08,7628.311179129,7137.919746185,7628.311179129,7355.87149416,324836.0
2007-02-09,7355.87149416,6636.630725842,7410.359431154,7028.943872197,165977.0
2007-02-12,7028.943872197,6538.552439253,7355.87149416,6941.763173007,148368.0
2007-02-13,7350.4227004605,7083.431809191,7617.41359173,7519.335305141,206816.0
2007-02-14,7519.335305141,7399.461843755,8129.600199472,7955.238801092,253649.0
2007-02-15,8461.976615133999,8118.702612073,8805.250618195,8805.250618195,322213.0
2007-02-26,9524.491386513,9524.491386513,9524.491386513,9524.491386513,117645.0
2007-02-27,10472.581490204,10472.581490204,10472.581490204,10472.581490204,47582.0
2007-02-28,11518.749880485,11518.749880485,11518.749880485,11518.749880485,618949.0
2007-03-01,12227.093061404,11791.189565454,12662.996557354,12532.225508569,545140.0
2007-03-02,12532.225508569,11976.448551233,13131.592815501,12859.153130532,339822.0
2007-03-05,12859.153130532,12532.225508569,13720.062535033,13720.062535033,312846.0
2007-03-06,14461.0984781485,14166.863618382,14755.333337915,14493.791240345,261517.0
2007-03-07,14493.791240345,13077.104878507,15692.525854208,14057.887744395,173096.0
2007-03-08,13186.0807524945,12750.177256544,13621.984248445,12750.177256544,182837.0
2007-03-09,12750.177256544,11987.346138631,12968.129004519,12423.249634582,269010.0
2007-03-12,12423.249634582,12041.834075625,13611.086661046,12641.201382557,239786.0
2007-03-13,12641.201382557,11987.346138631,13621.984248445,12641.201382557,304229.0
2007-03-14,12641.201382557,11595.032992276,12750.177256544,11769.394390656,181338.0
2007-03-15,11268.1053703135,10984.768097946,11551.442642681,11442.466768694,295237.0
2007-03-16,11442.466768694,11115.539146731,12183.502711809,12183.502711809,140500.0
2007-03-19,12668.4453510535,12205.297886606,13131.592815501,12532.225508569,179465.0
2007-03-20,12532.225508569,11398.876419098,12859.153130532,12314.273760594,86173.0
2007-03-21,12314.273760594,12096.322012619,12859.153130532,12423.249634582,210937.0
2007-03-22,12423.249634582,11660.418516669,12859.153130532,11976.448551233,170848.0
2007-03-23,12870.0507179305,12150.809949613,13589.291486248,13513.008374457,420376.0
2007-03-26,13513.008374457,12532.225508569,14526.484002541,12532.225508569,160357.0
2007-03-27,12532.225508569,11878.370264644,12859.153130532,11878.370264644,47208.0
2007-03-28,11878.370264644,10853.997049161,12641.201382557,12641.201382557,305728.0
2007-03-29,12167.1563307105,11987.346138631,12346.96652279,12346.96652279,63318.0
2007-03-30,12346.96652279,12259.7858236,13502.110787058,12259.7858236,212810.0
2007-04-02,11862.0238835455,11518.749880485,12205.297886606,11518.749880485,166352.0
2007-04-03,11518.749880485,10461.683902805,11987.346138631,10897.587398756,137502.0
2007-04-04,10897.587398756,10352.708028818,11660.418516669,11660.418516669,99661.0
2007-04-05,11660.418516669,10788.611524768,11769.394390656,11006.563272743,107529.0
2007-04-06,10685.0844444795,10461.683902805,10908.484986154,10679.635650781,149492.0
2007-04-09,10679.635650781,10625.147713787,10734.123587774,10679.635650781,67065.0
2007-04-10,10679.635650781,10570.659776793,11660.418516669,10614.250126388,80928.0
2007-04-11,10614.250126388,10352.708028818,10668.738063382,10352.708028818,49456.0
2007-04-12,10352.708028818,9589.876910905,10570.659776793,9807.82865888,84674.0
2007-04-13,9807.82865888,8946.919254378,9916.804532868,8957.816841777,139750.0
2007-04-16,8429.283852938,8140.497786871,8718.069919005,8140.497786871,100410.0
2007-04-17,8140.497786871,7530.23289254,9099.485477961,7791.77499011,191454.0
2007-04-18,8129.600199471501,7846.262927104,8412.937471839,8412.937471839,48706.0
2007-04-19,8412.937471839,8391.142297042,9044.997540967,8391.142297042,179465.0
2007-04-20,8107.805024673999,7933.443626294,8282.166423054,8009.726738085,87672.0
2007-04-23,7682.799116123,7410.359431154,7955.238801092,7486.642542945,62569.0
2007-04-24,7737.2870531165,7628.311179129,7846.262927104,7737.287053117,82052.0
2007-04-25,7737.287053117,6974.455935204,8009.726738085,7955.238801092,84674.0
2007-05-02,7955.238801092,7682.799116123,7955.238801092,7846.262927104,18733.0
2007-05-03,7846.262927104,7464.847368148,7846.262927104,7791.77499011,69688.0
2007-05-04,7655.555147626001,7573.823242135,7737.287053117,7573.823242135,62944.0
2007-05-07,7573.823242135,7421.257018553,8369.347122244,7955.238801092,92542.0
2007-05-08,7955.238801092,7955.238801092,8282.166423054,8064.214675079,115772.0
2007-05-09,8064.214675079,7791.77499011,8282.166423054,7835.365339705,74184.0
2007-05-10,7835.365339705,7639.208766528,7846.262927104,7639.208766528,64442.0
2007-05-11,7639.208766528,7628.311179129,7966.13638849,7955.238801092,55076.0
2007-05-14,7955.238801092,7846.262927104,8064.214675079,8009.726738085,143872.0
2007-05-15,8009.726738085,7846.262927104,8118.702612073,7955.238801092,82801.0
2007-05-16,7955.238801092,7791.77499011,8009.726738085,7791.77499011,104157.0
2007-05-17,7873.506895601,7846.262927104,7900.750864098,7878.9556893,50205.0
2007-05-18,7878.9556893,7846.262927104,8151.395374269,8151.395374269,157734.0
2007-05-21,8554.606108023,8282.166423054,8827.045792992,8827.045792992,110901.0
2007-05-22,9633.4672605,9633.4672605,9633.4672605,9633.4672605,29973.0
2007-05-23,9633.4672605,9262.949288942,10592.454951591,10134.756280843,422249.0
2007-05-24,10134.756280843,9459.10586212,10341.810441419,9459.10586212,115772.0
2007-05-25,9459.10586212,8565.503695422,10134.756280843,9916.804532868,292240.0
2007-05-28,9916.804532868,9578.979323506,10243.73215483,9687.955197494,141249.0
2007-05-29,9687.955197494,8990.509603973,9862.316595874,9262.949288942,101160.0
2007-05-30,8985.060810274,8728.967506403,9241.154114145,9099.485477961,150990.0
2007-05-31,9099.485477961,9044.997540967,9252.051701544,9164.871002354,173470.0
2007-06-01,9712.4771972605,9399.17148122,10025.782913301,9587.154910844,158011.0
2007-06-04,9417.969824182,9273.849194803,9562.090453561,9273.849194803,59946.0
2007-06-05,9273.849194803,9023.204621971,9775.138340468,9211.188051595,66462.0
2007-06-06,9211.188051595,9211.188051595,9511.961538994,9511.961538994,105884.0
2007-06-07,9511.961538994,9461.832624428,9649.816054052,9461.832624428,64833.0
2007-06-08,9461.832624428,9424.235938503,9587.154910844,9436.768167145,125106.0
2007-06-11,9273.8491948035,9148.526908387,9399.17148122,9374.107023936,22154.0
2007-06-12,9317.711995049,9273.849194803,9361.574795295,9273.849194803,26389.0
2007-06-13,9273.849194803,9148.526908387,9386.639252578,9298.913652087,74607.0
2007-06-14,9524.493767636,9399.17148122,9649.816054052,9524.493767636,112074.0
2007-06-15,9524.493767636,9524.493767636,9649.816054052,9574.622682202,72652.0
2007-06-18,9574.622682202,9524.493767636,9775.138340468,9574.622682202,56037.0
2007-06-19,9574.622682202,9399.17148122,9649.816054052,9461.832624428,20199.0
2007-06-20,9461.832624428,9399.17148122,9574.622682202,9474.364853069,57014.0
2007-06-21,9367.8409096155,9273.849194803,9461.832624428,9273.849194803,51150.0
2007-06-22,9273.849194803,9236.252508879,9399.17148122,9273.849194803,42027.0
2007-06-25,9273.849194803,9023.204621971,9336.510338012,9073.333536537,80471.0
2007-06-26,9073.333536537,8897.882335555,9148.526908387,8897.882335555,62878.0
2007-06-27,8897.882335555,8647.237762722,9148.526908387,8659.769991364,46914.0
2007-06-28,8496.851019022499,8346.464275323,8647.237762722,8346.464275323,90897.0
2007-06-29,8051.956902244499,7832.642901016,8271.270903473,7957.965187433,107187.0
2007-07-02,7957.965187433,7669.723928675,8020.626330641,7769.981757808,55385.0
2007-07-03,7769.981757808,7050.025488253,7833.361653615,7150.025849789,47280.0
2007-07-04,7150.025849789,7133.359122866,7916.695288228,7916.695288228,49485.0
2007-07-05,7916.695288228,7500.027115163,8016.695649763,7500.027115163,99705.0
2007-07-06,7633.360930544,7516.693842086,7750.028019002,7666.694384389,45075.0
2007-07-09,7666.694384389,7500.027115163,7800.02819977,7800.02819977,40176.0
2007-07-10,8000.028922841,7916.695288228,8083.362557454,8066.695830531,38461.0
2007-07-11,8066.695830531,8000.028922841,8500.030730518,8433.363822828,90641.0
2007-07-12,8433.363822828,8033.362376686,8750.031634357,8166.696192067,78882.0
2007-07-13,8166.696192067,8000.028922841,9083.366172809,8666.697999744,97745.0
2007-07-16,8666.697999744,8500.030730518,8766.69836128,8650.031272822,97010.0
2007-07-17,8650.031272822,8633.364545899,8800.031815125,8683.364726667,75942.0
2007-07-18,8683.364726667,8666.697999744,8833.36526897,8750.031634357,70063.0
2007-07-19,8750.031634357,8416.697095905,8750.031634357,8466.697276673,42626.0
