Date,Price Open,Price Low,Price High,Price Close,Volume
2006-12-21,7875.5110783695,7595.153078816,8155.869077923,7595.153078816,111283.0
2006-12-22,7595.153078816,6993.657734319,7646.127260553,6993.657734319,37094.0
2006-12-25,6392.162389823,6392.162389823,6392.162389823,6392.162389823,32255.0
2006-12-26,5760.082536283,5760.082536283,5760.082536283,5760.082536283,4838.0
2006-12-27,5347.1916642135,5189.171700829,5505.211627598,5505.211627598,14515.0
2006-12-28,5505.211627598,5097.418173702,5505.211627598,5505.211627598,37094.0
2006-12-29,5505.211627598,5505.211627598,5862.030899758,5862.030899758,42739.0
2007-01-02,6086.3172994005,6065.927626706,6106.706972095,6096.512135748,40319.0
2007-01-03,6657.2281348550005,6616.448789465,6698.007480245,6698.007480245,21772.0
2007-01-04,7161.872534051499,7136.385443183,7187.35962492,7187.35962492,24998.0
2007-01-05,7187.35962492,7187.35962492,7646.127260553,7544.178897079,62092.0
2007-01-08,7544.178897079,7126.190606836,7554.373733427,7126.190606836,89510.0
2007-01-09,7391.256351868,7391.256351868,7391.256351868,7391.256351868,29030.0
2007-01-10,7391.256351868,7391.256351868,7748.075624027,7646.127260553,100799.0
2007-01-11,7646.127260553,7595.153078816,7748.075624027,7748.075624027,132249.0
2007-01-12,8308.7916231345,8155.869077923,8461.714168346,8461.714168346,32255.0
2007-01-15,9114.1836945795,9073.40434919,9154.963039969,9134.573367274,115315.0
2007-01-16,10041.913802193,10041.913802193,10041.913802193,10041.913802193,56447.0
2007-01-17,10041.913802193,9042.819840148,11041.007764239,10092.88798393,145151.0
2007-01-18,10092.88798393,9990.939620456,11214.319982145,10704.578164775,160473.0
2007-01-19,10704.578164775,10398.733074352,11010.423255197,10602.629801301,187084.0
2007-01-22,10959.44907346,10704.578164775,11214.319982145,10908.474891723,141119.0
2007-01-23,10908.474891723,10806.526528249,11010.423255197,11010.423255197,183052.0
2007-01-24,11010.423255197,10908.474891723,11112.371618671,11010.423255197,120153.0
2007-01-25,11010.423255197,10806.526528249,11112.371618671,10908.474891723,57254.0
2007-01-26,11509.9702362195,11010.423255197,12009.517217242,11163.345800408,177407.0
2007-01-29,11815.8153266415,11214.319982145,12417.310671138,12233.803616885,91929.0
2007-01-30,13294.066597015,13294.066597015,13294.066597015,13294.066597015,12095.0
2007-01-31,14619.395322178,14619.395322178,14619.395322178,14619.395322178,49996.0
2007-02-01,16077.256919857,16077.256919857,16077.256919857,16077.256919857,64511.0
2007-02-02,17657.4565537045,17637.06688101,17677.846226399,17677.846226399,48383.0
2007-02-05,19441.5529145,19441.5529145,19441.5529145,19441.5529145,125798.0
2007-02-06,21378.571820507,21378.571820507,21378.571820507,21378.571820507,95961.0
2007-02-07,23509.292617114,23509.292617114,23509.292617114,23509.292617114,56447.0
2007-02-08,25854.104977017,25854.104977017,25854.104977017,25854.104977017,116121.0
2007-02-09,25854.104977017,23346.175235556,28433.398572911,26098.781049355,137087.0
2007-02-12,26098.781049355,24314.684688559,26292.482939956,24314.684688559,32255.0
2007-02-13,22938.38178166,22428.63996429,23448.12359903,22428.63996429,34675.0
2007-02-14,22428.63996429,22428.63996429,24722.478142456,24467.60723377,39513.0
2007-02-15,26496.379666904,26496.379666904,26496.379666904,26496.379666904,24191.0
2007-02-26,29136.842280882,29136.842280882,29136.842280882,29136.842280882,90316.0
2007-02-27,31976.104203634,31909.837767376,32042.370639892,32042.370639892,137087.0
2007-02-28,32042.370639892,29565.025407473,35223.159580282,29565.025407473,10483.0
2007-03-01,29565.025407473,29565.025407473,32011.78613085,29565.025407473,29030.0
2007-03-02,29565.025407473,27526.058137992,30074.767224843,30074.767224843,49190.0
2007-03-05,30074.767224843,28545.541772732,31807.889403902,28545.541772732,72575.0
2007-03-06,28545.541772732,25996.832685881,29768.922134421,27526.058137992,66124.0
2007-03-07,27526.058137992,25210.775622631,27783.303747389,25210.775622631,36287.0
2007-03-08,26805.7430599805,25725.281247582,27886.204872379,26754.292497486,83865.0
2007-03-09,28297.8093723405,27783.303747389,28812.314997292,27886.204872379,28223.0
2007-03-12,27886.204872379,27783.303747389,28812.314997292,28297.80937234,12095.0
2007-03-13,27983.96094112,27783.303747389,28184.618134851,27783.303747389,3225.0
2007-03-14,27109.301378702003,26548.490247505,27670.112509899,26548.490247505,7257.0
2007-03-15,24752.865616424,24294.955610217,25210.775622631,24294.955610217,7257.0
2007-03-16,24294.955610217,22638.247497872,26857.193622476,26754.292497486,9676.0
2007-03-19,26754.292497486,25714.991135083,27546.631159911,27474.600372418,79833.0
2007-03-20,27474.600372418,26239.786872534,30077.998834673,28297.80937234,66124.0
2007-03-21,27526.050934913,27268.798122437,27783.303747389,27268.798122437,19353.0
2007-03-22,27268.798122437,25210.775622631,27268.798122437,26239.786872534,41932.0
2007-03-23,25725.281247582498,25221.06573513,26229.496760035,25931.083497563,44351.0
2007-03-26,25931.083497563,25931.083497563,28421.290722329,25982.534060058,60479.0
2007-03-27,25982.534060058,25210.775622631,26744.002384986,25622.380122592,30643.0
2007-03-28,25622.380122592,23193.91357282,25725.281247582,25725.281247582,24191.0
2007-03-29,26548.490247505,26548.490247505,26548.490247505,26548.490247505,8870.0
2007-03-30,26548.490247505,25725.281247582,27773.01363489,25725.281247582,18547.0
2007-04-02,25725.281247582,24490.467747698,27032.125534959,24490.467747698,15321.0
2007-04-03,23667.258747776,23667.258747776,23667.258747776,23667.258747776,10483.0
2007-04-04,23667.258747776,22638.247497872,24284.665497718,23152.753122824,92735.0
2007-04-05,24336.116060213,23461.456497795,25210.775622631,24696.269997679,45158.0
2007-04-06,24696.269997679,24696.269997679,24902.07224766,24902.07224766,18547.0
2007-04-09,25776.7318100775,25210.775622631,26342.687997524,25982.534060058,25804.0
2007-04-10,27371.699247427503,26445.589122515,28297.80937234,26754.292497486,46771.0
2007-04-11,27783.3037473885,27268.798122437,28297.80937234,28297.80937234,101606.0
2007-04-12,29903.0669221895,29079.857922267,30726.275922112,30726.275922112,112089.0
2007-04-13,30726.275922112,30726.275922112,33730.98877183,31899.348747002,223372.0
2007-04-16,31899.348747002,29532.622872224,32619.656621934,29542.912984723,83865.0
2007-04-17,28750.574322298,28688.833647304,28812.314997292,28688.833647304,8063.0
2007-04-18,28688.833647304,25859.05271007,29789.8756847,29789.8756847,31449.0
2007-04-19,28246.358809845,27680.402622398,28812.314997292,27783.303747389,11289.0
2007-04-20,27783.303747389,27268.798122437,28297.80937234,28246.358809845,13708.0
2007-04-23,28246.358809845,27268.798122437,28400.710497331,27577.501497408,17740.0
2007-04-24,26857.193622476,26754.292497486,26960.094747466,26754.292497486,20966.0
2007-04-25,27654.677341151,27165.896997447,28143.457684855,28143.457684855,39513.0
2007-05-02,28143.457684855,26754.292497486,29635.523997215,27773.01363489,17740.0
2007-05-03,27773.01363489,27371.699247428,30067.708722174,27577.501497408,33062.0
2007-05-04,27577.501497408,27577.501497408,27680.402622398,27577.501497408,22579.0
2007-05-07,27577.501497408,27268.798122437,28040.556559865,27773.01363489,47577.0
2007-05-08,28297.8093723405,27783.303747389,28812.314997292,28297.80937234,95155.0
2007-05-09,28297.80937234,27783.303747389,28555.062184816,27783.303747389,54835.0
2007-05-10,27783.303747389,27268.798122437,27989.105997369,27371.699247428,42739.0
2007-05-11,27731.8531848935,27474.600372418,27989.105997369,27783.303747389,49996.0
2007-05-14,27783.303747389,27680.402622398,28606.512747311,28606.512747311,97574.0
2007-05-15,28606.512747311,28421.290722329,29532.622872224,28709.413872302,136281.0
2007-05-16,28709.413872302,28657.963309807,28812.314997292,28709.413872302,58867.0
2007-05-17,28709.413872302,27268.798122437,28802.024884793,28802.024884793,70156.0
2007-05-18,30124.304340918497,28863.765559787,31384.84312205,31384.84312205,224179.0
2007-05-21,32866.6193219115,32413.854371954,33319.384271869,33319.384271869,396748.0
2007-05-22,35279.6507029345,33957.371246809,36601.93015906,35963.94318412,284659.0
2007-05-23,35963.94318412,32784.298421919,39822.735371257,33803.019559323,122572.0
2007-05-24,33803.019559323,31549.484922035,34471.87687176,31549.484922035,45964.0
2007-05-25,31549.484922035,29635.523997215,34883.481371722,34780.580246731,257241.0
2007-05-28,34780.580246731,34492.457096758,35500.888121663,34780.580246731,283046.0
2007-05-29,34780.580246731,34471.87687176,37558.91062147,34883.481371722,236275.0
2007-05-30,34883.481371722,33957.371246809,36015.393746615,34574.777996751,108863.0
2007-05-31,34574.777996751,34471.87687176,34986.382496712,34832.030809226,116927.0
2007-06-01,34832.030809226,34677.679121741,35500.888121663,34677.679121741,110476.0
2007-06-04,34677.679121741,34060.272371799,34986.382496712,34471.87687176,40319.0
2007-06-05,33648.667871837504,33134.162246886,34163.173496789,33957.371246809,88703.0
2007-06-06,33957.371246809,33545.766746847,34471.87687176,34317.525184275,58060.0
2007-06-07,34317.525184275,33957.371246809,34471.87687176,34255.784509281,23385.0
2007-06-08,34255.784509281,33134.162246886,34266.07462178,33545.766746847,38707.0
2007-06-11,33545.766746847,33442.865621857,33957.371246809,33803.019559323,54028.0
2007-06-12,33803.019559323,33648.667871838,34986.382496712,34060.272371799,112895.0
2007-06-13,34060.272371799,34060.272371799,34368.97574677,34245.494396781,32255.0
2007-06-14,34245.494396781,33648.667871838,34368.97574677,33905.920684313,13708.0
2007-06-15,33905.920684313,33854.470121818,33957.371246809,33936.79102181,30643.0
2007-06-18,33674.393153085,33442.865621857,33905.920684313,33442.865621857,20159.0
2007-06-19,33442.865621857,33237.063371876,33442.865621857,33237.063371876,40319.0
2007-06-20,33237.063371876,32928.359996905,33288.513934371,33031.261121896,33062.0
2007-06-21,33031.261121896,32393.274146956,33031.261121896,32403.564259455,27417.0
2007-06-22,32403.564259455,31899.348747002,32516.755496944,32310.953246963,41126.0
2007-06-25,32933.505053155,32424.144484453,33442.865621857,33051.841346894,49996.0
2007-06-26,33622.94259059,33391.415059362,33854.470121818,33648.667871838,47577.0
2007-06-27,33828.744840571,33700.118434333,33957.371246809,33751.568996828,12095.0
2007-06-28,32876.9094344105,32413.854371954,33339.964496867,32413.854371954,7257.0
2007-06-29,32413.854371954,32002.249871992,33237.063371876,32516.755496944,41126.0
2007-07-02,31127.5903095745,30355.831872147,31899.348747002,30561.634122128,31449.0
2007-07-03,29018.1172472725,28297.80937234,29738.425122205,28812.314997292,78220.0
2007-07-04,30525.618728381,29635.523997215,31415.713459547,31415.713459547,54835.0
2007-07-05,30715.985809613,30458.732997137,30973.238622089,30458.732997137,8063.0
2007-07-06,30458.732997137,29841.326247195,30458.732997137,30458.732997137,35481.0
2007-07-09,30458.732997137,30252.930747157,30870.337497099,30664.535247118,32255.0
2007-07-10,32208.052121973,31693.546497021,32722.557746925,32259.502684468,77414.0
2007-07-11,33185.6128093815,32413.854371954,33957.371246809,32928.359996905,81446.0
2007-07-12,32928.359996905,31189.330984569,33432.575509358,31796.447622012,52415.0
